"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At"
"spotify:track:7r622ijqtjEwkVt6ZnUCQV","Autumn Leaves","spotify:artist:027TpXKGwdXP7iwbjUSpV8","The Walters","spotify:album:5ADia0t4o7pA8dyi8jRA4E","Young Men","spotify:artist:027TpXKGwdXP7iwbjUSpV8","The Walters","2015-12-23","https://i.scdn.co/image/ab67616d0000b273582e6a30d15b8bfda2b50cdc","1","7","208200","https://p.scdn.co/mp3-preview/732cb0e23c9d383959529234bad33e8d25a0bcf7?cid=9950ac751e34487dbbe027c4fd7f8e99","false","41","TCACK1592350","spotify:user:jeongshin","2020-10-06T23:57:50Z"
"spotify:track:2zk7TQx9Xa4yxYmsjgDCPp","Somehow.","spotify:artist:0oBsnAC3fzYkTHF3bkfNx6","Phony Ppl","spotify:album:6IGDCUkBJ3LEUoAcoTD46u","Yesterday's Tomorrow","spotify:artist:0oBsnAC3fzYkTHF3bkfNx6","Phony Ppl","2015-01-13","https://i.scdn.co/image/ab67616d0000b273d9ac65941679b76106866c87","1","15","230973","https://p.scdn.co/mp3-preview/ddbff775c0e085bdba61e68b29cec15949c4543c?cid=9950ac751e34487dbbe027c4fd7f8e99","false","49","QM7XC1500020","spotify:user:jeongshin","2020-10-07T00:05:24Z"
"spotify:track:6b2oQwSGFkzsMtQruIWm2p","Creep","spotify:artist:4Z8W4fKeB5YxbusRsdQVPb","Radiohead","spotify:album:6400dnyeDyD2mIFHfkwHXN","Pablo Honey","spotify:artist:4Z8W4fKeB5YxbusRsdQVPb","Radiohead","1993-02-22","https://i.scdn.co/image/ab67616d0000b2732f85b65d3ac4d3d7f806ca11","1","2","238640","","true","1","GBAYE9200070","spotify:user:jeongshin","2020-10-11T03:37:49Z"
"spotify:track:5k7VKj1Xwy5DjO4B0PdAOb","Nude","spotify:artist:4Z8W4fKeB5YxbusRsdQVPb","Radiohead","spotify:album:7eyQXxuf2nGj9d2367Gi5f","In Rainbows","spotify:artist:4Z8W4fKeB5YxbusRsdQVPb","Radiohead","2007-12-28","https://i.scdn.co/image/ab67616d0000b27334733f87148c2fbe0176abdb","1","3","255386","","false","0","GBSTK0700003","spotify:user:jeongshin","2020-10-11T04:31:52Z"
"spotify:track:3qI18UF3mDDjHdV7fPV9XK","The Will To Death","spotify:artist:7rN3Agir6FaZNfhf5V7mfN","John Frusciante","spotify:album:1PT0NLoWqX9YKC5bzXthTU","The Will To Death","spotify:artist:7rN3Agir6FaZNfhf5V7mfN","John Frusciante","2004-06-22","https://i.scdn.co/image/ab67616d0000b2735b5a026cb23075fff31dd0df","1","12","228533","https://p.scdn.co/mp3-preview/aa99148165146a1772ec7a9d71f5239edb40dfe0?cid=9950ac751e34487dbbe027c4fd7f8e99","false","39","USRC20400018","spotify:user:jeongshin","2020-10-11T04:34:58Z"
"spotify:track:4pCo0hx75daUKKkfi1XXOO","Jason","spotify:artist:2ueoLVCXQ948OfhVvAy3Nn","Perfume Genius","spotify:album:6daEdTBi1hyFQgmsnR7oRr","Set My Heart On Fire Immediately","spotify:artist:2ueoLVCXQ948OfhVvAy3Nn","Perfume Genius","2020-05-15","https://i.scdn.co/image/ab67616d0000b273e9a375a80097985178b73c4d","1","4","185826","","false","0","USMTD1900270","spotify:user:jeongshin","2020-10-11T04:35:11Z"
"spotify:track:0g7UEpNuvLg5NNpwT4eq7n","Getaway","spotify:artist:1dWEYMPtNmvSVaDNLgB6NV","Saint Motel","spotify:album:43URJ507cdoIRy3GJdfxjs","saintmotelevision","spotify:artist:1dWEYMPtNmvSVaDNLgB6NV","Saint Motel","2016-10-21","https://i.scdn.co/image/ab67616d0000b27325dd1a3969c0912291b6fc7b","1","2","181506","https://p.scdn.co/mp3-preview/f8cfe003e7d675c8a1e58eadc8c8636d42bdd053?cid=9950ac751e34487dbbe027c4fd7f8e99","false","49","USAT21602336","spotify:user:jeongshin","2020-10-11T04:35:18Z"
"spotify:track:7umZiitjVsEjMQ6HNddpUI","Love Is Only a Feeling","spotify:artist:2P5sC9cVZDToPxyomzF1UH","Joey Bada$$","spotify:album:5e82uQW57EpmAOCJvLKMpr","Love Is Only a Feeling","spotify:artist:2P5sC9cVZDToPxyomzF1UH","Joey Bada$$","2017-07-06","https://i.scdn.co/image/ab67616d0000b273b142bbe4a766121f8d6fad41","1","1","152041","https://p.scdn.co/mp3-preview/f056dcc6458ac9a2099cacc0181a1609c194cd21?cid=9950ac751e34487dbbe027c4fd7f8e99","true","82","QMKSC1700112","spotify:user:jeongshin","2020-10-11T04:35:31Z"
"spotify:track:5AMrnF761nziCWUfjBgRUI","Waltz #2 (XO)","spotify:artist:2ApaG60P4r0yhBoDCGD8YG","Elliott Smith","spotify:album:1zOxlHQGGV6EH7n4OIFTyh","XO","spotify:artist:2ApaG60P4r0yhBoDCGD8YG","Elliott Smith","1998-01-01","https://i.scdn.co/image/ab67616d0000b273cdf1be0ff556d169eade4368","1","3","280106","https://p.scdn.co/mp3-preview/e4fe5a22555c6389bd1a771426e7018515b54d60?cid=9950ac751e34487dbbe027c4fd7f8e99","false","61","USDW19804802","spotify:user:jeongshin","2020-10-11T04:40:49Z"
"spotify:track:2c7AnyxXkbemyTEpzprQVx","Bottle Up And Explode!","spotify:artist:2ApaG60P4r0yhBoDCGD8YG","Elliott Smith","spotify:album:1zOxlHQGGV6EH7n4OIFTyh","XO","spotify:artist:2ApaG60P4r0yhBoDCGD8YG","Elliott Smith","1998-01-01","https://i.scdn.co/image/ab67616d0000b273cdf1be0ff556d169eade4368","1","11","178040","https://p.scdn.co/mp3-preview/7399c296050dc61db39a51e5cb891776b0b8614f?cid=9950ac751e34487dbbe027c4fd7f8e99","false","43","USDW19804810","spotify:user:jeongshin","2020-10-11T05:51:19Z"
"spotify:track:7zTTDkkLkJ2iHAqq1daDCr","OUTTA MY MIND","spotify:artist:6NgYKD0TKGjwtRFqTyyqKF","Monsune","spotify:album:6WWXMhWEmIM9SaAyZCFvYL","OUTTA MY MIND","spotify:artist:6NgYKD0TKGjwtRFqTyyqKF","Monsune","2019-08-30","https://i.scdn.co/image/ab67616d0000b273b30910fc05d69799e6d063c2","1","1","226005","https://p.scdn.co/mp3-preview/4f1ba3284d4d084a06067e8c9979e22110a1f698?cid=9950ac751e34487dbbe027c4fd7f8e99","false","63","QM24S1923795","spotify:user:jeongshin","2020-10-11T20:10:52Z"
"spotify:track:40UsXr3yVc1bXw2tBrIyaR","MAYA","spotify:artist:27CNmUe34ahHuxvayd8Jse, spotify:artist:2AfU5LYBVCiCtuCCfM7uVX","PRICE, Kota the Friend","spotify:album:1karZTGUgYv6pf6HTrUmeu","MAYA","spotify:artist:27CNmUe34ahHuxvayd8Jse, spotify:artist:2AfU5LYBVCiCtuCCfM7uVX","PRICE, Kota the Friend","2020-10-09","https://i.scdn.co/image/ab67616d0000b273e91bf9103492bb762d808383","1","1","181578","","true","0","QM2592005520","spotify:user:jeongshin","2020-10-12T03:30:13Z"
