"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At"
"spotify:track:3S3xzHZMiAVqWbMf8v1oE4","Jane Cum","spotify:artist:7MoIc5s9KXolCBH1fy9kkw","Japanese Breakfast","spotify:album:3i7EHinpu9J5MXKMzjpjZ0","Psychopomp","spotify:artist:7MoIc5s9KXolCBH1fy9kkw","Japanese Breakfast","2016-04-01","https://i.scdn.co/image/ab67616d0000b2736b3d417dd6a2f0cc0b913361","1","6","211310","","false","0","USA2P1569463","spotify:user:jeongshin","2021-10-18T17:11:10Z"
"spotify:track:5ASPgiUgnrHCfwnJlh04ZR","Georgia","spotify:artist:1r1uxoy19fzMxunt3ONAkG","Phoebe Bridgers","spotify:album:5rcJ5xCMYYLCgGilFDKRZl","Stranger in the Alps (Deluxe Edition)","spotify:artist:1r1uxoy19fzMxunt3ONAkG","Phoebe Bridgers","2018-10-02","https://i.scdn.co/image/ab67616d0000b27378d8e579122e4b9446954ee9","1","7","247306","https://p.scdn.co/mp3-preview/66a8ff51128a178ba38275118efb986c96dbb068?cid=9950ac751e34487dbbe027c4fd7f8e99","false","50","USJ5G1714207","spotify:user:jeongshin","2021-10-24T03:33:38Z"
"spotify:track:3JD5xfa8pgJi0AzdRCRETW","October Skies","spotify:artist:3gd8FJtBJtkRxdfbTu19U2","Mumford & Sons","spotify:album:3thbkS5Ijz41mAbAOat7wc","Delta","spotify:artist:3gd8FJtBJtkRxdfbTu19U2","Mumford & Sons","2018-11-16","https://i.scdn.co/image/ab67616d0000b273b678fef9d08013c39efb65db","1","6","223685","","false","1","GBUM71806307","spotify:user:jeongshin","2021-10-24T03:40:13Z"
"spotify:track:3rJDsZjIaCfJQSqRUvl0BM","Funeral","spotify:artist:1r1uxoy19fzMxunt3ONAkG","Phoebe Bridgers","spotify:album:0qWcLfCZ8wtcoOdX14oGNI","Stranger in the Alps","spotify:artist:1r1uxoy19fzMxunt3ONAkG","Phoebe Bridgers","2017-09-22","https://i.scdn.co/image/ab67616d0000b27368b90c3b34c3ac22856ddab8","1","3","232373","https://p.scdn.co/mp3-preview/040660adb58b4218aa5b010c030759ae9b97b5d3?cid=9950ac751e34487dbbe027c4fd7f8e99","false","71","USJ5G1714203","spotify:user:jeongshin","2021-10-24T03:58:54Z"
"spotify:track:7aohwSiTDju51QmC54AUba","You And I","spotify:artist:2vm8GdHyrJh2O2MfbQFYG0","Ingrid Michaelson","spotify:album:26OZ2w8TlwMUmA0GMpQL1U","Be OK","spotify:artist:2vm8GdHyrJh2O2MfbQFYG0","Ingrid Michaelson","2008-10-14","https://i.scdn.co/image/ab67616d0000b2732f9b47bdc2b1c7cae7b014af","1","10","148400","https://p.scdn.co/mp3-preview/5327d47d3f8c601cc8e783aaed138669c6331e31?cid=9950ac751e34487dbbe027c4fd7f8e99","false","65","USHM80865849","spotify:user:jeongshin","2021-10-24T05:56:17Z"
"spotify:track:3rCSLDwMorMuEV368DjHCx","Say It Ain't So - Recorded At Electric Lady Studios","spotify:artist:7MoIc5s9KXolCBH1fy9kkw","Japanese Breakfast","spotify:album:6v1WdsONXHBh8sCWCQWYUJ","Live At Electric Lady","spotify:artist:7MoIc5s9KXolCBH1fy9kkw","Japanese Breakfast","2021-10-28","https://i.scdn.co/image/ab67616d0000b273beb1ad20ad6f8cd33d3ce525","1","8","257234","https://p.scdn.co/mp3-preview/1a89628d74a18791d16d7dd11516bd4e7e0bebb4?cid=9950ac751e34487dbbe027c4fd7f8e99","false","37","USJ5G2131808","spotify:user:jeongshin","2021-11-05T23:49:49Z"
"spotify:track:6vC7mF2CXYW6MVF2voO4FU","Friday I’m In Love - Recorded at Spotify Studios NYC","spotify:artist:1r1uxoy19fzMxunt3ONAkG","Phoebe Bridgers","spotify:album:3k3IHMRB7BZEf9VEh4HZsm","Spotify Singles","spotify:artist:1r1uxoy19fzMxunt3ONAkG","Phoebe Bridgers","2018-12-05","https://i.scdn.co/image/ab67616d0000b2737f0d8f02e08bea0d24bf7d4b","1","2","220812","https://p.scdn.co/mp3-preview/3ca8b1194d4d6027077316e506999c323a474a7d?cid=9950ac751e34487dbbe027c4fd7f8e99","false","63","USJ5G1819402","spotify:user:jeongshin","2021-11-06T03:30:41Z"
"spotify:track:21JL0gpeAYgbSUmzhgSPJz","Souvenir","spotify:artist:1hLiboQ98IQWhpKeP9vRFw, spotify:artist:12zbUHbPHL5DGuJtiUfsip, spotify:artist:1r1uxoy19fzMxunt3ONAkG, spotify:artist:07D1Bjaof0NFlU32KXiqUP","boygenius, Julien Baker, Phoebe Bridgers, Lucy Dacus","spotify:album:6RjlLIuDFC8Dw91yRAdPz9","boygenius","spotify:artist:1hLiboQ98IQWhpKeP9vRFw","boygenius","2018-10-26","https://i.scdn.co/image/ab67616d0000b273aaf249e10efa3f8897df2697","1","3","212467","https://p.scdn.co/mp3-preview/aa2cfa1c117d33a0d0458f7412dad2e70217c103?cid=9950ac751e34487dbbe027c4fd7f8e99","false","67","USMTD1812083","spotify:user:jeongshin","2021-11-07T00:18:41Z"
"spotify:track:42bbDWZ8WmXTH7PkYAlGLu","Hold My Girl","spotify:artist:2ysnwxxNtSgbb9t1m2Ur4j","George Ezra","spotify:album:2NaulYO6lGXTyIzWTJvRJj","Staying at Tamara's","spotify:artist:2ysnwxxNtSgbb9t1m2Ur4j","George Ezra","2018-03-23","https://i.scdn.co/image/ab67616d0000b273103045cd1c29dd16a469f808","1","8","211763","https://p.scdn.co/mp3-preview/c17499c08f817abdd8ef82f5d79d3d0bd94dbe30?cid=9950ac751e34487dbbe027c4fd7f8e99","false","75","GBARL1701376","spotify:user:jeongshin","2021-11-07T00:44:39Z"
"spotify:track:5zdOAL1xFVSbSCKxBbuKxh","Baby Baby","spotify:artist:4AGNJdJiVltImYk1UTLE0K","Sports","spotify:album:1hBfaUAmlC3S1IOH67Vly9","Baby Baby","spotify:artist:4AGNJdJiVltImYk1UTLE0K","Sports","2020-10-16","https://i.scdn.co/image/ab67616d0000b273809900676301a9ace2577d4e","1","1","181960","https://p.scdn.co/mp3-preview/b94a581da19cc2c597a6ff2cd20bed12c53bec3b?cid=9950ac751e34487dbbe027c4fd7f8e99","false","45","QZNJV2024531","spotify:user:jeongshin","2021-11-09T21:04:56Z"
