"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At"
"spotify:track:5voLEcwp6FlI2iyonUOHXt","A Phone Call In Amsterdam","spotify:artist:7blXVKBSxdFZsIqlhdViKc","Valley","spotify:album:3IYdxVyeO6RkPU1hlv5QUs","A Phone Call In Amsterdam","spotify:artist:7blXVKBSxdFZsIqlhdViKc","Valley","2019-03-15","https://i.scdn.co/image/ab67616d0000b27352751c393628983d1bf610aa","1","1","233373","","false","0","CAUM71800223","spotify:user:jeongshin","2019-08-18T23:05:36Z"
"spotify:track:57RA3JGafJm5zRtKJiKPIm","Are You Bored Yet? (feat. Clairo)","spotify:artist:0NIPkIjTV8mB795yEIiPYL, spotify:artist:3l0CmX0FuQjFxr8SK7Vqag","Wallows, Clairo","spotify:album:7eed9MBclFPjjjvotfR2e9","Nothing Happens","spotify:artist:0NIPkIjTV8mB795yEIiPYL","Wallows","2019-03-22","https://i.scdn.co/image/ab67616d0000b27384feca0133d9a8e6539a8325","1","4","178000","https://p.scdn.co/mp3-preview/7149829d4c4645d0d4d7c9b13285879d68042a72?cid=9950ac751e34487dbbe027c4fd7f8e99","false","83","USAT21812258","spotify:user:jeongshin","2019-08-18T23:07:19Z"
"spotify:track:5CalS8Gn69OOrR9aiw0ZO9","Honeybee","spotify:artist:0n94vC3S9c3mb2HyNAOcjg","The Head And The Heart","spotify:album:27LNgTSAGxE2fitrsCukmT","Living Mirage","spotify:artist:0n94vC3S9c3mb2HyNAOcjg","The Head And The Heart","2019-05-17","https://i.scdn.co/image/ab67616d0000b273fdf544131327b836a8752713","1","4","196055","https://p.scdn.co/mp3-preview/c8dcd9cdd5eb6cb00cfa24ebbaacaa7a61edf79e?cid=9950ac751e34487dbbe027c4fd7f8e99","false","67","USRE11900108","spotify:user:jeongshin","2019-08-18T23:07:28Z"
"spotify:track:41CgzGD7xlgnJe14R4cqkL","Paris in the Rain","spotify:artist:5JZ7CnR6gTvEMKX4g70Amv","Lauv","spotify:album:7lqieLm717j9Z8JrG7POkS","I met you when I was 18. (the playlist)","spotify:artist:5JZ7CnR6gTvEMKX4g70Amv","Lauv","2018-05-31","https://i.scdn.co/image/ab67616d0000b2735355919e31efac9b14c45c49","1","2","204712","","false","3","GBWWP1703276","spotify:user:jeongshin","2019-08-18T23:19:46Z"
"spotify:track:0EAzlhtMYxRb6wbi6KnPjC","The Other","spotify:artist:5JZ7CnR6gTvEMKX4g70Amv","Lauv","spotify:album:7lqieLm717j9Z8JrG7POkS","I met you when I was 18. (the playlist)","spotify:artist:5JZ7CnR6gTvEMKX4g70Amv","Lauv","2018-05-31","https://i.scdn.co/image/ab67616d0000b2735355919e31efac9b14c45c49","1","5","189333","","false","1","TCACE1579641","spotify:user:jeongshin","2019-08-18T23:21:05Z"
"spotify:track:7FLQuyyCaIrBRqNt5l83U4","Reforget","spotify:artist:5JZ7CnR6gTvEMKX4g70Amv","Lauv","spotify:album:7lqieLm717j9Z8JrG7POkS","I met you when I was 18. (the playlist)","spotify:artist:5JZ7CnR6gTvEMKX4g70Amv","Lauv","2018-05-31","https://i.scdn.co/image/ab67616d0000b2735355919e31efac9b14c45c49","1","6","231676","","false","0","TCACH1522521","spotify:user:jeongshin","2019-08-18T23:21:08Z"
"spotify:track:732Sqj2piYPhdMPENP4axz","Easy Love","spotify:artist:5JZ7CnR6gTvEMKX4g70Amv","Lauv","spotify:album:7lqieLm717j9Z8JrG7POkS","I met you when I was 18. (the playlist)","spotify:artist:5JZ7CnR6gTvEMKX4g70Amv","Lauv","2018-05-31","https://i.scdn.co/image/ab67616d0000b2735355919e31efac9b14c45c49","1","11","224449","","false","0","GBWWP1703155","spotify:user:jeongshin","2019-08-18T23:21:13Z"
"spotify:track:2sXp9Qmvc7mRaDBjBgcGGi","Every Breath You Take - Remastered 2003","spotify:artist:5NGO30tJxFlKixkPSgXcFE","The Police","spotify:album:7yDxJXFPl88Dt9kBo0dDD6","Synchronicity","spotify:artist:5NGO30tJxFlKixkPSgXcFE","The Police","1983-06-01","https://i.scdn.co/image/ab67616d0000b273e7b53d0f9fb616521cdbfc03","1","7","253886","","false","0","GBAAM0201110","spotify:user:jeongshin","2019-08-19T00:10:47Z"
"spotify:track:4Musyaro0NM5Awx8b5c627","The Man Who Can't Be Moved","spotify:artist:3AQRLZ9PuTAozP28Skbq8V","The Script","spotify:album:51Hn2Wiq1jmUfI0BLaUhuF","The Script","spotify:artist:3AQRLZ9PuTAozP28Skbq8V","The Script","2008-09-08","https://i.scdn.co/image/ab67616d0000b273b526ba531c80ed208cd428ed","1","4","241466","https://p.scdn.co/mp3-preview/f57e04ec201a87cf73243b5279be7f5a5ee7678c?cid=9950ac751e34487dbbe027c4fd7f8e99","false","56","GBARL0800144","spotify:user:jeongshin","2019-08-20T23:36:15Z"
"spotify:track:3xqxETvPg43KWP0HOGiOmu","Something Good","spotify:artist:3XHO7cRUPCLOr6jwp8vsx5","alt-J","spotify:album:6k3vC8nep1BfqAIJ81L6OL","An Awesome Wave","spotify:artist:3XHO7cRUPCLOr6jwp8vsx5","alt-J","2012-09-18","https://i.scdn.co/image/ab67616d0000b273028c3bb4b81ee71dd73d1596","1","6","217320","https://p.scdn.co/mp3-preview/b0c4f7a8b927025c1058ce8d2ed7426a4c1a89f5?cid=9950ac751e34487dbbe027c4fd7f8e99","false","60","GBZUZ1200069","spotify:user:jeongshin","2019-08-21T21:50:53Z"
