"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At"
"spotify:track:6FCtVFA2m7j60qnlN1Sxko","Green","spotify:artist:2hR4h1Cao2ueuI7Cx9c7V8","Cavetown","spotify:album:2dJhTwaouxbcL2xjdw0zjK","Lemon Boy","spotify:artist:2hR4h1Cao2ueuI7Cx9c7V8","Cavetown","2018-01-01","https://i.scdn.co/image/ab67616d0000b273e65a91ef0329bf7dbe2d898d","1","2","270429","","false","0","uscgh1805101","spotify:user:jeongshin","2020-03-06T23:24:23Z"
"spotify:track:4N9hEsqYoTqJiN2vDpsWTg","ROSIE","spotify:artist:0JDVDA5aG4Y2wXylqghzC6","LoveLeo","spotify:album:2S37GCHP5nByNCk876jWh9","ROSIE","spotify:artist:0JDVDA5aG4Y2wXylqghzC6","LoveLeo","2020-03-06","https://i.scdn.co/image/ab67616d0000b273d2b2a8bb3f1cd1e7b3478134","1","1","147479","https://p.scdn.co/mp3-preview/e4a43cad753e6abd2ebef2563052f48898114f78?cid=9950ac751e34487dbbe027c4fd7f8e99","true","39","USUG12000688","spotify:user:jeongshin","2020-03-06T23:30:37Z"
"spotify:track:3WmgMoWZ1E5yNyn2aUzWAr","BOYFREN","spotify:artist:0JDVDA5aG4Y2wXylqghzC6","LoveLeo","spotify:album:0wgevfr942iLPDrYSG3GuN","BOYFREN","spotify:artist:0JDVDA5aG4Y2wXylqghzC6","LoveLeo","2020-01-10","https://i.scdn.co/image/ab67616d0000b27334d3849cf39cd99ce2a27b8b","1","1","136955","https://p.scdn.co/mp3-preview/3f7db679206d4850950432566bd8092607c8ed01?cid=9950ac751e34487dbbe027c4fd7f8e99","false","56","QM38F1900019","spotify:user:jeongshin","2020-03-06T23:32:27Z"
"spotify:track:7I1kle4TNmkfednJDKo8GR","If You Want To","spotify:artist:35l9BRT7MXmM8bv2WDQiyB","beabadoobee","spotify:album:7zPBy6Rjmijd4p8drmQPu7","Patched Up","spotify:artist:35l9BRT7MXmM8bv2WDQiyB","beabadoobee","2018-12-07","https://i.scdn.co/image/ab67616d0000b273fe11583497b2a332995b88ed","1","5","223638","https://p.scdn.co/mp3-preview/629cbdbdb164f20ce1a4dd564798d2f9613eae6d?cid=9950ac751e34487dbbe027c4fd7f8e99","false","64","GBK3W1800913","spotify:user:jeongshin","2020-03-06T23:36:43Z"
"spotify:track:0tpsGNKhQwqTlj2XZ03ql2","Blue Cellophane","spotify:artist:07Asx51VtMw5kbNXKrpZlq","BabyJake","spotify:album:4OfgZO9nnAjfwA1ez25pCg","Blue Cellophane","spotify:artist:07Asx51VtMw5kbNXKrpZlq","BabyJake","2019-11-15","https://i.scdn.co/image/ab67616d0000b2732abf994ede9d40b045950d1f","1","1","181200","","false","0","USUG11903997","spotify:user:jeongshin","2020-03-07T01:04:08Z"
"spotify:track:7d6MywFjsWZuDdpGOa6orT","Cupid","spotify:artist:60NNvDqsif0u40CXMV6jDQ","Ryan Beatty","spotify:album:2JCzwyBkW4xUNs35vlG3mn","Boy in Jeans","spotify:artist:60NNvDqsif0u40CXMV6jDQ","Ryan Beatty","2018-07-20","https://i.scdn.co/image/ab67616d0000b273f5836791fd265b08343034cd","1","3","175324","https://p.scdn.co/mp3-preview/16faea3a7026a3395e2da53ff0751d0b9148bda2?cid=9950ac751e34487dbbe027c4fd7f8e99","true","47","USUG11800917","spotify:user:jeongshin","2020-03-07T01:52:24Z"
"spotify:track:77louqSyp5KhwleVBa0nPW","Love Affair","spotify:artist:4ClziihVpBeFXNyDH83Lde","UMI","spotify:album:6FkUnwT6WUxtMPPm4mJpPA","Love Language","spotify:artist:4ClziihVpBeFXNyDH83Lde","UMI","2019-10-30","https://i.scdn.co/image/ab67616d0000b273ebe4580c70e235a7c7432dfc","1","1","190960","","false","0","QZHTD1900004","spotify:user:jeongshin","2020-03-07T02:08:38Z"
"spotify:track:2nUqSe3heoIkKnqbteZxPm","Cannonball","spotify:artist:0knGpCTbmG4ctl1wzYRZs4","Dijon","spotify:album:1klBQKiE7uTZbawaBS6dlz","Sci Fi 1","spotify:artist:0knGpCTbmG4ctl1wzYRZs4","Dijon","2019-03-01","https://i.scdn.co/image/ab67616d0000b2736badb46153f9bb6d8491c54b","1","2","159149","https://p.scdn.co/mp3-preview/fb9b2cd7a75d11b0e7b8013aa7d1e642d1de68dc?cid=9950ac751e34487dbbe027c4fd7f8e99","false","32","USWB11900401","spotify:user:jeongshin","2020-03-08T23:19:10Z"
"spotify:track:4e5VTQOYAarg46eociDvZZ","Wash It All Away","spotify:artist:0Ou0138wEd8XWebhc4j7O0","San Cisco","spotify:album:1rpLjvQfzQAeZuRVpyMkh4","Gracetown","spotify:artist:0Ou0138wEd8XWebhc4j7O0","San Cisco","2015-03-06","https://i.scdn.co/image/ab67616d0000b2738d06ed4253e7cffac24d973b","1","5","218774","https://p.scdn.co/mp3-preview/d134a2cb764a2113bc802eba0473b53b0714b17a?cid=9950ac751e34487dbbe027c4fd7f8e99","false","35","AUU221400005","spotify:user:jeongshin","2020-03-08T23:19:35Z"
"spotify:track:07aErit0MWGEqyhCwxmt3u","TV Blues","spotify:artist:0knGpCTbmG4ctl1wzYRZs4","Dijon","spotify:album:1klBQKiE7uTZbawaBS6dlz","Sci Fi 1","spotify:artist:0knGpCTbmG4ctl1wzYRZs4","Dijon","2019-03-01","https://i.scdn.co/image/ab67616d0000b2736badb46153f9bb6d8491c54b","1","5","113870","https://p.scdn.co/mp3-preview/465f72e025982838bc94d29f7388c4eb58136d5e?cid=9950ac751e34487dbbe027c4fd7f8e99","false","34","USWB11900633","spotify:user:jeongshin","2020-03-08T23:32:09Z"
"spotify:track:2d3QlXE6FXFDeodiS66yjM","Weekend Friend","spotify:artist:7o96HO2zrujyATtVsqGhh3","Goth Babe","spotify:album:1U2tk4b49drBLpt9GJ9kPc","Weekend Friend","spotify:artist:7o96HO2zrujyATtVsqGhh3","Goth Babe","2019-01-19","https://i.scdn.co/image/ab67616d0000b273a82585185aa1139839d0f9ec","1","1","209454","https://p.scdn.co/mp3-preview/d409f7aa5726df46856b7c0dc9d8cd90a09d3e1d?cid=9950ac751e34487dbbe027c4fd7f8e99","false","69","TCAEB1915747","spotify:user:jeongshin","2020-03-09T00:39:48Z"
"spotify:track:5Ce9z7GqSknXccyppRxNLY","Thief","spotify:artist:1HQGhla3VNj1dBmKTtVT2t","Ookay","spotify:album:1TEDJMksfymmVbEpa3pG26","Thief","spotify:artist:1HQGhla3VNj1dBmKTtVT2t","Ookay","2016-09-02","https://i.scdn.co/image/ab67616d0000b2737ab69ead324ebd9a3b629a63","1","1","239711","https://p.scdn.co/mp3-preview/2f5fae9cddf608dd2afc621887a3ae49e0be62d7?cid=9950ac751e34487dbbe027c4fd7f8e99","false","57","USUG11600668","spotify:user:jeongshin","2020-03-09T08:44:20Z"
"spotify:track:0R6UBiz3fJk4lxhKR5799F","STAINS","spotify:artist:1Bl6wpkWCQ4KVgnASpvzzA","BROCKHAMPTON","spotify:album:5c2AzoNyr46fCQM5d8mxE0","SATURATION III","spotify:artist:1Bl6wpkWCQ4KVgnASpvzzA","BROCKHAMPTON","2017-12-15","https://i.scdn.co/image/ab67616d0000b273ef51817e6a6563b6f7ce5872","1","13","179150","https://p.scdn.co/mp3-preview/b858b9f908b5f9775a88583890635b059d6e0b02?cid=9950ac751e34487dbbe027c4fd7f8e99","true","50","USUYG1167877","spotify:user:jeongshin","2020-03-09T22:14:00Z"
"spotify:track:1QYpYXj7uPYa0obpLF0HFW","MICHIGAN","spotify:artist:1Bl6wpkWCQ4KVgnASpvzzA","BROCKHAMPTON","spotify:album:48IFY1wERoy8Lac5FuXHpc","ALL-AMERICAN TRASH","spotify:artist:1Bl6wpkWCQ4KVgnASpvzzA","BROCKHAMPTON","2016-04-11","https://i.scdn.co/image/ab67616d0000b27346fc3effbd1b9af4c69019ac","1","3","183562","https://p.scdn.co/mp3-preview/97ab6791ef1071f28fb8830c536abfa765fd12da?cid=9950ac751e34487dbbe027c4fd7f8e99","true","43","USUYG1098358","spotify:user:jeongshin","2020-03-10T00:43:16Z"
"spotify:track:7dQLzGuOPiJ4h6sI3MXW4j","PALACE","spotify:artist:1Bl6wpkWCQ4KVgnASpvzzA","BROCKHAMPTON","spotify:album:48IFY1wERoy8Lac5FuXHpc","ALL-AMERICAN TRASH","spotify:artist:1Bl6wpkWCQ4KVgnASpvzzA","BROCKHAMPTON","2016-04-11","https://i.scdn.co/image/ab67616d0000b27346fc3effbd1b9af4c69019ac","1","8","248555","https://p.scdn.co/mp3-preview/400b94b3441c59c9816f14b824011422572c023e?cid=9950ac751e34487dbbe027c4fd7f8e99","true","46","USUYG1098569","spotify:user:jeongshin","2020-03-10T00:47:26Z"
"spotify:track:4J4rJEaVpgr2tHwX6Jd13H","that's just how it goes","spotify:artist:1dy5WNgIKQU6ezkpZs4y8z","ROLE MODEL","spotify:album:5xNYe96E1oMXdS1FdboZZv","oh, how perfect","spotify:artist:1dy5WNgIKQU6ezkpZs4y8z","ROLE MODEL","2019-11-13","https://i.scdn.co/image/ab67616d0000b273ab8bafa6da1f2e4c6cbfabfc","1","3","166400","https://p.scdn.co/mp3-preview/1e1fc2bc7ad1d6bc0c01840362f47d71d7d499a9?cid=9950ac751e34487dbbe027c4fd7f8e99","false","54","USUM71922184","spotify:user:jeongshin","2020-03-13T21:14:26Z"
"spotify:track:5z14e4rPImlgk40W33dt0U","Nikes On","spotify:artist:2Yhge9MsE7qKcV0eWsuuHM","Healy","spotify:album:1g3OgxosiUiccwisdf8mI1","Nikes On","spotify:artist:2Yhge9MsE7qKcV0eWsuuHM","Healy","2020-03-05","https://i.scdn.co/image/ab67616d0000b273b1d40f40ef2d158ce51b9235","1","1","162289","https://p.scdn.co/mp3-preview/4ec816e9544a8aa059fb7d85a3b8ef5ed5dbc20c?cid=9950ac751e34487dbbe027c4fd7f8e99","false","47","USRC12000524","spotify:user:jeongshin","2020-03-15T05:18:55Z"
"spotify:track:4PAaJhFkM25JSSkFcqjyxC","Picture Perfect","spotify:artist:4ClziihVpBeFXNyDH83Lde","UMI","spotify:album:4X3zGeBgtrv21QgWyeaPFm","Picture Perfect","spotify:artist:4ClziihVpBeFXNyDH83Lde","UMI","2020-02-09","https://i.scdn.co/image/ab67616d0000b273a0ce5359f32d2e94b94a77c7","1","1","187157","https://p.scdn.co/mp3-preview/7759f1b7c98b0e3b5c95df9a24ad86ede76315e5?cid=9950ac751e34487dbbe027c4fd7f8e99","false","39","USRC12000507","spotify:user:jeongshin","2020-03-16T21:59:07Z"
"spotify:track:5um6nVb74gOzBAuff2Pg5o","Runnin’ Feat. Yeek","spotify:artist:4ClziihVpBeFXNyDH83Lde, spotify:artist:5BhFZpE8kUGZJiKOsYjLQM","UMI, Yeek","spotify:album:6FkUnwT6WUxtMPPm4mJpPA","Love Language","spotify:artist:4ClziihVpBeFXNyDH83Lde","UMI","2019-10-30","https://i.scdn.co/image/ab67616d0000b273ebe4580c70e235a7c7432dfc","1","3","189773","","false","0","QZHTD1900006","spotify:user:jeongshin","2020-03-16T22:06:41Z"
"spotify:track:5tII7QuBz23oWz1TuB95OI","Let Go","spotify:artist:4S4kD5NBlgaq4YLBQSEMyY","Mali Music","spotify:album:01NhRTeeQXKasJl383Cyle","Let Go","spotify:artist:4S4kD5NBlgaq4YLBQSEMyY","Mali Music","2020-01-31","https://i.scdn.co/image/ab67616d0000b2731d61461010541788be54dcf9","1","1","224776","https://p.scdn.co/mp3-preview/6fbc9ec4fa9750daa22114defd0c4ea6e26f9efa?cid=9950ac751e34487dbbe027c4fd7f8e99","false","24","USA5W2000002","spotify:user:jeongshin","2020-03-17T05:51:28Z"
"spotify:track:2QDFsehUg5Fui2LOVpCw3Q","Risk","spotify:artist:2FwDTncULUnmANIh7qKa5z, spotify:artist:70gP6Ry4Uo0Yx6uzPIdaiJ","FKJ, Bas","spotify:album:2yCpdo20DhxBEPsyt8RUz6","Risk","spotify:artist:2FwDTncULUnmANIh7qKa5z, spotify:artist:70gP6Ry4Uo0Yx6uzPIdaiJ","FKJ, Bas","2019-11-05","https://i.scdn.co/image/ab67616d0000b273f73268b2a95c47354d2d14fd","1","1","238834","https://p.scdn.co/mp3-preview/c8f3fe0106d1bf596af0133db1babc3936c2a308?cid=9950ac751e34487dbbe027c4fd7f8e99","false","56","GBKPL1970169","spotify:user:jeongshin","2020-03-17T19:49:18Z"
"spotify:track:0tjRCx5b9A0ZEU35HQ8UWS","Puerto Rican (feat. Patches)","spotify:artist:1dy5WNgIKQU6ezkpZs4y8z, spotify:artist:3edkXzqOo7l3crwzuE9UlV","ROLE MODEL, Patches","spotify:album:2buzfrdp52W9qwjTqMJRAa","Puerto Rican (feat. Patches)","spotify:artist:1dy5WNgIKQU6ezkpZs4y8z","ROLE MODEL","2017-07-23","https://i.scdn.co/image/ab67616d0000b2735e0ec486a7ac21b104cf09dd","1","1","175609","https://p.scdn.co/mp3-preview/a7b955bd10e919f97c70480b577a1946936b81ca?cid=9950ac751e34487dbbe027c4fd7f8e99","true","35","USLD91710226","spotify:user:jeongshin","2020-03-18T00:23:50Z"
"spotify:track:1pu4luiWwVAcJRoCuqJfWg","God in Jeans","spotify:artist:60NNvDqsif0u40CXMV6jDQ","Ryan Beatty","spotify:album:2JCzwyBkW4xUNs35vlG3mn","Boy in Jeans","spotify:artist:60NNvDqsif0u40CXMV6jDQ","Ryan Beatty","2018-07-20","https://i.scdn.co/image/ab67616d0000b273f5836791fd265b08343034cd","1","8","172210","https://p.scdn.co/mp3-preview/e1be496320fdf60ca187210733eb48aa14748b18?cid=9950ac751e34487dbbe027c4fd7f8e99","false","44","USUG11800923","spotify:user:jeongshin","2020-03-18T19:14:47Z"
"spotify:track:2PrZtwwm4jY8mtGLoEmvGY","Money","spotify:artist:60NNvDqsif0u40CXMV6jDQ","Ryan Beatty","spotify:album:2JCzwyBkW4xUNs35vlG3mn","Boy in Jeans","spotify:artist:60NNvDqsif0u40CXMV6jDQ","Ryan Beatty","2018-07-20","https://i.scdn.co/image/ab67616d0000b273f5836791fd265b08343034cd","1","7","245574","https://p.scdn.co/mp3-preview/6eef5b8db0375dcce232b94903ef4bce55926af2?cid=9950ac751e34487dbbe027c4fd7f8e99","true","29","USUG11800922","spotify:user:jeongshin","2020-03-18T19:37:48Z"
"spotify:track:6kWxIqQDsKFYCJGbU4AjCX","Hardest To Love","spotify:artist:1Xyo4u8uXC1ZmMpatF05PJ","The Weeknd","spotify:album:4yP0hdKOZPNshxUOjY0cZj","After Hours","spotify:artist:1Xyo4u8uXC1ZmMpatF05PJ","The Weeknd","2020-03-20","https://i.scdn.co/image/ab67616d0000b2738863bc11d2aa12b54f5aeb36","1","3","211400","https://p.scdn.co/mp3-preview/0271808f406491a32f3ca28e11aa5faf600adf88?cid=9950ac751e34487dbbe027c4fd7f8e99","true","69","USUG12000652","spotify:user:jeongshin","2020-03-20T08:11:25Z"
"spotify:track:165cwz4wGlGz0uDBhxdKLY","Right","spotify:artist:4LLpKhyESsyAXpc4laK94U","Mac Miller","spotify:album:1YZ3k65Mqw3G8FzYlW1mmp","Circles (Deluxe)","spotify:artist:4LLpKhyESsyAXpc4laK94U","Mac Miller","2020-03-19","https://i.scdn.co/image/ab67616d0000b2738cbe65eb023c2f2b5cdf5a91","1","13","287871","https://p.scdn.co/mp3-preview/8933587b1744634f007955f9949026cf5673914b?cid=9950ac751e34487dbbe027c4fd7f8e99","false","63","USWB12000002","spotify:user:jeongshin","2020-03-20T08:21:52Z"
"spotify:track:2BCBJzP7PQ3QlI1lrPdOVX","This Universe","spotify:artist:4ClziihVpBeFXNyDH83Lde","UMI","spotify:album:0VF7coFlhDZnrmu7TYbDhO","Interlude","spotify:artist:4ClziihVpBeFXNyDH83Lde","UMI","2018-01-25","https://i.scdn.co/image/ab67616d0000b2738bbcaad264f5cd63a7ae1b52","1","3","188029","https://p.scdn.co/mp3-preview/5b88568698d77631b29aaf54bdeb83f1dfab8efe?cid=9950ac751e34487dbbe027c4fd7f8e99","false","39","QZAPG1887296","spotify:user:jeongshin","2020-03-20T22:04:42Z"
"spotify:track:13ohpzdtJcFgRyxLLQ1ftY","Salt And The Sea - Recorded at Electric Lady Studios NYC","spotify:artist:16oZKvXb6WkQlVAjwo2Wbg","The Lumineers","spotify:album:6zsyF9yFf1KzJIt4mJJNzj","Spotify Singles","spotify:artist:16oZKvXb6WkQlVAjwo2Wbg","The Lumineers","2020-03-18","https://i.scdn.co/image/ab67616d0000b273367bf377257ddd4878cc27fe","1","1","314762","https://p.scdn.co/mp3-preview/5f1ac78ea7f71978329609a13f062417a34ac286?cid=9950ac751e34487dbbe027c4fd7f8e99","false","34","USDMG2012801","spotify:user:jeongshin","2020-03-21T20:44:50Z"
"spotify:track:5QzdYVqeAPnlBfbuJQ2AaO","Down to Earth","spotify:artist:4ClziihVpBeFXNyDH83Lde","UMI","spotify:album:71Q44PCgBGD6QyxI12jJNy","Balance","spotify:artist:4ClziihVpBeFXNyDH83Lde","UMI","2019-05-17","https://i.scdn.co/image/ab67616d0000b2733db6e88d30accc3d3bae2e43","1","2","201933","https://p.scdn.co/mp3-preview/bca61041007e0b8362e764d63f8f74005e3ed149?cid=9950ac751e34487dbbe027c4fd7f8e99","false","54","QZES91922700","spotify:user:jeongshin","2020-03-22T20:25:36Z"
"spotify:track:630Ug0XtmhhFvAKo0PNuEI","Remember Me","spotify:artist:4ClziihVpBeFXNyDH83Lde","UMI","spotify:album:4iLi0ZWdcYtCZvsXZHTRLx","Remember Me","spotify:artist:4ClziihVpBeFXNyDH83Lde","UMI","2018-10-08","https://i.scdn.co/image/ab67616d0000b2732b2fe53607e28f85e928fd14","1","1","199226","https://p.scdn.co/mp3-preview/e9aa5e7cfd93f61bdd7ec20be793f30787738564?cid=9950ac751e34487dbbe027c4fd7f8e99","false","66","UST8K1847614","spotify:user:jeongshin","2020-03-23T00:12:17Z"
"spotify:track:5qs6o1hw7dCLZhJotgRNfn","Violence)","spotify:artist:0knGpCTbmG4ctl1wzYRZs4","Dijon","spotify:album:5tx6zpnmXeaXBM1NCWkh6h","Violence)","spotify:artist:0knGpCTbmG4ctl1wzYRZs4","Dijon","2017-12-22","https://i.scdn.co/image/ab67616d0000b273f1b8eb021176330259e687fa","1","1","205500","https://p.scdn.co/mp3-preview/5005f0ebdce46b3f8771b762d87867d8cb31d409?cid=9950ac751e34487dbbe027c4fd7f8e99","false","47","TCADK1737404","spotify:user:jeongshin","2020-03-25T21:54:13Z"
