"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At"
"spotify:track:5WvDO1ZKap15ehQeNRHJ9H","Uno","spotify:artist:7pbDxGE6nQSZVfiFdq9lOL","Rex Orange County","spotify:album:10KjUArbSYS7VCcTNbnVxS","Uno","spotify:artist:7pbDxGE6nQSZVfiFdq9lOL","Rex Orange County","2016-11-17","https://i.scdn.co/image/ab67616d0000b273cee03c1058660cb81dad56a2","1","1","171789","","true","0","US23A1500318","spotify:user:jeongshin","2019-12-04T03:05:59Z"
"spotify:track:47Bg6IrMed1GPbxRgwH2aC","Best Friend","spotify:artist:7pbDxGE6nQSZVfiFdq9lOL","Rex Orange County","spotify:album:51pSyGziPFv8ajzF7ilUAr","Best Friend","spotify:artist:7pbDxGE6nQSZVfiFdq9lOL","Rex Orange County","2017-01-25","https://i.scdn.co/image/ab67616d0000b27333a6b45fa8354efe37633964","1","1","262231","","true","2","US23A1500387","spotify:user:jeongshin","2019-12-04T03:06:11Z"
"spotify:track:4EpZ4eYuZOwPSSwyqpdHnJ","Sunflower","spotify:artist:7pbDxGE6nQSZVfiFdq9lOL","Rex Orange County","spotify:album:1FhmTMNe8AziAPkB29114F","Sunflower","spotify:artist:7pbDxGE6nQSZVfiFdq9lOL","Rex Orange County","2017-03-22","https://i.scdn.co/image/ab67616d0000b27315f4cfd072793fa7532e674a","1","1","252230","","true","2","US23A1500468","spotify:user:jeongshin","2019-12-04T03:06:16Z"
"spotify:track:1wz7B02oOtrTW6SNLG0cSk","Edition","spotify:artist:7pbDxGE6nQSZVfiFdq9lOL","Rex Orange County","spotify:album:6Do68lYD1UfOmeBYtsxF18","Edition","spotify:artist:7pbDxGE6nQSZVfiFdq9lOL","Rex Orange County","2017-09-12","https://i.scdn.co/image/ab67616d0000b273509cef30f965f28a3a649afa","1","1","115000","","true","0","GBKPL1788103","spotify:user:jeongshin","2019-12-04T03:06:26Z"
"spotify:track:5EYi2rH4LYs6M21ZLOyQTx","Loving Is Easy (feat. Benny Sings)","spotify:artist:7pbDxGE6nQSZVfiFdq9lOL, spotify:artist:4gHcu2JoaXJ0mV4aNPCd7N","Rex Orange County, Benny Sings","spotify:album:4D6BtgzCwuJx9omikqA8Rg","Loving Is Easy (feat. Benny Sings)","spotify:artist:7pbDxGE6nQSZVfiFdq9lOL, spotify:artist:4gHcu2JoaXJ0mV4aNPCd7N","Rex Orange County, Benny Sings","2017-10-11","https://i.scdn.co/image/ab67616d0000b2730165d0189ec5f74ca96c3137","1","1","155720","","true","2","GBKPL1789493","spotify:user:jeongshin","2019-12-04T03:06:32Z"
"spotify:track:446imtjItCGwAmXySZG2FS","You've Got a Friend in Me","spotify:artist:7pbDxGE6nQSZVfiFdq9lOL, spotify:artist:3HQyFCFFfJO3KKBlUfZsyW","Rex Orange County, Randy Newman","spotify:album:2zCvRv41iZ52TYSy1OHnDl","You've Got a Friend in Me","spotify:artist:7pbDxGE6nQSZVfiFdq9lOL, spotify:artist:3HQyFCFFfJO3KKBlUfZsyW","Rex Orange County, Randy Newman","2018-05-31","https://i.scdn.co/image/ab67616d0000b27365cc059b3bbb25b79a8679c0","1","1","139521","","false","0","GBWWP1803971","spotify:user:jeongshin","2019-12-04T03:06:37Z"
"spotify:track:22vU1n5k6pOuY6VOnQo3oz","Paradise","spotify:artist:7pbDxGE6nQSZVfiFdq9lOL","Rex Orange County","spotify:album:32wYrmt3fg2c8maA80Ioc2","Bcos U Will Never B Free","spotify:artist:7pbDxGE6nQSZVfiFdq9lOL","Rex Orange County","2016-11-07","https://i.scdn.co/image/ab67616d0000b273dbf3c10406ac999c39bf4a97","1","2","217500","","true","0","US23A1500298","spotify:user:jeongshin","2019-12-04T03:06:48Z"
"spotify:track:7fxHpjrR6YwyFcp19P6tv6","Belly (The Grass Stains)","spotify:artist:7pbDxGE6nQSZVfiFdq9lOL","Rex Orange County","spotify:album:32wYrmt3fg2c8maA80Ioc2","Bcos U Will Never B Free","spotify:artist:7pbDxGE6nQSZVfiFdq9lOL","Rex Orange County","2016-11-07","https://i.scdn.co/image/ab67616d0000b273dbf3c10406ac999c39bf4a97","1","3","259735","","true","0","US23A1500299","spotify:user:jeongshin","2019-12-04T03:06:48Z"
"spotify:track:02tvc9CFnTyHuSRlGeNv9w","Corduroy Dreams","spotify:artist:7pbDxGE6nQSZVfiFdq9lOL","Rex Orange County","spotify:album:32wYrmt3fg2c8maA80Ioc2","Bcos U Will Never B Free","spotify:artist:7pbDxGE6nQSZVfiFdq9lOL","Rex Orange County","2016-11-07","https://i.scdn.co/image/ab67616d0000b273dbf3c10406ac999c39bf4a97","1","4","206974","","true","1","US23A1500300","spotify:user:jeongshin","2019-12-04T03:06:48Z"
"spotify:track:0HzGiz4mcF77yGK4WsRAZz","Japan","spotify:artist:7pbDxGE6nQSZVfiFdq9lOL","Rex Orange County","spotify:album:32wYrmt3fg2c8maA80Ioc2","Bcos U Will Never B Free","spotify:artist:7pbDxGE6nQSZVfiFdq9lOL","Rex Orange County","2016-11-07","https://i.scdn.co/image/ab67616d0000b273dbf3c10406ac999c39bf4a97","1","5","106304","","true","0","US23A1500301","spotify:user:jeongshin","2019-12-04T03:06:48Z"
"spotify:track:70iAPmTJ1w6QQq4zMYmFBy","Portrait of Ned","spotify:artist:7pbDxGE6nQSZVfiFdq9lOL","Rex Orange County","spotify:album:32wYrmt3fg2c8maA80Ioc2","Bcos U Will Never B Free","spotify:artist:7pbDxGE6nQSZVfiFdq9lOL","Rex Orange County","2016-11-07","https://i.scdn.co/image/ab67616d0000b273dbf3c10406ac999c39bf4a97","1","6","113207","","true","0","US23A1500302","spotify:user:jeongshin","2019-12-04T03:06:48Z"
"spotify:track:6Jl3ZOX6MUOlyoUc721bsX","A Song About Being Sad","spotify:artist:7pbDxGE6nQSZVfiFdq9lOL","Rex Orange County","spotify:album:32wYrmt3fg2c8maA80Ioc2","Bcos U Will Never B Free","spotify:artist:7pbDxGE6nQSZVfiFdq9lOL","Rex Orange County","2016-11-07","https://i.scdn.co/image/ab67616d0000b273dbf3c10406ac999c39bf4a97","1","8","136000","","true","0","US23A1500304","spotify:user:jeongshin","2019-12-04T03:06:48Z"
"spotify:track:5UEURoNHyyLDFffVGCt07b","Know Love","spotify:artist:7pbDxGE6nQSZVfiFdq9lOL","Rex Orange County","spotify:album:32wYrmt3fg2c8maA80Ioc2","Bcos U Will Never B Free","spotify:artist:7pbDxGE6nQSZVfiFdq9lOL","Rex Orange County","2016-11-07","https://i.scdn.co/image/ab67616d0000b273dbf3c10406ac999c39bf4a97","1","9","241000","","true","0","US23A1500305","spotify:user:jeongshin","2019-12-04T03:06:48Z"
"spotify:track:4er6Q82hKq0wGD0Fv1fiyu","Curfew...","spotify:artist:7pbDxGE6nQSZVfiFdq9lOL","Rex Orange County","spotify:album:32wYrmt3fg2c8maA80Ioc2","Bcos U Will Never B Free","spotify:artist:7pbDxGE6nQSZVfiFdq9lOL","Rex Orange County","2016-11-07","https://i.scdn.co/image/ab67616d0000b273dbf3c10406ac999c39bf4a97","1","10","104000","","true","0","US23A1500306","spotify:user:jeongshin","2019-12-04T03:06:48Z"
"spotify:track:28GbaBYFpYi1J61fXnGSfd","Apricot Princess","spotify:artist:7pbDxGE6nQSZVfiFdq9lOL","Rex Orange County","spotify:album:2NBVxjZcbH5H1N1Ab2ExDH","Apricot Princess","spotify:artist:7pbDxGE6nQSZVfiFdq9lOL","Rex Orange County","2017-04-26","https://i.scdn.co/image/ab67616d0000b27394c6cd33b8be451c2372c6fa","1","1","238480","","true","0","US23A1500496","spotify:user:jeongshin","2019-12-04T03:06:54Z"
"spotify:track:5OUTFH5acycdnf8OVo21Gv","Television / So Far So Good","spotify:artist:7pbDxGE6nQSZVfiFdq9lOL","Rex Orange County","spotify:album:2NBVxjZcbH5H1N1Ab2ExDH","Apricot Princess","spotify:artist:7pbDxGE6nQSZVfiFdq9lOL","Rex Orange County","2017-04-26","https://i.scdn.co/image/ab67616d0000b27394c6cd33b8be451c2372c6fa","1","2","262600","","true","1","US23A1500497","spotify:user:jeongshin","2019-12-04T03:06:54Z"
"spotify:track:3rIKurK8njiyQvZQsSU6bl","Nothing","spotify:artist:7pbDxGE6nQSZVfiFdq9lOL, spotify:artist:2hnEiOVSXzO81ruLVH0KUR","Rex Orange County, Marco McKinnis","spotify:album:2NBVxjZcbH5H1N1Ab2ExDH","Apricot Princess","spotify:artist:7pbDxGE6nQSZVfiFdq9lOL","Rex Orange County","2017-04-26","https://i.scdn.co/image/ab67616d0000b27394c6cd33b8be451c2372c6fa","1","3","293346","","true","0","US23A1500498","spotify:user:jeongshin","2019-12-04T03:06:54Z"
"spotify:track:3ijXR4yXgN43eF54uK7oos","Sycamore Girl","spotify:artist:7pbDxGE6nQSZVfiFdq9lOL","Rex Orange County","spotify:album:2NBVxjZcbH5H1N1Ab2ExDH","Apricot Princess","spotify:artist:7pbDxGE6nQSZVfiFdq9lOL","Rex Orange County","2017-04-26","https://i.scdn.co/image/ab67616d0000b27394c6cd33b8be451c2372c6fa","1","4","280333","","true","0","US23A1500499","spotify:user:jeongshin","2019-12-04T03:06:54Z"
"spotify:track:3PbV3ocgAp3Xn0omGFC0cG","Untitled","spotify:artist:7pbDxGE6nQSZVfiFdq9lOL","Rex Orange County","spotify:album:2NBVxjZcbH5H1N1Ab2ExDH","Apricot Princess","spotify:artist:7pbDxGE6nQSZVfiFdq9lOL","Rex Orange County","2017-04-26","https://i.scdn.co/image/ab67616d0000b27394c6cd33b8be451c2372c6fa","1","5","135706","","true","0","US23A1500493","spotify:user:jeongshin","2019-12-04T03:06:54Z"
