"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At"
"spotify:track:0IsApb8Y5tQT0MNBKIncja","Trying","spotify:artist:2efrqekWSHlvhATD50AG3m","Orion Sun","spotify:album:4Y9r8QQYroasHOYHUwCeSB","Hold Space For Me","spotify:artist:2efrqekWSHlvhATD50AG3m","Orion Sun","2020-03-27","https://i.scdn.co/image/ab67616d0000b273600c6207f4192b69a3df5bd3","1","2","175280","https://p.scdn.co/mp3-preview/53d4fcf306936700eae8b457c5e14a8ce58c97c2?cid=9950ac751e34487dbbe027c4fd7f8e99","false","36","USQE91600016","spotify:user:jeongshin","2021-01-27T22:40:59Z"
"spotify:track:2EPuv7zyLpFqReJoYrIFzm","Jupiter","spotify:artist:2sSGPbdZJkaSE2AbcGOACx","The Marías","spotify:album:3U7jdirSqKYriJCSIucl10","Jupiter","spotify:artist:2sSGPbdZJkaSE2AbcGOACx","The Marías","2020-03-20","https://i.scdn.co/image/ab67616d0000b273e3e6a00e091d1a83ef701d82","1","1","191888","https://p.scdn.co/mp3-preview/940a33b6e6d1439e3b2f5a350ec97fd3a2a95d21?cid=9950ac751e34487dbbe027c4fd7f8e99","false","53","USAT22000435","spotify:user:jeongshin","2021-01-29T03:38:05Z"
"spotify:track:4S6PolgPZ5OLph314ww8Fg","Eugene","spotify:artist:4kIwETcbpuFgRukE8o7Opx","Arlo Parks","spotify:album:7FJKoKn7zy2OET6KtiJJp7","Eugene","spotify:artist:4kIwETcbpuFgRukE8o7Opx","Arlo Parks","2020-02-11","https://i.scdn.co/image/ab67616d0000b2735fcd8793a97f15b365235441","1","1","221804","https://p.scdn.co/mp3-preview/d0b59fe8c587a6ff3afd53de1514ba1ccfe62021?cid=9950ac751e34487dbbe027c4fd7f8e99","true","57","GBKZV1900097","spotify:user:jeongshin","2021-01-30T19:29:41Z"
"spotify:track:6xTp4nC8NBRSYMxGqIikSh","Caroline","spotify:artist:4kIwETcbpuFgRukE8o7Opx","Arlo Parks","spotify:album:42joEEymK7EIHODfNB4yug","Collapsed In Sunbeams","spotify:artist:4kIwETcbpuFgRukE8o7Opx","Arlo Parks","2021-01-29","https://i.scdn.co/image/ab67616d0000b2730f5b85c5d4a8131d01aca941","1","5","216933","https://p.scdn.co/mp3-preview/8f723fd3954fe03cf187a937e9bc0cef9021097e?cid=9950ac751e34487dbbe027c4fd7f8e99","false","59","GBKZV2000122","spotify:user:jeongshin","2021-01-30T20:18:59Z"
"spotify:track:2T8OC0ciyqQWxvrHShD6iT","For Violet","spotify:artist:4kIwETcbpuFgRukE8o7Opx","Arlo Parks","spotify:album:42joEEymK7EIHODfNB4yug","Collapsed In Sunbeams","spotify:artist:4kIwETcbpuFgRukE8o7Opx","Arlo Parks","2021-01-29","https://i.scdn.co/image/ab67616d0000b2730f5b85c5d4a8131d01aca941","1","9","212720","https://p.scdn.co/mp3-preview/0917d62b0eb76bf9b4c1663a1cdcc06f5ee7f709?cid=9950ac751e34487dbbe027c4fd7f8e99","false","39","GBKZV2000124","spotify:user:jeongshin","2021-01-30T20:35:22Z"
"spotify:track:5XHgo8eXtKTK0xLKMNiOll","Out for the Night - Live","spotify:artist:2sSGPbdZJkaSE2AbcGOACx","The Marías","spotify:album:2s78J6JYJo0kGRZTuDQNNh","Out for the Night (Live)","spotify:artist:2sSGPbdZJkaSE2AbcGOACx","The Marías","2019-12-11","https://i.scdn.co/image/ab67616d0000b27351a17b5a4427adaf9e6aca4f","1","1","293683","https://p.scdn.co/mp3-preview/57e8a3583b06218043ce2888b5cdd26932c445ff?cid=9950ac751e34487dbbe027c4fd7f8e99","false","51","QZK6Q1925725","spotify:user:jeongshin","2021-02-01T00:41:43Z"
"spotify:track:6bY9E9A8OS2SN3OsgpigqY","Napster","spotify:artist:7vNNmjV14SKQzlQAEg0BXP","Jean Dawson","spotify:album:6YJHZfZHLAuwCfBN5FbzPI","Bad Sports","spotify:artist:7vNNmjV14SKQzlQAEg0BXP","Jean Dawson","2019-05-17","https://i.scdn.co/image/ab67616d0000b273bfc550f3289822c144d96fda","1","2","156794","https://p.scdn.co/mp3-preview/817fc33b8cb3cd9ff4c921d6716d47af4bf7fd3d?cid=9950ac751e34487dbbe027c4fd7f8e99","true","40","QZ9H31900013","spotify:user:jeongshin","2021-02-01T05:05:00Z"
"spotify:track:5KkNaUAgCUxdy6JIJmUFFI","Blame by Me","spotify:artist:7vNNmjV14SKQzlQAEg0BXP","Jean Dawson","spotify:album:6YJHZfZHLAuwCfBN5FbzPI","Bad Sports","spotify:artist:7vNNmjV14SKQzlQAEg0BXP","Jean Dawson","2019-05-17","https://i.scdn.co/image/ab67616d0000b273bfc550f3289822c144d96fda","1","4","210000","https://p.scdn.co/mp3-preview/4a92014e20c2c297e71c33a7ba618ddf1fc8cff6?cid=9950ac751e34487dbbe027c4fd7f8e99","true","32","QZ9H31900030","spotify:user:jeongshin","2021-02-01T05:12:03Z"
"spotify:track:4i9wgfnHp6dcEcYcwsQvVO","Bull Fighter","spotify:artist:7vNNmjV14SKQzlQAEg0BXP","Jean Dawson","spotify:album:6YJHZfZHLAuwCfBN5FbzPI","Bad Sports","spotify:artist:7vNNmjV14SKQzlQAEg0BXP","Jean Dawson","2019-05-17","https://i.scdn.co/image/ab67616d0000b273bfc550f3289822c144d96fda","1","9","257684","https://p.scdn.co/mp3-preview/b6c3fd2b49b05b4593e1b6e01e19748610b59ac9?cid=9950ac751e34487dbbe027c4fd7f8e99","true","36","QZ9H31800005","spotify:user:jeongshin","2021-02-01T05:30:50Z"
"spotify:track:5DLAFO3YAW8zShYfVKVeFp","Antiwarp","spotify:artist:7vNNmjV14SKQzlQAEg0BXP","Jean Dawson","spotify:album:6YJHZfZHLAuwCfBN5FbzPI","Bad Sports","spotify:artist:7vNNmjV14SKQzlQAEg0BXP","Jean Dawson","2019-05-17","https://i.scdn.co/image/ab67616d0000b273bfc550f3289822c144d96fda","1","10","216960","https://p.scdn.co/mp3-preview/426118cbba118f014074439c4ecf097710e529fc?cid=9950ac751e34487dbbe027c4fd7f8e99","true","34","QZ9H31900009","spotify:user:jeongshin","2021-02-01T05:33:33Z"
