"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At"
"spotify:track:7w6QlKAOcNEnqRgrnJvQtr","Stuck on the puzzle","spotify:artist:1ctkBmvz80MGyi72Ix055S","Alex Turner","spotify:album:2nrjrRYf2ANHE3jsUrs0gJ","Submarine - Original Songs From The Film By Alex Turner","spotify:artist:1ctkBmvz80MGyi72Ix055S","Alex Turner","2011-03-15","https://i.scdn.co/image/ab67616d0000b273a87c2dadc455cd71519fddbf","1","5","211053","","false","16","GBCEL1100045","spotify:user:jeongshin","2019-11-26T21:31:33Z"
"spotify:track:7Jh1bpe76CNTCgdgAdBw4Z","Heroes - 2017 Remaster","spotify:artist:0oSGxfWSnnOXhD2fKuz2Gy","David Bowie","spotify:album:4I5zzKYd2SKDgZ9DRf5LVk","""Heroes"" (2017 Remaster)","spotify:artist:0oSGxfWSnnOXhD2fKuz2Gy","David Bowie","1977","https://i.scdn.co/image/ab67616d0000b273204f41d52743c6a9efd62985","1","3","371413","https://p.scdn.co/mp3-preview/9c4ff8b06fa3aa92572737ab3616578b20993e14?cid=9950ac751e34487dbbe027c4fd7f8e99","false","77","USJT11700005","spotify:user:jeongshin","2019-11-26T21:32:13Z"
"spotify:track:7fxHpjrR6YwyFcp19P6tv6","Belly (The Grass Stains)","spotify:artist:7pbDxGE6nQSZVfiFdq9lOL","Rex Orange County","spotify:album:32wYrmt3fg2c8maA80Ioc2","Bcos U Will Never B Free","spotify:artist:7pbDxGE6nQSZVfiFdq9lOL","Rex Orange County","2016-11-07","https://i.scdn.co/image/ab67616d0000b273dbf3c10406ac999c39bf4a97","1","3","259735","","true","0","US23A1500299","spotify:user:jeongshin","2019-12-02T05:59:53Z"
"spotify:track:3rQ0ZaLrkLv8HhAAKSbAC0","Posthumous Forgiveness","spotify:artist:5INjqkS1o8h1imAzPqGZBb","Tame Impala","spotify:album:0AA8MiQS9djcrznNT83ViG","Posthumous Forgiveness","spotify:artist:5INjqkS1o8h1imAzPqGZBb","Tame Impala","2019-12-03","https://i.scdn.co/image/ab67616d0000b27344b32957ade42f7116f8a0e6","1","1","366066","","false","0","AUUM71900928","spotify:user:jeongshin","2019-12-15T03:15:47Z"
"spotify:track:6TIOhfnPBw0k5s3KHN3VHO","A Different Age","spotify:artist:0m5FakHKCQdA7UN0PIzMcL","Current Joys","spotify:album:2yAyZp16EbanQ9pBwQs70x","A Different Age","spotify:artist:0m5FakHKCQdA7UN0PIzMcL","Current Joys","2018-03-02","https://i.scdn.co/image/ab67616d0000b27323d7bd16f163161fa7e09932","1","7","412418","","false","0","QMBZ91743923","spotify:user:jeongshin","2020-02-11T03:40:33Z"
"spotify:track:7dz48pntblPzJ9mTPiUH81","At The Door","spotify:artist:0epOFNiUfyON9EYx7Tpr6V","The Strokes","spotify:album:2s38at0L4RuSQfDSjQ2Fwr","At The Door","spotify:artist:0epOFNiUfyON9EYx7Tpr6V","The Strokes","2020-02-11","https://i.scdn.co/image/ab67616d0000b2737383b6e3b68f30eb21814fc7","1","1","310373","","false","0","USRC11902731","spotify:user:jeongshin","2020-02-14T19:05:28Z"
"spotify:track:0jBE7Fn78EAvmIs3dCd6GO","Is This It","spotify:artist:0epOFNiUfyON9EYx7Tpr6V","The Strokes","spotify:album:2k8KgmDp9oHrmu0MIj4XDE","Is This It","spotify:artist:0epOFNiUfyON9EYx7Tpr6V","The Strokes","2001-07-30","https://i.scdn.co/image/ab67616d0000b27313f2466b83507515291acce4","1","1","151333","https://p.scdn.co/mp3-preview/0e23b06ea8c2ae7a9f0a7808fa92de560485149c?cid=9950ac751e34487dbbe027c4fd7f8e99","false","63","USRC10100762","spotify:user:jeongshin","2020-02-19T19:01:31Z"
"spotify:track:1420BGhbXGkIJtbtBlfpYE","The Modern Age","spotify:artist:0epOFNiUfyON9EYx7Tpr6V","The Strokes","spotify:album:2k8KgmDp9oHrmu0MIj4XDE","Is This It","spotify:artist:0epOFNiUfyON9EYx7Tpr6V","The Strokes","2001-07-30","https://i.scdn.co/image/ab67616d0000b27313f2466b83507515291acce4","1","2","208066","https://p.scdn.co/mp3-preview/fdecae6c9f3a7fbfb0fd02ff9817dc7774f62d10?cid=9950ac751e34487dbbe027c4fd7f8e99","false","54","USRC10100763","spotify:user:jeongshin","2020-02-19T19:01:37Z"
"spotify:track:6gU7ohksNd6LsEJMWfDRhp","Soma","spotify:artist:0epOFNiUfyON9EYx7Tpr6V","The Strokes","spotify:album:2k8KgmDp9oHrmu0MIj4XDE","Is This It","spotify:artist:0epOFNiUfyON9EYx7Tpr6V","The Strokes","2001-07-30","https://i.scdn.co/image/ab67616d0000b27313f2466b83507515291acce4","1","3","153840","https://p.scdn.co/mp3-preview/b7aefadb833729c0f2eca0bc588a4a77550b373a?cid=9950ac751e34487dbbe027c4fd7f8e99","false","55","USRC10100771","spotify:user:jeongshin","2020-02-19T19:05:21Z"
"spotify:track:0HV0DzBkuBpQeZOXHpcEKV","Song to the Siren","spotify:artist:1jwOuEBcOKq0BeudSarbEM","Amen Dunes","spotify:album:5DbBF5Ktm8NVUJapsVzKRH","Cowboy Worship","spotify:artist:1jwOuEBcOKq0BeudSarbEM","Amen Dunes","2015-01-20","https://i.scdn.co/image/ab67616d0000b27381067eb2c22c897e8b57750a","1","2","224635","","false","0","US5NR1512402","spotify:user:jeongshin","2020-03-21T03:32:51Z"
"spotify:track:57Xjny5yNzAcsxnusKmAfA","Reptilia","spotify:artist:0epOFNiUfyON9EYx7Tpr6V","The Strokes","spotify:album:3HFbH1loOUbqCyPsLuHLLh","Room On Fire","spotify:artist:0epOFNiUfyON9EYx7Tpr6V","The Strokes","2003-10-28","https://i.scdn.co/image/ab67616d0000b2730f35726025e0f025da4c688f","1","2","219826","https://p.scdn.co/mp3-preview/35521d82091e8c9a6a1cee80fb59dc2f6b5cb776?cid=9950ac751e34487dbbe027c4fd7f8e99","false","79","USRC10301519","spotify:user:jeongshin","2020-03-27T17:47:59Z"
"spotify:track:7eX5SypK35V8Y9d9pS6rWy","I Can't Win","spotify:artist:0epOFNiUfyON9EYx7Tpr6V","The Strokes","spotify:album:3HFbH1loOUbqCyPsLuHLLh","Room On Fire","spotify:artist:0epOFNiUfyON9EYx7Tpr6V","The Strokes","2003-10-28","https://i.scdn.co/image/ab67616d0000b2730f35726025e0f025da4c688f","1","11","162040","https://p.scdn.co/mp3-preview/dbdaff9487d4b4eef6f1dbd150aa145a130206da?cid=9950ac751e34487dbbe027c4fd7f8e99","false","58","USRC10301527","spotify:user:jeongshin","2020-03-27T18:13:37Z"
"spotify:track:4fPBB44eDH71YohayI4eKV","You Only Live Once","spotify:artist:0epOFNiUfyON9EYx7Tpr6V","The Strokes","spotify:album:1HQ61my1h3VWp2EBWKlp0n","First Impressions Of Earth","spotify:artist:0epOFNiUfyON9EYx7Tpr6V","The Strokes","2006-01-03","https://i.scdn.co/image/ab67616d0000b2736898a982ff3c6049ba52586c","1","1","189226","https://p.scdn.co/mp3-preview/4e65165f1a88d641bec5f181ffb8ba4d516a9c39?cid=9950ac751e34487dbbe027c4fd7f8e99","false","75","USRC10503559","spotify:user:jeongshin","2020-03-27T18:14:11Z"
"spotify:track:4UF1eupXP9Zz5GpYepyOxI","Razorblade","spotify:artist:0epOFNiUfyON9EYx7Tpr6V","The Strokes","spotify:album:1HQ61my1h3VWp2EBWKlp0n","First Impressions Of Earth","spotify:artist:0epOFNiUfyON9EYx7Tpr6V","The Strokes","2006-01-03","https://i.scdn.co/image/ab67616d0000b2736898a982ff3c6049ba52586c","1","4","208133","https://p.scdn.co/mp3-preview/d3f32cda56149bd5189c4021b2a843c07551d2df?cid=9950ac751e34487dbbe027c4fd7f8e99","false","58","USRC10503561","spotify:user:jeongshin","2020-03-27T18:22:11Z"
"spotify:track:6oqJLFTbJ6PkgPfU0Mtjix","On the Other Side","spotify:artist:0epOFNiUfyON9EYx7Tpr6V","The Strokes","spotify:album:1HQ61my1h3VWp2EBWKlp0n","First Impressions Of Earth","spotify:artist:0epOFNiUfyON9EYx7Tpr6V","The Strokes","2006-01-03","https://i.scdn.co/image/ab67616d0000b2736898a982ff3c6049ba52586c","1","5","276506","https://p.scdn.co/mp3-preview/bc87dbcbc2f442f4ed48b6a59184f916425d124b?cid=9950ac751e34487dbbe027c4fd7f8e99","false","53","USRC10503562","spotify:user:jeongshin","2020-03-27T18:26:17Z"
"spotify:track:6THqWFqcUAAB7At66622Wr","Ask Me Anything","spotify:artist:0epOFNiUfyON9EYx7Tpr6V","The Strokes","spotify:album:1HQ61my1h3VWp2EBWKlp0n","First Impressions Of Earth","spotify:artist:0epOFNiUfyON9EYx7Tpr6V","The Strokes","2006-01-03","https://i.scdn.co/image/ab67616d0000b2736898a982ff3c6049ba52586c","1","7","189973","https://p.scdn.co/mp3-preview/a06755395337d542a00d20a4c9a77e3adb166576?cid=9950ac751e34487dbbe027c4fd7f8e99","false","47","USRC10503564","spotify:user:jeongshin","2020-03-27T18:37:10Z"
"spotify:track:0LtOwyZoSNZKJWHqjzADpW","Feels Like We Only Go Backwards","spotify:artist:5INjqkS1o8h1imAzPqGZBb","Tame Impala","spotify:album:3C2MFZ2iHotUQOSBzdSvM7","Lonerism","spotify:artist:5INjqkS1o8h1imAzPqGZBb","Tame Impala","2012-01-01","https://i.scdn.co/image/ab67616d0000b273370c12f82872c9cfaee80193","1","7","192960","https://p.scdn.co/mp3-preview/ad5f51028ee8013a85ee6f9bad1b83615d25094b?cid=9950ac751e34487dbbe027c4fd7f8e99","false","78","AUUM71200493","spotify:user:jeongshin","2020-03-27T20:59:29Z"
"spotify:track:6K4t31amVTZDgR3sKmwUJJ","The Less I Know The Better","spotify:artist:5INjqkS1o8h1imAzPqGZBb","Tame Impala","spotify:album:79dL7FLiJFOO0EoehUHQBv","Currents","spotify:artist:5INjqkS1o8h1imAzPqGZBb","Tame Impala","2015-07-17","https://i.scdn.co/image/ab67616d0000b2739e1cfc756886ac782e363d79","1","7","216320","https://p.scdn.co/mp3-preview/3ad63797e17bda6d46d081049c8c3710e3ab2797?cid=9950ac751e34487dbbe027c4fd7f8e99","true","87","AUUM71500303","spotify:user:jeongshin","2020-03-27T20:59:37Z"
"spotify:track:0xtIp0lgccN85GfGOekS5L","Yes I'm Changing","spotify:artist:5INjqkS1o8h1imAzPqGZBb","Tame Impala","spotify:album:79dL7FLiJFOO0EoehUHQBv","Currents","spotify:artist:5INjqkS1o8h1imAzPqGZBb","Tame Impala","2015-07-17","https://i.scdn.co/image/ab67616d0000b2739e1cfc756886ac782e363d79","1","4","270680","https://p.scdn.co/mp3-preview/77807176cab7c02916d105d63954cc7b0c63458a?cid=9950ac751e34487dbbe027c4fd7f8e99","true","71","AUUM71500295","spotify:user:jeongshin","2020-03-27T20:59:42Z"
"spotify:track:2X485T9Z5Ly0xyaghN73ed","Let It Happen","spotify:artist:5INjqkS1o8h1imAzPqGZBb","Tame Impala","spotify:album:79dL7FLiJFOO0EoehUHQBv","Currents","spotify:artist:5INjqkS1o8h1imAzPqGZBb","Tame Impala","2015-07-17","https://i.scdn.co/image/ab67616d0000b2739e1cfc756886ac782e363d79","1","1","467586","https://p.scdn.co/mp3-preview/2cfd4012a9ac9bac50a308cfc17b4173a7a84aae?cid=9950ac751e34487dbbe027c4fd7f8e99","false","81","AUUM71500292","spotify:user:jeongshin","2020-03-27T20:59:48Z"
