"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At"
"spotify:track:1bwXRScnt3k6vSyVqcKyNj","Heaven Or Las Vegas","spotify:artist:5Wabl1lPdNOeIn0SQ5A1mp","Cocteau Twins","spotify:album:37hHXJ7xas2Nb7Jbi8ip4E","Heaven Or Las Vegas (Remastered)","spotify:artist:5Wabl1lPdNOeIn0SQ5A1mp","Cocteau Twins","1990-09-17","https://i.scdn.co/image/ab67616d0000b273276b940445d7ab5ae6ceba82","1","5","298400","","false","0","GBAFL9000039","spotify:user:jeongshin","2022-04-05T01:58:53Z"
"spotify:track:4LRPiXqCikLlN15c3yImP7","As It Was","spotify:artist:6KImCVD70vtIoJWnq6nGn3","Harry Styles","spotify:album:2pqdSWeJVsXAhHFuVLzuA8","As It Was","spotify:artist:6KImCVD70vtIoJWnq6nGn3","Harry Styles","2022-03-31","https://i.scdn.co/image/ab67616d0000b273b46f74097655d7f353caab14","1","1","167303","","false","57","USSM12200612","spotify:user:jeongshin","2022-04-05T01:59:12Z"
"spotify:track:58az7rByzBsG2X9MR5wbv3","Skinny Love - Spotify Singles","spotify:artist:7MoIc5s9KXolCBH1fy9kkw","Japanese Breakfast","spotify:album:5Ir3sO62EvsC6Tfc7Q9c1z","Spotify Singles","spotify:artist:7MoIc5s9KXolCBH1fy9kkw","Japanese Breakfast","2022-03-30","https://i.scdn.co/image/ab67616d0000b2736106b88ab050620480ea1d69","1","2","226981","https://p.scdn.co/mp3-preview/838158b6dd32ef336b72683fcb8a60efab620297?cid=9950ac751e34487dbbe027c4fd7f8e99","false","40","USJ5G2232502","spotify:user:jeongshin","2022-04-05T02:09:40Z"
"spotify:track:3XqdYTHbYWw2haLim9Kwfc","Art Exhibit","spotify:artist:4j56EQDQu5XnL7R3E9iFJT","Young the Giant","spotify:album:3PYk8e7eo2t5CA1Y3AvhaG","Home of the Strange","spotify:artist:4j56EQDQu5XnL7R3E9iFJT","Young the Giant","2016-08-12","https://i.scdn.co/image/ab67616d0000b273e1b41f261acaa01849b42991","1","9","243640","https://p.scdn.co/mp3-preview/38e61c072fb6643e893a865cc3ec6b0402aa5f3b?cid=9950ac751e34487dbbe027c4fd7f8e99","false","43","USAT21601336","spotify:user:jeongshin","2022-04-05T02:12:52Z"
"spotify:track:42ri8tCtPeHfGQJTo7zIVX","Small Foreign Faction","spotify:artist:0i4M8k5IcQpiEH6nBMdfPT","Haley Blais","spotify:album:0ZQupG0Qurk8jDq2fnEb7y","Small Foreign Faction","spotify:artist:0i4M8k5IcQpiEH6nBMdfPT","Haley Blais","2018-02-15","https://i.scdn.co/image/ab67616d0000b273a7677f07362e086e2551422f","1","1","213633","https://p.scdn.co/mp3-preview/5c8d947d8c2d5843bae5edec6851814842a6e8fb?cid=9950ac751e34487dbbe027c4fd7f8e99","false","41","uscgh1871115","spotify:user:jeongshin","2022-04-05T02:25:15Z"
"spotify:track:0BGdxW79sZA6nmuws983bE","Born Again - Recorded at Spotify Studios NYC","spotify:artist:1dWEYMPtNmvSVaDNLgB6NV","Saint Motel","spotify:album:5yPmcKtzc9A0RcKpCFqQtZ","Spotify Singles","spotify:artist:1dWEYMPtNmvSVaDNLgB6NV","Saint Motel","2017-05-31","https://i.scdn.co/image/ab67616d0000b2731183e13031bbcb54abf87102","1","1","231729","https://p.scdn.co/mp3-preview/751552a77cae0e68238733f6e2fd7129aa024ba8?cid=9950ac751e34487dbbe027c4fd7f8e99","true","18","USAT21701463","spotify:user:jeongshin","2022-04-06T01:41:09Z"
"spotify:track:3wXft3pfqMptVjxzEDi8be","Talk","spotify:artist:5FxD8fkQZ6KcsSYupDVoSO","Omar Apollo","spotify:album:5z7TD11Qh81Gbf52hd5zAv","Ivory","spotify:artist:5FxD8fkQZ6KcsSYupDVoSO","Omar Apollo","2022-04-08","https://i.scdn.co/image/ab67616d0000b27390cf5d1ccfca2beb86149a19","1","2","157146","https://p.scdn.co/mp3-preview/cf909ad86339554fea67f17e5c77ea5fa25bc55a?cid=9950ac751e34487dbbe027c4fd7f8e99","false","47","USWB12200415","spotify:user:jeongshin","2022-04-12T18:53:19Z"
"spotify:track:0G41EUi3xiwUR6iOtXAQCz","Petrified","spotify:artist:5FxD8fkQZ6KcsSYupDVoSO","Omar Apollo","spotify:album:5z7TD11Qh81Gbf52hd5zAv","Ivory","spotify:artist:5FxD8fkQZ6KcsSYupDVoSO","Omar Apollo","2022-04-08","https://i.scdn.co/image/ab67616d0000b27390cf5d1ccfca2beb86149a19","1","9","197453","https://p.scdn.co/mp3-preview/9c37c14ddc369fc44c0e64990818810f8ee22f86?cid=9950ac751e34487dbbe027c4fd7f8e99","false","53","USWB12200272","spotify:user:jeongshin","2022-04-13T17:14:25Z"
"spotify:track:7sg9kDT8H2P0wPACXnWRdN","Tamagotchi","spotify:artist:5FxD8fkQZ6KcsSYupDVoSO","Omar Apollo","spotify:album:5z7TD11Qh81Gbf52hd5zAv","Ivory","spotify:artist:5FxD8fkQZ6KcsSYupDVoSO","Omar Apollo","2022-04-08","https://i.scdn.co/image/ab67616d0000b27390cf5d1ccfca2beb86149a19","1","12","168920","https://p.scdn.co/mp3-preview/47bd5de57c53da7406135239b26c54086f62d3ba?cid=9950ac751e34487dbbe027c4fd7f8e99","true","54","USWB12200421","spotify:user:jeongshin","2022-04-13T17:22:10Z"
"spotify:track:4SKvKJaqkRl1bUZWEqTYzl","Sidelines","spotify:artist:1r1uxoy19fzMxunt3ONAkG","Phoebe Bridgers","spotify:album:7tCdWRuurBiq82DvVDCGgF","Sidelines","spotify:artist:1r1uxoy19fzMxunt3ONAkG","Phoebe Bridgers","2022-04-15","https://i.scdn.co/image/ab67616d0000b27323a9bfabf54914f791bea535","1","1","264372","https://p.scdn.co/mp3-preview/376ead7bacb49874718cb44739cfd09a7e84738b?cid=9950ac751e34487dbbe027c4fd7f8e99","false","61","USJ5G2232201","spotify:user:jeongshin","2022-04-23T04:08:25Z"
