"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At"
"spotify:track:7p6oXzBSPAXXz8Xb8gBPki","Subzero - Original Mix","spotify:artist:1vJHfCreWAS46V8RZ67ojo","Ben Klock","spotify:album:6nDabvimKikHWteZsybtEd","Before One EP","spotify:artist:1vJHfCreWAS46V8RZ67ojo","Ben Klock","2009-01-26","https://i.scdn.co/image/ab67616d0000b2739ee75b76e9b1bf498a71d26c","1","2","383972","https://p.scdn.co/mp3-preview/5e2b760eaa22e879da2b1c795dff820e832d302e?cid=9950ac751e34487dbbe027c4fd7f8e99","false","45","DELG70900085","spotify:user:jeongshin","2023-10-06T13:28:09Z"
"spotify:track:2B9ZGLnJMLCrivNGRuxO6n","Solidarity is on the line","spotify:artist:7iqeOKRXdtfN4PCu3oCHbZ","YANT","spotify:album:7yC2mU5PHOC9pogV8ls5TJ","Contravention EP","spotify:artist:7iqeOKRXdtfN4PCu3oCHbZ","YANT","2021-03-26","https://i.scdn.co/image/ab67616d0000b273347e34bb8a9bc57f43165384","1","3","354857","https://p.scdn.co/mp3-preview/ad6b6573ea2026cfefd817cce72597c2679200bb?cid=9950ac751e34487dbbe027c4fd7f8e99","false","10","NLCK41085309","spotify:user:jeongshin","2023-10-06T13:39:16Z"
"spotify:track:2ONl4dotPy5HotayyP0jOw","Aiming For The Innocent - Original Mix","spotify:artist:609hP92W6p3l5agWsi1pnb","Tham","spotify:album:79kmkWxetaROTkiZfemPoE","Bleached Punk","spotify:artist:609hP92W6p3l5agWsi1pnb","Tham","2020-12-30","https://i.scdn.co/image/ab67616d0000b273db46a3cb135b72ba565c8244","1","1","373047","","false","0","DEPI82022540","spotify:user:jeongshin","2023-10-17T07:25:23Z"
"spotify:track:1i7m2zBOyHU6BlT5FJDH2J","the return of the drunken son","spotify:artist:1ZzmTycawZ9YbMeiKcfKLL","Vladimir Dubyshkin","spotify:album:56k4MJVOJ3lUG1hbqeREH6","pornographic novel","spotify:artist:1ZzmTycawZ9YbMeiKcfKLL","Vladimir Dubyshkin","2020-08-21","https://i.scdn.co/image/ab67616d0000b2737460c4fc8911184dc5408846","1","2","346897","","false","0","UKMH51900073","spotify:user:jeongshin","2023-10-17T07:34:30Z"
"spotify:track:4a8E4XuGX5NaVNysF4YMPy","FORTE2014","spotify:artist:5fHIm4Oh9nf6MUzktOsYQX","CRAVO","spotify:album:5FCIuLuNDX7UniPOcGrm1l","HYS.K005.1","spotify:artist:0LyfQWJT6nXafLPZqxe9Of","Various Artists","2021-09-24","https://i.scdn.co/image/ab67616d0000b273f084b121fef26cc23d73c706","1","3","397241","https://p.scdn.co/mp3-preview/85de96f4f706c398fca953aa0a0ef7ba75fdc2ac?cid=9950ac751e34487dbbe027c4fd7f8e99","false","9","NLCK41092528","spotify:user:jeongshin","2023-10-17T07:36:26Z"
"spotify:track:7sPZFxIG8Tt3mLOp6q1rtE","Power to the Soul","spotify:artist:3lJoRDjlvFXZLvSRVeM6m8","Chlär","spotify:album:0oHrfsJN4uBeFMpTVJR3Vp","Power to the Soul","spotify:artist:3lJoRDjlvFXZLvSRVeM6m8","Chlär","2020-10-23","https://i.scdn.co/image/ab67616d0000b27345599c23a03e6023218567b5","1","1","396000","https://p.scdn.co/mp3-preview/83db716faa39acd08cd5fcd27b8e88ac3fd1d6f8?cid=9950ac751e34487dbbe027c4fd7f8e99","false","36","FRS182074752","spotify:user:jeongshin","2023-10-17T07:44:38Z"
"spotify:track:2xjFFf60hIN4WWvRhmOim7","Filaments & Jaws","spotify:artist:2e1Ol0A6yrE1gQ95x4JOFb","Dustmite","spotify:album:0JDpJxAFiTYKcUypzPAbeJ","Fuga III","spotify:artist:0LyfQWJT6nXafLPZqxe9Of","Various Artists","2022-03-25","https://i.scdn.co/image/ab67616d0000b273fcf78bd93906c62547bc8cff","1","5","320428","https://p.scdn.co/mp3-preview/59b84139c54ebd9ece4ec2cf37b3f2ca3a3f7891?cid=9950ac751e34487dbbe027c4fd7f8e99","false","13","BEN582100859","spotify:user:jeongshin","2023-10-23T11:30:41Z"
"spotify:track:7gsHD3vIGkPC8DiPf3nbFV","Bendecido","spotify:artist:2oQX8QiMXOyuqbcZEFsZfm, spotify:artist:7cYik4OyfBXYV5Z2TI7p90","El Alfa, Farina","spotify:album:6paK8J7C7IJSK643aahwkc","SABIDURIA","spotify:artist:2oQX8QiMXOyuqbcZEFsZfm","El Alfa","2022-04-07","https://i.scdn.co/image/ab67616d0000b27327edd3e11256d36373938e7f","1","7","187118","https://p.scdn.co/mp3-preview/2927b02be95fc33f154822c062d8685fbbdf8703?cid=9950ac751e34487dbbe027c4fd7f8e99","false","59","QM4TX2261588","spotify:user:jeongshin","2023-10-23T11:47:27Z"
"spotify:track:0HyzvYmBII1Lb5yBxRiWSe","Coke & Rum","spotify:artist:6o1cH08k4qmWoRbOK543gQ","HCTM","spotify:album:3jl6CskRr9yV6SL5QYoHN4","Coke & Rum","spotify:artist:6o1cH08k4qmWoRbOK543gQ","HCTM","2023-05-12","https://i.scdn.co/image/ab67616d0000b27381790eabaf7c30905318bd1e","1","1","63088","https://p.scdn.co/mp3-preview/5b3f0b51f4d4130a2bf37e260bb56f8096047c87?cid=9950ac751e34487dbbe027c4fd7f8e99","false","53","SGB502346246","spotify:user:jeongshin","2023-10-25T13:00:56Z"
"spotify:track:3TjKcuADUBqMZ7LnzSlvIA","Ttabla - Musique de Fête, Vol. 2","spotify:artist:47sKkybVg9NVz7IWvTezzy, spotify:artist:5WSUo5rvcvi9uNBmnk947E","TAXI KEBAB, Musique de Fête","spotify:album:3UqLlTztgBzTeL8eLymzTb","Ttabla (Musique de Fête, Vol. 2)","spotify:artist:47sKkybVg9NVz7IWvTezzy, spotify:artist:5WSUo5rvcvi9uNBmnk947E","TAXI KEBAB, Musique de Fête","2021-09-09","https://i.scdn.co/image/ab67616d0000b2734496d1e8618232a32bd3c0f3","1","1","293136","https://p.scdn.co/mp3-preview/0f115afef67855c9dc9bf99436e9ced2ad77bde2?cid=9950ac751e34487dbbe027c4fd7f8e99","false","42","FR0Z42100380","spotify:user:jeongshin","2023-10-25T13:07:04Z"
