"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At"
"spotify:track:10Nmj3JCNoMeBQ87uw5j8k","Dani California","spotify:artist:0L8ExT028jH3ddEcZwqJJ5","Red Hot Chili Peppers","spotify:album:7xl50xr9NDkd3i2kBbzsNZ","Stadium Arcadium","spotify:artist:0L8ExT028jH3ddEcZwqJJ5","Red Hot Chili Peppers","2006-05-09","https://i.scdn.co/image/ab67616d0000b27309fd83d32aee93dceba78517","1","1","282160","https://p.scdn.co/mp3-preview/0454b7cef05f7db734eb04bd4f3948009838f380?cid=9950ac751e34487dbbe027c4fd7f8e99","false","82","USWB10600700","spotify:user:jeongshin","2023-05-03T06:33:41Z"
"spotify:track:2aibwv5hGXSgw7Yru8IYTO","Snow (Hey Oh)","spotify:artist:0L8ExT028jH3ddEcZwqJJ5","Red Hot Chili Peppers","spotify:album:7xl50xr9NDkd3i2kBbzsNZ","Stadium Arcadium","spotify:artist:0L8ExT028jH3ddEcZwqJJ5","Red Hot Chili Peppers","2006-05-09","https://i.scdn.co/image/ab67616d0000b27309fd83d32aee93dceba78517","1","2","334666","https://p.scdn.co/mp3-preview/d1e419a7f2aa9ba761be88802dbd3560b8f99776?cid=9950ac751e34487dbbe027c4fd7f8e99","false","83","USWB10601591","spotify:user:jeongshin","2023-05-03T06:33:44Z"
"spotify:track:4y84ILALZSa4LyP6H7NVjR","Stadium Arcadium","spotify:artist:0L8ExT028jH3ddEcZwqJJ5","Red Hot Chili Peppers","spotify:album:7xl50xr9NDkd3i2kBbzsNZ","Stadium Arcadium","spotify:artist:0L8ExT028jH3ddEcZwqJJ5","Red Hot Chili Peppers","2006-05-09","https://i.scdn.co/image/ab67616d0000b27309fd83d32aee93dceba78517","1","4","314773","https://p.scdn.co/mp3-preview/bba154935b182a85973a77bd9e2d35f11b86ca36?cid=9950ac751e34487dbbe027c4fd7f8e99","false","63","USWB10601593","spotify:user:jeongshin","2023-05-03T06:33:49Z"
"spotify:track:62MNMZaNTYWqjsD0Isce0l","White Braids & Pillow Chair","spotify:artist:0L8ExT028jH3ddEcZwqJJ5","Red Hot Chili Peppers","spotify:album:2ITVvrNiINKRiW7wA3w6w6","Unlimited Love","spotify:artist:0L8ExT028jH3ddEcZwqJJ5","Red Hot Chili Peppers","2022-04-01","https://i.scdn.co/image/ab67616d0000b27397a52e0aeda9d95fb881c56d","1","12","220523","https://p.scdn.co/mp3-preview/0895e499d0c091bd871fa4609d264e83384c3453?cid=9950ac751e34487dbbe027c4fd7f8e99","false","59","USWB12105891","spotify:user:jeongshin","2023-05-03T16:08:51Z"
"spotify:track:3L2Nyi3T7XabH8EEZFLDdX","Wet Sand","spotify:artist:0L8ExT028jH3ddEcZwqJJ5","Red Hot Chili Peppers","spotify:album:7xl50xr9NDkd3i2kBbzsNZ","Stadium Arcadium","spotify:artist:0L8ExT028jH3ddEcZwqJJ5","Red Hot Chili Peppers","2006-05-09","https://i.scdn.co/image/ab67616d0000b27309fd83d32aee93dceba78517","1","13","309800","https://p.scdn.co/mp3-preview/817d113c24f904ef5a3958fcee5daade9e8c9792?cid=9950ac751e34487dbbe027c4fd7f8e99","false","68","USWB10601602","spotify:user:jeongshin","2023-05-04T03:14:40Z"
"spotify:track:3DmOWG8OD9eR12180fmJqf","Easily","spotify:artist:0L8ExT028jH3ddEcZwqJJ5","Red Hot Chili Peppers","spotify:album:0fLhefnjlIV3pGNF9Wo8CD","Californication","spotify:artist:0L8ExT028jH3ddEcZwqJJ5","Red Hot Chili Peppers","1999-06-08","https://i.scdn.co/image/ab67616d0000b273a9249ebb15ca7a5b75f16a90","1","7","231333","https://p.scdn.co/mp3-preview/bb42dc280dae6a5d9efee25fa8171521523db546?cid=9950ac751e34487dbbe027c4fd7f8e99","false","59","USWB19900691","spotify:user:jeongshin","2023-05-04T03:25:37Z"
"spotify:track:0itNMuBHye9fu392b4e9oa","Tell Me Baby","spotify:artist:0L8ExT028jH3ddEcZwqJJ5","Red Hot Chili Peppers","spotify:album:7xl50xr9NDkd3i2kBbzsNZ","Stadium Arcadium","spotify:artist:0L8ExT028jH3ddEcZwqJJ5","Red Hot Chili Peppers","2006-05-09","https://i.scdn.co/image/ab67616d0000b27309fd83d32aee93dceba78517","2","2","247666","https://p.scdn.co/mp3-preview/114662b0b986398b9e39d5ecd1354cd3a582cd6e?cid=9950ac751e34487dbbe027c4fd7f8e99","false","70","USWB10601605","spotify:user:jeongshin","2023-05-04T03:48:42Z"
"spotify:track:37kTASujIfZZ27NV7PfIrf","Hard to Concentrate","spotify:artist:0L8ExT028jH3ddEcZwqJJ5","Red Hot Chili Peppers","spotify:album:7xl50xr9NDkd3i2kBbzsNZ","Stadium Arcadium","spotify:artist:0L8ExT028jH3ddEcZwqJJ5","Red Hot Chili Peppers","2006-05-09","https://i.scdn.co/image/ab67616d0000b27309fd83d32aee93dceba78517","2","3","241840","https://p.scdn.co/mp3-preview/3bf988d8f120e983f2bd3df003566954cebc8184?cid=9950ac751e34487dbbe027c4fd7f8e99","false","58","USWB10601606","spotify:user:jeongshin","2023-05-04T03:53:21Z"
"spotify:track:1G391cbiT3v3Cywg8T7DM1","Scar Tissue","spotify:artist:0L8ExT028jH3ddEcZwqJJ5","Red Hot Chili Peppers","spotify:album:2Y9IRtehByVkegoD7TcLfi","Californication (Deluxe Edition)","spotify:artist:0L8ExT028jH3ddEcZwqJJ5","Red Hot Chili Peppers","1999-06-08","https://i.scdn.co/image/ab67616d0000b27394d08ab63e57b0cae74e8595","1","3","215906","https://p.scdn.co/mp3-preview/5aa4aff376bccc73f7fa7df2954649e30a56c4b1?cid=9950ac751e34487dbbe027c4fd7f8e99","false","85","USWB19900674","spotify:user:jeongshin","2023-05-04T03:54:05Z"
"spotify:track:6DfWymHzCYOH2ABUuHFaMe","Police Station","spotify:artist:0L8ExT028jH3ddEcZwqJJ5","Red Hot Chili Peppers","spotify:album:5wZtSIvijWCMc1vlPFqAyB","I'm with You","spotify:artist:0L8ExT028jH3ddEcZwqJJ5","Red Hot Chili Peppers","2011-08-29","https://i.scdn.co/image/ab67616d0000b27396136a2ab5696812e9b26723","1","11","335893","https://p.scdn.co/mp3-preview/021e40a169f53e6d6269758a9cca467843fad0e3?cid=9950ac751e34487dbbe027c4fd7f8e99","false","50","USWB11101955","spotify:user:jeongshin","2023-05-04T04:00:13Z"
