"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At"
"spotify:track:5DJNyvuMmZfsfvdTpMMmUq","Sour Patch Kids","spotify:artist:1ShZZUjkbXCjhwrb18BA8I","Bryce Vine","spotify:album:08IW6sUfN9fRYG8Xlgm4oC","Lazy Fair","spotify:artist:1ShZZUjkbXCjhwrb18BA8I","Bryce Vine","2014-04-22","https://i.scdn.co/image/ab67616d0000b2737e370701e40b19856dee65f6","1","2","252546","https://p.scdn.co/mp3-preview/f42bdd33fe73cea9859e512d4b88d134511bdb37?cid=9950ac751e34487dbbe027c4fd7f8e99","true","60","USQY51460659","spotify:user:eqhp51ukyqay109x6bmq5qt77","2021-05-11T21:00:38Z"
"spotify:track:3F0xQdEqmXIbrYbtZ46InQ","Guilty Pleasure","spotify:artist:1ShZZUjkbXCjhwrb18BA8I","Bryce Vine","spotify:album:08IW6sUfN9fRYG8Xlgm4oC","Lazy Fair","spotify:artist:1ShZZUjkbXCjhwrb18BA8I","Bryce Vine","2014-04-22","https://i.scdn.co/image/ab67616d0000b2737e370701e40b19856dee65f6","1","4","204413","https://p.scdn.co/mp3-preview/a92c52540c40d99a541ca5521faae67399a01b2e?cid=9950ac751e34487dbbe027c4fd7f8e99","true","52","USQY51460661","spotify:user:eqhp51ukyqay109x6bmq5qt77","2021-05-11T21:00:40Z"
"spotify:track:0LJDFZohBgWOMvXQw0cc9W","Cigarettes On Patios","spotify:artist:07Asx51VtMw5kbNXKrpZlq","BabyJake","spotify:album:5vN3lm8mcpQ9IoQ3Xutrkw","Cigarettes On Patios","spotify:artist:07Asx51VtMw5kbNXKrpZlq","BabyJake","2019-06-07","https://i.scdn.co/image/ab67616d0000b273d5d77ef5ffd80806d25ab50c","1","1","207813","https://p.scdn.co/mp3-preview/4a9fcccf1dc48635e05107b6510b5e81a3919a31?cid=9950ac751e34487dbbe027c4fd7f8e99","true","64","USUM71904051","spotify:user:eqhp51ukyqay109x6bmq5qt77","2021-05-11T21:00:44Z"
"spotify:track:07ZQLYn9x4x3L3vxStc1zr","Stacy","spotify:artist:3ApUX1o6oSz321MMECyIYd","Quinn XCII","spotify:album:1dVw3jSdgZp7PfGhCEo32t","A Letter To My Younger Self","spotify:artist:3ApUX1o6oSz321MMECyIYd","Quinn XCII","2020-07-10","https://i.scdn.co/image/ab67616d0000b273f83dbc7461aefc08696811c0","1","2","168986","https://p.scdn.co/mp3-preview/53980059456dffe0dacc20116f4fbc00f4c010c8?cid=9950ac751e34487dbbe027c4fd7f8e99","false","62","USSM11903856","spotify:user:eqhp51ukyqay109x6bmq5qt77","2021-05-11T21:00:51Z"
"spotify:track:2iUmqdfGZcHIhS3b9E9EWq","Everybody Talks","spotify:artist:0RpddSzUHfncUWNJXKOsjy","Neon Trees","spotify:album:0uRFz92JmjwDbZbB7hEBIr","Picture Show","spotify:artist:0RpddSzUHfncUWNJXKOsjy","Neon Trees","2012-01-01","https://i.scdn.co/image/ab67616d0000b2734a6c0376235e5aa44e59d2c2","1","3","177280","https://p.scdn.co/mp3-preview/9ad5a3b2443d6842bab6770eec8c9e12c29074a0?cid=9950ac751e34487dbbe027c4fd7f8e99","true","81","USUM71119189","spotify:user:eqhp51ukyqay109x6bmq5qt77","2021-05-11T21:01:00Z"
"spotify:track:312WNtMs3F28cUukaPY9bo","American Teen","spotify:artist:6LuN9FCkKOj5PcnpouEgny","Khalid","spotify:album:6kf46HbnYCZzP6rjvQHYzg","American Teen","spotify:artist:6LuN9FCkKOj5PcnpouEgny","Khalid","2017-04-27","https://i.scdn.co/image/ab67616d0000b273988ede5e1276e758b5f9e577","1","1","250746","https://p.scdn.co/mp3-preview/656cef6d343fa228105f1211d86cb6ddeb4ab611?cid=9950ac751e34487dbbe027c4fd7f8e99","false","65","USRC11602480","spotify:user:eqhp51ukyqay109x6bmq5qt77","2021-05-11T21:01:07Z"
"spotify:track:5bgwqaRSS3M8WHWruHgSL5","8TEEN","spotify:artist:6LuN9FCkKOj5PcnpouEgny","Khalid","spotify:album:6kf46HbnYCZzP6rjvQHYzg","American Teen","spotify:artist:6LuN9FCkKOj5PcnpouEgny","Khalid","2017-04-27","https://i.scdn.co/image/ab67616d0000b273988ede5e1276e758b5f9e577","1","7","228600","https://p.scdn.co/mp3-preview/2e9a3023a21a4c083d1a5ad6beb0d503d719e7ae?cid=9950ac751e34487dbbe027c4fd7f8e99","false","76","USRC11700146","spotify:user:eqhp51ukyqay109x6bmq5qt77","2021-05-11T21:01:09Z"
"spotify:track:5Z3GHaZ6ec9bsiI5BenrbY","Young Dumb & Broke","spotify:artist:6LuN9FCkKOj5PcnpouEgny","Khalid","spotify:album:6kf46HbnYCZzP6rjvQHYzg","American Teen","spotify:artist:6LuN9FCkKOj5PcnpouEgny","Khalid","2017-04-27","https://i.scdn.co/image/ab67616d0000b273988ede5e1276e758b5f9e577","1","2","202546","https://p.scdn.co/mp3-preview/05e9e3f61b30cf532a171bf40db63c086f9b6d5b?cid=9950ac751e34487dbbe027c4fd7f8e99","false","82","USRC11700144","spotify:user:eqhp51ukyqay109x6bmq5qt77","2021-05-11T21:01:15Z"
"spotify:track:44uCMdE6RWnkOFYTtbmUUc","Cherry Cola","spotify:artist:66LFdGYtbmJ6G8sArrkfsu","Kuwada","spotify:album:2tjlpkDXnBKY3HGiEzU9gI","Cherry Cola","spotify:artist:66LFdGYtbmJ6G8sArrkfsu","Kuwada","2018-02-09","https://i.scdn.co/image/ab67616d0000b27352a6eabad98cde4e6e317b9c","1","1","184360","https://p.scdn.co/mp3-preview/1ac7b1591cd27f226e8d095d62dc140e3c32c05c?cid=9950ac751e34487dbbe027c4fd7f8e99","true","58","USSM11801744","spotify:user:eqhp51ukyqay109x6bmq5qt77","2021-05-11T21:01:19Z"
"spotify:track:1w9L6dvttZalWd8XqFYvSa","Isabelle","spotify:artist:5aHlyw2WWqZW0HLICBuv7U","Zach Hood","spotify:album:1rzy7MA291nlNOf957qlLG","Isabelle","spotify:artist:5aHlyw2WWqZW0HLICBuv7U","Zach Hood","2021-02-05","https://i.scdn.co/image/ab67616d0000b2735ef140accd2e735bcf767a08","1","1","135000","https://p.scdn.co/mp3-preview/e4c000c71508b234d4a46e1469df546a8556a8f6?cid=9950ac751e34487dbbe027c4fd7f8e99","false","66","USANG2169273","spotify:user:eqhp51ukyqay109x6bmq5qt77","2021-05-11T21:02:07Z"
