"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At"
"spotify:track:1m69ELEgE6k5ZWsap40ozt","Se Preparó","spotify:artist:1i8SpTcr7yvPOmcqrbnVXY","Ozuna","spotify:album:4s05NbwGgw5SO42AdsN5Oo","Odisea","spotify:artist:1i8SpTcr7yvPOmcqrbnVXY","Ozuna","2017-08-25","https://i.scdn.co/image/ab67616d0000b273b0a875d7f1bfe4ec4aaffa48","1","3","188080","https://p.scdn.co/mp3-preview/4f7fe3eb08c8f3619866bb90d53bc4e07b772c24?cid=9950ac751e34487dbbe027c4fd7f8e99","false","80","USXDR1700552","spotify:user:eqhp51ukyqay109x6bmq5qt77","2021-02-10T17:08:06Z"
"spotify:track:3V8UKqhEK5zBkBb6d6ub8i","Te Boté - Remix","spotify:artist:5hdhHgpxyniooUiQVaPxQ0, spotify:artist:1fux65HMCBvfJHqlBc4Nno, spotify:artist:4q3ewBCX7sLwd24euuV69X, spotify:artist:1TtXnWcUs0FCkaZDPGYHdf, spotify:artist:1i8SpTcr7yvPOmcqrbnVXY, spotify:artist:1SupJlEpv7RS2tPNRaHViT","Nio Garcia, Casper Magico, Bad Bunny, Darell, Ozuna, Nicky Jam","spotify:album:42wLKnuGyBLGWwH89lnimL","Te Boté (Remix)","spotify:artist:5hdhHgpxyniooUiQVaPxQ0, spotify:artist:1fux65HMCBvfJHqlBc4Nno, spotify:artist:4q3ewBCX7sLwd24euuV69X","Nio Garcia, Casper Magico, Bad Bunny","2018-04-13","https://i.scdn.co/image/ab67616d0000b273a5779a2f04a513fac2fd1d15","1","1","417920","https://p.scdn.co/mp3-preview/77974faf4e6baee7f084e78680860df4a96559f5?cid=9950ac751e34487dbbe027c4fd7f8e99","true","77","QM4TW1811888","spotify:user:eqhp51ukyqay109x6bmq5qt77","2021-02-10T17:08:26Z"
"spotify:track:36DHxTW2xdr9GG15T9oK9L","EL MUNDO ES MÍO","spotify:artist:4q3ewBCX7sLwd24euuV69X","Bad Bunny","spotify:album:2d9BCZeAAhiZWPpbX9aPCW","EL ÚLTIMO TOUR DEL MUNDO","spotify:artist:4q3ewBCX7sLwd24euuV69X","Bad Bunny","2020-11-27","https://i.scdn.co/image/ab67616d0000b273005ee342f4eef2cc6e8436ab","1","1","165199","https://p.scdn.co/mp3-preview/791178f18483f949f9ad6d330ea1d39023815b1a?cid=9950ac751e34487dbbe027c4fd7f8e99","false","64","QMFME2066836","spotify:user:eqhp51ukyqay109x6bmq5qt77","2021-02-10T17:08:53Z"
"spotify:track:5RubKOuDoPn5Kj5TLVxSxY","TE MUDASTE","spotify:artist:4q3ewBCX7sLwd24euuV69X","Bad Bunny","spotify:album:2d9BCZeAAhiZWPpbX9aPCW","EL ÚLTIMO TOUR DEL MUNDO","spotify:artist:4q3ewBCX7sLwd24euuV69X","Bad Bunny","2020-11-27","https://i.scdn.co/image/ab67616d0000b273005ee342f4eef2cc6e8436ab","1","2","130013","https://p.scdn.co/mp3-preview/1ff592dadd01a11b593bc36d15ee688282ad6246?cid=9950ac751e34487dbbe027c4fd7f8e99","true","81","QMFME2066837","spotify:user:eqhp51ukyqay109x6bmq5qt77","2021-02-10T17:08:53Z"
"spotify:track:0tjZv2hChdHZCW1zFXpy1J","HOY COBRÉ","spotify:artist:4q3ewBCX7sLwd24euuV69X","Bad Bunny","spotify:album:2d9BCZeAAhiZWPpbX9aPCW","EL ÚLTIMO TOUR DEL MUNDO","spotify:artist:4q3ewBCX7sLwd24euuV69X","Bad Bunny","2020-11-27","https://i.scdn.co/image/ab67616d0000b273005ee342f4eef2cc6e8436ab","1","3","162151","https://p.scdn.co/mp3-preview/8e764a1d7a3fcf653a8080cbf32a798cd79f1b7b?cid=9950ac751e34487dbbe027c4fd7f8e99","true","68","QMFME2066838","spotify:user:eqhp51ukyqay109x6bmq5qt77","2021-02-10T17:08:53Z"
"spotify:track:0Lsis3LB0XAK6XlTHXaJk2","MALDITA POBREZA","spotify:artist:4q3ewBCX7sLwd24euuV69X","Bad Bunny","spotify:album:2d9BCZeAAhiZWPpbX9aPCW","EL ÚLTIMO TOUR DEL MUNDO","spotify:artist:4q3ewBCX7sLwd24euuV69X","Bad Bunny","2020-11-27","https://i.scdn.co/image/ab67616d0000b273005ee342f4eef2cc6e8436ab","1","4","213609","https://p.scdn.co/mp3-preview/9bc1a4f98bc85c3d67cc922f8b0d7a3531318005?cid=9950ac751e34487dbbe027c4fd7f8e99","true","64","QMFME2066839","spotify:user:eqhp51ukyqay109x6bmq5qt77","2021-02-10T17:08:53Z"
"spotify:track:2XIc1pqjXV3Cr2BQUGNBck","LA NOCHE DE ANOCHE","spotify:artist:4q3ewBCX7sLwd24euuV69X, spotify:artist:7ltDVBr6mKbRvohxheJ9h1","Bad Bunny, ROSALÍA","spotify:album:2d9BCZeAAhiZWPpbX9aPCW","EL ÚLTIMO TOUR DEL MUNDO","spotify:artist:4q3ewBCX7sLwd24euuV69X","Bad Bunny","2020-11-27","https://i.scdn.co/image/ab67616d0000b273005ee342f4eef2cc6e8436ab","1","5","203200","https://p.scdn.co/mp3-preview/a3ed62c5afae78f594a7346af78a9638a7bce068?cid=9950ac751e34487dbbe027c4fd7f8e99","false","80","QMFME2066840","spotify:user:eqhp51ukyqay109x6bmq5qt77","2021-02-10T17:08:53Z"
"spotify:track:23XjN1s3DZC8Q9ZwuorYY4","TE DESEO LO MEJOR","spotify:artist:4q3ewBCX7sLwd24euuV69X","Bad Bunny","spotify:album:2d9BCZeAAhiZWPpbX9aPCW","EL ÚLTIMO TOUR DEL MUNDO","spotify:artist:4q3ewBCX7sLwd24euuV69X","Bad Bunny","2020-11-27","https://i.scdn.co/image/ab67616d0000b273005ee342f4eef2cc6e8436ab","1","6","139576","https://p.scdn.co/mp3-preview/746c0b68c5725d9515f3a0fae2c051e9d4edefdf?cid=9950ac751e34487dbbe027c4fd7f8e99","true","72","QMFME2066841","spotify:user:eqhp51ukyqay109x6bmq5qt77","2021-02-10T17:08:53Z"
"spotify:track:5fROvzNghPid8mbKNDYvpJ","YO VISTO ASÍ","spotify:artist:4q3ewBCX7sLwd24euuV69X","Bad Bunny","spotify:album:2d9BCZeAAhiZWPpbX9aPCW","EL ÚLTIMO TOUR DEL MUNDO","spotify:artist:4q3ewBCX7sLwd24euuV69X","Bad Bunny","2020-11-27","https://i.scdn.co/image/ab67616d0000b273005ee342f4eef2cc6e8436ab","1","7","191526","https://p.scdn.co/mp3-preview/74b416f5fa6095f8229e1e9a21e7dd4c9c978ebb?cid=9950ac751e34487dbbe027c4fd7f8e99","false","66","QMFME2066842","spotify:user:eqhp51ukyqay109x6bmq5qt77","2021-02-10T17:08:53Z"
"spotify:track:26QApq0cuO9brJigr0C0W4","HACIENDO QUE ME AMAS","spotify:artist:4q3ewBCX7sLwd24euuV69X","Bad Bunny","spotify:album:2d9BCZeAAhiZWPpbX9aPCW","EL ÚLTIMO TOUR DEL MUNDO","spotify:artist:4q3ewBCX7sLwd24euuV69X","Bad Bunny","2020-11-27","https://i.scdn.co/image/ab67616d0000b273005ee342f4eef2cc6e8436ab","1","8","217768","https://p.scdn.co/mp3-preview/43df8ff1f39191d9e55648e23c9c3cab4be0cb36?cid=9950ac751e34487dbbe027c4fd7f8e99","true","75","QMFME2066843","spotify:user:eqhp51ukyqay109x6bmq5qt77","2021-02-10T17:08:53Z"
