"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At"
"spotify:track:4rCuwgRRKaIiHlHDc8Bga6","We Might Even Be Falling In Love (Interlude)","spotify:artist:63XBtGSEZINSyXylZxEUbv","Victoria Monét","spotify:album:6aW67R0sshdUwtbJEG2uQR","JAGUAR","spotify:artist:63XBtGSEZINSyXylZxEUbv","Victoria Monét","2020-08-07","https://i.scdn.co/image/ab67616d0000b27350aa87e1dea05ba3155bbbb2","1","4","51913","https://p.scdn.co/mp3-preview/27cf711c9c7a1cf087538f96822b78ac2064a41a?cid=9950ac751e34487dbbe027c4fd7f8e99","false","77","US23A1512041","spotify:user:maliazenaida","2023-12-05T08:09:23Z"
"spotify:track:1NeLwFETswx8Fzxl2AFl91","Something About Us","spotify:artist:4tZwfgrHOc3mvqYlEYSvVi","Daft Punk","spotify:album:2noRn2Aes5aoNVsU6iWThc","Discovery","spotify:artist:4tZwfgrHOc3mvqYlEYSvVi","Daft Punk","2001-03-12","https://i.scdn.co/image/ab67616d0000b273b33d46dfa2635a47eebf63b2","1","9","232666","https://p.scdn.co/mp3-preview/ebdd8168dd86d03fce7d10837b00a50d33914ff0?cid=9950ac751e34487dbbe027c4fd7f8e99","false","72","GBDUW0000064","spotify:user:maliazenaida","2023-12-05T08:09:23Z"
"spotify:track:7yvdp8dqmxExSJwT2fn6Xq","Binz","spotify:artist:2auiVi8sUZo17dLy1HwrTU","Solange","spotify:album:4WF4HvVT7VjGnVjxjoCR6w","When I Get Home","spotify:artist:2auiVi8sUZo17dLy1HwrTU","Solange","2019-03-01","https://i.scdn.co/image/ab67616d0000b273b1150f77ae2fbf0d5b4715fc","1","14","111226","https://p.scdn.co/mp3-preview/92e89b40848c7271f43fe0bc8621add9a019adf9?cid=9950ac751e34487dbbe027c4fd7f8e99","true","65","USSM11901232","spotify:user:maliazenaida","2023-12-05T08:09:23Z"
"spotify:track:6rSUrh8ErKSKfbH0t0IzCM","Moment","spotify:artist:63XBtGSEZINSyXylZxEUbv","Victoria Monét","spotify:album:6aW67R0sshdUwtbJEG2uQR","JAGUAR","spotify:artist:63XBtGSEZINSyXylZxEUbv","Victoria Monét","2020-08-07","https://i.scdn.co/image/ab67616d0000b27350aa87e1dea05ba3155bbbb2","1","1","179413","https://p.scdn.co/mp3-preview/329e31b3121445e8ba247e7630198155e2a95192?cid=9950ac751e34487dbbe027c4fd7f8e99","true","65","US23A1501730","spotify:user:maliazenaida","2023-12-05T08:09:23Z"
"spotify:track:4XfI7M5gLwEY84gYiH4RDD","Devil's Advocate","spotify:artist:77SW9BnxLY8rJ0RciFqkHh","The Neighbourhood","spotify:album:4uNgt1uQs6wZRm4giB3shX","Chip Chrome & The Mono-Tones","spotify:artist:77SW9BnxLY8rJ0RciFqkHh","The Neighbourhood","2020-09-25","https://i.scdn.co/image/ab67616d0000b2731a721f3757e5b67f87e1acd3","1","4","186306","https://p.scdn.co/mp3-preview/6b38ab26c40982a81369c0966a5408b2fdc655ef?cid=9950ac751e34487dbbe027c4fd7f8e99","false","71","USSM12003781","spotify:user:maliazenaida","2023-12-05T08:09:23Z"
"spotify:track:2ax9yh9o3eJWbJZbF8tDvj","Valentina","spotify:artist:6u6AbTVrbabv27DLcSrF8i","Dreamer Isioma","spotify:album:3ZzOPT9jEn4oXC2IY5ZP1p","Valentina","spotify:artist:6u6AbTVrbabv27DLcSrF8i","Dreamer Isioma","2019-10-16","https://i.scdn.co/image/ab67616d0000b273c8a4247f09f015c71661aa66","1","1","128639","https://p.scdn.co/mp3-preview/f027f591ca8c92ed9bd11314ec3ee36bf9c5cb2e?cid=9950ac751e34487dbbe027c4fd7f8e99","false","63","QM24S1924708","spotify:user:maliazenaida","2023-12-05T08:09:23Z"
"spotify:track:7tEoJKbYdIHBfn7tTIyjHW","Drug Ballad","spotify:artist:7dGJo4pcD2V6oG8kP0tJRR","Eminem","spotify:album:6t7956yu5zYf5A829XRiHC","The Marshall Mathers LP","spotify:artist:7dGJo4pcD2V6oG8kP0tJRR","Eminem","2000-05-23","https://i.scdn.co/image/ab67616d0000b273dbb3dd82da45b7d7f31b1b42","1","13","300266","https://p.scdn.co/mp3-preview/269c5bff0e49fab7e576c8e7b6af49d4ab294432?cid=9950ac751e34487dbbe027c4fd7f8e99","true","61","USIR10000587","spotify:user:maliazenaida","2023-12-05T08:09:23Z"
"spotify:track:069mlD5el7f9hcN4Wh4YXb","Cocoon","spotify:artist:12Zk1DFhCbHY6v3xep2ZjI","070 Shake","spotify:album:6KQa2rAuOS2rX18xyA9eru","You Can’t Kill Me","spotify:artist:12Zk1DFhCbHY6v3xep2ZjI","070 Shake","2022-06-03","https://i.scdn.co/image/ab67616d0000b273a6dd9a81268761d323411303","1","7","201004","https://p.scdn.co/mp3-preview/b824334466aa978ed11e587a9238eda60f946239?cid=9950ac751e34487dbbe027c4fd7f8e99","true","55","USUM72206311","spotify:user:maliazenaida","2023-12-05T08:09:23Z"
"spotify:track:6EpZVG2zXeXGUitW8979U8","DELRESTO (ECHOES) (feat. Beyoncé)","spotify:artist:0Y5tJX1MQlPlqiwlOH1tJY, spotify:artist:6vWDO969PvNqNYHIOW5v0m","Travis Scott, Beyoncé","spotify:album:6mpTzL80F11TaeU79loRyJ","UTOPIA","spotify:artist:0Y5tJX1MQlPlqiwlOH1tJY","Travis Scott","2023-07-26","https://i.scdn.co/image/ab67616d0000b2739162764a6017634fb155498d","1","9","274137","https://p.scdn.co/mp3-preview/fd16f170b1f8d0a4f4254e62e6ca90acdb9a2002?cid=9950ac751e34487dbbe027c4fd7f8e99","false","58","USSM12305824","spotify:user:maliazenaida","2023-12-05T08:09:23Z"
"spotify:track:0GROiXm03OrMC5ltXLhGIu","The Party & The After Party - Original","spotify:artist:1Xyo4u8uXC1ZmMpatF05PJ","The Weeknd","spotify:album:7zCODUHkfuRxsUjtuzNqbd","House Of Balloons (Original)","spotify:artist:1Xyo4u8uXC1ZmMpatF05PJ","The Weeknd","2011-03-21","https://i.scdn.co/image/ab67616d0000b273274b406a7e18acebcf743079","1","6","459659","https://p.scdn.co/mp3-preview/0ba20f16dcf0d48960131b8a0f2ce96c209b5e3c?cid=9950ac751e34487dbbe027c4fd7f8e99","true","75","USUM72104141","spotify:user:maliazenaida","2023-12-05T08:09:23Z"
