"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At"
"spotify:track:5oJAaPRS2EzNIc8EWIbucE","Miami (feat. BIA)","spotify:artist:1U1el3k54VvEUzo3ybLPlM, spotify:artist:6veh5zbFpm31XsPdjBgPER","Kali Uchis, BIA","spotify:album:4EPQtdq6vvwxuYeQTrwDVY","Isolation","spotify:artist:1U1el3k54VvEUzo3ybLPlM","Kali Uchis","2018-04-06","https://i.scdn.co/image/ab67616d0000b27390b4e1905b1fc48c537ec053","1","2","243864","https://p.scdn.co/mp3-preview/681580e64f54ade4caaa9403ab8b24b4c8a00e04?cid=9950ac751e34487dbbe027c4fd7f8e99","true","56","GBUM71702543","spotify:user:maliazenaida","2022-12-01T17:02:02Z"
"spotify:track:439X8jGytErRiPnaoUJHju","CHANCES","spotify:artist:6qgnBH6iDM91ipVXv28OMu, spotify:artist:3sJQwG0SsGRyv5C5kh4o9a","KAYTRANADA, Shay Lia","spotify:album:2KVBhRpYqnjAVE4eWW3W6g","NOTHIN LIKE U / CHANCES","spotify:artist:6qgnBH6iDM91ipVXv28OMu","KAYTRANADA","2018-11-30","https://i.scdn.co/image/ab67616d0000b273655ae5e33937d69a58ed6566","2","1","218200","https://p.scdn.co/mp3-preview/b8467003ad1308a356ecbdd52bd6e712b5cbda0d?cid=9950ac751e34487dbbe027c4fd7f8e99","false","66","USRC11803721","spotify:user:maliazenaida","2022-12-01T17:04:30Z"
"spotify:track:00CqEmnPLFKDhAb3cuu6Cs","Halo","spotify:artist:26T3LtbuGT1Fu9m0eRq5X3","Cage The Elephant","spotify:album:4EK8gtQfdVsmDTji7gBFlz","Melophobia","spotify:artist:26T3LtbuGT1Fu9m0eRq5X3","Cage The Elephant","2013-10-08","https://i.scdn.co/image/ab67616d0000b273fb1cb900d28642e668d77b12","1","6","177960","https://p.scdn.co/mp3-preview/d83b158a6605a10872c25d123fd88e55caadfefe?cid=9950ac751e34487dbbe027c4fd7f8e99","false","56","USRC11301165","spotify:user:maliazenaida","2022-12-07T20:36:54Z"
"spotify:track:36acAPpnxmi4GoeJe1uKdv","Too Many Nights (feat. Don Toliver & with Future)","spotify:artist:0iEtIxbK0KxaSlF7G42ZOp, spotify:artist:1RyvyyTE3xzB2ZywiAwp0i, spotify:artist:4Gso3d4CscCijv0lmajZWs","Metro Boomin, Future, Don Toliver","spotify:album:4o9NExZng35wpV7pLKvuW0","HEROES & VILLAINS (Heroes Version)","spotify:artist:0iEtIxbK0KxaSlF7G42ZOp","Metro Boomin","2022-12-05","https://i.scdn.co/image/ab67616d0000b273ddeb26b576ba7fc6fb59fa06","1","3","199920","https://p.scdn.co/mp3-preview/113245d7442b7b3880c40b3407dbc695396338f6?cid=9950ac751e34487dbbe027c4fd7f8e99","true","57","USUG12208784","spotify:user:maliazenaida","2022-12-18T19:12:42Z"
"spotify:track:2XYlSmDDaD95qso1Yswn4w","Mr. Bad","spotify:artist:79oW06N8yKp6hKp71ieN7L","okaywill","spotify:album:5SC7ys8NHc0tHM3WVnfYBH","Mr. Bad","spotify:artist:79oW06N8yKp6hKp71ieN7L","okaywill","2022-10-19","https://i.scdn.co/image/ab67616d0000b2730c9a12ff4b90b6e309ca16f4","1","1","193753","https://p.scdn.co/mp3-preview/cb494fff4ca4bace2340ccc8155e427a6a5143b7?cid=9950ac751e34487dbbe027c4fd7f8e99","false","36","FRIDO2211970","spotify:user:maliazenaida","2022-12-01T17:02:44Z"
"spotify:track:4IYKjN1DrYzxKXt0umJqsG","I Got 5 On It","spotify:artist:3z3g65U7mmyyBmmDfsQK9x, spotify:artist:2FT75iYuWmycqYrXbVD9cn","Luniz, Michael Marshall","spotify:album:5pMShIZc6oWiEtcQvXsKfb","Operation Stackola","spotify:artist:3z3g65U7mmyyBmmDfsQK9x","Luniz","1995-07-04","https://i.scdn.co/image/ab67616d0000b273c1ea4aac1ad07a38c59dd30c","1","3","253533","https://p.scdn.co/mp3-preview/063a25900aefa2fbfc82aa064798747220793d83?cid=9950ac751e34487dbbe027c4fd7f8e99","false","76","USVI29500016","spotify:user:maliazenaida","2022-12-09T23:49:33Z"
"spotify:track:3OHfY25tqY28d16oZczHc8","Kill Bill","spotify:artist:7tYKF4w9nC0nq9CsPZTHyP","SZA","spotify:album:07w0rG5TETcyihsEIZR3qG","SOS","spotify:artist:7tYKF4w9nC0nq9CsPZTHyP","SZA","2022-12-09","https://i.scdn.co/image/ab67616d0000b27370dbc9f47669d120ad874ec1","1","2","153946","https://p.scdn.co/mp3-preview/49dfe4ea78c5d3c5d2923d4a34c50fc4709855cb?cid=9950ac751e34487dbbe027c4fd7f8e99","false","86","USRC12204584","spotify:user:maliazenaida","2022-12-09T16:44:44Z"
"spotify:track:7bcy34fBT2ap1L4bfPsl9q","I Didn't Change My Number","spotify:artist:6qqNVTkY8uBg9cP3Jd7DAH","Billie Eilish","spotify:album:0JGOiO34nwfUdDrD612dOp","Happier Than Ever","spotify:artist:6qqNVTkY8uBg9cP3Jd7DAH","Billie Eilish","2021-07-30","https://i.scdn.co/image/ab67616d0000b2732a038d3bf875d23e4aeaa84e","1","2","158463","https://p.scdn.co/mp3-preview/51adb538cce9b760227fd3df60d4cd2ba3e2368f?cid=9950ac751e34487dbbe027c4fd7f8e99","true","75","USUM72105926","spotify:user:maliazenaida","2022-12-02T17:23:35Z"
"spotify:track:1wW7ffBdb4YnJh9K6E5Z9p","Dull Boy","spotify:artist:2RhgnQNC74QoBlaUvT4MEe","The Growlers","spotify:album:6exFB8EKturdauvN5XV0ov","Chinese Fountain","spotify:artist:2RhgnQNC74QoBlaUvT4MEe","The Growlers","2014-09-23","https://i.scdn.co/image/ab67616d0000b273d2d911df14180b62b916ca0d","1","4","203226","","false","0","USER81404404","spotify:user:maliazenaida","2022-12-10T20:40:46Z"
"spotify:track:6gJ2H930mAD1zRqmoFiE4W","Hold It Together","spotify:artist:2sSGPbdZJkaSE2AbcGOACx","The Marías","spotify:album:06ToGOGFYkUkABJgpx3Mbb","Hold It Together","spotify:artist:2sSGPbdZJkaSE2AbcGOACx","The Marías","2020-03-06","https://i.scdn.co/image/ab67616d0000b2739201fecf333d3ef48c35953a","1","1","222021","https://p.scdn.co/mp3-preview/0a192364f2c0e7ff3a279ac4a326a65f2b3cfd54?cid=9950ac751e34487dbbe027c4fd7f8e99","false","52","USAT22000424","spotify:user:maliazenaida","2022-12-01T17:07:05Z"
