"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At"
"spotify:track:4rHZZAmHpZrA3iH5zx8frV","Mirrors","spotify:artist:31TPClRtHm23RisEBtV3X7","Justin Timberlake","spotify:album:0O82niJ0NpcptYRxogeEZu","The 20/20 Experience (Deluxe Version)","spotify:artist:31TPClRtHm23RisEBtV3X7","Justin Timberlake","2013-03-15","https://i.scdn.co/image/ab67616d0000b273db1d1cdc927a07825a2ed244","1","9","484146","https://p.scdn.co/mp3-preview/46994b2d9a44ac2bae88959e424bf960a42ede13?cid=9950ac751e34487dbbe027c4fd7f8e99","false","84","USRC11300059","spotify:user:maliazenaida","2022-06-27T22:57:54Z"
"spotify:track:2nNuK9VEgzGMq2lFLAg7S3","The Actor","spotify:artist:3XHO7cRUPCLOr6jwp8vsx5","alt-J","spotify:album:5ogYKSRRlVAgMzv09HFeIn","The Dream","spotify:artist:3XHO7cRUPCLOr6jwp8vsx5","alt-J","2022-02-11","https://i.scdn.co/image/ab67616d0000b273c44ea63878762e1f3791a551","1","5","240893","https://p.scdn.co/mp3-preview/0a05b67886b666786a380b7d3ce1255dad6684f6?cid=9950ac751e34487dbbe027c4fd7f8e99","true","46","GB5KW2102487","spotify:user:maliazenaida","2022-06-29T02:43:11Z"
"spotify:track:4z9VuRI0SGk6mZXRRZyT7Z","It's Been a Little Heavy Lately","spotify:artist:28EyduqESEOVMO6vglvaUZ","Joesef","spotify:album:6pemgHNxTnz4vRNNMLQCAe","It's Been a Little Heavy Lately","spotify:artist:28EyduqESEOVMO6vglvaUZ","Joesef","2022-02-03","https://i.scdn.co/image/ab67616d0000b273fa17ba00dabdc7bc31dcc5d0","1","1","221871","","true","0","GBKPL2176592","spotify:user:maliazenaida","2022-06-27T22:59:25Z"
"spotify:track:5r5Lj2MkgwQJz6TaBdL865","Spiderhead","spotify:artist:26T3LtbuGT1Fu9m0eRq5X3","Cage The Elephant","spotify:album:4EK8gtQfdVsmDTji7gBFlz","Melophobia","spotify:artist:26T3LtbuGT1Fu9m0eRq5X3","Cage The Elephant","2013-10-08","https://i.scdn.co/image/ab67616d0000b273fb1cb900d28642e668d77b12","1","1","222813","https://p.scdn.co/mp3-preview/b23c2ffdb8e37ff36519cf671c0e9b2bbe7d4a52?cid=9950ac751e34487dbbe027c4fd7f8e99","false","62","USRC11301161","spotify:user:maliazenaida","2022-06-27T22:58:39Z"
"spotify:track:7onHzHeOVE3M9p0tNKQbXc","NEO","spotify:artist:3Gm5F95VdRxW3mqCn8RPBJ","Aminé","spotify:album:0KkHzH0uia9zwPbrCbS6NY","TWOPOINTFIVE","spotify:artist:3Gm5F95VdRxW3mqCn8RPBJ","Aminé","2021-11-05","https://i.scdn.co/image/ab67616d0000b273ca74198e1f4ef261bf418029","1","3","123983","https://p.scdn.co/mp3-preview/62abbc57096cb2d3663702e2a9060c375f159508?cid=9950ac751e34487dbbe027c4fd7f8e99","true","49","QZLBC2100486","spotify:user:maliazenaida","2022-06-27T22:58:34Z"
"spotify:track:0ibpvxLcFccvQJd0SjdUvW","Connaissais de Face","spotify:artist:2mVVjNmdjXZZDvhgQWiakk","Khruangbin","spotify:album:2IzUZlhtBvPQYs74KeG6fb","Mordechai","spotify:artist:2mVVjNmdjXZZDvhgQWiakk","Khruangbin","2020-06-26","https://i.scdn.co/image/ab67616d0000b273d0eca87ea7f362cf1b8fa19a","1","3","260732","https://p.scdn.co/mp3-preview/51e3b004856bcecaf22518044d8c560a3f67a6ec?cid=9950ac751e34487dbbe027c4fd7f8e99","false","60","USJ5G2019303","spotify:user:maliazenaida","2022-06-29T02:23:31Z"
"spotify:track:4hKGICUB890arImAdWRaHQ","Hero","spotify:artist:2h93pZq0e7k5yf4dywlkpM, spotify:artist:7zQmORVNaWz1cW1KJB2cTX, spotify:artist:62bYKAZ5EdmG5Aca9dtVan, spotify:artist:5fMUXHkw8R8eOP2RNVYEZX","Frank Ocean, Mick Jones, Paul Simonon, Diplo","spotify:album:0Q8Oo7AyaEh0EzwSIOd1o0","Three Artists. One Song","spotify:artist:0LyfQWJT6nXafLPZqxe9Of","Various Artists","2014-03-10","https://i.scdn.co/image/ab67616d0000b273f22a2dac0aa8f23769fa6e6c","1","1","165467","https://p.scdn.co/mp3-preview/e62e51439718f5680bc0daa35d801fd631e9ffcf?cid=9950ac751e34487dbbe027c4fd7f8e99","false","51","spotify01","spotify:user:maliazenaida","2022-06-27T23:31:40Z"
"spotify:track:6qZjm61s6u8Ead9sWxCDro","Elephant","spotify:artist:5INjqkS1o8h1imAzPqGZBb","Tame Impala","spotify:album:3C2MFZ2iHotUQOSBzdSvM7","Lonerism","spotify:artist:5INjqkS1o8h1imAzPqGZBb","Tame Impala","2012-01-01","https://i.scdn.co/image/ab67616d0000b273370c12f82872c9cfaee80193","1","9","211226","https://p.scdn.co/mp3-preview/e2892d09a5d337ed85a23ccbca9c8dcdd30905ee?cid=9950ac751e34487dbbe027c4fd7f8e99","false","74","AUUM71200495","spotify:user:maliazenaida","2022-06-27T22:58:29Z"
"spotify:track:6supMAknraGpJrN5qqYfV8","Good Form (feat. Lil Wayne) - Remix","spotify:artist:0hCNtLu0JehylgoiP8L4Gh, spotify:artist:55Aa2cqylxrFIXC767Z865","Nicki Minaj, Lil Wayne","spotify:album:6zA5X3CQ5rgLKhTobyV5Id","Queen (Deluxe)","spotify:artist:0hCNtLu0JehylgoiP8L4Gh","Nicki Minaj","2018-11-29","https://i.scdn.co/image/ab67616d0000b273fc8c64bfc4323ff7ce68fea8","1","20","237493","https://p.scdn.co/mp3-preview/6b8d65169fc3ff9c15ce9e8a89849eab4422ce4b?cid=9950ac751e34487dbbe027c4fd7f8e99","true","62","USCM51800383","spotify:user:maliazenaida","2022-06-27T22:59:13Z"
"spotify:track:2XkDm5m2vPowecEAAR5gmb","ONE IN A MILLION","spotify:artist:7pbDxGE6nQSZVfiFdq9lOL","Rex Orange County","spotify:album:2yI4m5Yu2tl8v0It5P9WVz","WHO CARES?","spotify:artist:7pbDxGE6nQSZVfiFdq9lOL","Rex Orange County","2022-03-11","https://i.scdn.co/image/ab67616d0000b2735b656d32ea6b0b9c54c2d2e0","1","5","194893","https://p.scdn.co/mp3-preview/cd28226c667081295e0bcfe893a77984acc08ea9?cid=9950ac751e34487dbbe027c4fd7f8e99","true","64","USRC12102924","spotify:user:maliazenaida","2022-06-27T23:00:03Z"
"spotify:track:25KybV9BOUlvcnv7nN3Pyo","In The Night","spotify:artist:1Xyo4u8uXC1ZmMpatF05PJ","The Weeknd","spotify:album:0P3oVJBFOv3TDXlYRhGL7s","Beauty Behind The Madness","spotify:artist:1Xyo4u8uXC1ZmMpatF05PJ","The Weeknd","2015-08-28","https://i.scdn.co/image/ab67616d0000b2737fcead687e99583072cc217b","1","10","235653","https://p.scdn.co/mp3-preview/0cedba9520fb8c3dee5987566e4795756d5bd95b?cid=9950ac751e34487dbbe027c4fd7f8e99","true","78","USUG11500951","spotify:user:maliazenaida","2022-06-27T23:44:53Z"
"spotify:track:1foMv2HQwfQ2vntFf9HFeG","Rhinestone Eyes","spotify:artist:3AA28KZvwAUcZuOKwyblJQ","Gorillaz","spotify:album:2dIGnmEIy1WZIcZCFSj6i8","Plastic Beach","spotify:artist:3AA28KZvwAUcZuOKwyblJQ","Gorillaz","2010-03-03","https://i.scdn.co/image/ab67616d0000b273661d019f34569f79eae9e985","1","4","200173","https://p.scdn.co/mp3-preview/f16d7c3a013b0127da5ba7cf7b0dd89e224f8ed0?cid=9950ac751e34487dbbe027c4fd7f8e99","false","79","GBAYE1000017","spotify:user:maliazenaida","2022-06-27T22:58:45Z"
"spotify:track:6BFnRhvKCclDQOajt8dBGi","Diet Mountain Dew","spotify:artist:00FQb4jTyendYWaN8pK0wa","Lana Del Rey","spotify:album:0Dt3FbpMQwjoT5KNAw0IXR","Born To Die – Paradise Edition (Special Version)","spotify:artist:00FQb4jTyendYWaN8pK0wa","Lana Del Rey","2012-01-01","https://i.scdn.co/image/ab67616d0000b273f894be72a77b1488292672c7","1","5","222920","https://p.scdn.co/mp3-preview/1e976cf87bc649e714d9329303ed2ddb37297e6a?cid=9950ac751e34487dbbe027c4fd7f8e99","false","73","GBUM71111528","spotify:user:maliazenaida","2022-06-27T22:58:50Z"
"spotify:track:6Zx618hMvnGqGnQCSLXVbY","The Way That I Do","spotify:artist:6TVVIyd0fsRDGg6WzHKyTP, spotify:artist:4dwDVC6lrMINxVBxETE1AB","Durand Jones & The Indications, Aaron Frazer","spotify:album:0zaFZVRFQoYDlrIwjzrJbz","The Way That I Do","spotify:artist:6TVVIyd0fsRDGg6WzHKyTP","Durand Jones & The Indications","2021-07-13","https://i.scdn.co/image/ab67616d0000b2730b849da4ab1f9d82cd90d180","1","1","210329","https://p.scdn.co/mp3-preview/111601341b3bf5fd5c9fe961cced62394d550030?cid=9950ac751e34487dbbe027c4fd7f8e99","false","50","USJ5G2122706","spotify:user:maliazenaida","2022-06-27T22:59:22Z"
"spotify:track:31tf1qEai5o5f4r66Kd0pU","Me and Your Mama","spotify:artist:73sIBHcqh3Z3NyqHKZ7FOL","Childish Gambino","spotify:album:4Carzsnpd6yvuHZ49I0oz8","""Awaken, My Love!""","spotify:artist:73sIBHcqh3Z3NyqHKZ7FOL","Childish Gambino","2016-12-02","https://i.scdn.co/image/ab67616d0000b273f78c98bbf2b3c9e2a764203e","1","1","379226","","false","6","USYAH1600102","spotify:user:maliazenaida","2022-06-28T03:51:06Z"
"spotify:track:3tCCH9aaiKRmwOjvIKq76d","Shawty","spotify:artist:0NB5HROxc8dDBXpkIi1v3d","Remi Wolf","spotify:album:2kF6bikHMAry39BlUpZkes","Shawty","spotify:artist:0NB5HROxc8dDBXpkIi1v3d","Remi Wolf","2019-08-07","https://i.scdn.co/image/ab67616d0000b2731afa910201111fd0035ffde5","1","1","197727","https://p.scdn.co/mp3-preview/6dcda092c424740faff78c93c924508684b63b1f?cid=9950ac751e34487dbbe027c4fd7f8e99","true","53","QZ93L1954278","spotify:user:maliazenaida","2022-06-27T22:59:30Z"
