"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At"
"spotify:track:7t86fVeDAd63ThaR0ZkxXS","Everything Is Everything","spotify:artist:2Mu5NfyYm8n5iTomuKAEHl","Ms. Lauryn Hill","spotify:album:1BZoqf8Zje5nGdwZhOjAtD","The Miseducation of Lauryn Hill","spotify:artist:2Mu5NfyYm8n5iTomuKAEHl","Ms. Lauryn Hill","1998-08-25","https://i.scdn.co/image/ab67616d0000b273e08b1250db5f75643f1508c9","1","13","293266","https://p.scdn.co/mp3-preview/bd36c2d123b5d45957d55168ec6871cfd7f94074?cid=9950ac751e34487dbbe027c4fd7f8e99","false","61","USSM19803113","spotify:user:maliazenaida","2023-01-04T19:57:38Z"
"spotify:track:2ax9yh9o3eJWbJZbF8tDvj","Valentina","spotify:artist:6u6AbTVrbabv27DLcSrF8i","Dreamer Isioma","spotify:album:3ZzOPT9jEn4oXC2IY5ZP1p","Valentina","spotify:artist:6u6AbTVrbabv27DLcSrF8i","Dreamer Isioma","2019-10-16","https://i.scdn.co/image/ab67616d0000b273c8a4247f09f015c71661aa66","1","1","128639","https://p.scdn.co/mp3-preview/f027f591ca8c92ed9bd11314ec3ee36bf9c5cb2e?cid=9950ac751e34487dbbe027c4fd7f8e99","false","63","QM24S1924708","spotify:user:maliazenaida","2023-01-04T19:58:26Z"
"spotify:track:66YXnXYGfXFA6KAYeySWpL","Khadijah","spotify:artist:6PEMFpe3PTOksdV4ZXUpbE, spotify:artist:3jK9MiCrA42lLAdMGUZpwa, spotify:artist:17Zu03OgBVxgLxWmRUyNOJ","NxWorries, Anderson .Paak, Knxwledge","spotify:album:0gpxUkqSnLwD50aaRir6jH","Yes Lawd!","spotify:artist:6PEMFpe3PTOksdV4ZXUpbE, spotify:artist:3jK9MiCrA42lLAdMGUZpwa, spotify:artist:17Zu03OgBVxgLxWmRUyNOJ","NxWorries, Anderson .Paak, Knxwledge","2016-10-21","https://i.scdn.co/image/ab67616d0000b273cc186f1bfb7589712e2a881f","1","10","122373","https://p.scdn.co/mp3-preview/8d9057323d12505d38f4b70a81f6a56f665053d9?cid=9950ac751e34487dbbe027c4fd7f8e99","true","40","US2S71670010","spotify:user:maliazenaida","2023-01-12T19:30:03Z"
"spotify:track:069mlD5el7f9hcN4Wh4YXb","Cocoon","spotify:artist:12Zk1DFhCbHY6v3xep2ZjI","070 Shake","spotify:album:6KQa2rAuOS2rX18xyA9eru","You Can’t Kill Me","spotify:artist:12Zk1DFhCbHY6v3xep2ZjI","070 Shake","2022-06-03","https://i.scdn.co/image/ab67616d0000b273a6dd9a81268761d323411303","1","7","201004","https://p.scdn.co/mp3-preview/b824334466aa978ed11e587a9238eda60f946239?cid=9950ac751e34487dbbe027c4fd7f8e99","true","55","USUM72206311","spotify:user:maliazenaida","2023-01-10T21:30:36Z"
"spotify:track:1TEHeYuZGKXIcZxONEsJ3K","Payday","spotify:artist:5kkpDTQbRC2UCCCUhF6j90, spotify:artist:6aaMZ3fcfLv4tEbmY7bjRM","Bando., Isaiah Rashad","spotify:album:0lofROR75lRgE1OZzPl1Pw","Payday","spotify:artist:5kkpDTQbRC2UCCCUhF6j90, spotify:artist:6aaMZ3fcfLv4tEbmY7bjRM","Bando., Isaiah Rashad","2021-11-12","https://i.scdn.co/image/ab67616d0000b2737fe0e7dba98fc0c53dd46d14","1","1","190344","https://p.scdn.co/mp3-preview/a91708ded98824b807f50385d06fc53f7a19e5b7?cid=9950ac751e34487dbbe027c4fd7f8e99","true","44","QZNWW2124373","spotify:user:maliazenaida","2023-01-18T01:47:50Z"
"spotify:track:5jSfKTSGeRp8ir8qaobdcJ","Zombies","spotify:artist:73sIBHcqh3Z3NyqHKZ7FOL","Childish Gambino","spotify:album:7caGY3YPOchIO8xLvTKWN4","""Awaken, My Love!""","spotify:artist:73sIBHcqh3Z3NyqHKZ7FOL","Childish Gambino","2016-12-02","https://i.scdn.co/image/ab67616d0000b2737582716b3666a5235d5af4ea","1","4","281813","https://p.scdn.co/mp3-preview/b832acd97e275b66061004a0dbb0820b9fa56f33?cid=9950ac751e34487dbbe027c4fd7f8e99","false","55","USYAH1600105","spotify:user:maliazenaida","2023-01-23T17:46:18Z"
"spotify:track:76p5d8BcoUNIibKjCqOAOg","It's A Man's World","spotify:artist:7GaxyUddsPok8BuhxN6OUW","James Brown","spotify:album:2yuTyv0L51qvYuI5RIktlA","Star Time","spotify:artist:7GaxyUddsPok8BuhxN6OUW","James Brown","1991-01-01","https://i.scdn.co/image/ab67616d0000b273818c45ca29446e7352ba187f","1","22","197933","https://p.scdn.co/mp3-preview/b467032da71a0ca73bccc7803a3d2f1d466555fb?cid=9950ac751e34487dbbe027c4fd7f8e99","false","50","USWWW0128572","spotify:user:maliazenaida","2023-01-04T20:00:05Z"
"spotify:track:5AKAyMEL5LqCkafztPdBSI","I'll Be Waiting","spotify:artist:4dpARuHxo51G3z768sgnrY","Adele","spotify:album:0Lg1uZvI312TPqxNWShFXL","21","spotify:artist:4dpARuHxo51G3z768sgnrY","Adele","2011-01-24","https://i.scdn.co/image/ab67616d0000b2732118bf9b198b05a95ded6300","1","8","241351","https://p.scdn.co/mp3-preview/f70f5feddcd3c980f0bf6d341b55291e73f13267?cid=9950ac751e34487dbbe027c4fd7f8e99","false","55","GBBKS1000345","spotify:user:maliazenaida","2023-01-09T17:14:51Z"
"spotify:track:0Xcy81PsJCOO6mhLZaQyQ4","Perfecto","spotify:artist:4LLpKhyESsyAXpc4laK94U","Mac Miller","spotify:album:5wtE5aLX5r7jOosmPhJhhk","Swimming","spotify:artist:4LLpKhyESsyAXpc4laK94U","Mac Miller","2018-08-03","https://i.scdn.co/image/ab67616d0000b273175c577a61aa13d4fb4b6534","1","4","215413","https://p.scdn.co/mp3-preview/17d36adc49e44012a44bc11130acff494698409c?cid=9950ac751e34487dbbe027c4fd7f8e99","true","64","USWB11801214","spotify:user:maliazenaida","2023-01-04T20:00:17Z"
"spotify:track:4rCuwgRRKaIiHlHDc8Bga6","We Might Even Be Falling In Love (Interlude)","spotify:artist:63XBtGSEZINSyXylZxEUbv","Victoria Monét","spotify:album:6aW67R0sshdUwtbJEG2uQR","JAGUAR","spotify:artist:63XBtGSEZINSyXylZxEUbv","Victoria Monét","2020-08-07","https://i.scdn.co/image/ab67616d0000b27350aa87e1dea05ba3155bbbb2","1","4","51913","https://p.scdn.co/mp3-preview/27cf711c9c7a1cf087538f96822b78ac2064a41a?cid=9950ac751e34487dbbe027c4fd7f8e99","false","77","US23A1512041","spotify:user:maliazenaida","2023-01-04T20:00:34Z"
"spotify:track:4GdB5M7GbwLZLouktYocFC","SpottieOttieDopaliscious","spotify:artist:1G9G7WwrXka3Z1r7aIDjI7","Outkast","spotify:album:5ceB3rxgXqIRpsOvVzTG28","Aquemini","spotify:artist:1G9G7WwrXka3Z1r7aIDjI7","Outkast","1998-09-29","https://i.scdn.co/image/ab67616d0000b273377a6d2051b23afea65ee41a","1","12","426853","https://p.scdn.co/mp3-preview/d55212803df11874851f8bc5a2694bab0122e728?cid=9950ac751e34487dbbe027c4fd7f8e99","true","61","USLF29800327","spotify:user:maliazenaida","2023-01-04T20:00:37Z"
"spotify:track:5RcuACCOhgoc4ZH57AVCLA","Feel Like A Fool","spotify:artist:1U1el3k54VvEUzo3ybLPlM","Kali Uchis","spotify:album:4EPQtdq6vvwxuYeQTrwDVY","Isolation","spotify:artist:1U1el3k54VvEUzo3ybLPlM","Kali Uchis","2018-04-06","https://i.scdn.co/image/ab67616d0000b27390b4e1905b1fc48c537ec053","1","14","185239","https://p.scdn.co/mp3-preview/978da144b944f971b597f274621913380c1dfaba?cid=9950ac751e34487dbbe027c4fd7f8e99","true","55","GBUM71702548","spotify:user:maliazenaida","2023-01-04T20:00:41Z"
"spotify:track:1PdHorDs2MY7Npj8VQynSn","Thug Tears","spotify:artist:6yJ6QQ3Y5l0s0tn7b0arrO","JPEGMAFIA","spotify:album:51WLEfPEEkzAWurvuY6Gco","Veteran","spotify:artist:6yJ6QQ3Y5l0s0tn7b0arrO","JPEGMAFIA","2018-01-19","https://i.scdn.co/image/ab67616d0000b273f8aaeba5e6dee1745371e822","1","3","198310","https://p.scdn.co/mp3-preview/1c13dfd026ec07f34b1b0837c1745f3b90dd04aa?cid=9950ac751e34487dbbe027c4fd7f8e99","true","49","QM24S1800044","spotify:user:maliazenaida","2023-01-11T13:47:37Z"
"spotify:track:7LJz6DZS1tIRB06bbYbAPi","...& On","spotify:artist:7IfculRW2WXyzNQ8djX8WX","Erykah Badu","spotify:album:3cADvHRdKniF9ELCn1zbGH","Mama's Gun","spotify:artist:7IfculRW2WXyzNQ8djX8WX","Erykah Badu","2000-10-31","https://i.scdn.co/image/ab67616d0000b2730d934cb462fae5a26f829efb","1","4","214133","https://p.scdn.co/mp3-preview/e3fa3d95981da444d16133522ccd72a91d281b95?cid=9950ac751e34487dbbe027c4fd7f8e99","true","58","USMO10001026","spotify:user:maliazenaida","2023-01-04T20:00:44Z"
"spotify:track:4jnFqNWeJCeCRHc4HCdxfd","Remember the Time","spotify:artist:3fMbdgg4jU18AjLCKBhRSm","Michael Jackson","spotify:album:0oX4SealMgNXrvRDhqqOKg","Dangerous","spotify:artist:3fMbdgg4jU18AjLCKBhRSm","Michael Jackson","1991-11-13","https://i.scdn.co/image/ab67616d0000b2733b9f8b18cc685e1502128aa8","1","5","239226","https://p.scdn.co/mp3-preview/4ea719dd3e633874e12f1617c1b8289f12ea10a6?cid=9950ac751e34487dbbe027c4fd7f8e99","false","75","USSM10020715","spotify:user:maliazenaida","2023-01-04T20:00:48Z"
