"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At"
"spotify:track:0rimetBQIYXE3uMCbuXBUa","A Woman's Worth","spotify:artist:3DiDSECUqqY1AuBP8qtaIa","Alicia Keys","spotify:album:5qUlPoDmNxCSzqVx81RDLJ","Songs In A Minor","spotify:artist:3DiDSECUqqY1AuBP8qtaIa","Alicia Keys","2001-06-05","https://i.scdn.co/image/ab67616d0000b2736d684b553a40e4a11e1db96d","1","7","303333","https://p.scdn.co/mp3-preview/17ba13cde245734542462322b7384cf3657e1c89?cid=9950ac751e34487dbbe027c4fd7f8e99","false","58","USJAY0100060","spotify:user:maliazenaida","2022-11-28T18:44:37Z"
"spotify:track:28luqgS4NCuFKP6YSOtia5","Foreplay","spotify:artist:41DGOfz7IFMVvf9wKAzeZS","Jalen Santoy","spotify:album:0uRgp488f4SX8NcJ5p1GqI","Foreplay","spotify:artist:41DGOfz7IFMVvf9wKAzeZS","Jalen Santoy","2016-07-07","https://i.scdn.co/image/ab67616d0000b273e45db56c3d64cff1da2effaa","1","1","173784","https://p.scdn.co/mp3-preview/7fb622325d82571fd882b5a859408227c8e0b7c9?cid=9950ac751e34487dbbe027c4fd7f8e99","false","62","USUYG1106731","spotify:user:maliazenaida","2022-11-02T19:31:43Z"
"spotify:track:4zIiarkbaDt2cm6sukb1Xt","Soaked","spotify:artist:0Cp8WN4V8Tu4QJQwCN5Md4","BENEE","spotify:album:6pTMhQX8gt1xegiIwo3Ekb","FIRE ON MARZZ","spotify:artist:0Cp8WN4V8Tu4QJQwCN5Md4","BENEE","2019-06-28","https://i.scdn.co/image/ab67616d0000b273447289301b37e205337ddd61","1","1","240946","https://p.scdn.co/mp3-preview/574df5fb87faf0db033fca8e7e6b4fe0fd145912?cid=9950ac751e34487dbbe027c4fd7f8e99","false","60","NZCR81800001","spotify:user:maliazenaida","2022-11-02T19:32:11Z"
"spotify:track:1CbxG199T0fzfUV5EO7aPV","Eternal Light","spotify:artist:4596e2d3KmYzAeVenjCxfj, spotify:artist:2oZcMYiKpjaA2Et5mU3RPP","Free Nationals, Chronixx","spotify:album:53oqFs4q8sfqH6IPiyleEN","Free Nationals","spotify:artist:4596e2d3KmYzAeVenjCxfj","Free Nationals","2019-12-13","https://i.scdn.co/image/ab67616d0000b273d93501aba7bc1140aac628c6","1","10","193740","https://p.scdn.co/mp3-preview/bcfbcd00d883e5686a102adbafedcd1b97e7caf7?cid=9950ac751e34487dbbe027c4fd7f8e99","false","70","USUYG1276413","spotify:user:maliazenaida","2022-11-01T14:39:41Z"
"spotify:track:2pSsHnjAgEPjHmet7ChlHQ","Coming Back (feat. SZA)","spotify:artist:53KwLdlmrlCelAZMaLVZqU, spotify:artist:7tYKF4w9nC0nq9CsPZTHyP","James Blake, SZA","spotify:album:1zNtJFMCNIyT0X19jpcI3j","Friends That Break Your Heart","spotify:artist:53KwLdlmrlCelAZMaLVZqU","James Blake","2021-10-08","https://i.scdn.co/image/ab67616d0000b27338d030048ec770b15633dbc1","1","3","195905","https://p.scdn.co/mp3-preview/e3e64fb40503ab2d7a73961ac86542e27cfa95ac?cid=9950ac751e34487dbbe027c4fd7f8e99","true","65","USUM72109423","spotify:user:maliazenaida","2022-11-02T19:31:14Z"
"spotify:track:6AWssBCESVyeRIlaHzNIDA","Tomorrow","spotify:artist:79oW06N8yKp6hKp71ieN7L","okaywill","spotify:album:7wwxAL7OA0AvhWjl87OBKb","Tomorrow","spotify:artist:79oW06N8yKp6hKp71ieN7L","okaywill","2022-05-10","https://i.scdn.co/image/ab67616d0000b273633a14a84a94970dfae61d94","1","1","119016","https://p.scdn.co/mp3-preview/a1c9c2cdc9c2db25fdef7a9d8920a48bfe5a4905?cid=9950ac751e34487dbbe027c4fd7f8e99","false","62","FRIDO2210662","spotify:user:maliazenaida","2022-11-29T04:44:31Z"
"spotify:track:1xWH8zYtDeS9mW1JJG23VZ","R.E.M","spotify:artist:66CXWjxzNUsdJxJ2JdwvnR","Ariana Grande","spotify:album:3tx8gQqWbGwqIGZHqDNrGe","Sweetener","spotify:artist:66CXWjxzNUsdJxJ2JdwvnR","Ariana Grande","2018-08-17","https://i.scdn.co/image/ab67616d0000b273c3af0c2355c24ed7023cd394","1","4","245666","https://p.scdn.co/mp3-preview/20e97e1e9b5055c08f55b6721cf2d70c082eab80?cid=9950ac751e34487dbbe027c4fd7f8e99","true","65","USUM71808571","spotify:user:maliazenaida","2022-11-14T16:16:36Z"
"spotify:track:712uvW1Vezq8WpQi38v2L9","Bitch, Don’t Kill My Vibe","spotify:artist:2YZyLoL8N0Wb9xBt1NhZWg","Kendrick Lamar","spotify:album:3DGQ1iZ9XKUQxAUWjfC34w","good kid, m.A.A.d city (Deluxe)","spotify:artist:2YZyLoL8N0Wb9xBt1NhZWg","Kendrick Lamar","2012","https://i.scdn.co/image/ab67616d0000b273d58e537cea05c2156792c53d","1","2","310720","https://p.scdn.co/mp3-preview/6cea1dd25b2f28fc4d13e12448fa585de955872a?cid=9950ac751e34487dbbe027c4fd7f8e99","true","69","USUM71210774","spotify:user:maliazenaida","2022-11-27T09:09:23Z"
"spotify:track:2ZlABhxMMa43COmZ97kKsJ","Jumbotron Shit Poppin","spotify:artist:3TVXtAsR1Inumwj472S9r4","Drake","spotify:album:5MS3MvWHJ3lOZPLiMxzOU6","Her Loss","spotify:artist:3TVXtAsR1Inumwj472S9r4, spotify:artist:1URnnhqYAYcrqrcwql10ft","Drake, 21 Savage","2022-11-04","https://i.scdn.co/image/ab67616d0000b27302854a7060fccc1a66a4b5ad","1","13","137151","https://p.scdn.co/mp3-preview/e9570b3aa2120acf36e7f6139348c62864b6a2d8?cid=9950ac751e34487dbbe027c4fd7f8e99","true","75","USUG12208610","spotify:user:maliazenaida","2022-11-08T16:28:31Z"
"spotify:track:3ODXRUPL44f04cCacwiCLC","i","spotify:artist:2YZyLoL8N0Wb9xBt1NhZWg","Kendrick Lamar","spotify:album:7ycBtnsMtyVbbwTfJwRjSP","To Pimp A Butterfly","spotify:artist:2YZyLoL8N0Wb9xBt1NhZWg","Kendrick Lamar","2015-03-16","https://i.scdn.co/image/ab67616d0000b273cdb645498cd3d8a2db4d05e1","1","15","336013","https://p.scdn.co/mp3-preview/72bbbf1a3086f804c6c12cfa9eeb75dc3a69e0a0?cid=9950ac751e34487dbbe027c4fd7f8e99","true","64","USUM71502509","spotify:user:maliazenaida","2022-11-01T14:39:31Z"
