"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At"
"spotify:track:2gx8U4Ujtk3UL94tv8r8io","Idol Eyes","spotify:artist:5UA8O7xDhZ74ebRYT0XOxB","Common Saints","spotify:album:3Ctte2z1vhnDZoxYpcvm6D","Idol Eyes","spotify:artist:5UA8O7xDhZ74ebRYT0XOxB","Common Saints","2020-10-09","https://i.scdn.co/image/ab67616d0000b27350068ff4b9b746b7cf2388aa","1","1","288426","https://p.scdn.co/mp3-preview/f5c6f9354fa9902d2ea5406c64b2a53ec70755e3?cid=9950ac751e34487dbbe027c4fd7f8e99","false","50","US23A1502098","spotify:user:maliazenaida","2022-09-01T19:19:19Z"
"spotify:track:1ShRHPAiiIrh0arZbSFmx1","Heavy","spotify:artist:2sSGPbdZJkaSE2AbcGOACx","The Marías","spotify:album:5TkaDC4mYSLBvdG6UrIB0v","CINEMA","spotify:artist:2sSGPbdZJkaSE2AbcGOACx","The Marías","2021-06-25","https://i.scdn.co/image/ab67616d0000b273ec93734d42345154b422c8d5","1","7","253213","https://p.scdn.co/mp3-preview/da0344464bb39bef30b34d3d990fe457f038d8c9?cid=9950ac751e34487dbbe027c4fd7f8e99","false","58","USAT22100694","spotify:user:maliazenaida","2022-09-01T19:19:25Z"
"spotify:track:7mb5XTIMvNZa2N0Mdx68Xi","Blinding Sights (Left Me Cold in the Night)","spotify:artist:2jAzx88tHo3KNYauXANisl","Yellow House","spotify:album:06YsuIiMmeV7GzKNTxNy59","A Carnival of Fears","spotify:artist:2jAzx88tHo3KNYauXANisl","Yellow House","2017-04-20","https://i.scdn.co/image/ab67616d0000b273238d9d43908b01587500d8cf","1","4","166287","https://p.scdn.co/mp3-preview/a46aafa677851b54baf6871b888838152fe22b4a?cid=9950ac751e34487dbbe027c4fd7f8e99","false","54","TCADA1739092","spotify:user:maliazenaida","2022-09-01T19:19:45Z"
"spotify:track:5LOIteqUpPswpOEVQcB6NC","Weak for Your Love","spotify:artist:0oK5D6uPhGu4Jk2dbZfodU","Thee Sacred Souls","spotify:album:1SEoKyk45BLriYagSAoaIu","Can I Call You Rose?","spotify:artist:0oK5D6uPhGu4Jk2dbZfodU","Thee Sacred Souls","2020-03-18","https://i.scdn.co/image/ab67616d0000b27388f59a52d827e2e3abaaaa3f","1","2","260707","","false","1","USA2B2033443","spotify:user:maliazenaida","2022-09-01T19:19:41Z"
"spotify:track:70oY6gKgHfMlVLVxFROeiA","Lavender Kiss","spotify:artist:0E4NHpF5yXQw2TNkRarHKy","The Licks","spotify:album:11njZ9OYw5yAKvn5CWW5rl","Lavender Kiss","spotify:artist:0E4NHpF5yXQw2TNkRarHKy","The Licks","2018-01-07","https://i.scdn.co/image/ab67616d0000b273aecf59ffd0819bd20d7a2960","1","1","243645","https://p.scdn.co/mp3-preview/278b007ef148bb400d0e914f63ac375e8e2fb53d?cid=9950ac751e34487dbbe027c4fd7f8e99","false","53","QZAPG1824407","spotify:user:maliazenaida","2022-09-01T19:21:01Z"
"spotify:track:5ZK62nSchTamBy8F6HIZov","Sea Gets Hotter","spotify:artist:6TVVIyd0fsRDGg6WzHKyTP, spotify:artist:099J9XcZ0A8kXtBANb5WCs, spotify:artist:4dwDVC6lrMINxVBxETE1AB","Durand Jones & The Indications, Durand Jones, Aaron Frazer","spotify:album:7FU0CDJvPwKDWRXtHYcsoY","American Love Call","spotify:artist:6TVVIyd0fsRDGg6WzHKyTP","Durand Jones & The Indications","2019-03-01","https://i.scdn.co/image/ab67616d0000b2738deec279b07d5a628aca1ea3","1","10","197226","https://p.scdn.co/mp3-preview/dd7cad15dadbf9bc68d4449d182bdc3a5a8e1c0e?cid=9950ac751e34487dbbe027c4fd7f8e99","false","70","USJ5G1917710","spotify:user:maliazenaida","2022-09-01T19:20:06Z"
"spotify:track:0RT5QxvDakfy5cFg55thUw","Being No One, Going Nowhere","spotify:artist:2Tz1DTzVJ5Gyh8ZwVr6ekU","STRFKR","spotify:album:5GOHOQxjLxkcW9oXPJChBf","Being No One, Going Nowhere","spotify:artist:2Tz1DTzVJ5Gyh8ZwVr6ekU","STRFKR","2016-11-04","https://i.scdn.co/image/ab67616d0000b27312ea5d5b641c2f78305b9a25","1","11","279893","","false","0","US3R41632111","spotify:user:maliazenaida","2022-09-01T19:19:57Z"
"spotify:track:4JYJU761kWJEK91hyug33F","Tree Among Shrubs","spotify:artist:3zmfs9cQwzJl575W1ZYXeT","Men I Trust","spotify:album:7FkJxlcljM6Ix0pC2JSNOE","Untourable Album","spotify:artist:3zmfs9cQwzJl575W1ZYXeT","Men I Trust","2021-08-25","https://i.scdn.co/image/ab67616d0000b273caa2063da9054f7b4e83f353","1","5","188301","https://p.scdn.co/mp3-preview/e7799eeb2b88ca03873c1cb04880447d006d2303?cid=9950ac751e34487dbbe027c4fd7f8e99","false","73","TCAFR2123374","spotify:user:maliazenaida","2022-09-29T02:21:01Z"
"spotify:track:01iiEi9h8CQGUN2K1xBbTj","List Of People (To Try And Forget About)","spotify:artist:5INjqkS1o8h1imAzPqGZBb","Tame Impala","spotify:album:04uXkrNhFJ1iWEo88MGPva","Currents B-Sides & Remixes","spotify:artist:5INjqkS1o8h1imAzPqGZBb","Tame Impala","2017-11-16","https://i.scdn.co/image/ab67616d0000b273bf2fe3810d8a6696d3f1b5db","1","1","279986","https://p.scdn.co/mp3-preview/017d7f59e51381e655df7b7a27aee34ca42720dd?cid=9950ac751e34487dbbe027c4fd7f8e99","false","56","AUUM71700373","spotify:user:maliazenaida","2022-09-01T19:19:54Z"
"spotify:track:0uphGVj1uIticJK6gb2WnO","Hurts Me Too","spotify:artist:5szilpXHcwOqnyKLqGco5j","Faye Webster","spotify:album:7jXmmQ1gNTXHyTF7uvH4Tn","Atlanta Millionaires Club","spotify:artist:5szilpXHcwOqnyKLqGco5j","Faye Webster","2019-05-24","https://i.scdn.co/image/ab67616d0000b273ac4ebd092fa2cf210e4c8023","1","3","201120","https://p.scdn.co/mp3-preview/d5eacc6e4faf25295b6bc8e0669ad12ac854e141?cid=9950ac751e34487dbbe027c4fd7f8e99","false","68","US38W1937603","spotify:user:maliazenaida","2022-09-01T19:19:37Z"
"spotify:track:3MUkijIqsNm4XIq3EerPpt","Better in the Dark","spotify:artist:5Bw9kFNhy019e4IBCJZlzw, spotify:artist:0Y6dVaC9DZtPNH4591M42W","Jordana, TV Girl","spotify:album:4l58JlPq72gOA4veRxboVR","Summer's Over","spotify:artist:5Bw9kFNhy019e4IBCJZlzw, spotify:artist:0Y6dVaC9DZtPNH4591M42W","Jordana, TV Girl","2021-10-13","https://i.scdn.co/image/ab67616d0000b27379c72e2c38f9d47a19dc1ecc","1","6","155500","","false","65","QM5BK1900509","spotify:user:maliazenaida","2022-09-01T19:19:30Z"
"spotify:track:65sNrvOp2HLlhGTeLJ0nnk","Being so Normal","spotify:artist:6fC2AcsQtd9h4BWELbbire","Peach Pit","spotify:album:6xduu32sm4aidoLhaxYkUA","Being So Normal","spotify:artist:6fC2AcsQtd9h4BWELbbire","Peach Pit","2018-06-28","https://i.scdn.co/image/ab67616d0000b27300b39b4a73d28536690b355c","1","2","220066","https://p.scdn.co/mp3-preview/aa0d3dc5fc08c9b2a87c9d7c4e85e2e7d8a9ab99?cid=9950ac751e34487dbbe027c4fd7f8e99","false","57","USSM11805169","spotify:user:maliazenaida","2022-09-12T17:45:31Z"
"spotify:track:1HVYQj4liQb1QOygBfjZqV","The Boat I Row","spotify:artist:5INjqkS1o8h1imAzPqGZBb","Tame Impala","spotify:album:0PUdc9WBtlyjG9Ba9DPmKa","The Slow Rush B-Sides & Remixes","spotify:artist:5INjqkS1o8h1imAzPqGZBb","Tame Impala","2022-02-18","https://i.scdn.co/image/ab67616d0000b27322b9cdd0c4ce8cee5857f6a4","1","1","238320","https://p.scdn.co/mp3-preview/a0c2c2fab361a2d9bc3faabe8f9c992586806ff7?cid=9950ac751e34487dbbe027c4fd7f8e99","false","62","AUUM72100333","spotify:user:maliazenaida","2022-09-01T19:20:02Z"
"spotify:track:03v70ZBxmcPX3RWAZMzqaW","Clouds","spotify:artist:1KP6TWI40m7p3QBTU6u2xo","BØRNS","spotify:album:17l7MIu0Jh0tdgK7or9ovw","Dopamine","spotify:artist:1KP6TWI40m7p3QBTU6u2xo","BØRNS","2015-10-16","https://i.scdn.co/image/ab67616d0000b273cc2cf912462d8ae4ef856434","1","8","190253","https://p.scdn.co/mp3-preview/2d0c9da7f0052ca539e3db94789181f6f44a6eab?cid=9950ac751e34487dbbe027c4fd7f8e99","false","61","USUM71512367","spotify:user:maliazenaida","2022-09-01T19:19:48Z"
