"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At"
"spotify:track:0AqE2nClzllWavHbkC2AeZ","Bound","spotify:artist:4U8RRuQqYoeXH2JuTr6QMM","The Ponderosa Twins Plus One","spotify:album:0h9QJZLoc9UmlVRGd8qbh3","2+2+1=","spotify:artist:4U8RRuQqYoeXH2JuTr6QMM","The Ponderosa Twins Plus One","1971-01-01","https://i.scdn.co/image/ab67616d0000b273a45425ed7f1baa540be87f0a","1","6","196706","https://p.scdn.co/mp3-preview/d54a467b6cded3bf3e10e8a3af936167c1942b13?cid=9950ac751e34487dbbe027c4fd7f8e99","false","58","USCW61807104","spotify:user:maliazenaida","2023-04-13T06:05:10Z"
"spotify:track:3sNVsP50132BTNlImLx70i","Bound 2","spotify:artist:5K4W6rqBFWDnAN6FQUkS6x","Kanye West","spotify:album:7D2NdGvBHIavgLhmcwhluK","Yeezus","spotify:artist:5K4W6rqBFWDnAN6FQUkS6x","Kanye West","2013-06-18","https://i.scdn.co/image/ab67616d0000b2731dacfbc31cc873d132958af9","1","10","229146","https://p.scdn.co/mp3-preview/8467fcd7f77c2cdf4264ebf7321166723252b9ef?cid=9950ac751e34487dbbe027c4fd7f8e99","true","87","USUM71307523","spotify:user:maliazenaida","2023-04-10T20:24:51Z"
"spotify:track:0JUWF44gfMszGNhjCF7Ufs","Midnight Pretenders","spotify:artist:2flF63KTodI9rSqbP5gCnp","Tomoko Aran","spotify:album:7fa6VpNPvW2DVbtohJ0x44","浮遊空間","spotify:artist:2flF63KTodI9rSqbP5gCnp","Tomoko Aran","1983","https://i.scdn.co/image/ab67616d0000b273138d0143d948a5314d1aea19","1","5","345266","https://p.scdn.co/mp3-preview/808cbb092004a16b80c9a0c935986a2281d94b21?cid=9950ac751e34487dbbe027c4fd7f8e99","false","62","JPWP09402410","spotify:user:maliazenaida","2023-04-10T20:28:56Z"
"spotify:track:2SLwbpExuoBDZBpjfefCtV","Out of Time","spotify:artist:1Xyo4u8uXC1ZmMpatF05PJ","The Weeknd","spotify:album:2nLOHgzXzwFEpl62zAgCEC","Dawn FM","spotify:artist:1Xyo4u8uXC1ZmMpatF05PJ","The Weeknd","2022-01-06","https://i.scdn.co/image/ab67616d0000b2734ab2520c2c77a1d66b9ee21d","1","7","214193","https://p.scdn.co/mp3-preview/b097c97dade8d4acf6adf0653ae04f5b85dcf5f0?cid=9950ac751e34487dbbe027c4fd7f8e99","false","80","USUG12106689","spotify:user:maliazenaida","2023-04-10T20:29:00Z"
"spotify:track:0VHSTRmqFJ5DXcG5pfzSjB","Be Ever Wonderful","spotify:artist:0QYN2PJUwq49cW3T75KXCG","Ted Taylor","spotify:album:0MELZoRLn0BkXkwpYUXVFN","Be Ever Wonderful","spotify:artist:0QYN2PJUwq49cW3T75KXCG","Ted Taylor","1963","https://i.scdn.co/image/ab67616d0000b273e63ab128af8555373c76f707","1","1","153319","https://p.scdn.co/mp3-preview/5a7a175253485351e44166ec2c8337fcc9d6b7ce?cid=9950ac751e34487dbbe027c4fd7f8e99","false","37","US2Y30622053","spotify:user:maliazenaida","2023-04-25T03:46:44Z"
"spotify:track:6zMQAgnWYRvzNIQGfjmXad","Ostavi trag","spotify:artist:3ZwN2fJK0cf4FBp8RkYd8Q","September","spotify:album:5fHwiIk7Z6geRXBEEjK3yr","Zadnja avantura","spotify:artist:3ZwN2fJK0cf4FBp8RkYd8Q","September","1975","https://i.scdn.co/image/ab67616d0000b27350070834637b25a766b58e8a","1","6","243709","https://p.scdn.co/mp3-preview/d08a987b6818531e68693a302ec2c377033c1472?cid=9950ac751e34487dbbe027c4fd7f8e99","false","44","RSA042200021","spotify:user:maliazenaida","2023-04-25T03:47:07Z"
"spotify:track:0J9yIH0Fm2IZvhsMPP4d4N","Atari","spotify:artist:43JlwunhXm1oqdKyOa2Z9Y","Hiatus Kaiyote","spotify:album:3qzmmmRmVBiOuMvrerfW4z","Choose Your Weapon","spotify:artist:43JlwunhXm1oqdKyOa2Z9Y","Hiatus Kaiyote","2015-05-01","https://i.scdn.co/image/ab67616d0000b27365c29c4a590e9e9b03467c5a","1","12","368533","https://p.scdn.co/mp3-preview/5f3e61637952977f8024b298dc9003a604bc131e?cid=9950ac751e34487dbbe027c4fd7f8e99","false","41","USSM11500143","spotify:user:maliazenaida","2023-04-25T03:48:20Z"
"spotify:track:0y9uTzK9cNKSAEHnpeRG8C","DUCKWORTH.","spotify:artist:2YZyLoL8N0Wb9xBt1NhZWg","Kendrick Lamar","spotify:album:4eLPsYPBmXABThSJ821sqY","DAMN.","spotify:artist:2YZyLoL8N0Wb9xBt1NhZWg","Kendrick Lamar","2017-04-14","https://i.scdn.co/image/ab67616d0000b2738b52c6b9bc4e43d873869699","1","14","248613","https://p.scdn.co/mp3-preview/f09164f45d0f453180fad13e4fb8b9d39dcd17a3?cid=9950ac751e34487dbbe027c4fd7f8e99","true","75","USUM71703379","spotify:user:maliazenaida","2023-04-25T03:48:47Z"
"spotify:track:4iyH37AHAkYK1MVhveeqcm","Dreamflower","spotify:artist:5lq6V5V6D0zzfClxSPzV4G","Tarika Blue","spotify:album:7HAwI2tHY7ReYr2pjg4eWT","Tarika Blue","spotify:artist:5lq6V5V6D0zzfClxSPzV4G","Tarika Blue","1977","https://i.scdn.co/image/ab67616d0000b273ecc9ad07c5fc2ae9e7d0def6","1","1","255533","https://p.scdn.co/mp3-preview/9960667b36c8fe566ec23d83aa35b8d90ab90805?cid=9950ac751e34487dbbe027c4fd7f8e99","false","49","USASQ0511008","spotify:user:maliazenaida","2023-04-13T06:04:35Z"
"spotify:track:1bSWuHCXabkhubUywqCe47","Didn't Cha Know","spotify:artist:7IfculRW2WXyzNQ8djX8WX","Erykah Badu","spotify:album:4z7ma1ujO4FDL1l2YBGw7b","Mama's Gun","spotify:artist:7IfculRW2WXyzNQ8djX8WX","Erykah Badu","2000-10-31","https://i.scdn.co/image/ab67616d0000b27350442c2d5d3573d7cac43567","1","2","238600","https://p.scdn.co/mp3-preview/9cd0b1196f10bca6d1d5659aa23de87f6beee0c8?cid=9950ac751e34487dbbe027c4fd7f8e99","false","57","USMO10001020","spotify:user:maliazenaida","2023-04-13T06:04:38Z"
"spotify:track:7bbpg7SShcWLj1C8ABApb0","I Love You","spotify:artist:3oUxvPmwDj1e7bfPDc9OT5","East of Underground","spotify:album:5ZUHlS1dSKn5Z0DxdvYH44","East of Underground","spotify:artist:0LyfQWJT6nXafLPZqxe9Of","Various Artists","2007-05-09","https://i.scdn.co/image/ab67616d0000b2730001bbe91080890d49349284","1","8","188053","https://p.scdn.co/mp3-preview/4cf8488140fe1d367434c58b8b920545a74fce1c?cid=9950ac751e34487dbbe027c4fd7f8e99","false","55","US2S71183008","spotify:user:maliazenaida","2023-04-10T20:24:58Z"
"spotify:track:2t8yVaLvJ0RenpXUIAC52d","a lot","spotify:artist:1URnnhqYAYcrqrcwql10ft","21 Savage","spotify:album:007DWn799UWvfY1wwZeENR","i am > i was","spotify:artist:1URnnhqYAYcrqrcwql10ft","21 Savage","2018-12-21","https://i.scdn.co/image/ab67616d0000b273280689ecc5e4b2038bb5e4bd","1","1","288624","https://p.scdn.co/mp3-preview/8e4bedd4dd85c00a3cd298e59f209fd23818b7d6?cid=9950ac751e34487dbbe027c4fd7f8e99","true","83","QZ45A1700126","spotify:user:maliazenaida","2023-04-10T20:25:03Z"
"spotify:track:3stWWPN41byqp8loPdy92u","Master of None","spotify:artist:56ZTgzPBDge0OvCGgMO3OY","Beach House","spotify:album:32bJgeIOAFiNkucTCje5O5","Beach House","spotify:artist:56ZTgzPBDge0OvCGgMO3OY","Beach House","2006-10-03","https://i.scdn.co/image/ab67616d0000b27372c5265c12fd8effdc006b75","1","4","199413","https://p.scdn.co/mp3-preview/ed01214fa6b512069d619743cdb9023ca49bd910?cid=9950ac751e34487dbbe027c4fd7f8e99","false","72","US22N0503504","spotify:user:maliazenaida","2023-04-10T20:26:42Z"
"spotify:track:0GROiXm03OrMC5ltXLhGIu","The Party & The After Party - Original","spotify:artist:1Xyo4u8uXC1ZmMpatF05PJ","The Weeknd","spotify:album:7zCODUHkfuRxsUjtuzNqbd","House Of Balloons (Original)","spotify:artist:1Xyo4u8uXC1ZmMpatF05PJ","The Weeknd","2011-03-21","https://i.scdn.co/image/ab67616d0000b273274b406a7e18acebcf743079","1","6","459659","https://p.scdn.co/mp3-preview/0ba20f16dcf0d48960131b8a0f2ce96c209b5e3c?cid=9950ac751e34487dbbe027c4fd7f8e99","true","76","USUM72104141","spotify:user:maliazenaida","2023-04-10T20:26:47Z"
"spotify:track:2o8pFe93xgZaQ4Hw7mSX9t","Half Mast","spotify:artist:67hb7towEyKvt5Z8Bx306c","Empire of the Sun","spotify:album:04gYcIojJt78nYnN5oOrKt","Walking On A Dream","spotify:artist:67hb7towEyKvt5Z8Bx306c","Empire of the Sun","2009-02-23","https://i.scdn.co/image/ab67616d0000b2731764a4e742fe4c69e4d16316","1","3","234360","https://p.scdn.co/mp3-preview/0f0986c5cdc64ab97407543703151dca77263ee5?cid=9950ac751e34487dbbe027c4fd7f8e99","false","48","AUEI10800040","spotify:user:maliazenaida","2023-04-10T20:28:11Z"
"spotify:track:51pshtuYkgUQnt5huMPbKL","The Spins","spotify:artist:4LLpKhyESsyAXpc4laK94U","Mac Miller","spotify:album:0WzOtZBpXvWdNdH7hCJ4qo","K.I.D.S.","spotify:artist:4LLpKhyESsyAXpc4laK94U","Mac Miller","2010-08-13","https://i.scdn.co/image/ab67616d0000b27350570144b4a9a459406f9a3d","1","6","195873","","true","10","USA2P2015959","spotify:user:maliazenaida","2023-04-10T20:28:16Z"
