"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At"
"spotify:track:2Im64pIz6m0EJKdUe6eZ8r","Lost In The World","spotify:artist:5K4W6rqBFWDnAN6FQUkS6x, spotify:artist:4LEiUm1SRbFMgfqnQTwUbQ","Kanye West, Bon Iver","spotify:album:20r762YmB5HeofjMCiPMLv","My Beautiful Dark Twisted Fantasy","spotify:artist:5K4W6rqBFWDnAN6FQUkS6x","Kanye West","2010-11-22","https://i.scdn.co/image/ab67616d0000b273d9194aa18fa4c9362b47464f","1","12","256586","https://p.scdn.co/mp3-preview/abc3508dddb064766a8d0af241c454301c6a1df5?cid=9950ac751e34487dbbe027c4fd7f8e99","true","67","USUM71027315","spotify:user:maliazenaida","2023-12-04T06:36:02Z"
"spotify:track:5JtgrxeDRTTcBsYwKoYb8v","Late Nights & Heartbreak","spotify:artist:0unydCSm9ARiINdrNqugDg, spotify:artist:5TyLR1qi5Fbv5mlsy5329g","Hannah Williams, The Affirmations","spotify:album:6qItB9uDic8Yzsc84FxeJp","Late Nights & Heartbreak","spotify:artist:0unydCSm9ARiINdrNqugDg, spotify:artist:5TyLR1qi5Fbv5mlsy5329g","Hannah Williams, The Affirmations","2016-11-11","https://i.scdn.co/image/ab67616d0000b273a8fca447cf1fccd5cccc49f2","1","7","255066","https://p.scdn.co/mp3-preview/ee7a1926f44235e756b770627fe31e60a41fd163?cid=9950ac751e34487dbbe027c4fd7f8e99","false","55","ITG581600023","spotify:user:maliazenaida","2023-09-26T07:19:17Z"
"spotify:track:0k1xMUwn9sb7bZiqdT9ygx","Beyond","spotify:artist:4tZwfgrHOc3mvqYlEYSvVi","Daft Punk","spotify:album:4m2880jivSbbyEGAKfITCa","Random Access Memories","spotify:artist:4tZwfgrHOc3mvqYlEYSvVi","Daft Punk","2013-05-20","https://i.scdn.co/image/ab67616d0000b2739b9b36b0e22870b9f542d937","1","9","290240","https://p.scdn.co/mp3-preview/56318ec2dc40f02eba17afbe064431f74bfb8cff?cid=9950ac751e34487dbbe027c4fd7f8e99","false","57","USQX91300109","spotify:user:maliazenaida","2023-10-04T18:31:51Z"
"spotify:track:2wGSgTmgSF3xjRrHkTc25R","Hate It Or Love It","spotify:artist:0NbfKEOTQCcwd6o7wSDOHI, spotify:artist:3q7HBObVc0L8jNeTe5Gofh","The Game, 50 Cent","spotify:album:4PrPbmm0gKvaD3rerOXFg8","The Documentary","spotify:artist:0NbfKEOTQCcwd6o7wSDOHI","The Game","2005","https://i.scdn.co/image/ab67616d0000b273b1d860ab1ba847e778b2796d","1","4","206400","https://p.scdn.co/mp3-preview/6d21bd716841ab53e3a665dd4ea8060e9f37ddd4?cid=9950ac751e34487dbbe027c4fd7f8e99","true","85","USIR10401121","spotify:user:maliazenaida","2023-11-27T13:10:26Z"
"spotify:track:0oADgO0iK3YpTsPkVb2ptT","Got It Bad","spotify:artist:7b04D0yLktCUpvxQBhmG7R","LEISURE","spotify:album:1rGGYPdkJpabSlwScxK8fO","Leisure","spotify:artist:7b04D0yLktCUpvxQBhmG7R","LEISURE","2018-10-05","https://i.scdn.co/image/ab67616d0000b2730f615b27189c363e59f41f42","1","1","205601","https://p.scdn.co/mp3-preview/c4bb15780e46d060325f78d38cc865b87bd3f97f?cid=9950ac751e34487dbbe027c4fd7f8e99","false","68","TCACF1562385","spotify:user:maliazenaida","2023-09-29T14:19:22Z"
"spotify:track:2HTzzn4hP4PHlX2nLotWF4","Paris City Jazz","spotify:artist:6yeeXqk3RxV7l5DxmlXMnw","Bellaire","spotify:album:74oUF61TEC97Wbh4y3YsPS","Paris City Jazz","spotify:artist:6yeeXqk3RxV7l5DxmlXMnw","Bellaire","2018-01-19","https://i.scdn.co/image/ab67616d0000b2737baac679039b0b6eb5d0afb0","1","1","343911","https://p.scdn.co/mp3-preview/a9440e88ba1823cff7462967f63f9916f30c1ed2?cid=9950ac751e34487dbbe027c4fd7f8e99","false","63","FRX201790234","spotify:user:maliazenaida","2023-12-05T17:33:55Z"
"spotify:track:22DHmfJa31hKpc2Lg0gVBV","Mad (feat. Lil Wayne)","spotify:artist:2auiVi8sUZo17dLy1HwrTU, spotify:artist:55Aa2cqylxrFIXC767Z865","Solange, Lil Wayne","spotify:album:3Yko2SxDk4hc6fncIBQlcM","A Seat at the Table","spotify:artist:2auiVi8sUZo17dLy1HwrTU","Solange","2016-09-30","https://i.scdn.co/image/ab67616d0000b2731c4540d0ecafaa45305aa5a0","1","6","235493","https://p.scdn.co/mp3-preview/43430c844383941b73c37d72bbadf3e727eca4f9?cid=9950ac751e34487dbbe027c4fd7f8e99","true","55","USSM11607809","spotify:user:maliazenaida","2023-11-26T17:10:03Z"
"spotify:track:7nzsY8vlnKdvGOEE0rjAXZ","Arabella","spotify:artist:7Ln80lUS6He07XvHI8qqHH","Arctic Monkeys","spotify:album:78bpIziExqiI9qztvNFlQu","AM","spotify:artist:7Ln80lUS6He07XvHI8qqHH","Arctic Monkeys","2013-09-09","https://i.scdn.co/image/ab67616d0000b2734ae1c4c5c45aabe565499163","1","4","207356","https://p.scdn.co/mp3-preview/974bb8b08005bbc3c38a3b1389debf8e51fa1f20?cid=9950ac751e34487dbbe027c4fd7f8e99","false","79","GBCEL1300365","spotify:user:maliazenaida","2023-11-26T20:08:07Z"
"spotify:track:2oRETehbC8QRXJmEZt5Nhr","Zip A Dee Doo Dah","spotify:artist:2iE18Oxc8YSumAU232n4rW","The Jackson 5","spotify:album:51uoKRa8vT5SULrlF8s2t1","Diana Ross Presents The Jackson 5","spotify:artist:2iE18Oxc8YSumAU232n4rW","The Jackson 5","1969-12-18","https://i.scdn.co/image/ab67616d0000b27316aaf05fe82237576a7d0e38","1","1","189466","https://p.scdn.co/mp3-preview/a10abcba65c282755e753af0e678ffa3e8c4d1b1?cid=9950ac751e34487dbbe027c4fd7f8e99","false","33","USMO19400304","spotify:user:maliazenaida","2023-12-06T12:46:32Z"
"spotify:track:26azmX7EqctePA41eDdsXJ","Glass House","spotify:artist:5qfkUSH3ip5dD2eEPhjkT3","Kyle Dion","spotify:album:5E5QGOClKXPXlVwOW9cWUz","SUGA","spotify:artist:5qfkUSH3ip5dD2eEPhjkT3","Kyle Dion","2019-03-08","https://i.scdn.co/image/ab67616d0000b273c3b3a67ccf1dc1cea5d90b08","1","8","214142","https://p.scdn.co/mp3-preview/4ee97272e37168e5df30aa3b106763388a69af1c?cid=9950ac751e34487dbbe027c4fd7f8e99","false","39","GBKPL1937176","spotify:user:maliazenaida","2023-12-06T12:40:21Z"
