Spotify ID,Artist IDs,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
7m9OqQk4RVRkw9JJdeAw96,"15UsOTVnJzReFVN1VCnxy4","Jocelyn Flores","17","XXXTENTACION",2017-08-25,119133,85,spotify:user:rmal1103401,2020-06-24T06:12:54Z,"emo rap,miami hip hop,rap",0.872,0.391,0,-9.144,0,0.242,0.469,0.00000413,0.297,0.437,134.021,4
49QVOdWgGagzLrThkIqtK6,"4MCBfE4596Uoi2O4DtmEMz","Scared Of Love (with instrumental by Ghost Loft)","Goodbye & Good Riddance","Juice WRLD",2018-12-10,170538,69,spotify:user:rmal1103401,2020-06-24T06:13:00Z,"chicago rap,melodic rap,rap",0.642,0.562,11,-4.869,0,0.0812,0.032,0,0.168,0.177,158.001,4
03eJ2DclFWXYU8GWgANdmZ,"15UsOTVnJzReFVN1VCnxy4,21WS9wngs9AqFckK7yYJPM,6Xgp2XMz1fhVYe7i6yNAax","bad vibes forever (feat. PnB Rock & Trippie Redd)","Bad Vibes Forever","XXXTENTACION,PnB Rock,Trippie Redd",2019-12-06,150475,74,spotify:user:rmal1103401,2020-06-24T06:12:48Z,"emo rap,miami hip hop,rap,melodic rap,trap",0.8,0.526,8,-5.153,1,0.0716,0.334,0.00174,0.0571,0.746,129.874,4
7AQim7LbvFVZJE3O8TYgf2,"15UsOTVnJzReFVN1VCnxy4,6Xgp2XMz1fhVYe7i6yNAax","Fuck Love","17","XXXTENTACION,Trippie Redd",2017-08-25,146520,85,spotify:user:rmal1103401,2020-06-24T06:13:28Z,"emo rap,miami hip hop,rap,melodic rap,trap",0.797,0.533,0,-9.74,0,0.0412,0.0172,0.000152,0.103,0.329,131.036,4
1Gno5IBUHh6vUKp4nxu2Yd,"31W5EY0aAly4Qieq6OFu6I","Love Drugs and Sex","Hoodie SZN","A Boogie Wit da Hoodie",2018-12-21,157862,68,spotify:user:rmal1103401,2020-06-24T06:11:13Z,"melodic rap,rap,trap",0.762,0.553,5,-7.207,0,0.112,0.55,0,0.115,0.773,119.973,4
047fCsbO4NdmwCBn8pcUXl,"3TVXtAsR1Inumwj472S9r4","Marvins Room","Take Care (Deluxe)","Drake",2011-11-15,347226,78,spotify:user:rmal1103401,2020-06-24T06:13:29Z,"canadian hip hop,canadian pop,hip hop,pop rap,rap",0.492,0.26,9,-17.341,0,0.0921,0.646,0.00178,0.0705,0.312,111.519,5
3GVkPk8mqxz0itaAriG1L7,"15UsOTVnJzReFVN1VCnxy4","Everybody Dies In Their Nightmares","17","XXXTENTACION",2017-08-25,95466,85,spotify:user:rmal1103401,2020-06-24T06:13:41Z,"emo rap,miami hip hop,rap",0.734,0.57,7,-7.066,0,0.133,0.847,0.0000214,0.112,0.689,129.953,4
4eSGSqP2TZvvX0kadZZttM,"3TVXtAsR1Inumwj472S9r4","Doing It Wrong","Take Care (Deluxe)","Drake",2011-11-15,265120,73,spotify:user:rmal1103401,2020-06-24T06:13:47Z,"canadian hip hop,canadian pop,hip hop,pop rap,rap",0.397,0.172,6,-15.698,0,0.0445,0.841,0.0000678,0.108,0.123,101.275,4
1Knctxx9vGZxpZfF66BIEa,"4MCBfE4596Uoi2O4DtmEMz","Legends","Legends","Juice WRLD",2018-06-22,191840,73,spotify:user:rmal1103401,2020-06-24T06:13:51Z,"chicago rap,melodic rap,rap",0.594,0.798,4,-5.244,1,0.0844,0.115,0,0.143,0.381,142.049,4
35ieKju5aLWFN5UgfJ27mL,"15UsOTVnJzReFVN1VCnxy4","SAD!","SAD!","XXXTENTACION",2018-03-02,166568,4,spotify:user:rmal1103401,2020-06-24T06:16:06Z,"emo rap,miami hip hop,rap",0.74,0.613,8,-4.88,1,0.145,0.258,0.00372,0.123,0.473,75.023,4
3RWM7z6BF8C6z9ypLtxz4M,"4MCBfE4596Uoi2O4DtmEMz","Lean Wit Me","Goodbye & Good Riddance","Juice WRLD",2018-05-23,175755,0,spotify:user:rmal1103401,2020-06-24T06:16:21Z,"chicago rap,melodic rap,rap",0.665,0.651,1,-5.515,1,0.156,0.0414,0,0.0896,0.237,163.935,4
6y4pOReFqH2wzo4CV91cZC,"55Aa2cqylxrFIXC767Z865","Mess","Tha Carter V","Lil Wayne",2018-09-28,212427,54,spotify:user:rmal1103401,2020-06-24T06:16:46Z,"hip hop,new orleans rap,pop rap,rap,trap",0.641,0.579,9,-8.276,1,0.0896,0.479,0.0000958,0.214,0.421,145.995,4
4mHgYpuGHu99Mw69E83CP2,"6Xgp2XMz1fhVYe7i6yNAax","Taking A Walk","LIFE'S A TRIP","Trippie Redd",2018-08-10,121680,63,spotify:user:rmal1103401,2020-06-24T06:16:58Z,"melodic rap,rap,trap",0.767,0.538,0,-6.044,0,0.052,0.68,0,0.192,0.343,81.031,4
2BSbCCbaSCzkOEZa6N5901,"4MCBfE4596Uoi2O4DtmEMz","Flaws And Sins","Death Race For Love","Juice WRLD",2019-03-08,218348,0,spotify:user:rmal1103401,2020-06-24T06:17:13Z,"chicago rap,melodic rap,rap",0.709,0.662,8,-4.55,1,0.0766,0.00966,0,0.108,0.439,150.046,4
0AcicReEGm1qcENjqzh1Tg,"6Xgp2XMz1fhVYe7i6yNAax","Love Scars 3","A Love Letter To You 3","Trippie Redd",2018-11-09,129429,50,spotify:user:rmal1103401,2020-06-24T06:18:02Z,"melodic rap,rap,trap",0.544,0.524,8,-7.914,1,0.0621,0.136,0,0.106,0.117,81.982,4
43PuMrRfbyyuz4QpZ3oAwN,"2EMAnMvWE2eb56ToJVfCWs","Exchange","T R A P S O U L","Bryson Tiller",2015-10-02,194613,81,spotify:user:rmal1103401,2020-06-24T06:19:19Z,"kentucky hip hop,r&b,rap",0.525,0.433,6,-10.598,1,0.185,0.107,0,0.135,0.276,160.108,4
6cZH4rX1KTt1aJ3Ql6Ynja,"31W5EY0aAly4Qieq6OFu6I","Me and My Guitar","Artist 2.0","A Boogie Wit da Hoodie",2020-02-14,161764,73,spotify:user:rmal1103401,2020-06-24T06:19:25Z,"melodic rap,rap,trap",0.644,0.587,7,-6.736,0,0.353,0.473,0,0.0759,0.68,173.972,4
1MQ8ydvrTnn2QJgXFATJvD,"4IVAbR2w4JJNJDDRFP3E83","Ex Calling","FREE 6LACK","6LACK",2016-11-18,211960,65,spotify:user:rmal1103401,2020-06-24T06:22:18Z,"atl hip hop,melodic rap,r&b,rap,trap",0.773,0.564,1,-7.241,1,0.249,0.00561,0.0000199,0.213,0.0588,155.976,4
3pXF1nA74528Edde4of9CC,"2EMAnMvWE2eb56ToJVfCWs","Don't","T R A P S O U L","Bryson Tiller",2015-10-02,198293,85,spotify:user:rmal1103401,2020-06-24T06:24:29Z,"kentucky hip hop,r&b,rap",0.765,0.356,11,-5.556,0,0.195,0.223,0,0.0963,0.189,96.991,4
4SIB2yxKoFOrbkjA4zfQbB,"6AgTAQt8XS6jRWi4sX7w49","Beautiful Pain (Losin My Mind)","THE GOAT","Polo G",2020-05-15,171441,66,spotify:user:rmal1103401,2020-06-24T06:25:09Z,"chicago rap,rap",0.597,0.477,1,-9.638,0,0.642,0.137,0,0.113,0.512,80.382,4
6n3HGiq4v35D6eFOSwqYuo,"3TVXtAsR1Inumwj472S9r4","Teenage Fever","More Life","Drake",2017-03-18,219692,83,spotify:user:rmal1103401,2020-07-03T06:08:17Z,"canadian hip hop,canadian pop,hip hop,pop rap,rap",0.766,0.283,8,-10.33,0,0.0846,0.111,0.0172,0.115,0.144,97.04,4
50a8bKqlwDEqeiEknrzkTO,"1URnnhqYAYcrqrcwql10ft","ball w/o you","i am > i was","21 Savage",2018-12-21,195046,84,spotify:user:rmal1103401,2020-07-03T06:24:55Z,"atl hip hop,hip hop,rap",0.892,0.633,8,-7.471,1,0.0902,0.0467,0.000189,0.139,0.459,137.994,4
5InOp6q2vvx0fShv3bzFLZ,"3TVXtAsR1Inumwj472S9r4","Know Yourself","If You're Reading This It's Too Late","Drake",2015-02-12,275840,70,spotify:user:rmal1103401,2020-07-25T06:56:31Z,"canadian hip hop,canadian pop,hip hop,pop rap,rap",0.72,0.412,11,-8.687,0,0.223,0.196,0,0.342,0.179,114.408,4
3arQDLbkZnujJVfhoyEDlM,"15UsOTVnJzReFVN1VCnxy4","Triumph","Bad Vibes Forever","XXXTENTACION",2019-12-06,166032,63,spotify:user:rmal1103401,2020-08-18T05:49:41Z,"emo rap,miami hip hop,rap",0.446,0.407,5,-3.056,1,0.031,0.718,0,0.0732,0.141,81.041,4
0PXp9QxBfSKGGpWUNaws2X,"7mDU6nMUJnOSY2Hkjz5oqM,3TVXtAsR1Inumwj472S9r4","Drama (feat. Drake)","Exis","Roy Woods,Drake",2015-07-31,251859,5,spotify:user:rmal1103401,2020-12-28T18:03:00Z,"canadian contemporary r&b,canadian hip hop,canadian pop,hip hop,pop rap,rap",0.709,0.362,11,-9.814,1,0.055,0.157,0,0.109,0.113,122.043,4
4UKCKdYiLN6IMA5ZESUTL7,"15UsOTVnJzReFVN1VCnxy4","the remedy for a broken heart (why am I so in love)","?","XXXTENTACION",2018-03-16,160184,78,spotify:user:rmal1103401,2020-12-28T18:03:10Z,"emo rap,miami hip hop,rap",0.699,0.304,1,-11.192,1,0.0993,0.779,0.000993,0.137,0.271,119.705,4
2eAZfqOm4EnOF9VvN50Tyc,"4O15NlyKLIASxsJ0PrXPfz,5cIc3SBFuBLVxJz58W2tU9","The Way Life Goes (feat. Oh Wonder)","Luv Is Rage 2","Lil Uzi Vert,Oh Wonder",2017-08-25,221746,82,spotify:user:rmal1103401,2020-12-28T18:03:13Z,"hip hop,melodic rap,philly rap,rage rap,rap,electropop,indie poptimism,pov: indie",0.703,0.757,1,-3.612,1,0.05,0.617,0,0.106,0.696,82.008,4
4at3d5QWnlibMVN75ECDrp,"4IVAbR2w4JJNJDDRFP3E83,6l3HvQ5sa6mXTsMTB19rO5","Pretty Little Fears (feat. J. Cole)","East Atlanta Love Letter","6LACK,J. Cole",2018-09-14,240341,75,spotify:user:rmal1103401,2020-12-28T18:03:19Z,"atl hip hop,melodic rap,r&b,rap,trap,conscious hip hop,hip hop,north carolina hip hop",0.61,0.458,9,-11.336,1,0.36,0.696,0.000103,0.0852,0.246,192.099,4
41MCdlvXOl62B7Kv86Bb1v,"4MCBfE4596Uoi2O4DtmEMz","Empty","Death Race For Love","Juice WRLD",2019-03-08,248431,5,spotify:user:rmal1103401,2020-12-28T18:03:26Z,"chicago rap,melodic rap,rap",0.745,0.561,0,-4.869,1,0.0807,0.0758,0,0.133,0.449,77.557,4
4Wjhj0WjkyECccfHVIgaTq,"3TVXtAsR1Inumwj472S9r4","Trust Issues","Care Package","Drake",2019-08-02,281518,83,spotify:user:rmal1103401,2020-12-28T18:03:40Z,"canadian hip hop,canadian pop,hip hop,pop rap,rap",0.421,0.539,11,-5.456,0,0.274,0.779,0,0.111,0.523,89.177,3
4wVOKKEHUJxHCFFNUWDn0B,"3TVXtAsR1Inumwj472S9r4,4fxd5Ee7UefO4CUXgwJ7IP","Chicago Freestyle (feat. Giveon)","Dark Lane Demo Tapes","Drake,Giveon",2020-05-01,220487,82,spotify:user:rmal1103401,2020-12-28T18:03:43Z,"canadian hip hop,canadian pop,hip hop,pop rap,rap,r&b",0.735,0.449,10,-7.507,1,0.347,0.629,0,0.113,0.0397,122.947,4
2KvHC9z14GSl4YpkNMX384,"3TVXtAsR1Inumwj472S9r4","Do Not Disturb","More Life","Drake",2017-03-18,283550,79,spotify:user:rmal1103401,2020-12-28T18:03:45Z,"canadian hip hop,canadian pop,hip hop,pop rap,rap",0.618,0.693,7,-5.943,0,0.45,0.246,0,0.112,0.454,170.982,4
3wwo0bJvDSorOpNfzEkfXx,"4MCBfE4596Uoi2O4DtmEMz","Let Me Know (I Wonder Why Freestyle)","Let Me Know (I Wonder Why Freestyle)","Juice WRLD",2019-12-07,215380,81,spotify:user:rmal1103401,2020-12-28T18:03:55Z,"chicago rap,melodic rap,rap",0.635,0.537,7,-7.895,0,0.0832,0.172,0,0.418,0.383,125.028,4
2TfoabXa0CbEwcqpxOn9z3,"33r8rPgsHXfVN1r3adlrWw","Sad Nibba Hours","EP","Papithbk",2019-05-20,150702,59,spotify:user:rmal1103401,2020-12-28T18:04:12Z,"australian trap,sad lo-fi,sad rap",0.745,0.664,11,-5.476,0,0.235,0.322,0,0.851,0.526,121.083,5
4BhGTc3Cgay2U1QcTS7vQe,"3TVXtAsR1Inumwj472S9r4","Fire & Desire","Views","Drake",2016-05-06,238120,73,spotify:user:rmal1103401,2020-12-28T18:04:21Z,"canadian hip hop,canadian pop,hip hop,pop rap,rap",0.722,0.252,1,-14.411,0,0.0761,0.0671,0,0.0852,0.275,79.923,4
57nOpVSc3j9o03Cr928ZM4,"15UsOTVnJzReFVN1VCnxy4","what are you so afraid of","SKINS","XXXTENTACION",2018-12-07,150769,66,spotify:user:rmal1103401,2020-12-28T18:04:40Z,"emo rap,miami hip hop,rap",0.639,0.312,0,-9.902,1,0.0301,0.774,0.469,0.0857,0.347,103.369,4
1pF74yw15wXk12A1NPVWHD,"6Xgp2XMz1fhVYe7i6yNAax","BANG!","LIFE'S A TRIP","Trippie Redd",2018-08-10,283320,46,spotify:user:rmal1103401,2020-12-28T18:04:53Z,"melodic rap,rap,trap",0.715,0.529,11,-9.019,0,0.0507,0.259,0.00000748,0.128,0.467,148.037,4
3DkSirQyz93TaxZ0f0DloI,"21WS9wngs9AqFckK7yYJPM","My Ex","TrapStar Turnt PopStar","PnB Rock",2019-05-02,170393,55,spotify:user:rmal1103401,2020-12-28T18:05:00Z,"melodic rap,rap,trap",0.411,0.523,9,-7.063,1,0.259,0.754,0,0.137,0.532,81.793,4
5rgrBsAFYMun6yhtnLKRPz,"2EMAnMvWE2eb56ToJVfCWs","Right My Wrongs","T R A P S O U L","Bryson Tiller",2015-10-02,249320,80,spotify:user:rmal1103401,2020-12-28T18:05:08Z,"kentucky hip hop,r&b,rap",0.543,0.449,1,-8.065,1,0.0463,0.345,0,0.157,0.29,132.609,4
5dOxHHMOFAbG3VH23t0xNm,"4MCBfE4596Uoi2O4DtmEMz","Righteous","Legends Never Die","Juice WRLD",2020-07-10,242180,74,spotify:user:rmal1103401,2020-12-28T18:05:22Z,"chicago rap,melodic rap,rap",0.706,0.625,0,-7.426,1,0.0314,0.0417,0,0.129,0.225,142.948,4
40QrLHWdsxyXLAdjJG4Rxs,"6AgTAQt8XS6jRWi4sX7w49","Chosen 1","Die A Legend","Polo G",2019-06-07,127200,77,spotify:user:rmal1103401,2020-12-28T18:05:24Z,"chicago rap,rap",0.77,0.576,8,-11.845,0,0.339,0.138,0,0.08,0.364,166.162,4
1sSb4ATG8E30IGDdjAvlxh,"1cNDP5yjU5vjeR8qMf4grg","Catchin Feelings","Catching Feelings","YNW Melly",2017-10-14,230257,63,spotify:user:rmal1103401,2020-12-28T18:05:41Z,"melodic rap,rap",0.79,0.433,9,-10.527,1,0.145,0.32,0.00791,0.089,0.263,122.006,4
1AROE0XcC4ySCxXF65mutZ,"4IVAbR2w4JJNJDDRFP3E83,6LuN9FCkKOj5PcnpouEgny","Seasons (feat. Khalid)","East Atlanta Love Letter","6LACK,Khalid",2018-09-14,250001,60,spotify:user:rmal1103401,2020-12-28T18:05:58Z,"atl hip hop,melodic rap,r&b,rap,trap,pop,pop r&b",0.6,0.319,0,-10.272,1,0.294,0.692,0.00958,0.137,0.507,141.96,4
42er1na9BHF1ERol51wg8M,"0eDvMgVFoNV3TpwtrVCoTj","Imperfections (Interlude)","Shoot For The Stars Aim For The Moon (Deluxe)","Pop Smoke",2020-07-20,108131,74,spotify:user:rmal1103401,2020-12-28T18:07:02Z,"brooklyn drill,rap",0.774,0.513,7,-5.024,1,0.0778,0.907,0,0.11,0.324,91.03,4
375PG35fYzLTG6jkrJbegL,"6jGMq4yGs7aQzuGsMgVgZR","Mixed Emotions","True 2 Myself","Lil Tjay",2019-10-11,181746,58,spotify:user:rmal1103401,2020-12-28T18:07:08Z,"brooklyn drill,melodic rap,nyc rap,rap",0.644,0.502,10,-9.57,1,0.42,0.394,0,0.142,0.431,113.93,5
4c2xt1trwYZpMqPWY35Xi9,"3TVXtAsR1Inumwj472S9r4","Jaded","Scorpion","Drake",2018-06-29,262453,72,spotify:user:rmal1103401,2020-12-28T18:07:14Z,"canadian hip hop,canadian pop,hip hop,pop rap,rap",0.764,0.271,0,-5.697,1,0.0414,0.037,0,0.175,0.0371,116.019,4
1wZqJM5FGDEl3FjHDxDyQd,"2HPaUgqeutzr3jx5a9WyDV,3TVXtAsR1Inumwj472S9r4","Come and See Me (feat. Drake)","PARTYNEXTDOOR 3 (P3)","PARTYNEXTDOOR,Drake",2016-08-12,235477,6,spotify:user:rmal1103401,2020-12-28T18:07:30Z,"r&b,rap,urban contemporary,canadian hip hop,canadian pop,hip hop,pop rap",0.717,0.347,11,-10.265,0,0.0636,0.0511,0.00000243,0.087,0.0589,84.987,4
2bxG0N7YsdkIBfuLsE0J8i,"7mDU6nMUJnOSY2Hkjz5oqM","She Knows About Me","Waking at Dawn","Roy Woods",2016-07-01,220408,0,spotify:user:rmal1103401,2020-12-28T18:07:41Z,"canadian contemporary r&b,canadian hip hop",0.445,0.541,9,-7.407,0,0.0816,0.751,0,0.199,0.377,81.656,4
11HOTp4KdeOwmn7Ew0GSIs,"7rkW85dBwwrJtlHRDkJDAC","Lonely","NAV","NAV",2017-02-24,215293,52,spotify:user:rmal1103401,2020-12-28T18:07:55Z,"canadian hip hop,canadian trap,melodic rap,rap,trap",0.563,0.456,10,-7.177,0,0.102,0.0643,0,0.161,0.195,181.48,4
3cjF2OFRmip8spwZYQRKxP,"3TVXtAsR1Inumwj472S9r4","Feel No Ways","Views","Drake",2016-05-06,240653,78,spotify:user:rmal1103401,2020-12-28T18:08:05Z,"canadian hip hop,canadian pop,hip hop,pop rap,rap",0.582,0.677,7,-7.081,1,0.172,0.0312,0.0000066,0.122,0.205,193.818,4
6S5dMjMifQYmyTu1mX4f8P,"2EMAnMvWE2eb56ToJVfCWs","Blame","Blame","Bryson Tiller",2019-07-26,127028,70,spotify:user:rmal1103401,2020-12-28T18:08:48Z,"kentucky hip hop,r&b,rap",0.729,0.38,11,-8.558,0,0.099,0.0319,0.0000501,0.119,0.323,114.975,4
22ykS8KWpd2r4zcRZ0XMK5,"0iEtIxbK0KxaSlF7G42ZOp,1zNqQNIdeOUZHb8zbZRFMX,0Y5tJX1MQlPlqiwlOH1tJY","Dreamcatcher (feat. Swae Lee & Travis Scott)","NOT ALL HEROES WEAR CAPES (Deluxe)","Metro Boomin,Swae Lee,Travis Scott",2018-11-06,211920,68,spotify:user:rmal1103401,2020-12-28T18:09:21Z,"rap,melodic rap,trap,hip hop,slap house",0.675,0.23,1,-10.363,0,0.204,0.191,0,0.104,0.101,173.962,4
0NA5xAtDra50d0Lfs2uvoh,"0iEtIxbK0KxaSlF7G42ZOp,1zNqQNIdeOUZHb8zbZRFMX,3tVQdUvClmAT7URs9V3rsp","Borrowed Love (feat. Swae Lee & WizKid)","NOT ALL HEROES WEAR CAPES (Deluxe)","Metro Boomin,Swae Lee,Wizkid",2018-11-06,230240,66,spotify:user:rmal1103401,2020-12-28T18:09:37Z,"rap,melodic rap,trap,afrobeats,afropop,azonto,nigerian hip hop,nigerian pop",0.52,0.594,11,-8.81,0,0.462,0.44,0,0.185,0.393,129.216,5
3Q4gttWQ6hxqWOa3tHoTNi,"3TVXtAsR1Inumwj472S9r4,7bXgB6jMjp9ATFy66eO08Z","Not You Too (feat. Chris Brown)","Dark Lane Demo Tapes","Drake,Chris Brown",2020-05-01,269680,79,spotify:user:rmal1103401,2020-12-28T18:09:46Z,"canadian hip hop,canadian pop,hip hop,pop rap,rap,r&b",0.458,0.452,9,-9.299,0,0.047,0.342,0.0000194,0.0703,0.316,86.318,4
46Mk1NVIpCcRIAXY92mWAW,"2HPaUgqeutzr3jx5a9WyDV","THE NEWS","PARTYMOBILE","PARTYNEXTDOOR",2020-03-26,267384,2,spotify:user:rmal1103401,2020-12-28T18:09:56Z,"r&b,rap,urban contemporary",0.74,0.465,7,-8.27,0,0.0411,0.304,0.00404,0.101,0.276,116.74,4
3TOfcOKNuu6ZPZXJie5msH,"2EMAnMvWE2eb56ToJVfCWs","Canceled","Canceled","Bryson Tiller",2018-09-11,183960,58,spotify:user:rmal1103401,2020-12-28T18:10:20Z,"kentucky hip hop,r&b,rap",0.767,0.611,5,-5.173,0,0.0983,0.157,0.0116,0.0836,0.11,94.034,4
2pg2TiYo9Rb8KeB5JjP7jS,"5ZS223C6JyBfXasXxrRqOk,1zNqQNIdeOUZHb8zbZRFMX","Sativa","Trip","Jhené Aiko,Swae Lee",2017-09-22,276960,82,spotify:user:rmal1103401,2020-12-28T18:10:26Z,"r&b,melodic rap,rap,trap",0.741,0.61,6,-7.34,0,0.0511,0.316,0,0.534,0.72,125.99,4
46HZ8l9wPo9JNsk7dZLamb,"2HPaUgqeutzr3jx5a9WyDV","PEACE OF MIND","COLOURS 2","PARTYNEXTDOOR",2017-06-02,303030,1,spotify:user:rmal1103401,2020-12-28T18:10:40Z,"r&b,rap,urban contemporary",0.782,0.367,1,-5.28,0,0.0548,0.283,0,0.0899,0.425,99.005,4
