Spotify ID,Artist IDs,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
2zjGJ0dChMR0KxBZS15aqo,"0YinUQ50QDB7ZxSCLyQ40k,7rkW85dBwwrJtlHRDkJDAC,699OTQXzgjhIYAHMy9RyPD,31W5EY0aAly4Qieq6OFu6I","Baguettes in the Face (feat. NAV, Playboi Carti & A Boogie Wit da Hoodie)","Perfect Ten","Mustard,NAV,Playboi Carti,A Boogie Wit da Hoodie",2019-06-28,174100,68,spotify:user:rmal1103401,2019-08-28T17:33:13Z,"cali rap,pop rap,rap,southern hip hop,trap,canadian hip hop,canadian trap,melodic rap,atl hip hop,plugg,pluggnb,rage rap",0.883,0.525,2,-8.054,0,0.0633,0.189,0,0.0971,0.312,99.978,4
3XiNC94b4Tq1xwv70sQJGN,"4O15NlyKLIASxsJ0PrXPfz","Sanguine Paradise","Sanguine Paradise","Lil Uzi Vert",2019-04-09,243976,71,spotify:user:rmal1103401,2019-08-28T17:39:30Z,"hip hop,melodic rap,philly rap,rage rap,rap",0.729,0.603,6,-6.736,0,0.0666,0.0948,0,0.113,0.207,134.972,4
3BLRBTDYZI6zPWGZA7ZvGT,"5zctI4wO9XSKS8XwcnqEHk","Bust Down Cartier","Northsbest (Extended)","Lil Mosey",2018-10-19,148148,49,spotify:user:rmal1103401,2019-08-28T17:34:00Z,"melodic rap,rap conscient",0.632,0.727,0,-7.353,1,0.0749,0.045,0,0.117,0.407,161.707,4
7KVPsVMOK3NL7subwJ0dZj,"2hlmm7s2ICUX0LVIhVFlZQ","Who You Foolin","Drip or Drown 2","Gunna",2019-02-22,151539,72,spotify:user:rmal1103401,2019-08-28T17:34:06Z,"atl hip hop,melodic rap,rap,trap",0.916,0.756,0,-7.653,1,0.188,0.0942,0,0.23,0.756,115.69,4
5WnfnSpuNEGXyEt78PBA6d,"1iNqsUDUraNWrj00bqssQG,70gP6Ry4Uo0Yx6uzPIdaiJ,6U3ybJ9UHNKEdsH7ktGBZ7,0NcPKaSNIHAM2RfioH9vMT,07V3atNq2TyPNDYmzp6Dyy,0vaKiuLwFJLVU664A8GTjE,30C5wgn4celhRP3Tytv7R6,21dooacK2WGBB5amYvKyfM,6PDLwWvgYNMfBRLqC1h5cJ,2rhFzFmezpnW82MNqEKVry","Costa Rica (with Bas & JID feat. Guapdad 4000, Reese LAFLARE, Jace, Mez, Smokepurpp, Buddy & Ski Mask The Slump God)","Revenge Of The Dreamers III","Dreamville,Bas,JID,Guapdad 4000,Reese LAFLARE,Jace,Mez,Smokepurpp,Buddy,Ski Mask The Slump God",2019-07-05,217866,68,spotify:user:rmal1103401,2019-08-28T17:34:10Z,"hip hop,pop rap,rap,canadian hip hop,queens hip hop,sudanese hip hop,sudanese pop,underground hip hop,cali rap,oakland hip hop,scam rap,atl trap,north carolina hip hop,melodic rap,miami hip hop,trap,alternative r&b",0.642,0.647,7,-6.312,0,0.428,0.517,0,0.0649,0.664,120.749,4
6uIR8eWWsyRgYG5LDAR7Po,"6i392l38cR3uBPF0DbNs7S,02ZtVIjKL1PYLlMmP1sz0h,5f7VJjfbwm532GiveGC0ZK,37hAfseJWi0G3Scife12Il,21WS9wngs9AqFckK7yYJPM","Leave Em Alone (with Lil Baby & City Girls feat. PnB Rock)","Leave Em Alone (with Lil Baby & City Girls feat. PnB Rock)","Quality Control,Layton Greene,Lil Baby,City Girls,PnB Rock",2019-05-29,171980,0,spotify:user:rmal1103401,2019-08-28T17:34:17Z,"melodic rap,trap,pop r&b,atl hip hop,atl trap,rap,scam rap,trap queen",0.517,0.747,6,-4.74,0,0.296,0.0189,0.00000735,0.0821,0.506,102.033,4
4e34Qq2lkp92egwgjacVcT,"6Xgp2XMz1fhVYe7i6yNAax,5f7VJjfbwm532GiveGC0ZK,06Qf6vq8AVIpE9XIw8LAsY","Mac 10","Mac 10","Trippie Redd,Lil Baby,Lil Duke",2019-07-24,127741,32,spotify:user:rmal1103401,2019-08-28T17:34:28Z,"melodic rap,rap,trap,atl hip hop,atl trap",0.79,0.629,9,-7.172,1,0.138,0.179,0,0.356,0.833,124.063,4
1GeNui6m825V8jP4uKiIaH,"50co4Is1HCEo8bhOyUWKpn,5f7VJjfbwm532GiveGC0ZK","Bad Bad Bad (feat. Lil Baby)","So Much Fun","Young Thug,Lil Baby",2019-08-16,149040,70,spotify:user:rmal1103401,2019-08-28T17:34:48Z,"atl hip hop,atl trap,gangster rap,melodic rap,rap,trap",0.974,0.596,6,-8.888,1,0.184,0.0976,0,0.151,0.892,111.959,4
6gzIcEUuswJQGfJNPYMjjv,"1RyvyyTE3xzB2ZywiAwp0i,4MCBfE4596Uoi2O4DtmEMz","Hard Work Pays Off","Future & Juice WRLD Present... WRLD ON DRUGS","Future,Juice WRLD",2018-10-19,224506,65,spotify:user:rmal1103401,2019-08-28T17:34:51Z,"atl hip hop,hip hop,rap,southern hip hop,trap,chicago rap,melodic rap",0.736,0.482,4,-8.242,1,0.196,0.327,0,0.229,0.608,140.064,4
18LhA0zBzAa2YnhcN3hWGa,"1MXZ0hsGic96dWRDKwAwdr","High Right Now","Heart Full of Rage","Tyla Yaweh",2019-02-22,163167,59,spotify:user:rmal1103401,2019-08-28T17:35:06Z,"cali rap,melodic rap",0.703,0.557,4,-6.798,0,0.0438,0.0116,0.0000985,0.12,0.127,159.985,4
2D8qajDbXBSl9SvaLkLZKW,"13y7CgLHjMVRMDqxdx0Xdo,3KV3p5EY4AvKxOlhGHORLg","Hands Off (feat. Jeremih)","Delusions of Grandeur","Gucci Mane,Jeremih",2019-06-21,155619,35,spotify:user:rmal1103401,2019-08-28T17:33:27Z,"atl hip hop,dirty south rap,hip hop,pop rap,rap,southern hip hop,trap,chicago rap,r&b,urban contemporary",0.762,0.594,4,-5.368,1,0.291,0.451,0,0.0654,0.541,150.032,4
7zLYKWcXnYeHHWidalz7rj,"5zctI4wO9XSKS8XwcnqEHk","Noticed","Northsbest (Extended)","Lil Mosey",2018-10-19,165000,76,spotify:user:rmal1103401,2019-08-28T17:35:12Z,"melodic rap,rap conscient",0.699,0.558,11,-7.622,1,0.0603,0.462,0,0.116,0.493,79.992,4
3WyRgi8CzQnhzO0xw79tTS,"4r63FhuTkUYltbVAg5TQnk","Goin Baby","Baby On Baby","DaBaby",2019-03-01,141826,62,spotify:user:rmal1103401,2019-08-28T17:35:17Z,"hip hop,north carolina hip hop,pop rap,rap,trap",0.755,0.772,6,-5.585,1,0.4,0.128,0,0.157,0.678,132.906,4
7MCs283jdifycrZoMPPynX,"21dooacK2WGBB5amYvKyfM","Glock In My Benz","Glock In My Benz","Smokepurpp",2017-05-12,201720,0,spotify:user:rmal1103401,2019-08-28T17:35:20Z,"melodic rap,miami hip hop,trap,underground hip hop",0.692,0.716,8,-7.086,1,0.0549,0.0065,0,0.0446,0.484,77.194,4
7Aem1fAapTdGcHwAYyQYU4,"4Ga1P7PMIsmqEZqhYZQgDo","Love Me","Love Me","Lil Tecca",2019-07-15,117680,0,spotify:user:rmal1103401,2019-08-28T17:35:24Z,"melodic rap,pluggnb,rap",0.715,0.435,11,-10.325,0,0.251,0.67,0,0.106,0.801,204.077,4
