Spotify ID,Artist IDs,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
6PqRhA7KUAhWaD0iQeQ6cR,"31W5EY0aAly4Qieq6OFu6I","Booby Trap","B4 BOA","A Boogie Wit da Hoodie",2023-09-08,136973,62,spotify:user:naima1122,2023-11-14T05:27:48Z,"melodic rap,rap,trap",0.764,0.636,7,-6.071,1,0.0692,0.0339,0,0.138,0.332,77.991,4
6IyoLWzljeR3ldQo4KWHT6,"3qiHUAX7zY4Qnjx8TNUzVx","Out thë way","Lyfë","Yeat",2022-09-09,150241,84,spotify:user:naima1122,2023-11-14T05:27:48Z,"pluggnb,rage rap",0.767,0.628,4,-7.41,0,0.242,0.21,0.00000879,0.275,0.798,128.07,4
7hZoTr4ffMGqm9opMiGmBp,"6aiFCgyKNwF9Rv5TOxnE8E,6fxyWrfmjcbj5d12gXeiNV","ONCE UPON A TIME (FREESTYLE)","IDK & FRIENDS :)","IDK,Denzel Curry",2018-11-09,150819,61,spotify:user:naima1122,2023-11-14T05:27:48Z,"pop rap,underground hip hop,dark trap,drill,hip hop,miami hip hop,rap,trap",0.762,0.807,10,-5.573,0,0.292,0.0539,0,0.105,0.711,91.107,4
1KUZ33cOqk3X4Ezk0aZnVp,"5yPzzu25VzEk8qrGTLIrE1,1URnnhqYAYcrqrcwql10ft","Peaches & Eggplants (feat. 21 Savage)","Peaches & Eggplants (feat. 21 Savage)","Young Nudy,21 Savage",2023-02-27,203813,77,spotify:user:naima1122,2023-11-14T05:27:48Z,"pluggnb,rap,trap,atl hip hop,hip hop",0.911,0.536,4,-7.884,0,0.282,0.00897,0.00000373,0.111,0.584,146.014,4
316psfgQyeOKRKVltAV3kz,"0kvDb0sP1IM6XSQ8ZBi20p,6ufMjaOmZOf0WCMgE7nR8i,3tlXnStJ1fFhdScmQeLpuG","SWISH/USE 2","XOOL SUMMER","FLEE,StoopidXool,Brent Faiyaz",2019-08-31,224165,52,spotify:user:naima1122,2023-11-14T05:27:48Z,"plugg,dream plugg,r&b,rap",0.76,0.421,1,-10.94,1,0.271,0.00479,0,0.0937,0.284,154.968,4
76gcXhY3Zv6wW0BTe9nHJo,"0Y5tJX1MQlPlqiwlOH1tJY,53KwLdlmrlCelAZMaLVZqU,1URnnhqYAYcrqrcwql10ft","TIL FURTHER NOTICE (feat. James Blake & 21 Savage)","UTOPIA","Travis Scott,James Blake,21 Savage",2023-07-28,314836,79,spotify:user:naima1122,2023-11-14T05:27:48Z,"hip hop,rap,slap house,art pop,indie soul,indietronica,uk alternative pop,atl hip hop",0.65,0.659,3,-6.522,0,0.123,0.174,0.00772,0.126,0.154,76.985,4
5hTl2uxJGd1sbLtovguuuk,"4HzKw8XcD0piJmDrrPRCYk,3TVXtAsR1Inumwj472S9r4","Stars Align (with Drake)","Wildest Dreams","Majid Jordan,Drake",2021-10-22,260519,69,spotify:user:naima1122,2023-11-14T05:27:48Z,"canadian contemporary r&b,canadian hip hop,canadian pop,hip hop,pop rap,rap",0.763,0.667,2,-6.285,1,0.085,0.021,0.000024,0.0715,0.75,95.864,4
4s7QLoImIwmPi9L6dq1nVW,"3TVXtAsR1Inumwj472S9r4","TSU","Certified Lover Boy","Drake",2021-09-03,308755,75,spotify:user:naima1122,2023-11-14T05:27:48Z,"canadian hip hop,canadian pop,hip hop,pop rap,rap",0.568,0.56,9,-9.059,1,0.42,0.228,0.00000305,0.39,0.246,130.019,4
0w6webWdhjRKdqJ3DeGgM1,"5SXuuuRpukkTvsLuUknva1","STATS","DIE FOR MY BITCH","Baby Keem",2019-07-19,169828,71,spotify:user:naima1122,2023-11-14T05:27:48Z,"hip hop,rap",0.567,0.462,1,-7.794,1,0.36,0.00192,0.00000357,0.106,0.172,152.236,4
3VFGA65JnN8EDmnRb5SHW2,"4O15NlyKLIASxsJ0PrXPfz","Zoom (Bonus Track)","Pink Tape","Lil Uzi Vert",2023-06-30,166012,65,spotify:user:naima1122,2023-11-14T05:27:48Z,"hip hop,melodic rap,philly rap,rage rap,rap",0.818,0.547,5,-5.868,0,0.39,0.0784,0.0000013,0.119,0.432,79.483,4
