Spotify ID,Artist IDs,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
5PYQUBXc7NYeI1obMKSJK0,"6jJ0s89eD6GaHleKKya26X","Never Really Over","Never Really Over","Katy Perry",2019-05-31,223523,70,spotify:user:rmal1103401,2023-03-17T08:28:52Z,"pop",0.77,0.882,8,-4.792,1,0.0602,0.194,0,0.316,0.385,99.991,4
7ySUcLPVX7KudhnmNcgY2D,"5pKCCKE2ajJHZ9KAiaK11H","S&M","Loud (Japan Version)","Rihanna",2010-01-01,243600,83,spotify:user:rmal1103401,2023-03-17T08:30:34Z,"barbadian pop,pop,urban contemporary",0.769,0.684,1,-5.019,1,0.0411,0.0105,0.000125,0.0887,0.835,127.972,4
7MIhUdNJtaOnDmC5nBC1fb,"0NGAZxHanS9e0iNHpR8f2W,66TrUkUZ3RM29dqeDQRgyA,1TrfxjXu8quyDw05p2bacX,2u3rmzZC0psTER2sDfUebm","Deep Down (feat. Never Dull)","Deep Down (feat. Never Dull)","Alok,Ella Eyre,Kenny Dope,Never Dull",2022-06-17,165752,81,spotify:user:rmal1103401,2023-03-17T08:32:54Z,"electro house,pop nacional,slap house,dance pop,talent show,uk dance,uk pop,chicago house,classic house,deep house,pop dance,soulful house,funky house",0.687,0.818,0,-4.221,1,0.0778,0.0112,0,0.248,0.886,125.952,4
1Jo0Zg7XlrA6z0mFTZVdkn,"5pKCCKE2ajJHZ9KAiaK11H","Don't Stop The Music","Good Girl Gone Bad","Rihanna",2007-01-01,267080,72,spotify:user:rmal1103401,2023-03-17T08:33:02Z,"barbadian pop,pop,urban contemporary",0.835,0.669,6,-5.582,0,0.0643,0.0336,0.0000692,0.0535,0.542,122.668,4
0kn2gu8Pd03DiYHzRvX2Xk,"4Uc8Dsxct0oMqx0P6i60ea","Wish You Were Sober","Kid Krow","Conan Gray",2020-03-20,168880,77,spotify:user:rmal1103401,2023-03-19T03:18:53Z,"bedroom pop,pop,pov: indie",0.701,0.728,2,-5.226,1,0.0468,0.0178,0,0.17,0.696,91.071,4
1vYXt7VSjH9JIM5oRRo7vA,"6M2wZ9GZgrQXHCFfjv46we","Dance The Night - From Barbie The Album","Dance The Night (From Barbie The Album)","Dua Lipa",2023-05-25,176579,93,spotify:user:rmal1103401,2023-08-31T22:50:27Z,"dance pop,pop,uk pop",0.671,0.845,11,-4.93,0,0.048,0.0207,0,0.329,0.775,110.056,4
36gcliMRX1vCpgnrZE3dFZ,"2o5jDhtHVPhrJdv3cEQ99Z,45dkTj5sMRSjrmBSBeiHym","10:35","DRIVE","Tiësto,Tate McRae",2023-04-21,172252,79,spotify:user:rmal1103401,2023-08-31T22:51:06Z,"big room,brostep,dutch edm,edm,house,pop dance,slap house,trance,alt z,pop",0.696,0.793,8,-5.733,1,0.097,0.0683,0.00000378,0.18,0.698,120.003,4
2IGMVunIBsBLtEQyoI1Mu7,"5cj0lLjcoR7YOSnhnX0Po5","Paint The Town Red","Paint The Town Red","Doja Cat",2023-08-04,231750,95,spotify:user:rmal1103401,2023-08-31T22:52:55Z,"dance pop,pop",0.868,0.538,5,-8.603,1,0.174,0.269,0.00000334,0.0901,0.732,99.968,4
5VxmI3IdgAxWVvUnJoLuY2,"25uiPmTg16RbhZWAqwLBy5","Speed Drive (From Barbie The Album)","Speed Drive (From Barbie The Album)","Charli XCX",2023-06-29,117809,83,spotify:user:rmal1103401,2023-08-31T22:53:16Z,"art pop,candy pop,metropopolis,pop,uk pop",0.652,0.879,0,-6.405,1,0.0784,0.00284,0.0896,0.0918,0.789,173.925,4
5i1UWyLQeBvnpQIChFTRCK,"3Xt3RrJMFv5SZkCfUE8C1J,0hCNtLu0JehylgoiP8L4Gh","Alone - 2.0","Alone (Remixes)","Kim Petras,Nicki Minaj",2023-05-24,185113,52,spotify:user:rmal1103401,2023-08-31T22:53:33Z,"alt z,pop,transpop,hip pop,queens hip hop,rap",0.682,0.697,3,-6.275,0,0.0552,0.0183,0,0.139,0.296,137.067,4
3xIMkM5LgbVDkpO74O3Np3,"3WGpXCj9YhhfX11TToZcXP","Rush","Rush","Troye Sivan",2023-07-13,156391,71,spotify:user:rmal1103401,2023-08-31T22:53:51Z,"australian pop,pop,viral pop",0.742,0.839,5,-7.614,0,0.0618,0.00306,0.000042,0.106,0.346,126.03,4
7rv0UuxMX7CpUUwEE1jVrd,"0z4gvV4rjIZ9wHck67ucSV,7fObcBw9VM3x7ntWKCYl0z,5P2rwRBgIN450RaJxdjYdA","Beautiful","Freedom","Akon,Colby O'Donis,Kardinal Offishall",2008-01-01,312986,20,spotify:user:rmal1103401,2023-08-31T22:57:35Z,"dance pop,canadian old school hip hop",0.743,0.948,0,-4.445,0,0.0893,0.122,0,0.112,0.614,130.024,4
76VtA90NKurNqaQpV126Ue,"5pKCCKE2ajJHZ9KAiaK11H","Pour It Up","Unapologetic (Deluxe)","Rihanna",2012-12-11,161200,70,spotify:user:rmal1103401,2023-08-31T22:57:55Z,"barbadian pop,pop,urban contemporary",0.785,0.478,2,-8.735,1,0.0419,0.0254,0,0.0901,0.39,134.002,4
42Ow7PS3YtCWplolUUigDo,"5pKCCKE2ajJHZ9KAiaK11H,1Cs0zKBU1kc0i8ypK3B9ai","Right Now","Unapologetic (Deluxe)","Rihanna,David Guetta",2012-12-11,181626,59,spotify:user:rmal1103401,2023-08-31T22:58:40Z,"barbadian pop,pop,urban contemporary,big room,dance pop,edm,pop dance",0.668,0.64,3,-5.208,0,0.0888,0.049,0,0.0675,0.259,130.004,4
1lGVyEkGHUz7Pg78QGaS4a,"5jAMCwdNHWr7JThxtMuEyy,6Dd3NScHWwnW6obMFbl1BH","Wanted","Wanted","NOTD,Daya",2019-09-27,160997,54,spotify:user:rmal1103401,2023-08-31T22:59:14Z,"pop dance,pop edm,alt z,pop",0.693,0.674,5,-4.449,1,0.0723,0.185,0,0.0639,0.378,95.972,4
0KG7XrgM20KEmJrKsyFDAm,"5fMUXHkw8R8eOP2RNVYEZX,2kLa7JZu4Ijdz1Gle2khZh,0Fb9qTWnjsB90xH3zWr4oa","Let You Go","Diplo","Diplo,TSHA,Kareen Lomax",2022-03-04,234374,58,spotify:user:rmal1103401,2023-08-31T23:00:03Z,"dance pop,edm,electro house,moombahton,pop dance,uk house",0.584,0.955,7,-4.197,0,0.0507,0.101,0.00243,0.092,0.486,128.04,4
0siYMEsGrzzzlWLXK5zJfS,"6DgP9otnZw5z6daOntINxp,5KKpBU5eC2tJDzf0wmlRp2,1Cs0zKBU1kc0i8ypK3B9ai","BED","BED","Joel Corry,RAYE,David Guetta",2021-02-26,178087,73,spotify:user:rmal1103401,2023-08-31T23:00:14Z,"dance pop,pop dance,uk dance,uk contemporary r&b,uk pop,big room,edm,pop",0.671,0.782,6,-4.593,1,0.0341,0.0142,0.00221,0.333,0.618,123.989,4
28JBD8p18xNuOfyV7Cotdn,"3TVXtAsR1Inumwj472S9r4","Massive","Honestly, Nevermind","Drake",2022-06-17,336924,72,spotify:user:rmal1103401,2023-08-31T23:01:06Z,"canadian hip hop,canadian pop,hip hop,pop rap,rap",0.499,0.671,4,-6.774,0,0.0561,0.114,0.0169,0.148,0.0557,124.994,3
4laAKIq9ZxBCwf99rauPYb,"4EPJlUEBy49EX1wuFOvtjK,1Cs0zKBU1kc0i8ypK3B9ai","Remember","Remember","Becky Hill,David Guetta",2021-06-18,160766,76,spotify:user:rmal1103401,2023-08-31T23:01:19Z,"pop dance,pop house,uk dance,uk pop,big room,dance pop,edm,pop",0.612,0.862,8,-2.903,1,0.037,0.041,0,0.0907,0.354,123.849,4
6cx06DFPPHchuUAcTxznu9,"6DgP9otnZw5z6daOntINxp,7uMh23xWiuR7zsNkuNcm2G","Head & Heart (feat. MNEK)","Head & Heart (feat. MNEK)","Joel Corry,MNEK",2020-07-03,166028,79,spotify:user:rmal1103401,2023-08-31T23:01:41Z,"dance pop,pop dance,uk dance,house,uk contemporary r&b,uk pop",0.734,0.874,8,-3.158,1,0.0662,0.168,0.0000114,0.0489,0.905,122.953,4
6Dy1jexKYriXAVG6evyUTJ,"6DgP9otnZw5z6daOntINxp,4Q6nIcaBED8qUel8bBx6Cr,25uiPmTg16RbhZWAqwLBy5,6cK3NBO6uP7hh0oyuVELFl","OUT OUT (feat. Charli XCX & Saweetie)","OUT OUT (feat. Charli XCX & Saweetie)","Joel Corry,Jax Jones,Charli XCX,Saweetie",2021-08-13,162603,77,spotify:user:rmal1103401,2023-08-31T23:01:55Z,"dance pop,pop dance,uk dance,edm,house,uk pop,art pop,candy pop,metropopolis,pop,cali rap,trap queen",0.787,0.833,8,-4.403,1,0.0478,0.018,0.00747,0.0374,0.796,123.97,4
5RfBhOGNbbXT5LiIvbHLhN,"6XwwFnewNgWp81MYMK8zLq,34dZRjYum6vVBGslgYaBtB","Stereo Love - Radio Edit","Stereo Love","Edward Maya,Vika Jigulina",2010-02-02,184000,56,spotify:user:rmal1103401,2023-08-31T23:03:45Z,"romanian house,romanian pop,moldovan pop",0.773,0.736,9,-5.589,1,0.0383,0.0335,0.0184,0.104,0.212,127.056,4
1eOHw1k2AoluG4VyjBHLzX,"0N0d3kjwdY2h7UVuTdJGfp","Everytime We Touch","Everytime We Touch","Cascada",2006-02-21,196466,0,spotify:user:rmal1103401,2023-08-31T23:04:04Z,"eurodance,europop,german techno,melbourne bounce international",0.635,0.974,8,-5.373,1,0.052,0.00474,0.0000156,0.41,0.495,142.049,4
6HZ9VeI5IRFCNQLXhpF4bq,"1VBflYyxBhnDc9uVib98rw,25uiPmTg16RbhZWAqwLBy5","I Love It (feat. Charli XCX)","THIS IS... ICONA POP","Icona Pop,Charli XCX",2013-08-27,157152,72,spotify:user:rmal1103401,2023-08-31T23:04:23Z,"candy pop,dance pop,electropop,metropopolis,swedish electropop,swedish synthpop,art pop,pop,uk pop",0.711,0.906,8,-2.671,1,0.0284,0.00952,0.0000164,0.153,0.824,125.916,4
79R98MwYRcQZdAzjjzUbiX,"7qG3b048QCHVRO5Pv1T5lw,3ipn9JLAPI5GUEo4y4jcoi,4yt2wdqvcHygghx9iNUb6i","Tonight (I'm Lovin' You)","Euphoria","Enrique Iglesias,Ludacris,DJ Frank E",2010,231293,55,spotify:user:rmal1103401,2023-08-31T23:05:33Z,"dance pop,latin pop,mexican pop,atl hip hop,dirty south rap,hip hop,old school atlanta hip hop,pop rap,rap,southern hip hop,trap",0.651,0.884,0,-3.986,0,0.0533,0.0242,0.00000536,0.202,0.285,125.941,4
4MKzCHlZvkwJOQRNkdw4zq,"1Cs0zKBU1kc0i8ypK3B9ai,0z4gvV4rjIZ9wHck67ucSV","Sexy Chick (feat. Akon)","One More Love","David Guetta,Akon",2010-11-22,194346,59,spotify:user:rmal1103401,2023-08-31T23:05:54Z,"big room,dance pop,edm,pop,pop dance",0.809,0.562,11,-7.694,0,0.0534,0.0816,0.000418,0.105,0.798,130.003,4
