"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At"
"spotify:track:2GiJYvgVaD2HtM8GqD9EgQ","Electric Love","spotify:artist:1KP6TWI40m7p3QBTU6u2xo","BØRNS","spotify:album:17l7MIu0Jh0tdgK7or9ovw","Dopamine","spotify:artist:1KP6TWI40m7p3QBTU6u2xo","BØRNS","2015-10-16","https://i.scdn.co/image/ab67616d0000b273cc2cf912462d8ae4ef856434","1","3","218106","https://p.scdn.co/mp3-preview/9e25bcbff5c6e56abf6370656d6255fd7a766d9a?cid=9950ac751e34487dbbe027c4fd7f8e99","false","82","USUM71416307","spotify:user:rmal1103401","2020-11-02T15:35:06Z"
"spotify:track:0GO8y8jQk1PkHzS31d699N","Tongue Tied","spotify:artist:3kVUvbeRdcrqQ3oHk5hPdx","GROUPLOVE","spotify:album:3oylWMc9TTC6Nx4I6U3axc","Never Trust a Happy Song","spotify:artist:3kVUvbeRdcrqQ3oHk5hPdx","GROUPLOVE","2011-09-02","https://i.scdn.co/image/ab67616d0000b273d84a9bbcba91cb6a4a212b1b","1","2","218013","https://p.scdn.co/mp3-preview/6082516f3c05520cc2cf8cecd17e4ce8667c459e?cid=9950ac751e34487dbbe027c4fd7f8e99","false","80","USAT21101334","spotify:user:rmal1103401","2020-11-02T15:35:07Z"
"spotify:track:64lsIF5pw0sJY0gV5kz0RN","Can I Call You Tonight?","spotify:artist:6eJa3zG1QZLRB3xgRuyxbm","Dayglow","spotify:album:5PFzbdbZRNaoGLCHFPnmv3","Fuzzybrain","spotify:artist:6eJa3zG1QZLRB3xgRuyxbm","Dayglow","2019-11-14","https://i.scdn.co/image/ab67616d0000b273ccd63af052f7e438c05f6c94","1","2","278769","","false","11","TCADL1825079","spotify:user:rmal1103401","2020-11-02T15:35:08Z"
"spotify:track:0TEekvXTomKt3hdXDZxxeW","Ribs","spotify:artist:163tK9Wjr9P9DmM0AVK7lm","Lorde","spotify:album:6rnzvZhe3PA57xKcKLRtJ6","Pure Heroine (Extended)","spotify:artist:163tK9Wjr9P9DmM0AVK7lm","Lorde","2013-01-01","https://i.scdn.co/image/ab67616d0000b27333a859e36fdc9a27ed86516e","1","4","258969","","false","0","NZUM71300122","spotify:user:rmal1103401","2020-11-02T15:35:10Z"
"spotify:track:2iUmqdfGZcHIhS3b9E9EWq","Everybody Talks","spotify:artist:0RpddSzUHfncUWNJXKOsjy","Neon Trees","spotify:album:0uRFz92JmjwDbZbB7hEBIr","Picture Show","spotify:artist:0RpddSzUHfncUWNJXKOsjy","Neon Trees","2012-01-01","https://i.scdn.co/image/ab67616d0000b2734a6c0376235e5aa44e59d2c2","1","3","177280","https://p.scdn.co/mp3-preview/9ad5a3b2443d6842bab6770eec8c9e12c29074a0?cid=9950ac751e34487dbbe027c4fd7f8e99","true","81","USUM71119189","spotify:user:rmal1103401","2020-11-02T15:35:13Z"
"spotify:track:5DJNyvuMmZfsfvdTpMMmUq","Sour Patch Kids","spotify:artist:1ShZZUjkbXCjhwrb18BA8I","Bryce Vine","spotify:album:08IW6sUfN9fRYG8Xlgm4oC","Lazy Fair","spotify:artist:1ShZZUjkbXCjhwrb18BA8I","Bryce Vine","2014-04-22","https://i.scdn.co/image/ab67616d0000b2737e370701e40b19856dee65f6","1","2","252546","https://p.scdn.co/mp3-preview/f42bdd33fe73cea9859e512d4b88d134511bdb37?cid=9950ac751e34487dbbe027c4fd7f8e99","true","60","USQY51460659","spotify:user:rmal1103401","2020-11-02T15:35:23Z"
"spotify:track:6AGOKlMZWLCaEJGnaROtF9","Put Your Records On","spotify:artist:7MPGCB854Qo4alYMOPkBka","Ritt Momney","spotify:album:6K7559pAYrNCJwsv1uIIK7","Put Your Records On","spotify:artist:7MPGCB854Qo4alYMOPkBka","Ritt Momney","2020-04-24","https://i.scdn.co/image/ab67616d0000b273d52d8eb3be188231e120dbbd","1","1","210463","https://p.scdn.co/mp3-preview/5f8e41ff69918de51a17df2f9b4517c1fa319b9c?cid=9950ac751e34487dbbe027c4fd7f8e99","false","75","USQX92004148","spotify:user:rmal1103401","2020-11-02T15:35:27Z"
"spotify:track:22UDw8rSfLbUsaAGTXQ4Z8","American Boy","spotify:artist:5T0MSzX9RC5NA6gAI6irSn, spotify:artist:5K4W6rqBFWDnAN6FQUkS6x","Estelle, Kanye West","spotify:album:5y4Ikuc4sLtNOpanoKKqwo","Shine","spotify:artist:5T0MSzX9RC5NA6gAI6irSn","Estelle","2008-03-28","https://i.scdn.co/image/ab67616d0000b273b0b30ef77be3523c8018810c","1","3","284733","","true","5","USAT20706210","spotify:user:rmal1103401","2020-11-02T15:35:33Z"
"spotify:track:1jJci4qxiYcOHhQR247rEU","Kids","spotify:artist:0SwO7SWeDHJijQ3XNS7xEE","MGMT","spotify:album:6mm1Skz3JE6AXneya9Nyiv","Oracular Spectacular","spotify:artist:0SwO7SWeDHJijQ3XNS7xEE","MGMT","2007-12-14","https://i.scdn.co/image/ab67616d0000b2738b32b139981e79f2ebe005eb","1","5","302840","https://p.scdn.co/mp3-preview/efb065069d22384206b0fc703c6f99734d33411d?cid=9950ac751e34487dbbe027c4fd7f8e99","false","79","USSM10702135","spotify:user:rmal1103401","2020-11-02T15:35:41Z"
"spotify:track:6K4t31amVTZDgR3sKmwUJJ","The Less I Know The Better","spotify:artist:5INjqkS1o8h1imAzPqGZBb","Tame Impala","spotify:album:79dL7FLiJFOO0EoehUHQBv","Currents","spotify:artist:5INjqkS1o8h1imAzPqGZBb","Tame Impala","2015-07-17","https://i.scdn.co/image/ab67616d0000b2739e1cfc756886ac782e363d79","1","7","216320","https://p.scdn.co/mp3-preview/3ad63797e17bda6d46d081049c8c3710e3ab2797?cid=9950ac751e34487dbbe027c4fd7f8e99","true","86","AUUM71500303","spotify:user:rmal1103401","2020-11-02T15:37:25Z"
"spotify:track:1eyzqe2QqGZUmfcPZtrIyt","Midnight City","spotify:artist:63MQldklfxkjYDoUE4Tppz","M83","spotify:album:6R0ynY7RF20ofs9GJR5TXR","Hurry Up, We're Dreaming","spotify:artist:63MQldklfxkjYDoUE4Tppz","M83","2011","https://i.scdn.co/image/ab67616d0000b273fff2cb485c36a6d8f639bdba","1","2","241440","https://p.scdn.co/mp3-preview/5aa3429867af2283925c942e7051342a464460b0?cid=9950ac751e34487dbbe027c4fd7f8e99","false","74","GB55H1100002","spotify:user:rmal1103401","2020-11-02T15:37:50Z"
"spotify:track:2f0pn9DkEJwAzXApnFh5cr","Someone To You","spotify:artist:4qWnlmXWuGv2TtuxtIWlJX","BANNERS","spotify:album:7jPoliCU7TRA13Wro32AOD","Where The Shadow Ends","spotify:artist:4qWnlmXWuGv2TtuxtIWlJX","BANNERS","2019-10-04","https://i.scdn.co/image/ab67616d0000b273f1bff89049561177b7cccebb","1","3","219801","https://p.scdn.co/mp3-preview/175723afbd4e226b4b6bd57fcb9d43b27550d61a?cid=9950ac751e34487dbbe027c4fd7f8e99","false","78","USUM71705215","spotify:user:rmal1103401","2020-11-02T15:37:51Z"
"spotify:track:5bgwqaRSS3M8WHWruHgSL5","8TEEN","spotify:artist:6LuN9FCkKOj5PcnpouEgny","Khalid","spotify:album:6kf46HbnYCZzP6rjvQHYzg","American Teen","spotify:artist:6LuN9FCkKOj5PcnpouEgny","Khalid","2017-04-27","https://i.scdn.co/image/ab67616d0000b273988ede5e1276e758b5f9e577","1","7","228600","https://p.scdn.co/mp3-preview/2e9a3023a21a4c083d1a5ad6beb0d503d719e7ae?cid=9950ac751e34487dbbe027c4fd7f8e99","false","76","USRC11700146","spotify:user:rmal1103401","2020-11-02T15:37:54Z"
"spotify:track:2AYEOC02WLhUiOoaig2SEH","Out of My League","spotify:artist:4AcHt3JxKy59IX7JNNlZn4","Fitz and The Tantrums","spotify:album:3IWUFJCM3CvCCQIHQ4vtRK","More Than Just a Dream (Deluxe Edition)","spotify:artist:4AcHt3JxKy59IX7JNNlZn4","Fitz and The Tantrums","2013-05-07","https://i.scdn.co/image/ab67616d0000b2735e145eb24e282b9554501a27","1","1","209386","https://p.scdn.co/mp3-preview/d50d8b3ce46da19a8f6b63539be7a10faee9a569?cid=9950ac751e34487dbbe027c4fd7f8e99","false","75","USAT21300149","spotify:user:rmal1103401","2020-11-02T15:37:58Z"
"spotify:track:57RA3JGafJm5zRtKJiKPIm","Are You Bored Yet? (feat. Clairo)","spotify:artist:0NIPkIjTV8mB795yEIiPYL, spotify:artist:3l0CmX0FuQjFxr8SK7Vqag","Wallows, Clairo","spotify:album:7eed9MBclFPjjjvotfR2e9","Nothing Happens","spotify:artist:0NIPkIjTV8mB795yEIiPYL","Wallows","2019-03-22","https://i.scdn.co/image/ab67616d0000b27384feca0133d9a8e6539a8325","1","4","178000","https://p.scdn.co/mp3-preview/7149829d4c4645d0d4d7c9b13285879d68042a72?cid=9950ac751e34487dbbe027c4fd7f8e99","false","82","USAT21812258","spotify:user:rmal1103401","2020-11-02T15:39:26Z"
"spotify:track:4ja2gzrNh9VNigzoXfmbwD","Mariposa","spotify:artist:0imE3buPhAowREqCrr4CYe","Peach Tree Rascals","spotify:album:0vpGo2ef7QNOKQHtd7qZeh","Mariposa","spotify:artist:0imE3buPhAowREqCrr4CYe","Peach Tree Rascals","2019-08-28","https://i.scdn.co/image/ab67616d0000b273180bec60ad04205a903e4441","1","1","210000","","false","60","QZFZ21934119","spotify:user:rmal1103401","2020-11-02T15:42:59Z"
"spotify:track:2QjOHCTQ1Jl3zawyYOpxh6","Sweater Weather","spotify:artist:77SW9BnxLY8rJ0RciFqkHh","The Neighbourhood","spotify:album:4xkM0BwLM9H2IUcbYzpcBI","I Love You.","spotify:artist:77SW9BnxLY8rJ0RciFqkHh","The Neighbourhood","2013-04-19","https://i.scdn.co/image/ab67616d0000b2738265a736a1eb838ad5a0b921","1","4","240400","https://p.scdn.co/mp3-preview/877602f424a9dea277b13301ffc516f9fd1fbe7e?cid=9950ac751e34487dbbe027c4fd7f8e99","false","92","USSM11300080","spotify:user:rmal1103401","2020-11-02T15:43:04Z"
