"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At"
"spotify:track:1OdxQvBNOgCDE3SyqoEDha","Slow Motion (feat. Wizkid)","spotify:artist:4Gso3d4CscCijv0lmajZWs, spotify:artist:3tVQdUvClmAT7URs9V3rsp","Don Toliver, Wizkid","spotify:album:26z5llzd194mcCZHADWd6k","Love Sick","spotify:artist:4Gso3d4CscCijv0lmajZWs","Don Toliver","2023-02-24","https://i.scdn.co/image/ab67616d0000b273feeff698e6090e6b02f21ec0","1","10","168626","https://p.scdn.co/mp3-preview/5a287ccfa78240127d8881341782c78776f2775a?cid=9950ac751e34487dbbe027c4fd7f8e99","true","62","USAT22301680","spotify:user:rmal1103401","2023-05-10T07:53:17Z"
"spotify:track:6w9GrSUaQQIaMBYtabge7p","Embarrassed (feat. Travis Scott)","spotify:artist:4Gso3d4CscCijv0lmajZWs, spotify:artist:0Y5tJX1MQlPlqiwlOH1tJY","Don Toliver, Travis Scott","spotify:album:2Q2TRdT994vTzGE3Grmmht","Love Sick (Deluxe)","spotify:artist:4Gso3d4CscCijv0lmajZWs","Don Toliver","2023-02-28","https://i.scdn.co/image/ab67616d0000b273f5e27c2aa0b110c2b6611577","1","2","192693","https://p.scdn.co/mp3-preview/be40a23e12250a5fd161eef7934bf9738e36fefe?cid=9950ac751e34487dbbe027c4fd7f8e99","true","74","USAT22302147","spotify:user:rmal1103401","2023-05-10T07:53:45Z"
"spotify:track:4NqkE7kRUvMDEdcqD96EDO","Used (feat. Don Toliver)","spotify:artist:7tYKF4w9nC0nq9CsPZTHyP, spotify:artist:4Gso3d4CscCijv0lmajZWs","SZA, Don Toliver","spotify:album:1nrVofqDRs7cpWXJ49qTnP","SOS","spotify:artist:7tYKF4w9nC0nq9CsPZTHyP","SZA","2022-12-08","https://i.scdn.co/image/ab67616d0000b2730c471c36970b9406233842a5","1","7","146946","https://p.scdn.co/mp3-preview/0c4af8402f1cdb87d67f63027f20951f7b5300f2?cid=9950ac751e34487dbbe027c4fd7f8e99","false","69","USRC12204590","spotify:user:rmal1103401","2023-05-10T08:04:57Z"
"spotify:track:2k6OpEcFV2VvXdVmPRNCiw","Let Her Go (feat. James Blake)","spotify:artist:4Gso3d4CscCijv0lmajZWs, spotify:artist:53KwLdlmrlCelAZMaLVZqU","Don Toliver, James Blake","spotify:album:26z5llzd194mcCZHADWd6k","Love Sick","spotify:artist:4Gso3d4CscCijv0lmajZWs","Don Toliver","2023-02-24","https://i.scdn.co/image/ab67616d0000b273feeff698e6090e6b02f21ec0","1","2","192720","https://p.scdn.co/mp3-preview/ee15ccbd5d34ca0eac75bfabd96ecf75db3748fb?cid=9950ac751e34487dbbe027c4fd7f8e99","true","58","USAT22301674","spotify:user:rmal1103401","2023-05-10T08:05:09Z"
"spotify:track:1pacwLXyRO47ka0v6LTIiY","Raindrops (Insane) [with Travis Scott]","spotify:artist:0iEtIxbK0KxaSlF7G42ZOp, spotify:artist:0Y5tJX1MQlPlqiwlOH1tJY","Metro Boomin, Travis Scott","spotify:album:7txGsnDSqVMoRl6RQ9XyZP","HEROES & VILLAINS","spotify:artist:0iEtIxbK0KxaSlF7G42ZOp","Metro Boomin","2022-12-02","https://i.scdn.co/image/ab67616d0000b273c4fee55d7b51479627c31f89","1","4","188586","https://p.scdn.co/mp3-preview/957314406a764002609cbe009f11b174a03dfac2?cid=9950ac751e34487dbbe027c4fd7f8e99","true","78","USUG12208785","spotify:user:rmal1103401","2023-05-10T08:05:36Z"
"spotify:track:2KLwPaRDOB87XOYAT2fgxh","Pussy & Millions (feat. Travis Scott)","spotify:artist:3TVXtAsR1Inumwj472S9r4, spotify:artist:1URnnhqYAYcrqrcwql10ft, spotify:artist:0Y5tJX1MQlPlqiwlOH1tJY","Drake, 21 Savage, Travis Scott","spotify:album:5MS3MvWHJ3lOZPLiMxzOU6","Her Loss","spotify:artist:3TVXtAsR1Inumwj472S9r4, spotify:artist:1URnnhqYAYcrqrcwql10ft","Drake, 21 Savage","2022-11-04","https://i.scdn.co/image/ab67616d0000b27302854a7060fccc1a66a4b5ad","1","10","242026","https://p.scdn.co/mp3-preview/a92872a0026dc2c1169d89f1e699239aa99f618e?cid=9950ac751e34487dbbe027c4fd7f8e99","true","79","USUG12208607","spotify:user:rmal1103401","2023-05-10T08:05:42Z"
"spotify:track:5fQBa4wkmq28xpSLOQ202K","Normal Girl","spotify:artist:7tYKF4w9nC0nq9CsPZTHyP","SZA","spotify:album:76290XdXVF9rPzGdNRWdCh","Ctrl","spotify:artist:7tYKF4w9nC0nq9CsPZTHyP","SZA","2017-06-09","https://i.scdn.co/image/ab67616d0000b2734c79d5ec52a6d0302f3add25","1","12","253586","https://p.scdn.co/mp3-preview/5e8ebc59e9938007def40bf12565decc0d0f6821?cid=9950ac751e34487dbbe027c4fd7f8e99","true","77","USRC11701128","spotify:user:rmal1103401","2023-05-10T07:54:07Z"
"spotify:track:1N8klHEbZ0bFOHnMVs8C9S","Fell In Love","spotify:artist:64KEffDW9EtZ1y2vBYgq8T, spotify:artist:3tlXnStJ1fFhdScmQeLpuG","Marshmello, Brent Faiyaz","spotify:album:4AkiEkHlDW2ZyPsO7iJct8","Fell In Love","spotify:artist:64KEffDW9EtZ1y2vBYgq8T, spotify:artist:3tlXnStJ1fFhdScmQeLpuG","Marshmello, Brent Faiyaz","2023-05-05","https://i.scdn.co/image/ab67616d0000b2739b61439fea3e5baeeeddc20a","1","1","121283","https://p.scdn.co/mp3-preview/27ebbd39b0ef90c8359e3adb96bc19f06cffae15?cid=9950ac751e34487dbbe027c4fd7f8e99","true","77","CA5KR2343741","spotify:user:rmal1103401","2023-05-10T07:54:14Z"
"spotify:track:5nexAvWNhwg51EavnDgViy","Toxic","spotify:artist:0cGUm45nv7Z6M6qdXYQGTX","Kehlani","spotify:album:6ROLwnmW9pOioLned0DaP3","It Was Good Until It Wasn't","spotify:artist:0cGUm45nv7Z6M6qdXYQGTX","Kehlani","2020-05-08","https://i.scdn.co/image/ab67616d0000b2733ba8dc55c81f0aaf819057e9","1","1","168182","https://p.scdn.co/mp3-preview/8e2a8c4eb31052ddde46510c5be2f5aca827547c?cid=9950ac751e34487dbbe027c4fd7f8e99","true","72","USAT22001338","spotify:user:rmal1103401","2023-05-10T07:54:22Z"
"spotify:track:1EwY5MatBtBEnHeyAFT8kP","TRAUMA","spotify:artist:2HPaUgqeutzr3jx5a9WyDV","PARTYNEXTDOOR","spotify:album:3XlxfDJEXSDdMFWh1hsg16","PARTYMOBILE","spotify:artist:2HPaUgqeutzr3jx5a9WyDV","PARTYNEXTDOOR","2020-03-26","https://i.scdn.co/image/ab67616d0000b2737b81dfc8cacd8e1cd84c5b96","1","7","170858","https://p.scdn.co/mp3-preview/cc0ca7cb4fb1fb4e3100e8c512ded8a19b1a2e61?cid=9950ac751e34487dbbe027c4fd7f8e99","false","51","USWB12000408","spotify:user:rmal1103401","2023-05-10T07:54:26Z"
