"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At"
"spotify:track:6lZ5p6VTbZ2ZvnsdTlLv7I","emiliana","spotify:artist:048LktY5zMnakWq7PTtFrz","CKay","spotify:album:4LTckGxBOI0fEkliC3zbIp","Emiliana","spotify:artist:048LktY5zMnakWq7PTtFrz","CKay","2022-03-04","https://i.scdn.co/image/ab67616d0000b27369ce47344b112474fbfa9cf8","1","1","164848","https://p.scdn.co/mp3-preview/68f2f4d3ef2a643bdb40190e64d4e800af28fb04?cid=9950ac751e34487dbbe027c4fd7f8e99","false","65","ZA34K2100657","spotify:user:rmal1103401","2022-11-22T04:28:17Z"
"spotify:track:1bDbXMyjaUIooNwFE9wn0N","Rich Flex","spotify:artist:3TVXtAsR1Inumwj472S9r4, spotify:artist:1URnnhqYAYcrqrcwql10ft","Drake, 21 Savage","spotify:album:5MS3MvWHJ3lOZPLiMxzOU6","Her Loss","spotify:artist:3TVXtAsR1Inumwj472S9r4, spotify:artist:1URnnhqYAYcrqrcwql10ft","Drake, 21 Savage","2022-11-04","https://i.scdn.co/image/ab67616d0000b27302854a7060fccc1a66a4b5ad","1","1","239359","https://p.scdn.co/mp3-preview/de60e5029a3488bfd6ce436beaca0472b7d20d9c?cid=9950ac751e34487dbbe027c4fd7f8e99","true","86","USUG12208598","spotify:user:rmal1103401","2022-11-22T04:31:47Z"
"spotify:track:2cc8Sw1OnCuA5bV8nqWqpE","You","spotify:artist:4ofCBoyEiGSePFAG500xev, spotify:artist:3WGpXCj9YhhfX11TToZcXP, spotify:artist:45dkTj5sMRSjrmBSBeiHym","Regard, Troye Sivan, Tate McRae","spotify:album:6cWawCk4DohREQA42eEOe1","You","spotify:artist:4ofCBoyEiGSePFAG500xev, spotify:artist:3WGpXCj9YhhfX11TToZcXP, spotify:artist:45dkTj5sMRSjrmBSBeiHym","Regard, Troye Sivan, Tate McRae","2021-04-16","https://i.scdn.co/image/ab67616d0000b273a04805b9c9723c18995c4b9a","1","1","233386","https://p.scdn.co/mp3-preview/14edf35ca3c2d75838a51fe3cbf8d96a16629781?cid=9950ac751e34487dbbe027c4fd7f8e99","true","74","GBCEN2100035","spotify:user:rmal1103401","2022-11-22T04:32:00Z"
"spotify:track:0wPKDeY4fZXT6k9bzV0kx0","That's Hilarious","spotify:artist:6VuMaDnrHyPL1p4EHjYLi7","Charlie Puth","spotify:album:2LTqBgZUH4EkDcj8hdkNjK","CHARLIE","spotify:artist:6VuMaDnrHyPL1p4EHjYLi7","Charlie Puth","2022-10-07","https://i.scdn.co/image/ab67616d0000b273a3b39c1651a617bb09800fd8","1","1","144933","https://p.scdn.co/mp3-preview/b3ab9546cd0c754036349b7d8e32de70257898ba?cid=9950ac751e34487dbbe027c4fd7f8e99","true","73","USAT22202621","spotify:user:rmal1103401","2022-11-22T04:32:04Z"
"spotify:track:2BEcap3xJtmiPaHKyfQi4e","Nostálgico","spotify:artist:1fctva4kpRbg2k3v7kwRuS, spotify:artist:1mcTU81TzQhprhouKaTkpq, spotify:artist:7bXgB6jMjp9ATFy66eO08Z","Rvssian, Rauw Alejandro, Chris Brown","spotify:album:3752EkZZ1wjEzZ1MRd9rsV","Nostálgico","spotify:artist:1fctva4kpRbg2k3v7kwRuS, spotify:artist:1mcTU81TzQhprhouKaTkpq, spotify:artist:7bXgB6jMjp9ATFy66eO08Z","Rvssian, Rauw Alejandro, Chris Brown","2021-09-08","https://i.scdn.co/image/ab67616d0000b273006cb8a368b174bbef547df1","1","1","209883","https://p.scdn.co/mp3-preview/356f47121298bd6606c82c7c06135f0fef2044f4?cid=9950ac751e34487dbbe027c4fd7f8e99","true","77","USSD12100318","spotify:user:rmal1103401","2022-11-22T04:32:10Z"
"spotify:track:4ZevD501qZiFK7FY8DFn0V","Do It Right","spotify:artist:4Gso3d4CscCijv0lmajZWs","Don Toliver","spotify:album:6v0yp2gWW4rFao7LtIA8RR","Do It Right","spotify:artist:4Gso3d4CscCijv0lmajZWs","Don Toliver","2022-11-18","https://i.scdn.co/image/ab67616d0000b273f3b65f33038a19d7a6fcc333","1","1","174474","https://p.scdn.co/mp3-preview/fdd1cd6c67f2ef784705ec68e7df4542a7e88df2?cid=9950ac751e34487dbbe027c4fd7f8e99","true","56","USAT22220020","spotify:user:heyitscmel","2022-11-22T04:32:14Z"
"spotify:track:15eaCR4Ajok605R4bgZDfk","Slip","spotify:artist:2SJhf6rTOU53g8yBdAjPby, spotify:artist:4Gso3d4CscCijv0lmajZWs","SoFaygo, Don Toliver","spotify:album:01sMG38jFe07XW1h2KPedd","Pink Heartz","spotify:artist:2SJhf6rTOU53g8yBdAjPby","SoFaygo","2022-11-11","https://i.scdn.co/image/ab67616d0000b273a3de300255cabacc0a529f9e","1","9","251761","https://p.scdn.co/mp3-preview/74dd113c59c4199afd9b6713951c571228e06671?cid=9950ac751e34487dbbe027c4fd7f8e99","false","15","QM24S2206288","spotify:user:rmal1103401","2022-11-22T04:32:30Z"
"spotify:track:3azJifCSqg9fRij2yKIbWz","The Color Violet","spotify:artist:2jku7tDXc6XoB6MO2hFuqg","Tory Lanez","spotify:album:5Gm2XKBgnlzd6qTi7LE1z2","Alone At Prom","spotify:artist:2jku7tDXc6XoB6MO2hFuqg","Tory Lanez","2021-12-10","https://i.scdn.co/image/ab67616d0000b2730c5f23cbf0b1ab7e37d0dc67","1","4","226466","https://p.scdn.co/mp3-preview/1d7c627bf549328110519c4bd21ac39d7ca50ea1?cid=9950ac751e34487dbbe027c4fd7f8e99","false","89","QZTGW2100275","spotify:user:rmal1103401","2022-11-22T04:32:50Z"
"spotify:track:67LB1vZuG114LqRN8h8bQ2","Recap (feat. Don Toliver)","spotify:artist:7rkW85dBwwrJtlHRDkJDAC, spotify:artist:4Gso3d4CscCijv0lmajZWs","NAV, Don Toliver","spotify:album:0jk3nAmtiIfwLU4CvDDMaS","Good Intentions","spotify:artist:7rkW85dBwwrJtlHRDkJDAC","NAV","2020-05-08","https://i.scdn.co/image/ab67616d0000b27336f15d38804d5bdd29b9fc7a","1","12","143824","https://p.scdn.co/mp3-preview/be0ed7639d74f723e2fff7f2f39600eadd274f80?cid=9950ac751e34487dbbe027c4fd7f8e99","true","60","USUM72009612","spotify:user:heyitscmel","2022-11-22T04:32:53Z"
"spotify:track:1IIbvRx0yOQHmdZiJ4uNYB","Insecure","spotify:artist:7mDU6nMUJnOSY2Hkjz5oqM","Roy Woods","spotify:album:1bQvvahTarm2ZJN7iFHr5A","Bad Bad","spotify:artist:7mDU6nMUJnOSY2Hkjz5oqM","Roy Woods","2022-07-15","https://i.scdn.co/image/ab67616d0000b273fb3a28f488b36a5bff948896","1","2","188132","","false","0","USWB12104378","spotify:user:rmal1103401","2022-11-22T04:33:15Z"
