"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At"
"spotify:track:0ZK8TGOsngrstVPsnrHbK1","Peach Pit","spotify:artist:6fC2AcsQtd9h4BWELbbire","Peach Pit","spotify:album:1lhF5c8Q9bzYNwGFwQgYnP","Sweet FA","spotify:artist:6fC2AcsQtd9h4BWELbbire","Peach Pit","2018-06-27","https://i.scdn.co/image/ab67616d0000b273241c6f0d19ffcda38f58c7f8","1","1","287080","https://p.scdn.co/mp3-preview/85da240c94e76122313f5b1442589f38bc76fc7a?cid=9950ac751e34487dbbe027c4fd7f8e99","false","62","USSM11805165","spotify:user:rmal1103401","2023-05-18T16:24:40Z"
"spotify:track:5YHO01RN7TrLffOG8iOOJM","Seventeen","spotify:artist:3MATPJ9tYbcMhw5VOZrRU6","Summer Salt","spotify:album:5Aj6dbpCHryCIB9n2pqmwG","Happy Camper","spotify:artist:3MATPJ9tYbcMhw5VOZrRU6","Summer Salt","2018-09-28","https://i.scdn.co/image/ab67616d0000b273d3f12993a820865791b73722","1","7","206786","https://p.scdn.co/mp3-preview/d4fd565064e852748519a5f5d39d473a78a5ad06?cid=9950ac751e34487dbbe027c4fd7f8e99","false","34","QM24S1836007","spotify:user:rmal1103401","2023-05-18T16:24:55Z"
"spotify:track:75TDPu9k7Yv3IovdYaNCwk","Cooks","spotify:artist:4iMO20EPodreIaEl8qW66y","Still Woozy","spotify:album:6P5uQurlsYMrmOgGRd3xpz","Cooks","spotify:artist:4iMO20EPodreIaEl8qW66y","Still Woozy","2017-07-16","https://i.scdn.co/image/ab67616d0000b273fb4bf66f138bea721c221442","1","1","174105","https://p.scdn.co/mp3-preview/41c90387433fcee01e0220818bfe3fbaa25ce39a?cid=9950ac751e34487dbbe027c4fd7f8e99","false","67","UST8K1799101","spotify:user:rmal1103401","2023-05-18T16:25:12Z"
"spotify:track:4IvrJQ8a2tSM7GCBjVogiV","New Girl (Tom's Song)","spotify:artist:027TpXKGwdXP7iwbjUSpV8","The Walters","spotify:album:5VoIodUSS55mBubptbcUon","Songs for Dads","spotify:artist:027TpXKGwdXP7iwbjUSpV8","The Walters","2014-11-28","https://i.scdn.co/image/ab67616d0000b273222bd5f6846b7183eb959b65","1","1","215050","https://p.scdn.co/mp3-preview/b23c074d0ff96c75b4487004edddd25e7e31c21f?cid=9950ac751e34487dbbe027c4fd7f8e99","false","49","TCACC1438996","spotify:user:rmal1103401","2023-05-18T16:25:30Z"
"spotify:track:5RxpYHVbGJPOvSEATQyg9P","Lucy","spotify:artist:4iMO20EPodreIaEl8qW66y, spotify:artist:5aMIbwZQvP2MHPMVC5zCGj","Still Woozy, ODIE","spotify:album:4VPzKudemKpbuuyEHIhFSU","Lucy","spotify:artist:4iMO20EPodreIaEl8qW66y","Still Woozy","2018-03-22","https://i.scdn.co/image/ab67616d0000b27318ffd6edc9a59a7234d0347b","1","1","142500","https://p.scdn.co/mp3-preview/15b3cbdda4ed7d6d2200c4fd73e99597148b593c?cid=9950ac751e34487dbbe027c4fd7f8e99","true","69","QZBRF1873892","spotify:user:rmal1103401","2023-05-18T16:26:37Z"
"spotify:track:1fvfajNL5FR7EbmeVnjbkN","Candy Wrappers","spotify:artist:3MATPJ9tYbcMhw5VOZrRU6","Summer Salt","spotify:album:5Aj6dbpCHryCIB9n2pqmwG","Happy Camper","spotify:artist:3MATPJ9tYbcMhw5VOZrRU6","Summer Salt","2018-09-28","https://i.scdn.co/image/ab67616d0000b273d3f12993a820865791b73722","1","5","192866","https://p.scdn.co/mp3-preview/635bb4fe2877c32c3b30bbf1a8d2dcac93b6919e?cid=9950ac751e34487dbbe027c4fd7f8e99","false","51","QM24S1836005","spotify:user:rmal1103401","2023-05-18T17:45:08Z"
"spotify:track:4fY6EU3jUQQISiUR8DLXuM","Sweet FA","spotify:artist:6fC2AcsQtd9h4BWELbbire","Peach Pit","spotify:album:1lhF5c8Q9bzYNwGFwQgYnP","Sweet FA","spotify:artist:6fC2AcsQtd9h4BWELbbire","Peach Pit","2018-06-27","https://i.scdn.co/image/ab67616d0000b273241c6f0d19ffcda38f58c7f8","1","4","215360","https://p.scdn.co/mp3-preview/165e8b29cbff0df0300b03e839ab4c652e8c59b0?cid=9950ac751e34487dbbe027c4fd7f8e99","false","53","USSM11805168","spotify:user:rmal1103401","2023-05-18T18:18:29Z"
"spotify:track:6PVx8IYQJdeLa2AIJnnFrj","Revvin' My Cj7","spotify:artist:3MATPJ9tYbcMhw5VOZrRU6","Summer Salt","spotify:album:3cRKFC6SpDSieD1UXfV6Fv","So Polite","spotify:artist:3MATPJ9tYbcMhw5VOZrRU6","Summer Salt","2017-07-18","https://i.scdn.co/image/ab67616d0000b27372dda75d6fb0b8d524476595","1","3","168205","https://p.scdn.co/mp3-preview/ace56f7b43139309ca2915899ce9088bf7644953?cid=9950ac751e34487dbbe027c4fd7f8e99","false","52","QZ8LD1739333","spotify:user:rmal1103401","2023-05-18T18:23:09Z"
"spotify:track:1Hu2OypX8tMPwBcCUaAeO4","Wolfcat","spotify:artist:4iMO20EPodreIaEl8qW66y","Still Woozy","spotify:album:5mlgzPatuoMGqqHsPIofKr","Wolfcat","spotify:artist:4iMO20EPodreIaEl8qW66y","Still Woozy","2017-08-31","https://i.scdn.co/image/ab67616d0000b2738d23ae740afca14480db70c8","1","1","174221","https://p.scdn.co/mp3-preview/b1ad7d1d2533ef77b23036c16ef5895bfa83c925?cid=9950ac751e34487dbbe027c4fd7f8e99","true","60","QZ9JZ1701572","spotify:user:rmal1103401","2023-05-18T18:25:09Z"
"spotify:track:5u9cuDcYdOpSRB7fAYXXdp","Marcel","spotify:artist:77mJc3M7ZT5oOVM7gNdXim","Her's","spotify:album:03gwRG5IvkStFnjPmgjElw","Songs of Her's","spotify:artist:77mJc3M7ZT5oOVM7gNdXim","Her's","2017-05-12","https://i.scdn.co/image/ab67616d0000b273fc1bc1cf80c431c2bdbde601","1","3","187571","https://p.scdn.co/mp3-preview/241918d77b0369101dcf72639745e65c23908029?cid=9950ac751e34487dbbe027c4fd7f8e99","false","66","GBYEJ1100253","spotify:user:rmal1103401","2023-05-18T18:37:43Z"
