"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At"
"spotify:track:2bLqfJjuC5syrsgDsZfGmn","The Way I Are","spotify:artist:5Y5TRrQiqgUO4S36tzjIRZ, spotify:artist:63wjoROpeh5f11Qm93UiJ1, spotify:artist:4TLCPR1sMYoNU1jA7O4uww","Timbaland, Keri Hilson, D.O.E.","spotify:album:4BxB8U8QgpR4UCvJ0moj8Z","Shock Value","spotify:artist:5Y5TRrQiqgUO4S36tzjIRZ","Timbaland","2007-01-01","https://i.scdn.co/image/ab67616d0000b2734ed674ab91bdc566534f9285","1","4","179120","https://p.scdn.co/mp3-preview/26eb4ef5199b03d40b7f6dbdd93cd059e7129963?cid=9950ac751e34487dbbe027c4fd7f8e99","false","85","USUM70722806","spotify:user:rmal1103401","2023-02-18T20:08:28Z"
"spotify:track:7ySUcLPVX7KudhnmNcgY2D","S&M","spotify:artist:5pKCCKE2ajJHZ9KAiaK11H","Rihanna","spotify:album:5QG3tjE5L9F6O2vCAPph38","Loud (Japan Version)","spotify:artist:5pKCCKE2ajJHZ9KAiaK11H","Rihanna","2010-01-01","https://i.scdn.co/image/ab67616d0000b27331548865f7c729290b96c794","1","1","243600","https://p.scdn.co/mp3-preview/6df4d34ea5aba149846ff5a2e10209dad5b2d1fd?cid=9950ac751e34487dbbe027c4fd7f8e99","true","82","USUM71026591","spotify:user:rmal1103401","2023-02-18T20:08:45Z"
"spotify:track:6klLvorLoo1sxvZcjJIY8I","Make No Sense","spotify:artist:7wlFDEWiM5OoIAt8RSli8b","YoungBoy Never Broke Again","spotify:album:1nzUj7VkiaytMmf2KrhK2L","AI YoungBoy 2","spotify:artist:7wlFDEWiM5OoIAt8RSli8b","YoungBoy Never Broke Again","2019-10-11","https://i.scdn.co/image/ab67616d0000b273a4cba447b322609cd47fb9d3","1","6","148629","https://p.scdn.co/mp3-preview/f7f2606dd7176acde2a0a666af32838c799c9ed8?cid=9950ac751e34487dbbe027c4fd7f8e99","true","77","USAT21904061","spotify:user:rmal1103401","2023-02-18T20:09:27Z"
"spotify:track:7aiClxsDWFRQ0Kzk5KI5ku","hot girl bummer","spotify:artist:2cFrymmkijnjDg9SS92EPM","blackbear","spotify:album:37CqAwxTungNxKpIK5vSgE","hot girl bummer","spotify:artist:2cFrymmkijnjDg9SS92EPM","blackbear","2019-08-23","https://i.scdn.co/image/ab67616d0000b27395e845fcceb1625ff6178411","1","1","185093","","true","3","USUG11902959","spotify:user:rmal1103401","2023-02-18T20:09:34Z"
"spotify:track:0c7K73roy6RW4ebDkf4yGh","VALENTINO","spotify:artist:6fWVd57NKTalqvmjRd2t8Z","24kGoldn","spotify:album:2iPZkrN305Ow3wO0LL90Cg","VALENTINO","spotify:artist:6fWVd57NKTalqvmjRd2t8Z","24kGoldn","2019-01-25","https://i.scdn.co/image/ab67616d0000b273b2fe7bf647c3147dbd8acb54","1","1","179133","https://p.scdn.co/mp3-preview/0787ab4277d28a0219d918ea01720dc215ba103b?cid=9950ac751e34487dbbe027c4fd7f8e99","true","54","USQX91803621","spotify:user:rmal1103401","2023-02-18T20:09:38Z"
"spotify:track:3C0nOe05EIt1390bVABLyN","On The Floor","spotify:artist:2DlGxzQSjYe5N6G9nkYghR, spotify:artist:0TnOYISbd1XYRBk9myaseg","Jennifer Lopez, Pitbull","spotify:album:3sysiYphqNRQw7VKLCg1yE","Love?","spotify:artist:2DlGxzQSjYe5N6G9nkYghR","Jennifer Lopez","2011-01-01","https://i.scdn.co/image/ab67616d0000b273d7b2aa3834b82b1cbe899a48","1","1","284866","https://p.scdn.co/mp3-preview/a4069cd6bf3c81860e7e532efa344df07707e040?cid=9950ac751e34487dbbe027c4fd7f8e99","false","80","USUM71104034","spotify:user:rmal1103401","2023-02-18T20:13:08Z"
"spotify:track:63y6xWR4gXz7bnUGOk8iI6","Into You","spotify:artist:66CXWjxzNUsdJxJ2JdwvnR","Ariana Grande","spotify:album:3pdKKSqqLVIKmRTGw0x2N7","Dangerous Woman","spotify:artist:66CXWjxzNUsdJxJ2JdwvnR","Ariana Grande","2016-05-20","https://i.scdn.co/image/ab67616d0000b273628d506d5bddb09099db242c","1","4","244453","https://p.scdn.co/mp3-preview/12489dbf9e313aa5a42dcf6e1d145df9b04db8dd?cid=9950ac751e34487dbbe027c4fd7f8e99","false","72","USUM71601827","spotify:user:rmal1103401","2023-02-18T20:13:13Z"
"spotify:track:22mek4IiqubGD9ctzxc69s","How Deep Is Your Love","spotify:artist:7CajNmpbOovFoOoasH2HaY, spotify:artist:5EehXjjMktLuJmbRsM7YfB","Calvin Harris, Disciples","spotify:album:3cG32DOXJoYlOHMmJIaQsm","How Deep Is Your Love","spotify:artist:7CajNmpbOovFoOoasH2HaY, spotify:artist:5EehXjjMktLuJmbRsM7YfB","Calvin Harris, Disciples","2015-07-17","https://i.scdn.co/image/ab67616d0000b273f4956c3ceefc6fa1cffc6da6","1","1","212640","https://p.scdn.co/mp3-preview/6aa9aca8fda017e572a0065c00a67feb6f044d0c?cid=9950ac751e34487dbbe027c4fd7f8e99","false","80","GBARL1500704","spotify:user:rmal1103401","2023-02-18T20:13:31Z"
"spotify:track:116H0KvKr2Zl4RPuVBruDO","MIA (feat. Drake)","spotify:artist:4q3ewBCX7sLwd24euuV69X, spotify:artist:3TVXtAsR1Inumwj472S9r4","Bad Bunny, Drake","spotify:album:0p0W4RXcnc59jgatcdZozO","MIA (feat. Drake)","spotify:artist:4q3ewBCX7sLwd24euuV69X","Bad Bunny","2018-10-11","https://i.scdn.co/image/ab67616d0000b2734d382194384bc6e08eb090f6","1","1","210367","","false","6","USWB11802236","spotify:user:rmal1103401","2023-02-18T20:14:47Z"
"spotify:track:47EiUVwUp4C9fGccaPuUCS","DÁKITI","spotify:artist:4q3ewBCX7sLwd24euuV69X, spotify:artist:6nVcHLIgY5pE2YCl8ubca1","Bad Bunny, Jhayco","spotify:album:43dl8hP5uNN9s6YeeJA5fv","DÁKITI","spotify:artist:4q3ewBCX7sLwd24euuV69X, spotify:artist:6nVcHLIgY5pE2YCl8ubca1","Bad Bunny, Jhayco","2020-10-30","https://i.scdn.co/image/ab67616d0000b27334c8199b0b3b3fb42b8a98a8","1","1","205090","https://p.scdn.co/mp3-preview/78f5e89d6384301b40fd9e5a659152a33dac6646?cid=9950ac751e34487dbbe027c4fd7f8e99","true","80","QMFME2004132","spotify:user:rmal1103401","2023-02-18T20:14:53Z"
"spotify:track:6ic8OlLUNEATToEFU3xmaH","Gimme More","spotify:artist:26dSoYclwsYLMAKD3tpOr4","Britney Spears","spotify:album:1ePkYcH5ZQCb1b4tQeiEDj","Blackout","spotify:artist:26dSoYclwsYLMAKD3tpOr4","Britney Spears","2007-10-25","https://i.scdn.co/image/ab67616d0000b273ca10fae7d292c52f7e8b11ca","1","1","251240","https://p.scdn.co/mp3-preview/cf83b67397b97a1634547c6194086c1102e89b36?cid=9950ac751e34487dbbe027c4fd7f8e99","false","83","USJI10700609","spotify:user:rmal1103401","2023-02-18T20:15:14Z"
"spotify:track:29TPjc8wxfz4XMn21O7VsZ","Sky","spotify:artist:699OTQXzgjhIYAHMy9RyPD","Playboi Carti","spotify:album:2QRedhP5RmKJiJ1i8VgDGR","Whole Lotta Red","spotify:artist:699OTQXzgjhIYAHMy9RyPD","Playboi Carti","2020-12-25","https://i.scdn.co/image/ab67616d0000b27398ea0e689c91f8fea726d9bb","1","19","193234","https://p.scdn.co/mp3-preview/3832c45b10a896960a57eb72e811a08aeb7d5a5c?cid=9950ac751e34487dbbe027c4fd7f8e99","true","84","USUM72024699","spotify:user:rmal1103401","2023-02-18T20:18:52Z"
"spotify:track:3uwnnTQcHM1rDqSfA4gQNz","Cool for the Summer","spotify:artist:6S2OmqARrzebs0tKUEyXyp","Demi Lovato","spotify:album:56yYgfX6M5FlpETfyZSHkn","Confident","spotify:artist:6S2OmqARrzebs0tKUEyXyp","Demi Lovato","2015-01-01","https://i.scdn.co/image/ab67616d0000b273ed164cf1c10f028e8f528784","1","2","214739","https://p.scdn.co/mp3-preview/29c3e2fad1bece04c7d8ab6e5ad4bee5a13485b5?cid=9950ac751e34487dbbe027c4fd7f8e99","true","81","USHR11536621","spotify:user:rmal1103401","2023-02-18T20:16:50Z"
"spotify:track:4UHyrGQCHu0Orh2utUxbNY","fake love don't last (feat. iann dior)","spotify:artist:6TIYQ3jFPwQSRmorSezPxX, spotify:artist:6ASri4ePR7RlsvIQgWPJpS","Machine Gun Kelly, iann dior","spotify:album:3sKZHtQoq3tPtkXbT8PJAc","mainstream sellout","spotify:artist:6TIYQ3jFPwQSRmorSezPxX","Machine Gun Kelly","2022-03-25","https://i.scdn.co/image/ab67616d0000b273b4683d9ac3c5f14a71523c84","1","13","143204","https://p.scdn.co/mp3-preview/d649f70cde38cc08aad1e21e32ec044b0feb3700?cid=9950ac751e34487dbbe027c4fd7f8e99","false","63","USUM72201513","spotify:user:rmal1103401","2023-02-18T20:11:37Z"
