Spotify ID,Artist IDs,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
6G8kHiVZ1jW7vHMPVRNZU0,"3TVXtAsR1Inumwj472S9r4,3fMbdgg4jU18AjLCKBhRSm","Don’t Matter To Me (with Michael Jackson)","Scorpion","Drake,Michael Jackson",2018-06-29,245786,71,spotify:user:rmal1103401,2020-08-25T17:24:42Z,"canadian hip hop,canadian pop,hip hop,pop rap,rap,r&b,soul",0.822,0.318,10,-12.391,1,0.0575,0.493,0.0128,0.11,0.138,102.998,4
2p8IUWQDrpjuFltbdgLOag,"1Xyo4u8uXC1ZmMpatF05PJ","After Hours","After Hours","The Weeknd",2020-03-20,361026,86,spotify:user:rmal1103401,2020-08-25T17:24:54Z,"canadian contemporary r&b,canadian pop,pop",0.664,0.572,5,-6.099,0,0.0305,0.0811,0.00604,0.121,0.143,108.959,4
0Nwar8rweBUyfyuoyjjUvk,"1Xyo4u8uXC1ZmMpatF05PJ","Privilege","My Dear Melancholy,","The Weeknd",2018-03-30,170573,68,spotify:user:rmal1103401,2020-08-25T17:25:21Z,"canadian contemporary r&b,canadian pop,pop",0.404,0.564,11,-7.013,0,0.0344,0.915,0.00252,0.134,0.371,93.631,4
4ppTAJUbNXELZcoUaL90wo,"1Xyo4u8uXC1ZmMpatF05PJ","Try Me","My Dear Melancholy,","The Weeknd",2018-03-30,221106,74,spotify:user:rmal1103401,2020-08-25T17:25:32Z,"canadian contemporary r&b,canadian pop,pop",0.456,0.679,8,-5.778,0,0.064,0.596,0.000573,0.129,0.107,92.026,4
2yTTfOaptQVJiocgjoQFfi,"7mDU6nMUJnOSY2Hkjz5oqM","Get You Good","Exis","Roy Woods",2015-07-31,226632,0,spotify:user:rmal1103401,2020-08-25T17:25:45Z,"canadian contemporary r&b,canadian hip hop",0.69,0.502,0,-7.077,0,0.0638,0.0306,0,0.145,0.329,86.185,4
2lRrlJxloNH5XYax6kaW3j,"7mDU6nMUJnOSY2Hkjz5oqM","Involved","Nocturnal","Roy Woods",2016-12-23,181224,0,spotify:user:rmal1103401,2020-08-25T17:25:50Z,"canadian contemporary r&b,canadian hip hop",0.693,0.49,8,-8.326,0,0.182,0.202,0,0.143,0.345,97.984,4
4NVNapccSX7E5JLiW0uQEy,"3TVXtAsR1Inumwj472S9r4,3nFkdlSjzX9mRTtwJOzDYB","Pound Cake / Paris Morton Music 2","Nothing Was The Same","Drake,JAY-Z",2013-01-01,432853,65,spotify:user:rmal1103401,2020-08-25T17:26:10Z,"canadian hip hop,canadian pop,hip hop,pop rap,rap,east coast hip hop,gangster rap",0.52,0.761,2,-6.75,1,0.536,0.139,0.0000113,0.114,0.264,164.083,4
3DkSirQyz93TaxZ0f0DloI,"21WS9wngs9AqFckK7yYJPM","My Ex","TrapStar Turnt PopStar","PnB Rock",2019-05-02,170393,55,spotify:user:rmal1103401,2020-08-25T17:26:19Z,"melodic rap,rap,trap",0.411,0.523,9,-7.063,1,0.259,0.754,0,0.137,0.532,81.793,4
6EJx2i6wJEmCzULdcWi4Ed,"2HPaUgqeutzr3jx5a9WyDV,3TVXtAsR1Inumwj472S9r4","LOYAL (feat. Drake)","PARTYMOBILE","PARTYNEXTDOOR,Drake",2020-03-27,197973,0,spotify:user:rmal1103401,2020-08-25T17:26:37Z,"r&b,rap,urban contemporary,canadian hip hop,canadian pop,hip hop,pop rap",0.866,0.53,0,-6.347,0,0.0495,0.517,0.00159,0.0946,0.203,104.952,4
6XpVAVpg3PfxcoO0tUG8jJ,"4tjqHer0BFQbJ1FVyWhffM","paradise","paradise","Marco Luka",2019-04-26,140000,57,spotify:user:rmal1103401,2020-08-25T17:27:02Z,"",0.634,0.526,7,-8.21,0,0.036,0.172,0.0373,0.128,0.143,143.998,4
