Spotify ID,Artist IDs,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
1OdxQvBNOgCDE3SyqoEDha,"4Gso3d4CscCijv0lmajZWs,3tVQdUvClmAT7URs9V3rsp","Slow Motion (feat. Wizkid)","Love Sick","Don Toliver,Wizkid",2023-02-24,168626,63,spotify:user:,1970-01-01T00:00:00Z,"pop rap,rap,trap,afrobeats,afropop,azonto,nigerian hip hop,nigerian pop",0.5,0.738,1,-4.477,0,0.417,0.41,0.00000397,0.223,0.433,185.577,4
5hTl2uxJGd1sbLtovguuuk,"4HzKw8XcD0piJmDrrPRCYk,3TVXtAsR1Inumwj472S9r4","Stars Align (with Drake)","Wildest Dreams","Majid Jordan,Drake",2021-10-22,260519,69,spotify:user:,1970-01-01T00:00:00Z,"canadian contemporary r&b,canadian hip hop,canadian pop,hip hop,pop rap,rap",0.763,0.667,2,-6.285,1,0.085,0.021,0.000024,0.0715,0.75,95.864,4
6c4Po8zyQjB4cR5XgLhcGb,"0VAIiNSKG4DWkSaIy5qWz1,47SaOSOqcrxSJNZUuqpLuu,54E3dYx7RpaGZaDVXJTWjr","9:45","9:45","Prabh Singh,Jay Trak,Rooh Sandhu",2023-03-10,117606,82,spotify:user:,1970-01-01T00:00:00Z,"punjabi pop",0.796,0.455,1,-7.763,0,0.0997,0.637,0.00000359,0.156,0.352,99.958,4
4kjI1gwQZRKNDkw1nI475M,"0Y5tJX1MQlPlqiwlOH1tJY","MY EYES","UTOPIA","Travis Scott",2023-07-28,251249,87,spotify:user:,1970-01-01T00:00:00Z,"hip hop,rap,slap house",0.455,0.621,0,-7.694,0,0.0517,0.651,0.00000259,0.123,0.28,119.043,4
5CqkgDH8QZjSqqI3HmYxDD,"34LetYSjEuG2fBb4Z8PwPg","Airwaves","Airwaves","Pashanim",2020-05-14,178932,69,spotify:user:,1970-01-01T00:00:00Z,"german alternative rap,german drill,german hip hop",0.885,0.578,5,-7.416,0,0.0783,0.0739,0.0903,0.102,0.388,131.999,4
4XC1jFNjPxGRkeCvp4TK3S,"3Z3aTg9PwJ37e8xeO0aUC9,2SRd7Kx7xWkZjoaFKgEreg,2WmxTCUVOyGsqn4GA7VxuC","Altbau","Altbau","01099,Paul,Gustav",2022-03-25,139493,63,spotify:user:,1970-01-01T00:00:00Z,"german hip hop",0.769,0.466,2,-11.954,0,0.127,0.689,0.041,0.168,0.414,128.009,4
1aL9518P5G72N92b48tuKw,"6LEG9Ld1aLImEFEVHdWNSB","Summer High","Summer High","AP Dhillon",2022-08-05,177391,76,spotify:user:,1970-01-01T00:00:00Z,"desi hip hop,desi pop,punjabi hip hop,punjabi pop",0.86,0.541,1,-6.51,0,0.0325,0.165,0.163,0.0663,0.952,114.984,4
6ygiy70ujkNOYXM1tQuMNe,"6DARBhWbfcS9E4yJzcliqQ,3nqS8jzqmsPKFJTp0BOIel,5TvdGhdmRObqOkU6eGfXb5","Admirin' You (feat. Preston Pablo)","Making Memories","Karan Aujla,Ikky,Preston Pablo",2023-08-18,214750,73,spotify:user:,1970-01-01T00:00:00Z,"desi hip hop,punjabi pop",0.756,0.664,1,-6.227,1,0.0851,0.0935,0,0.104,0.675,96.018,4
1Is8hGpkGMiePASAxBluxM,"5SXuuuRpukkTvsLuUknva1","16","The Melodic Blue","Baby Keem",2021-09-10,156040,80,spotify:user:,1970-01-01T00:00:00Z,"hip hop,rap",0.701,0.782,1,-4.987,1,0.138,0.0918,0.00000231,0.124,0.57,94.03,4
7KokYm8cMIXCsGVmUvKtqf,"06HL4z0CvFAxyc27GXpf02","Karma","Midnights","Taylor Swift",2022-10-21,204852,88,spotify:user:,1970-01-01T00:00:00Z,"pop",0.642,0.62,8,-7.091,1,0.0666,0.0734,0,0.483,0.0969,90.02,4
