"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At"
"spotify:track:3RhEOUwqyGU0nKZ0AYgWSe","On My Way","spotify:artist:4C9Tvlt8v7d8R6h98FgdUy","bLAck pARty","spotify:album:1t75KQZ01Bh6YrmBuqrLQs","On My Way","spotify:artist:4C9Tvlt8v7d8R6h98FgdUy","bLAck pARty","2022-06-16","https://i.scdn.co/image/ab67616d0000b2738955b48909cec9c0927dd1f9","1","1","163764","https://p.scdn.co/mp3-preview/5588e7142cab9b9e24ae5fc8a9a8cacc5334deb4?cid=9950ac751e34487dbbe027c4fd7f8e99","false","25","USRC12201507","spotify:user:gocardinal1228","2022-08-09T20:39:23Z"
"spotify:track:0YMe6PHRbeDcN7KJdCG0bW","The Dress","spotify:artist:0knGpCTbmG4ctl1wzYRZs4","Dijon","spotify:album:4E691gbRgo2Zb6ToII2DWO","Absolutely","spotify:artist:0knGpCTbmG4ctl1wzYRZs4","Dijon","2021-11-05","https://i.scdn.co/image/ab67616d0000b273a68442f97c3ad2dcba0beae6","1","6","184767","https://p.scdn.co/mp3-preview/b4d75e8216b4cc6879b063c72b6f61fd1bf07ad5?cid=9950ac751e34487dbbe027c4fd7f8e99","false","69","USWB12104062","spotify:user:gocardinal1228","2022-08-09T20:39:38Z"
"spotify:track:7CBlZqB7b1AcXksVCoiWZX","Apple","spotify:artist:7c6eQSFEfIt9rV3gh4cgtj","KAINA","spotify:album:4E2SOsnj6v1tGlWOZGNbCK","Apple","spotify:artist:7c6eQSFEfIt9rV3gh4cgtj","KAINA","2022-01-19","https://i.scdn.co/image/ab67616d0000b2734452be457defce2ae5992ec6","1","1","204467","https://p.scdn.co/mp3-preview/cda0bbe4186e8d7f49179fe8dc70e640f06e3efc?cid=9950ac751e34487dbbe027c4fd7f8e99","false","19","DED622200041","spotify:user:gocardinal1228","2022-08-09T20:39:43Z"
"spotify:track:1zm4wE5UxlqWMkaGWcopsj","Avalanche","spotify:artist:2kAP2prnGAq7s3DwRT6s16, spotify:artist:1ybINI1qPiFbwDXamRtwxD","reggie, Smino","spotify:album:3wLd71P517DbiJYR3swVq1","Avalanche","spotify:artist:2kAP2prnGAq7s3DwRT6s16, spotify:artist:1ybINI1qPiFbwDXamRtwxD","reggie, Smino","2021-09-22","https://i.scdn.co/image/ab67616d0000b273b1e218d6bfab2e8649792b98","1","1","148280","https://p.scdn.co/mp3-preview/1af0387057d91085298c054175d8da6c071c6cf0?cid=9950ac751e34487dbbe027c4fd7f8e99","true","46","QMDA62100037","spotify:user:gocardinal1228","2022-08-09T20:39:52Z"
"spotify:track:3IQ6PPDCEJBRFiqUCWeyI0","Automatic - Orion Sun Remix","spotify:artist:20PdOyVym0ZZrOB1rfcvCR, spotify:artist:2efrqekWSHlvhATD50AG3m","Spencer., Orion Sun","spotify:album:1F9avZunIAFYCpdQWlUiNZ","Automatic (Orion Sun Remix)","spotify:artist:20PdOyVym0ZZrOB1rfcvCR, spotify:artist:2efrqekWSHlvhATD50AG3m","Spencer., Orion Sun","2021-04-27","https://i.scdn.co/image/ab67616d0000b273e02ea691b28837dd9d36f78c","1","1","124736","https://p.scdn.co/mp3-preview/c5e7f93c34a9cfdde6ed95cccffa0b10eeb10dba?cid=9950ac751e34487dbbe027c4fd7f8e99","false","49","GBAFL2100131","spotify:user:gocardinal1228","2022-08-09T20:39:47Z"
"spotify:track:125DSBjIfOOCkmyRukprZT","Buzzed","spotify:artist:0jsnWH4QCKcAMpR7vEhh9u, spotify:artist:3rWZHrfrsPBxVy692yAIxF","¿Téo?, WILLOW","spotify:album:4JGWwlyl97ylcdcuU8IVS9","Buzzed","spotify:artist:0jsnWH4QCKcAMpR7vEhh9u","¿Téo?","2021-06-01","https://i.scdn.co/image/ab67616d0000b273dd0ddd74574fa4dd9f0da027","1","1","159732","https://p.scdn.co/mp3-preview/a426350c1dcc318a1030c86be9858342c73c4b05?cid=9950ac751e34487dbbe027c4fd7f8e99","false","39","CA5KR2171239","spotify:user:gocardinal1228","2022-08-09T20:39:57Z"
"spotify:track:72mY1ayNi7axNGpAN8CSRr","Roots","spotify:artist:6iWuBN32BqCJAeXW6o3nil","Cautious Clay","spotify:album:68ioJPPDh78BdVruabXHVn","Deadpan Love","spotify:artist:6iWuBN32BqCJAeXW6o3nil","Cautious Clay","2021-06-25","https://i.scdn.co/image/ab67616d0000b273e0c53fe97c86f896263266d0","1","13","172555","https://p.scdn.co/mp3-preview/4b444d24954fabeb0e1edd7f55edd8879d6047ef?cid=9950ac751e34487dbbe027c4fd7f8e99","false","39","QMBZ92095195","spotify:user:gocardinal1228","2022-08-09T20:40:02Z"
"spotify:track:6ktq7bBlxFi3aPexm5N31m","either side","spotify:artist:0xSfdfhcXN6T8M5gt7VwK0","LOONY","spotify:album:7EcfkZxkjFLn0FASWQmFkX","either side","spotify:artist:0xSfdfhcXN6T8M5gt7VwK0","LOONY","2021-05-21","https://i.scdn.co/image/ab67616d0000b273858f46baf4c8b459bdb84d1d","1","1","167213","","false","0","GBKPL2150543","spotify:user:gocardinal1228","2022-08-09T20:40:09Z"
"spotify:track:2vzbsLzYwD9St0phYhR0Lt","Drive","spotify:artist:6NV0b1K9BhoZYSBk9ZPnWv, spotify:artist:4yJHrytMK7mqtKsXVGaBNg, spotify:artist:5TAipisjquAkq2o7lzMJyc","See You Next Year, Fana Hues, MIKE DEAN","spotify:album:0S7csLoFSrkT3eVLMxSdFa","Drive","spotify:artist:6NV0b1K9BhoZYSBk9ZPnWv, spotify:artist:4yJHrytMK7mqtKsXVGaBNg, spotify:artist:5TAipisjquAkq2o7lzMJyc","See You Next Year, Fana Hues, MIKE DEAN","2022-06-10","https://i.scdn.co/image/ab67616d0000b2733e522ff8e3fe2cc6df969b79","1","1","145945","https://p.scdn.co/mp3-preview/0adebe03ed1061f10f5d6430e7f1893ec16ff69e?cid=9950ac751e34487dbbe027c4fd7f8e99","false","22","ZZOPM2232186","spotify:user:gocardinal1228","2022-08-09T20:40:13Z"
"spotify:track:1uf4itZeNCVYDHExNH9Ov3","pressure","spotify:artist:2efrqekWSHlvhATD50AG3m","Orion Sun","spotify:album:2WtfCHRb8cy4a2x8vOMVkM","Getaway","spotify:artist:2efrqekWSHlvhATD50AG3m","Orion Sun","2022-03-11","https://i.scdn.co/image/ab67616d0000b2731324126728be98a5b4775b4e","1","2","220893","https://p.scdn.co/mp3-preview/beed7ef6fc6bb96c3a33059000d7253f6c877659?cid=9950ac751e34487dbbe027c4fd7f8e99","false","54","USQE92100357","spotify:user:gocardinal1228","2022-08-09T20:40:28Z"
