"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At"
"spotify:track:7vgRu7Bj2vGOh6iX41jGqJ","Get Together (with Duckwrth)","spotify:artist:7wg1qvie3KqDNQbAkTdbX0, spotify:artist:6I3MElirhT5t6Kf7p0hGk9","Louis The Child, Duckwrth","spotify:album:4aBLjtEUUg1424XB5WQgKP","Here For Now","spotify:artist:7wg1qvie3KqDNQbAkTdbX0","Louis The Child","2020-06-26","https://i.scdn.co/image/ab67616d0000b273d0c97444ecc52c4ca601144a","1","9","144026","https://p.scdn.co/mp3-preview/ae46ac05173fdd90098c4f38cc39e4b87017a924?cid=9950ac751e34487dbbe027c4fd7f8e99","false","47","USUM72009936","spotify:user:gocardinal1228","2022-11-13T23:20:25Z"
"spotify:track:1rOKAsJZJDIikOKDeUfPRV","Last Words","spotify:artist:1rHOtdmGNr5vcYNw5v7QGC","Kenny Beats","spotify:album:3SKVtzmihlnGFylW5nC5kj","LOUIE","spotify:artist:1rHOtdmGNr5vcYNw5v7QGC","Kenny Beats","2022-08-31","https://i.scdn.co/image/ab67616d0000b27363af9bcfdea6df60f73d2ade","1","11","109586","https://p.scdn.co/mp3-preview/226313d8ed1cb7dee0bf814219f4bdbd5a6b0f2a?cid=9950ac751e34487dbbe027c4fd7f8e99","false","58","GBBKS2200111","spotify:user:gocardinal1228","2022-11-13T23:20:29Z"
"spotify:track:4oIW33etTmDo5N2UoMAsmU","Lock N Key","spotify:artist:5uhqkMm8dyQvX83kl4Znq0","99 Neighbors","spotify:album:3i1TVz9jk9nf1JXXeZnvqg","Television","spotify:artist:5uhqkMm8dyQvX83kl4Znq0","99 Neighbors","2019-01-01","https://i.scdn.co/image/ab67616d0000b27328414612c46ecf59c890b34c","1","6","224000","https://p.scdn.co/mp3-preview/7fd02fd5d385550fc76f9265dce3dd59102c9a35?cid=9950ac751e34487dbbe027c4fd7f8e99","false","39","QZ4JJ1852795","spotify:user:gocardinal1228","2022-11-13T23:20:33Z"
"spotify:track:1NlGXcWeUSe1s3IgRKcqmB","Antidote","spotify:artist:2efrqekWSHlvhATD50AG3m","Orion Sun","spotify:album:1Ckbuzoh1dYKFnpNYmVEof","A Collection of Fleeting Moments and Daydreams","spotify:artist:2efrqekWSHlvhATD50AG3m","Orion Sun","2020-01-06","https://i.scdn.co/image/ab67616d0000b273ee0ec368f9b61f602365d864","1","2","169822","https://p.scdn.co/mp3-preview/0b166bb00668fd2c83f0dbb564841cb797773198?cid=9950ac751e34487dbbe027c4fd7f8e99","false","65","TCADD1775940","spotify:user:gocardinal1228","2022-11-13T23:20:37Z"
"spotify:track:4dGuRldChjvboZktprNJFM","Hush - Still Woozy Remix","spotify:artist:2sSGPbdZJkaSE2AbcGOACx, spotify:artist:4iMO20EPodreIaEl8qW66y","The Marías, Still Woozy","spotify:album:3LcrYJ7ASoQo7SuBy7qGoI","Hush (Still Woozy Remix)","spotify:artist:2sSGPbdZJkaSE2AbcGOACx, spotify:artist:4iMO20EPodreIaEl8qW66y","The Marías, Still Woozy","2021-09-16","https://i.scdn.co/image/ab67616d0000b273b2abc93d337f3e9829aaf0ae","1","1","182346","https://p.scdn.co/mp3-preview/413ba3645179bcbb1248b4412477b2f758fb94cf?cid=9950ac751e34487dbbe027c4fd7f8e99","false","60","USAT22104520","spotify:user:gocardinal1228","2022-11-13T23:20:40Z"
"spotify:track:1ZP4Qxb7USL3EezbxfpOVF","Pool","spotify:artist:4iMO20EPodreIaEl8qW66y, spotify:artist:0NB5HROxc8dDBXpkIi1v3d","Still Woozy, Remi Wolf","spotify:album:3rDZy3Mdl38XtftACWXL5c","Pool","spotify:artist:4iMO20EPodreIaEl8qW66y, spotify:artist:0NB5HROxc8dDBXpkIi1v3d","Still Woozy, Remi Wolf","2022-03-17","https://i.scdn.co/image/ab67616d0000b273752547ae24e3f830ee1b90a0","1","1","223000","https://p.scdn.co/mp3-preview/5d2e8b05c9750f9167c497123740fe415b63b778?cid=9950ac751e34487dbbe027c4fd7f8e99","true","58","USUG12201528","spotify:user:gocardinal1228","2022-11-13T23:20:44Z"
"spotify:track:2tUqgzXUa4tqj2fRdPVtFX","BITE","spotify:artist:7GdGZWPHxDEu0ppvLoB4GO","Baird","spotify:album:6hBDtMqSsiixf7l5qHF2sq","BIRDSONGS, Vol. 2","spotify:artist:7GdGZWPHxDEu0ppvLoB4GO","Baird","2020-10-20","https://i.scdn.co/image/ab67616d0000b2736a7bf6dc7f5ed701ef123457","1","1","160680","https://p.scdn.co/mp3-preview/3abf3e934b847da5680c5b1963c290cd20c6b8e4?cid=9950ac751e34487dbbe027c4fd7f8e99","true","42","QZD5H2000277","spotify:user:gocardinal1228","2022-11-13T23:20:56Z"
"spotify:track:3dvRD7tnKF9Kxocks07jue","Beige","spotify:artist:7MNEVabc4cs19CbzAFZmXz, spotify:artist:6TvjXbopXg71XRM9OZWqUc, spotify:artist:1djeOKOhlMmpiF6gyGVUcu","Terrace Martin, Arin Ray, Elena Pinderhughes","spotify:album:67VkDUL4cKcQeMrV2CDPHf","Beige","spotify:artist:7MNEVabc4cs19CbzAFZmXz","Terrace Martin","2019-12-20","https://i.scdn.co/image/ab67616d0000b27313c7b5a02687028035b24453","1","1","197173","https://p.scdn.co/mp3-preview/204d6d695d5ba91ed66b38e1975dced3625b3bd3?cid=9950ac751e34487dbbe027c4fd7f8e99","true","61","USUYG1285748","spotify:user:gocardinal1228","2022-11-13T23:21:00Z"
"spotify:track:4yEw9bcmDHgIgqe8BCyDWy","Electric U","spotify:artist:5CXdWANGwYYRPClH6hhC0P","Kid Bloom","spotify:album:6P3BHKJIAhYqpTc7UXKQ2I","Electric U","spotify:artist:5CXdWANGwYYRPClH6hhC0P","Kid Bloom","2016-06-07","https://i.scdn.co/image/ab67616d0000b2733f1f519325cf1c9e8a390fcd","1","1","171696","","false","0","QM2PV1607689","spotify:user:gocardinal1228","2022-11-13T23:21:04Z"
"spotify:track:30YwNPjL8G6O1GaTP5obhV","Get Down","spotify:artist:4iMO20EPodreIaEl8qW66y","Still Woozy","spotify:album:0QnWm07An8WyO3eupjBDoP","If This Isn’t Nice, I Don’t Know What Is","spotify:artist:4iMO20EPodreIaEl8qW66y","Still Woozy","2021-08-13","https://i.scdn.co/image/ab67616d0000b273178df9e236187d6f1e710f5f","1","10","171653","https://p.scdn.co/mp3-preview/f6f74072eb623fbc89008466907d2cc9a274422a?cid=9950ac751e34487dbbe027c4fd7f8e99","false","55","USUG12102722","spotify:user:gocardinal1228","2022-11-13T23:21:08Z"
