"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At"
"spotify:track:0FysXYeuMmdbod61UBUK4m","Right now","spotify:artist:4tuJ0bMpJh08umKkEXKUI5","Gracie Abrams","spotify:album:5ZCIbfKnv3GF5h5h8MiRzQ","Good Riddance","spotify:artist:4tuJ0bMpJh08umKkEXKUI5","Gracie Abrams","2023-02-24","https://i.scdn.co/image/ab67616d0000b2737a13f362954eb4d7f160eeec","1","12","350836","","false","5","USUG12202357","spotify:user:rmadcbf14ajpnmg7e68qs065x","2023-04-22T06:17:21Z"
"spotify:track:1n96oXchJtgq5FGyvVLrvE","Is There Something in the Movies?","spotify:artist:1Uk1GyijF6fSfX4mWq5bfR","Samia","spotify:album:7faAwJDTt9Y8kVAcSHy9Y6","The Baby","spotify:artist:1Uk1GyijF6fSfX4mWq5bfR","Samia","2020-08-28","https://i.scdn.co/image/ab67616d0000b27346ec83ab9efeb7bdb01d78b6","1","11","210173","https://p.scdn.co/mp3-preview/e2490dbe8be6f1bdfb4b2a29b3a322b7859d1cc7?cid=9950ac751e34487dbbe027c4fd7f8e99","false","48","QM5BK1900335","spotify:user:rmadcbf14ajpnmg7e68qs065x","2023-04-22T06:17:09Z"
"spotify:track:1AuFtTcYdOsNmePbMCh9T4","New York - piano version","spotify:artist:7bcbShaqKdcyjnmv4Ix8j6","St. Vincent","spotify:album:3XwQPcRrrSNxETjuD5ka5r","MassEducation","spotify:artist:7bcbShaqKdcyjnmv4Ix8j6","St. Vincent","2018-10-12","https://i.scdn.co/image/ab67616d0000b2735f67bc8b07bb2f11fb08ba04","1","8","168346","https://p.scdn.co/mp3-preview/e1bdb3d0f7be37d725203a33293c225a47243fe4?cid=9950ac751e34487dbbe027c4fd7f8e99","true","25","USC4R1802439","spotify:user:rmadcbf14ajpnmg7e68qs065x","2023-04-22T06:17:06Z"
"spotify:track:42u7E3k7DkT3X28PFQU1Yb","Double Shift","spotify:artist:7AgbNZPRrvTpWjVbbPoUmU","Odie Leigh","spotify:album:3Q4cL6tHytabFDeKbCFU3b","Double Shift","spotify:artist:7AgbNZPRrvTpWjVbbPoUmU","Odie Leigh","2023-05-12","https://i.scdn.co/image/ab67616d0000b2739a048bdd4317f69f766dfae7","1","1","300746","https://p.scdn.co/mp3-preview/b814ee908fb9eb1797fc5301ca6848ecb09b8ba8?cid=9950ac751e34487dbbe027c4fd7f8e99","true","35","QZMHP2391277","spotify:user:rmadcbf14ajpnmg7e68qs065x","2023-05-21T19:08:11Z"
"spotify:track:0XGZAOVm4d9e1UHykZATeK","Mental Math","spotify:artist:12zbUHbPHL5DGuJtiUfsip","Julien Baker","spotify:album:4TFemUhhzdeB4IXxSjD6sQ","B-Sides","spotify:artist:12zbUHbPHL5DGuJtiUfsip","Julien Baker","2022-07-21","https://i.scdn.co/image/ab67616d0000b273019c1ae732fe6fec346cfd49","1","3","204933","https://p.scdn.co/mp3-preview/4c8d61e77485abff3f3bd64538d4d2b8c0f4bc14?cid=9950ac751e34487dbbe027c4fd7f8e99","false","39","USMTD2200367","spotify:user:rmadcbf14ajpnmg7e68qs065x","2023-04-22T06:17:03Z"
"spotify:track:7luCtgAuniQXXPI9yQJTE0","Go Home","spotify:artist:12zbUHbPHL5DGuJtiUfsip","Julien Baker","spotify:album:5rfzi2DFB4gH5XhXjsuGQN","Sprained Ankle","spotify:artist:12zbUHbPHL5DGuJtiUfsip","Julien Baker","2015-10-23","https://i.scdn.co/image/ab67616d0000b27383bcc8b550f4b12faa859d60","1","9","304645","","false","0","USA2P1506535","spotify:user:rmadcbf14ajpnmg7e68qs065x","2023-04-22T06:17:12Z"
"spotify:track:5Vqk0qGS6TIsymA93Nv5ob","Crying In Public","spotify:artist:7E1o9IcnpiFQDlAUk2H7Az","Madi Diaz","spotify:album:0bx5hbIbfqvl6XmqTiGvkt","History Of A Feeling","spotify:artist:7E1o9IcnpiFQDlAUk2H7Az","Madi Diaz","2021-08-27","https://i.scdn.co/image/ab67616d0000b273142fc969744a3a65310f56d0","1","3","240106","https://p.scdn.co/mp3-preview/b2a5a8e07a66f1aaa85af10637dcbcfe661d426e?cid=9950ac751e34487dbbe027c4fd7f8e99","false","30","USEP42073003","spotify:user:rmadcbf14ajpnmg7e68qs065x","2023-04-22T06:17:32Z"
"spotify:track:3jt1ZVIuluGkV0sWWLSUzw","Appointments","spotify:artist:12zbUHbPHL5DGuJtiUfsip","Julien Baker","spotify:album:3AV0YFhIzY0LDeaJPU5x3O","Turn Out the Lights","spotify:artist:12zbUHbPHL5DGuJtiUfsip","Julien Baker","2017-10-27","https://i.scdn.co/image/ab67616d0000b27355e6251f6f6ffa24f092daac","1","2","273466","https://p.scdn.co/mp3-preview/09660a2093d7c128bae6692a4ed8ab7ce9ed345d?cid=9950ac751e34487dbbe027c4fd7f8e99","false","54","USMTD1709988","spotify:user:rmadcbf14ajpnmg7e68qs065x","2023-04-22T06:17:14Z"
"spotify:track:3QcZxv72VsNVQjOUNmr5Yh","Good News","spotify:artist:12zbUHbPHL5DGuJtiUfsip","Julien Baker","spotify:album:5rfzi2DFB4gH5XhXjsuGQN","Sprained Ankle","spotify:artist:12zbUHbPHL5DGuJtiUfsip","Julien Baker","2015-10-23","https://i.scdn.co/image/ab67616d0000b27383bcc8b550f4b12faa859d60","1","5","211216","","false","0","USA2P1506531","spotify:user:rmadcbf14ajpnmg7e68qs065x","2023-04-22T06:17:17Z"
"spotify:track:60xpnf7FfLjIkQpv7cvmGn","All of the Love in the World","spotify:artist:0p0ksmwMDQlAM24TWKu4Ua","Lily Kershaw","spotify:album:7jw2AxwR8gA2xcFCCzxJUF","Criminal Minds Collection","spotify:artist:0p0ksmwMDQlAM24TWKu4Ua","Lily Kershaw","2020-05-08","https://i.scdn.co/image/ab67616d0000b27397afb4cc17639b3a33da2edf","1","4","159272","https://p.scdn.co/mp3-preview/e413615bca5e4b384b04d2e86de3d35bc0ea2165?cid=9950ac751e34487dbbe027c4fd7f8e99","false","28","CAN111800138","spotify:user:rmadcbf14ajpnmg7e68qs065x","2023-04-22T06:18:33Z"
"spotify:track:4dEUEEbO25gBn2s9dASnYi","I Burned LA Down","spotify:artist:55fhWPvDiMpLnE4ZzNXZyW","Noah Cyrus","spotify:album:4frBxYchAwQD5z8Z6VTrF3","The Hardest Part","spotify:artist:55fhWPvDiMpLnE4ZzNXZyW","Noah Cyrus","2022-09-16","https://i.scdn.co/image/ab67616d0000b273116f184b2510ff64c96c6baa","1","9","195252","https://p.scdn.co/mp3-preview/8a288b1e6c4c259a195b280ae292b5feb58343da?cid=9950ac751e34487dbbe027c4fd7f8e99","false","63","USQX92105689","spotify:user:rmadcbf14ajpnmg7e68qs065x","2023-04-22T06:19:25Z"
"spotify:track:5GEt4ZyWwWnTifowMvs5Ms","Villain","spotify:artist:0nugNBwdWaptgIAsEtx1It","Searows","spotify:album:4Y7xxhWtydlfjYiaGolr58","Guard Dog","spotify:artist:0nugNBwdWaptgIAsEtx1It","Searows","2022-09-30","https://i.scdn.co/image/ab67616d0000b273a621f9c7728040fd47c7809d","1","8","289324","https://p.scdn.co/mp3-preview/ab59cb94beebd29c80768e021716965f91f47fe5?cid=9950ac751e34487dbbe027c4fd7f8e99","true","45","CAENV2205852","spotify:user:rmadcbf14ajpnmg7e68qs065x","2023-05-23T04:41:44Z"
