"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At"
"spotify:track:4LOg3dKvCAJiF9NYC7YqzG","Anti-Curse","spotify:artist:1hLiboQ98IQWhpKeP9vRFw, spotify:artist:12zbUHbPHL5DGuJtiUfsip, spotify:artist:1r1uxoy19fzMxunt3ONAkG, spotify:artist:07D1Bjaof0NFlU32KXiqUP","boygenius, Julien Baker, Phoebe Bridgers, Lucy Dacus","spotify:album:0e9GjrztzBw8oMC6n2CDeI","the record","spotify:artist:1hLiboQ98IQWhpKeP9vRFw","boygenius","2023-03-31","https://i.scdn.co/image/ab67616d0000b27343fc02bcfa7cd4e6bb66aa22","1","11","198546","https://p.scdn.co/mp3-preview/cc1222a60e35a1a97e0489a5595bd8cc58a11522?cid=9950ac751e34487dbbe027c4fd7f8e99","false","61","USUG12209247","spotify:user:rmadcbf14ajpnmg7e68qs065x","2023-04-09T08:04:27Z"
"spotify:track:5ASPgiUgnrHCfwnJlh04ZR","Georgia","spotify:artist:1r1uxoy19fzMxunt3ONAkG","Phoebe Bridgers","spotify:album:5rcJ5xCMYYLCgGilFDKRZl","Stranger in the Alps (Deluxe Edition)","spotify:artist:1r1uxoy19fzMxunt3ONAkG","Phoebe Bridgers","2018-10-02","https://i.scdn.co/image/ab67616d0000b27378d8e579122e4b9446954ee9","1","7","247306","https://p.scdn.co/mp3-preview/66a8ff51128a178ba38275118efb986c96dbb068?cid=9950ac751e34487dbbe027c4fd7f8e99","false","50","USJ5G1714207","spotify:user:rmadcbf14ajpnmg7e68qs065x","2023-04-09T08:04:55Z"
"spotify:track:1dbaHk2530DwkAe5vwOYez","Now & Then","spotify:artist:0p0ksmwMDQlAM24TWKu4Ua","Lily Kershaw","spotify:album:6PLChyiJHbYkpX9XXtW6Ye","Arcadia","spotify:artist:0p0ksmwMDQlAM24TWKu4Ua","Lily Kershaw","2019-11-15","https://i.scdn.co/image/ab67616d0000b27328670121ac3b194b383cb23d","1","10","199172","https://p.scdn.co/mp3-preview/95f2a7641bcd9e244ef166f178f6dc5f1806bd35?cid=9950ac751e34487dbbe027c4fd7f8e99","false","42","CAN111900258","spotify:user:rmadcbf14ajpnmg7e68qs065x","2023-04-09T08:05:02Z"
"spotify:track:0fhCPfwzobrm2kyDqcJ9vV","Details","spotify:artist:2RVvqRBon9NgaGXKfywDSs","Maisie Peters","spotify:album:1ziE8y7wGzDY0PDgoDXKwF","Dressed Too Nice For A Jacket","spotify:artist:2RVvqRBon9NgaGXKfywDSs","Maisie Peters","2018-11-02","https://i.scdn.co/image/ab67616d0000b273e4a6cae7b7dbc5d83faca6dd","1","2","188239","https://p.scdn.co/mp3-preview/2540821e510b6360d33657eb3c8c3e309ae6c305?cid=9950ac751e34487dbbe027c4fd7f8e99","false","43","GBAHS1800697","spotify:user:rmadcbf14ajpnmg7e68qs065x","2023-04-09T08:15:44Z"
"spotify:track:0XGZAOVm4d9e1UHykZATeK","Mental Math","spotify:artist:12zbUHbPHL5DGuJtiUfsip","Julien Baker","spotify:album:4TFemUhhzdeB4IXxSjD6sQ","B-Sides","spotify:artist:12zbUHbPHL5DGuJtiUfsip","Julien Baker","2022-07-21","https://i.scdn.co/image/ab67616d0000b273019c1ae732fe6fec346cfd49","1","3","204933","https://p.scdn.co/mp3-preview/4c8d61e77485abff3f3bd64538d4d2b8c0f4bc14?cid=9950ac751e34487dbbe027c4fd7f8e99","false","39","USMTD2200367","spotify:user:rmadcbf14ajpnmg7e68qs065x","2023-04-09T08:05:05Z"
"spotify:track:4A0HztYIT8xANwwTQxAFp0","Chinese Satellite - Live From Sound City","spotify:artist:1r1uxoy19fzMxunt3ONAkG","Phoebe Bridgers","spotify:album:5llvMUjEVcdJoqtqw7hLoR","Chinese Satellite (Live From Sound City)","spotify:artist:1r1uxoy19fzMxunt3ONAkG","Phoebe Bridgers","2022-03-11","https://i.scdn.co/image/ab67616d0000b273d6c059712a4916f1b278405a","1","1","234880","https://p.scdn.co/mp3-preview/8564ccb0affc81d379411dc9b8af3a1b8a3121e5?cid=9950ac751e34487dbbe027c4fd7f8e99","false","42","US38W2140020","spotify:user:rmadcbf14ajpnmg7e68qs065x","2023-04-09T08:05:14Z"
"spotify:track:1AuFtTcYdOsNmePbMCh9T4","New York - piano version","spotify:artist:7bcbShaqKdcyjnmv4Ix8j6","St. Vincent","spotify:album:3XwQPcRrrSNxETjuD5ka5r","MassEducation","spotify:artist:7bcbShaqKdcyjnmv4Ix8j6","St. Vincent","2018-10-12","https://i.scdn.co/image/ab67616d0000b2735f67bc8b07bb2f11fb08ba04","1","8","168346","https://p.scdn.co/mp3-preview/e1bdb3d0f7be37d725203a33293c225a47243fe4?cid=9950ac751e34487dbbe027c4fd7f8e99","true","25","USC4R1802439","spotify:user:rmadcbf14ajpnmg7e68qs065x","2023-04-09T08:05:21Z"
"spotify:track:1yYlpGuBiRRf33e1gY61bN","Night Shift","spotify:artist:07D1Bjaof0NFlU32KXiqUP","Lucy Dacus","spotify:album:0LqhbUfmHsxovfSirhEIGu","Historian","spotify:artist:07D1Bjaof0NFlU32KXiqUP","Lucy Dacus","2018-03-02","https://i.scdn.co/image/ab67616d0000b27324db806e309c9de68cc190c5","1","1","391829","https://p.scdn.co/mp3-preview/bb8b1e9c07ebd0a16e34ff2a0d83dfdf088d85d5?cid=9950ac751e34487dbbe027c4fd7f8e99","true","72","USMTD1810669","spotify:user:rmadcbf14ajpnmg7e68qs065x","2023-04-09T08:05:48Z"
"spotify:track:1HVBlU3A1CKQGedER91zdc","In My Head","spotify:artist:2RVvqRBon9NgaGXKfywDSs","Maisie Peters","spotify:album:1ziE8y7wGzDY0PDgoDXKwF","Dressed Too Nice For A Jacket","spotify:artist:2RVvqRBon9NgaGXKfywDSs","Maisie Peters","2018-11-02","https://i.scdn.co/image/ab67616d0000b273e4a6cae7b7dbc5d83faca6dd","1","1","187827","https://p.scdn.co/mp3-preview/97ee7b978e818210d4ecf988b0dbb86a20a586a7?cid=9950ac751e34487dbbe027c4fd7f8e99","false","45","GBAHS1800692","spotify:user:rmadcbf14ajpnmg7e68qs065x","2023-04-09T08:16:19Z"
"spotify:track:1n8naNTpqGGDyoX9jrViCJ","Ziptie - Thao Remix","spotify:artist:12zbUHbPHL5DGuJtiUfsip, spotify:artist:4PfWwzCyXuXAjuaisibSKG","Julien Baker, Thao","spotify:album:0LUS2nZwH6z3P5U3KuKHnJ","Little Oblivions (Remixes)","spotify:artist:12zbUHbPHL5DGuJtiUfsip","Julien Baker","2021-09-01","https://i.scdn.co/image/ab67616d0000b2733e47ea22df5622149f8947ba","1","5","265442","https://p.scdn.co/mp3-preview/b49e4988e92e0bb06d5dfaeb22585074ec881b84?cid=9950ac751e34487dbbe027c4fd7f8e99","false","16","USMTD2100594","spotify:user:rmadcbf14ajpnmg7e68qs065x","2023-04-09T08:20:10Z"
"spotify:track:1n96oXchJtgq5FGyvVLrvE","Is There Something in the Movies?","spotify:artist:1Uk1GyijF6fSfX4mWq5bfR","Samia","spotify:album:7faAwJDTt9Y8kVAcSHy9Y6","The Baby","spotify:artist:1Uk1GyijF6fSfX4mWq5bfR","Samia","2020-08-28","https://i.scdn.co/image/ab67616d0000b27346ec83ab9efeb7bdb01d78b6","1","11","210173","https://p.scdn.co/mp3-preview/e2490dbe8be6f1bdfb4b2a29b3a322b7859d1cc7?cid=9950ac751e34487dbbe027c4fd7f8e99","false","48","QM5BK1900335","spotify:user:rmadcbf14ajpnmg7e68qs065x","2023-04-09T08:05:56Z"
"spotify:track:7luCtgAuniQXXPI9yQJTE0","Go Home","spotify:artist:12zbUHbPHL5DGuJtiUfsip","Julien Baker","spotify:album:5rfzi2DFB4gH5XhXjsuGQN","Sprained Ankle","spotify:artist:12zbUHbPHL5DGuJtiUfsip","Julien Baker","2015-10-23","https://i.scdn.co/image/ab67616d0000b27383bcc8b550f4b12faa859d60","1","9","304645","","false","0","USA2P1506535","spotify:user:rmadcbf14ajpnmg7e68qs065x","2023-04-09T08:06:11Z"
