"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At"
"spotify:track:77sMIMlNaSURUAXq5coCxE","Fearless (Taylor’s Version)","spotify:artist:06HL4z0CvFAxyc27GXpf02","Taylor Swift","spotify:album:4hDok0OAJd57SGIT8xuWJH","Fearless (Taylor's Version)","spotify:artist:06HL4z0CvFAxyc27GXpf02","Taylor Swift","2021-04-09","https://i.scdn.co/image/ab67616d0000b273a48964b5d9a3d6968ae3e0de","1","1","241591","https://p.scdn.co/mp3-preview/369c245de23f7ad5e1e4f7823372c705050b00fc?cid=9950ac751e34487dbbe027c4fd7f8e99","false","84","USUG12100618","spotify:user:rmadcbf14ajpnmg7e68qs065x","2023-07-14T02:39:59Z"
"spotify:track:2nqio0SfWg6gh2eCtfuMa5","Fifteen (Taylor’s Version)","spotify:artist:06HL4z0CvFAxyc27GXpf02","Taylor Swift","spotify:album:4hDok0OAJd57SGIT8xuWJH","Fearless (Taylor's Version)","spotify:artist:06HL4z0CvFAxyc27GXpf02","Taylor Swift","2021-04-09","https://i.scdn.co/image/ab67616d0000b273a48964b5d9a3d6968ae3e0de","1","2","294419","https://p.scdn.co/mp3-preview/a745d47eb05f6bc7f7d7011e596588b253e52464?cid=9950ac751e34487dbbe027c4fd7f8e99","false","72","USUG12100619","spotify:user:rmadcbf14ajpnmg7e68qs065x","2023-07-14T02:39:59Z"
"spotify:track:6YvqWjhGD8mB5QXcbcUKtx","Love Story (Taylor’s Version)","spotify:artist:06HL4z0CvFAxyc27GXpf02","Taylor Swift","spotify:album:4hDok0OAJd57SGIT8xuWJH","Fearless (Taylor's Version)","spotify:artist:06HL4z0CvFAxyc27GXpf02","Taylor Swift","2021-04-09","https://i.scdn.co/image/ab67616d0000b273a48964b5d9a3d6968ae3e0de","1","3","235766","https://p.scdn.co/mp3-preview/8d949db76b94c73e48890b86a7e5d559531cd965?cid=9950ac751e34487dbbe027c4fd7f8e99","false","82","USUG12100342","spotify:user:rmadcbf14ajpnmg7e68qs065x","2023-07-14T02:39:59Z"
"spotify:track:550erGcdD9n6PnwxrvYqZT","Hey Stephen (Taylor’s Version)","spotify:artist:06HL4z0CvFAxyc27GXpf02","Taylor Swift","spotify:album:4hDok0OAJd57SGIT8xuWJH","Fearless (Taylor's Version)","spotify:artist:06HL4z0CvFAxyc27GXpf02","Taylor Swift","2021-04-09","https://i.scdn.co/image/ab67616d0000b273a48964b5d9a3d6968ae3e0de","1","4","254254","https://p.scdn.co/mp3-preview/f3c56636090fb5f128beb4b9ce4289e5edee7589?cid=9950ac751e34487dbbe027c4fd7f8e99","false","71","USUG12100620","spotify:user:rmadcbf14ajpnmg7e68qs065x","2023-07-14T02:39:59Z"
"spotify:track:5YL553x8sHderRBDlm3NM3","White Horse (Taylor’s Version)","spotify:artist:06HL4z0CvFAxyc27GXpf02","Taylor Swift","spotify:album:4hDok0OAJd57SGIT8xuWJH","Fearless (Taylor's Version)","spotify:artist:06HL4z0CvFAxyc27GXpf02","Taylor Swift","2021-04-09","https://i.scdn.co/image/ab67616d0000b273a48964b5d9a3d6968ae3e0de","1","5","234515","https://p.scdn.co/mp3-preview/b3ecf54585f66b0a1be537a1b22e21e4deb31ac7?cid=9950ac751e34487dbbe027c4fd7f8e99","false","72","USUG12100621","spotify:user:rmadcbf14ajpnmg7e68qs065x","2023-07-14T02:39:59Z"
"spotify:track:1qrpoAMXodY6895hGKoUpA","You Belong With Me (Taylor’s Version)","spotify:artist:06HL4z0CvFAxyc27GXpf02","Taylor Swift","spotify:album:4hDok0OAJd57SGIT8xuWJH","Fearless (Taylor's Version)","spotify:artist:06HL4z0CvFAxyc27GXpf02","Taylor Swift","2021-04-09","https://i.scdn.co/image/ab67616d0000b273a48964b5d9a3d6968ae3e0de","1","6","231124","https://p.scdn.co/mp3-preview/93a61f13e0f9551a6d60a6f540871d14bc4d78ed?cid=9950ac751e34487dbbe027c4fd7f8e99","false","86","USUG12100622","spotify:user:rmadcbf14ajpnmg7e68qs065x","2023-07-14T02:39:59Z"
"spotify:track:7HC7R2D8WjXVcUHJyEGjRs","Breathe (feat. Colbie Caillat) (Taylor’s Version)","spotify:artist:06HL4z0CvFAxyc27GXpf02, spotify:artist:6aZyMrc4doVtZyKNilOmwu","Taylor Swift, Colbie Caillat","spotify:album:4hDok0OAJd57SGIT8xuWJH","Fearless (Taylor's Version)","spotify:artist:06HL4z0CvFAxyc27GXpf02","Taylor Swift","2021-04-09","https://i.scdn.co/image/ab67616d0000b273a48964b5d9a3d6968ae3e0de","1","7","263377","https://p.scdn.co/mp3-preview/b862631d0f26f7e1acff4f4e77639f919116c631?cid=9950ac751e34487dbbe027c4fd7f8e99","false","69","USUG12100623","spotify:user:rmadcbf14ajpnmg7e68qs065x","2023-07-14T02:39:59Z"
"spotify:track:0k0vFacOHNuArLWMiH60p7","Tell Me Why (Taylor’s Version)","spotify:artist:06HL4z0CvFAxyc27GXpf02","Taylor Swift","spotify:album:4hDok0OAJd57SGIT8xuWJH","Fearless (Taylor's Version)","spotify:artist:06HL4z0CvFAxyc27GXpf02","Taylor Swift","2021-04-09","https://i.scdn.co/image/ab67616d0000b273a48964b5d9a3d6968ae3e0de","1","8","200575","https://p.scdn.co/mp3-preview/3eb85c88a3b180093a70a32ccb75a4d6295c4e70?cid=9950ac751e34487dbbe027c4fd7f8e99","false","68","USUG12100624","spotify:user:rmadcbf14ajpnmg7e68qs065x","2023-07-14T02:39:59Z"
"spotify:track:6iiAfo4wTA2CVC3Uwx9uh8","You’re Not Sorry (Taylor’s Version)","spotify:artist:06HL4z0CvFAxyc27GXpf02","Taylor Swift","spotify:album:4hDok0OAJd57SGIT8xuWJH","Fearless (Taylor's Version)","spotify:artist:06HL4z0CvFAxyc27GXpf02","Taylor Swift","2021-04-09","https://i.scdn.co/image/ab67616d0000b273a48964b5d9a3d6968ae3e0de","1","9","261842","https://p.scdn.co/mp3-preview/14f3d8d521ee870698761261a0ab8fa09da04197?cid=9950ac751e34487dbbe027c4fd7f8e99","false","70","USUG12100625","spotify:user:rmadcbf14ajpnmg7e68qs065x","2023-07-14T02:39:59Z"
"spotify:track:22bPsP2jCgbLUvh82U0Z3M","The Way I Loved You (Taylor’s Version)","spotify:artist:06HL4z0CvFAxyc27GXpf02","Taylor Swift","spotify:album:4hDok0OAJd57SGIT8xuWJH","Fearless (Taylor's Version)","spotify:artist:06HL4z0CvFAxyc27GXpf02","Taylor Swift","2021-04-09","https://i.scdn.co/image/ab67616d0000b273a48964b5d9a3d6968ae3e0de","1","10","243136","https://p.scdn.co/mp3-preview/d40ac5b2f3d937665df2deb68f81d73fa982cd01?cid=9950ac751e34487dbbe027c4fd7f8e99","false","82","USUG12100626","spotify:user:rmadcbf14ajpnmg7e68qs065x","2023-07-14T02:39:59Z"
