"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At"
"spotify:track:5ASPgiUgnrHCfwnJlh04ZR","Georgia","spotify:artist:1r1uxoy19fzMxunt3ONAkG","Phoebe Bridgers","spotify:album:5rcJ5xCMYYLCgGilFDKRZl","Stranger in the Alps (Deluxe Edition)","spotify:artist:1r1uxoy19fzMxunt3ONAkG","Phoebe Bridgers","2018-10-02","https://i.scdn.co/image/ab67616d0000b27378d8e579122e4b9446954ee9","1","7","247306","https://p.scdn.co/mp3-preview/66a8ff51128a178ba38275118efb986c96dbb068?cid=9950ac751e34487dbbe027c4fd7f8e99","false","50","USJ5G1714207","spotify:user:rmadcbf14ajpnmg7e68qs065x","2023-09-08T16:54:50Z"
"spotify:track:2SpEHTbUuebeLkgs9QB7Ue","Jolene","spotify:artist:32vWCbZh0xZ4o9gkz4PsEU","Dolly Parton","spotify:album:5DyOxuvdSmTSNAmkfcsBsj","Jolene","spotify:artist:32vWCbZh0xZ4o9gkz4PsEU","Dolly Parton","1974-02-04","https://i.scdn.co/image/ab67616d0000b27326399936751b54c7e9782324","1","1","161533","https://p.scdn.co/mp3-preview/66cd00686ab84843e560ae024e60e8bf0fba786d?cid=9950ac751e34487dbbe027c4fd7f8e99","false","74","USRN19600096","spotify:user:rmadcbf14ajpnmg7e68qs065x","2023-09-08T17:00:52Z"
"spotify:track:5kI4eCXXzyuIUXjQra0Cxi","betty","spotify:artist:06HL4z0CvFAxyc27GXpf02","Taylor Swift","spotify:album:2fenSS68JI1h4Fo296JfGr","folklore","spotify:artist:06HL4z0CvFAxyc27GXpf02","Taylor Swift","2020-07-24","https://i.scdn.co/image/ab67616d0000b27395f754318336a07e85ec59bc","1","14","294521","https://p.scdn.co/mp3-preview/31825c9a556dfdc742fef65e4ad6fa1100a529a7?cid=9950ac751e34487dbbe027c4fd7f8e99","true","78","USUG12002848","spotify:user:rmadcbf14ajpnmg7e68qs065x","2023-09-08T16:55:43Z"
"spotify:track:3hUxzQpSfdDqwM3ZTFQY0K","august","spotify:artist:06HL4z0CvFAxyc27GXpf02","Taylor Swift","spotify:album:2fenSS68JI1h4Fo296JfGr","folklore","spotify:artist:06HL4z0CvFAxyc27GXpf02","Taylor Swift","2020-07-24","https://i.scdn.co/image/ab67616d0000b27395f754318336a07e85ec59bc","1","8","261922","https://p.scdn.co/mp3-preview/8e82ad5f6e681af7f3b261417e4187d345a9530c?cid=9950ac751e34487dbbe027c4fd7f8e99","false","91","USUG12002842","spotify:user:rmadcbf14ajpnmg7e68qs065x","2023-09-08T16:55:49Z"
"spotify:track:670fUmXf4KQekzbEgaXyPA","dorothea","spotify:artist:06HL4z0CvFAxyc27GXpf02","Taylor Swift","spotify:album:2Xoteh7uEpea4TohMxjtaq","evermore","spotify:artist:06HL4z0CvFAxyc27GXpf02","Taylor Swift","2020-12-11","https://i.scdn.co/image/ab67616d0000b27333b8541201f1ef38941024be","1","8","225880","https://p.scdn.co/mp3-preview/57843a32528efc30dc08aa083f8363711a033c27?cid=9950ac751e34487dbbe027c4fd7f8e99","false","69","USUG12004710","spotify:user:rmadcbf14ajpnmg7e68qs065x","2023-09-08T16:55:55Z"
"spotify:track:56ToH3YiSMT51y1H2dygOX","Rosyln","spotify:artist:4LEiUm1SRbFMgfqnQTwUbQ, spotify:artist:7bcbShaqKdcyjnmv4Ix8j6","Bon Iver, St. Vincent","spotify:album:1HxaWWxwnLIaobOQFVi1Xz","The Twilight Saga: New Moon (Original Motion Picture Soundtrack) [Deluxe]","spotify:artist:0LyfQWJT6nXafLPZqxe9Of","Various Artists","2009-10-09","https://i.scdn.co/image/ab67616d0000b273c1399042ffe4156cc27dccbb","1","8","289560","https://p.scdn.co/mp3-preview/605d7653f4356655467822d2b3fd3db792504973?cid=9950ac751e34487dbbe027c4fd7f8e99","false","56","USAT20903243","spotify:user:rmadcbf14ajpnmg7e68qs065x","2023-11-26T15:37:01Z"
"spotify:track:5NORWMFC27ywGSZxi8uquP","Ophelia","spotify:artist:16oZKvXb6WkQlVAjwo2Wbg","The Lumineers","spotify:album:5y1YWb4OONEGbxZQLRNUwO","Cleopatra","spotify:artist:16oZKvXb6WkQlVAjwo2Wbg","The Lumineers","2016-04-08","https://i.scdn.co/image/ab67616d0000b273e4c3db3e7ebfc22bc080f334","1","2","160097","https://p.scdn.co/mp3-preview/72ddb34d6735c03a8ae82f14d0236ce7b4d47ae4?cid=9950ac751e34487dbbe027c4fd7f8e99","false","82","USDMG1673802","spotify:user:rmadcbf14ajpnmg7e68qs065x","2023-11-26T15:36:20Z"
"spotify:track:5bzf1xrbqr1ttjAJuRz2xY","Cleopatra","spotify:artist:16oZKvXb6WkQlVAjwo2Wbg","The Lumineers","spotify:album:5y1YWb4OONEGbxZQLRNUwO","Cleopatra","spotify:artist:16oZKvXb6WkQlVAjwo2Wbg","The Lumineers","2016-04-08","https://i.scdn.co/image/ab67616d0000b273e4c3db3e7ebfc22bc080f334","1","3","201413","https://p.scdn.co/mp3-preview/e7e9cada7ce85b7f4e7fedafb06ade2586cdd02a?cid=9950ac751e34487dbbe027c4fd7f8e99","false","71","USDMG1673803","spotify:user:rmadcbf14ajpnmg7e68qs065x","2023-11-26T15:37:46Z"
"spotify:track:693xmBAOD4xwkS4W71W1Jn","Emily I'm Sorry","spotify:artist:1hLiboQ98IQWhpKeP9vRFw, spotify:artist:12zbUHbPHL5DGuJtiUfsip, spotify:artist:1r1uxoy19fzMxunt3ONAkG, spotify:artist:07D1Bjaof0NFlU32KXiqUP","boygenius, Julien Baker, Phoebe Bridgers, Lucy Dacus","spotify:album:0e9GjrztzBw8oMC6n2CDeI","the record","spotify:artist:1hLiboQ98IQWhpKeP9vRFw","boygenius","2023-03-31","https://i.scdn.co/image/ab67616d0000b27343fc02bcfa7cd4e6bb66aa22","1","3","214866","https://p.scdn.co/mp3-preview/62addc90841c48070a2ac167d849caa366edb3d2?cid=9950ac751e34487dbbe027c4fd7f8e99","true","70","USUG12209239","spotify:user:rmadcbf14ajpnmg7e68qs065x","2023-09-08T16:56:18Z"
"spotify:track:0eYSzApMKixJLlYPnk3gBW","Christine","spotify:artist:07D1Bjaof0NFlU32KXiqUP","Lucy Dacus","spotify:album:2nwfSapJ3YIq7Ofad4Vuh1","Home Video","spotify:artist:07D1Bjaof0NFlU32KXiqUP","Lucy Dacus","2021-06-25","https://i.scdn.co/image/ab67616d0000b273ccd1bacab1dfa5ef5adb1f16","1","2","153504","https://p.scdn.co/mp3-preview/6a38b94fc069bf16e72733b749e74442f082de4d?cid=9950ac751e34487dbbe027c4fd7f8e99","false","54","USMTD2100003","spotify:user:rmadcbf14ajpnmg7e68qs065x","2023-09-08T16:56:49Z"
