"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At"
"spotify:track:2QjOHCTQ1Jl3zawyYOpxh6","Sweater Weather","spotify:artist:77SW9BnxLY8rJ0RciFqkHh","The Neighbourhood","spotify:album:4xkM0BwLM9H2IUcbYzpcBI","I Love You.","spotify:artist:77SW9BnxLY8rJ0RciFqkHh","The Neighbourhood","2013-04-19","https://i.scdn.co/image/ab67616d0000b2738265a736a1eb838ad5a0b921","1","4","240400","https://p.scdn.co/mp3-preview/877602f424a9dea277b13301ffc516f9fd1fbe7e?cid=9950ac751e34487dbbe027c4fd7f8e99","false","93","USSM11300080","spotify:user:rmadcbf14ajpnmg7e68qs065x","2023-11-23T05:20:28Z"
"spotify:track:5enxwA8aAbwZbf5qCHORXi","All Too Well (10 Minute Version) (Taylor's Version) (From The Vault)","spotify:artist:06HL4z0CvFAxyc27GXpf02","Taylor Swift","spotify:album:6kZ42qRrzov54LcAk4onW9","Red (Taylor's Version)","spotify:artist:06HL4z0CvFAxyc27GXpf02","Taylor Swift","2021-11-12","https://i.scdn.co/image/ab67616d0000b273318443aab3531a0558e79a4d","1","30","613026","https://p.scdn.co/mp3-preview/57b5f697db04a6f463de366927093882cfd5a00b?cid=9950ac751e34487dbbe027c4fd7f8e99","true","87","USUG12103690","spotify:user:rmadcbf14ajpnmg7e68qs065x","2023-11-23T05:20:45Z"
"spotify:track:4D7BCuvgdJlYvlX5WlN54t","You're On Your Own, Kid","spotify:artist:06HL4z0CvFAxyc27GXpf02","Taylor Swift","spotify:album:151w1FgRZfnKZA9FEcg9Z3","Midnights","spotify:artist:06HL4z0CvFAxyc27GXpf02","Taylor Swift","2022-10-21","https://i.scdn.co/image/ab67616d0000b273bb54dde68cd23e2a268ae0f5","1","5","194206","https://p.scdn.co/mp3-preview/b471fac54e77dbf60355f10cf5a337498e8d6dcf?cid=9950ac751e34487dbbe027c4fd7f8e99","false","85","USUG12205711","spotify:user:rmadcbf14ajpnmg7e68qs065x","2023-11-23T05:26:22Z"
"spotify:track:5OnyZ56HLhrWOXdzeETqLk","Human Behaviour","spotify:artist:7w29UYBi0qsHi5RTcv3lmA","Björk","spotify:album:3icT9XGrBfhlV8BKK4WEGX","Debut","spotify:artist:7w29UYBi0qsHi5RTcv3lmA","Björk","1993-07-05","https://i.scdn.co/image/ab67616d0000b2730bd598408bc507d070b7ba4c","1","1","252360","https://p.scdn.co/mp3-preview/dcb9a08a68c8a2258facb63ce073f35a4a404fd5?cid=9950ac751e34487dbbe027c4fd7f8e99","false","53","GBBTF9300001","spotify:user:rmadcbf14ajpnmg7e68qs065x","2023-11-26T15:19:30Z"
"spotify:track:0JQEZJuSpFYVpSYn6jFPjG","Girl From Mars - 2008 Remastered Version","spotify:artist:2evydP72Z45DouM4uMGsIE","Ash","spotify:album:7f1vN9wKBmwolCQNHttXJe","1977 Plus Trailer","spotify:artist:2evydP72Z45DouM4uMGsIE","Ash","1996-05-06","https://i.scdn.co/image/ab67616d0000b2733898d87f2ed547f0ea26fda4","1","3","210200","","false","13","GBCRL0800522","spotify:user:rmadcbf14ajpnmg7e68qs065x","2023-11-23T05:33:42Z"
"spotify:track:0SMkzFGJOBFDI9KfYD55L0","There She Goes","spotify:artist:47Z8LEl3LnQkcpva0xSthT","The La's","spotify:album:4tCf15W7qHi3jE0PdljddW","The La's (Deluxe Edition)","spotify:artist:47Z8LEl3LnQkcpva0xSthT","The La's","1990","https://i.scdn.co/image/ab67616d0000b2738a9c1b058c215b14983e0725","1","5","162160","https://p.scdn.co/mp3-preview/28fcafe7c8b50916c69b383dd52db0092f086fa0?cid=9950ac751e34487dbbe027c4fd7f8e99","false","66","GBAQT8800001","spotify:user:rmadcbf14ajpnmg7e68qs065x","2023-11-23T05:25:18Z"
"spotify:track:6T0sEnqjmHISIKwFETeeiP","Suburban Legends (Taylor's Version) (From The Vault)","spotify:artist:06HL4z0CvFAxyc27GXpf02","Taylor Swift","spotify:album:64LU4c1nfjz1t4VnGhagcg","1989 (Taylor's Version)","spotify:artist:06HL4z0CvFAxyc27GXpf02","Taylor Swift","2023-10-26","https://i.scdn.co/image/ab67616d0000b273904445d70d04eb24d6bb79ac","1","20","171818","https://p.scdn.co/mp3-preview/1639a2ee28a11a6cb656c06401fb6c7788d7f7e5?cid=9950ac751e34487dbbe027c4fd7f8e99","false","84","USUG12306690","spotify:user:rmadcbf14ajpnmg7e68qs065x","2023-11-23T05:26:02Z"
"spotify:track:6mBoE4SeqM0zYBKFvPB5Pd","Then She Appeared - 2001 Remaster","spotify:artist:2qT62DYO8Ajb276vUJmvhz","XTC","spotify:album:6WK4H6AhFAt4RhuTzLFJws","Nonsuch","spotify:artist:2qT62DYO8Ajb276vUJmvhz","XTC","1992","https://i.scdn.co/image/ab67616d0000b27303aeeaa42d4b1a6a61a86107","1","12","231706","https://p.scdn.co/mp3-preview/bd4205bd1c8a21f6d98b61df41964d71deac26b0?cid=9950ac751e34487dbbe027c4fd7f8e99","false","46","GBAAA0001097","spotify:user:rmadcbf14ajpnmg7e68qs065x","2023-11-23T05:33:17Z"
"spotify:track:2uQE2ysWSw9m0UNuSYidE4","Mona Lisa","spotify:artist:65xy6loxYxKy3M9uiRHzLv","Grant-Lee Phillips","spotify:album:2MaeddJvz7w959owO3FlZb","Virginia Creeper","spotify:artist:65xy6loxYxKy3M9uiRHzLv","Grant-Lee Phillips","2004-01-01","https://i.scdn.co/image/ab67616d0000b273fb5f2850868608feed27e5b7","1","1","251666","https://p.scdn.co/mp3-preview/dec0c9c9c0c3d24b783e3040802324305778accf?cid=9950ac751e34487dbbe027c4fd7f8e99","false","41","ushm80520679","spotify:user:rmadcbf14ajpnmg7e68qs065x","2023-11-26T15:24:02Z"
"spotify:track:3Uo7WG0vmLQ07WB4BDwy7D","willow","spotify:artist:06HL4z0CvFAxyc27GXpf02","Taylor Swift","spotify:album:5jmVg7rwRcgd6ARPAeYNSm","evermore","spotify:artist:06HL4z0CvFAxyc27GXpf02","Taylor Swift","2020-12-10","https://i.scdn.co/image/ab67616d0000b27325751b4b32829d6bbfe6be7f","1","1","214706","https://p.scdn.co/mp3-preview/a631beaf0401063d95402d4df8414f7c7db7ed04?cid=9950ac751e34487dbbe027c4fd7f8e99","false","75","USUG12004699","spotify:user:rmadcbf14ajpnmg7e68qs065x","2023-11-23T05:30:40Z"
