"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At"
"spotify:track:1pAEvxTb8r9sDyE620MLIa","Ederlezi - BOF ""Le temps des gitans""","spotify:artist:491v9k5NTGBGanwqPNSkuS, spotify:artist:6UfckOcvEeVW0fOLrqPHMA","Goran Bregović, Vaska Jankovska","spotify:album:78cBVyZrfpFWJCkEw1y3XF","Le Temps Des Gitans & Kuduz","spotify:artist:491v9k5NTGBGanwqPNSkuS","Goran Bregović","1990-01-01","https://i.scdn.co/image/ab67616d0000b273a78ba8f251ee3d536af7dda9","1","10","226320","https://p.scdn.co/mp3-preview/24ab97574afb1e272f0bdef7bfa452589111e04e?cid=9950ac751e34487dbbe027c4fd7f8e99","false","45","FRZ039070010","spotify:user:sachropathy","2022-10-31T10:13:19Z"
"spotify:track:45X21XthKu6dlbAPwMsS1Y","Ay Carmela","spotify:artist:1zVfOfIieOhrYPFXa6oMEt","Rolando Alarcon","spotify:album:5mkbDCLpl3y0nYt6aDRV1c","Canciones De La Guerra Civil","spotify:artist:1zVfOfIieOhrYPFXa6oMEt","Rolando Alarcon","1968-11-01","https://i.scdn.co/image/ab67616d0000b27356c5cbd7a8e727cd159911fa","1","5","190403","https://p.scdn.co/mp3-preview/7046ca66d7c6a4c9c6fca741e2000e6cc8ab1aa6?cid=9950ac751e34487dbbe027c4fd7f8e99","false","35","DEZZ42149089","spotify:user:sachropathy","2022-10-31T10:13:57Z"
"spotify:track:3V417nSM4Ilh0Tt5CqustV","Yggdrasil","spotify:artist:0WPCPYm5IDNtQjuJOGNPcy","Brothers of Metal","spotify:album:3hkZ5FWUJ23YKAMotqbTm0","Prophecy of Ragnarök","spotify:artist:0WPCPYm5IDNtQjuJOGNPcy","Brothers of Metal","2017-04-01","https://i.scdn.co/image/ab67616d0000b27366a38b753013c0e66084830c","1","6","272292","https://p.scdn.co/mp3-preview/4bea9f7a612ca423c26a54cd60eda67992c8c566?cid=9950ac751e34487dbbe027c4fd7f8e99","false","64","USCGJ1733170","spotify:user:sachropathy","2022-10-31T10:14:24Z"
"spotify:track:71WIhAs24UYePp8Pj7dPmi","Čula jesam da se dragi ženi","spotify:artist:3wkxbSRLiVRpHpS8WJ3Nl9","Amira Medunjanin","spotify:album:7Kms6JaOlmsZw454gsZBqI","Silk & stone","spotify:artist:3wkxbSRLiVRpHpS8WJ3Nl9","Amira Medunjanin","2013","https://i.scdn.co/image/ab67616d0000b27359ad6736f1d2dae032fb6f06","1","2","187787","","false","0","GBNTD1402902","spotify:user:sachropathy","2022-10-31T10:14:33Z"
"spotify:track:3kjY7rzFqgj7Et9DiDomgb","Gürcü Kadınlardan","spotify:artist:4sZoPjQQIl8WXwYanHH6bK, spotify:artist:2xJSA7JxUTBaEih0yZJHAn, spotify:artist:6EFwvy9g5Yn2PjyER2Eafs, spotify:artist:4zNW9R3ioAb8ac2rT7ETDo","Ayşenur Kolivar, Yuri Ryadchenko, Sumru Ağıryürüyen, Onok Bozkurt","spotify:album:1TZPpsAIDNX2Ca49nY7PKG","Sonbahar (Film Müzikleri)","spotify:artist:0LyfQWJT6nXafLPZqxe9Of","Various Artists","2009-01-26","https://i.scdn.co/image/ab67616d0000b273cc9e210adf8d90e7b11de4d9","1","11","150066","https://p.scdn.co/mp3-preview/da732f8ad31af656a22ec8d281899e274be35127?cid=9950ac751e34487dbbe027c4fd7f8e99","false","24","TR0280903743","spotify:user:sachropathy","2022-10-31T10:15:10Z"
"spotify:track:39Fo0anJ2T2zMPODfZ6lLq","Pirlere Niyaz Ederiz","spotify:artist:7k9gGfjWVfm5xp1O8qQoKk","Kuan","spotify:album:1alcTLtsEWRowyxMAf5VCd","DEM","spotify:artist:7k9gGfjWVfm5xp1O8qQoKk","Kuan","2013-01-29","https://i.scdn.co/image/ab67616d0000b27316496f09c73774a894cae094","1","3","407144","https://p.scdn.co/mp3-preview/154ce23cfc6ab7023bee0a1647d1f2926c55a1d4?cid=9950ac751e34487dbbe027c4fd7f8e99","false","34","QZFYX1982719","spotify:user:sachropathy","2022-10-31T10:15:28Z"
"spotify:track:2cSGSva8VOo6BLmpWbeZ9s","Güzel Ne Güzel Olmuşsun","spotify:artist:7k9gGfjWVfm5xp1O8qQoKk","Kuan","spotify:album:1alcTLtsEWRowyxMAf5VCd","DEM","spotify:artist:7k9gGfjWVfm5xp1O8qQoKk","Kuan","2013-01-29","https://i.scdn.co/image/ab67616d0000b27316496f09c73774a894cae094","1","6","757185","https://p.scdn.co/mp3-preview/6173b1c9418d259520fc6b45e36c3f01c37027a0?cid=9950ac751e34487dbbe027c4fd7f8e99","false","33","QZFYX1982722","spotify:user:sachropathy","2022-10-31T10:15:32Z"
"spotify:track:0hPdmMNxKs8audaWq4VRCS","Allah Yar","spotify:artist:1lIbZfJvMQRqzhtCQsg5EI","Cem Karaca","spotify:album:3oeKtnCUoM42ZiLMR6RoVf","Bindik Bir Alamete","spotify:artist:1lIbZfJvMQRqzhtCQsg5EI","Cem Karaca","1999","https://i.scdn.co/image/ab67616d0000b273cbd20cf193d0d6606cbf6c51","1","9","277420","https://p.scdn.co/mp3-preview/187733d8de57b6b0df2687462574dfdeff10bb09?cid=9950ac751e34487dbbe027c4fd7f8e99","false","34","TR-734-08-00363","spotify:user:sachropathy","2022-10-31T10:15:41Z"
"spotify:track:4S5liDCTyezsRCmEKi8Dyc","Haydar Haydar","spotify:artist:38OJtnrt1FutcT30EskS9T","Timuçin Esen","spotify:album:5rjs1e7BBSGvaQFnozUQGw","Müslüm Baba - Orijinal Film Müzikleri","spotify:artist:38OJtnrt1FutcT30EskS9T","Timuçin Esen","2021-11-01","https://i.scdn.co/image/ab67616d0000b2739ec25cc5af516073e4effbc8","1","2","331480","https://p.scdn.co/mp3-preview/0020e4b8c8a792cdc6095e1840e5008c65555d09?cid=9950ac751e34487dbbe027c4fd7f8e99","false","39","QZNJY2127198","spotify:user:sachropathy","2022-10-31T10:15:49Z"
"spotify:track:0lVEq8ZUKEjmXj5AeoPpiQ","Kerkük Zindanı","spotify:artist:1lIbZfJvMQRqzhtCQsg5EI","Cem Karaca","spotify:album:3oeKtnCUoM42ZiLMR6RoVf","Bindik Bir Alamete","spotify:artist:1lIbZfJvMQRqzhtCQsg5EI","Cem Karaca","1999","https://i.scdn.co/image/ab67616d0000b273cbd20cf193d0d6606cbf6c51","1","2","201456","https://p.scdn.co/mp3-preview/e73a7a96fc9d0575c4e07df7a37a73a9f6a12bbb?cid=9950ac751e34487dbbe027c4fd7f8e99","false","54","TR-734-08-00372","spotify:user:sachropathy","2022-10-31T10:15:59Z"
