"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At"
"spotify:track:5gJvJ18ZCVdiLXfczZaKgL","Moonlight Sonata (1st Movement)","spotify:artist:1Mtd57xUzIfeCexQtWRvgr","Rousseau","spotify:album:03IQf6kOy5NeDt8wExGmEQ","Moonlight Sonata (1st Movement)","spotify:artist:1Mtd57xUzIfeCexQtWRvgr","Rousseau","2018-08-01","https://i.scdn.co/image/ab67616d0000b273fe4bba6ca057fc00e5db6307","1","1","419577","https://p.scdn.co/mp3-preview/ef5c5d0912a7804eed298978cee0734fd3a37fbe?cid=9950ac751e34487dbbe027c4fd7f8e99","false","54","QZDA71874511","spotify:user:morukcan","2019-05-05T17:07:02Z"
"spotify:track:7FHDXlb6ktZNYlo3NUiKXk","Beethoven: Piano Sonata No. 7 in D Major, Op. 10 No. 3: II. Largo e mesto","spotify:artist:2wOqMjp9TyABvtHdOSOTUS, spotify:artist:15NSFL63oPhmpXLcZHny2N","Ludwig van Beethoven, Fazıl Say","spotify:album:7jr69SmblQvBj9nqj1W5C7","Beethoven: Piano Sonatas Nos 4, 5, 6 & 7","spotify:artist:2wOqMjp9TyABvtHdOSOTUS, spotify:artist:15NSFL63oPhmpXLcZHny2N","Ludwig van Beethoven, Fazıl Say","2020-01-17","https://i.scdn.co/image/ab67616d0000b2737eab78bd7192eed8f347b7df","1","12","431946","https://p.scdn.co/mp3-preview/8eb276dc0dd72a604d83c3eddc909a5e764b5cbc?cid=9950ac751e34487dbbe027c4fd7f8e99","false","1","GBAYC1900908","spotify:user:morukcan","2021-05-11T09:16:02Z"
"spotify:track:5NGtFXVpXSvwunEIGeviY3","Gymnopédie No. 1","spotify:artist:459INk8vcC0ebEef82WjIK, spotify:artist:4x2fCu6MNErew0pb64yOBO","Erik Satie, Philippe Entremont","spotify:album:32kkHw8GnItrzLQ1qwupbJ","Erik Satie & Friends","spotify:artist:459INk8vcC0ebEef82WjIK","Erik Satie","1949","https://i.scdn.co/image/ab67616d0000b273fa24c97b4c8aaf5ccdcccf08","11","3","205866","https://p.scdn.co/mp3-preview/23063b891af42f8aedfe5ed0bad332ee6fb2b94e?cid=9950ac751e34487dbbe027c4fd7f8e99","false","72","USSM11509437","spotify:user:morukcan","2019-04-26T19:01:08Z"
"spotify:track:4kRFwOcINEehjBilCmnZr4","Ohm","spotify:artist:6P06yTsM3UACEZDIVCdwt6","ibi","spotify:album:1ddjRPdTg0i7T6HArmFlyH","Ohm","spotify:artist:6P06yTsM3UACEZDIVCdwt6","ibi","2019-07-05","https://i.scdn.co/image/ab67616d0000b273fc7df98595089c34a4586d91","1","1","301714","","false","0","QZFZ21906485","spotify:user:morukcan","2019-07-18T18:15:42Z"
"spotify:track:6N7JzrteJv8lsr1GWYyu0b","Suite Bergamasque, L. 75: III. Clair de lune (Andante très expressif)","spotify:artist:1Uff91EOsvd99rtAupatMP, spotify:artist:2T5bM1nb5fZVw5Bm851HNh","Claude Debussy, Alain Planès","spotify:album:6kdiApKnIe8xQ1cTo9mWJJ","Debussy: Children's Corner, Suite bergamasque, Images","spotify:artist:1Uff91EOsvd99rtAupatMP, spotify:artist:2T5bM1nb5fZVw5Bm851HNh","Claude Debussy, Alain Planès","2007-07-31","https://i.scdn.co/image/ab67616d0000b273cd9397c67cc31889d52b1bc1","1","3","279160","https://p.scdn.co/mp3-preview/f2d1af88e0bb65c024af03b06b0aa219ee1a3f28?cid=9950ac751e34487dbbe027c4fd7f8e99","false","60","FRZ140504030","spotify:user:morukcan","2019-04-26T19:01:26Z"
"spotify:track:43bSKCMWHIuBsUVmQcDX1J","Rêverie, L. 68: Rêverie","spotify:artist:1Uff91EOsvd99rtAupatMP, spotify:artist:1Dot4uMsJMx8n1Xi7gAdV6","Claude Debussy, Jean-Yves Thibaudet","spotify:album:7qdNpLxZ5eazTHCYu0Ssxz","Debussy Piano Edition","spotify:artist:1Uff91EOsvd99rtAupatMP, spotify:artist:0LyfQWJT6nXafLPZqxe9Of","Claude Debussy, Various Artists","2012-01-01","https://i.scdn.co/image/ab67616d0000b27352d593fa301a8f5006983599","1","18","257000","https://p.scdn.co/mp3-preview/4934e1b3b4d37b8589d86e4ccff9eb2f903fbc0e?cid=9950ac751e34487dbbe027c4fd7f8e99","false","65","GBF079411430","spotify:user:morukcan","2019-04-26T19:03:24Z"
"spotify:track:4820SC1xnUaabzzYQTDkP2","Gnossienne: No. 1","spotify:artist:459INk8vcC0ebEef82WjIK, spotify:artist:5HG9Eg7Ik8ZuNtMyGYTxLG","Erik Satie, Alexandre Tharaud","spotify:album:1W96dST1KFsd1tZTO3eEGS","Satie: Avant-dernières pensées (Bonus Track Version)","spotify:artist:459INk8vcC0ebEef82WjIK, spotify:artist:5HG9Eg7Ik8ZuNtMyGYTxLG","Erik Satie, Alexandre Tharaud","2009-01-20","https://i.scdn.co/image/ab67616d0000b273949cc0e6728be2f6601eb7ea","1","1","214133","https://p.scdn.co/mp3-preview/3b8cb3c40d0d47bd5df40463440b6d481653e20d?cid=9950ac751e34487dbbe027c4fd7f8e99","false","64","FRZ140811010","spotify:user:morukcan","2019-04-26T19:00:34Z"
"spotify:track:22moT6T8yDX2GVT7iOScH8","Gnossienne No.1","spotify:artist:7HIccJjwPhWkLVKu0gGJgB","Erkan Oğur","spotify:album:3GQQ3AcV66VGhqhro78UTc","Dönmez Yol","spotify:artist:7HIccJjwPhWkLVKu0gGJgB","Erkan Oğur","2012-03-26","https://i.scdn.co/image/ab67616d0000b273eed361942302b84a6be6cb85","1","10","279057","","false","0","TR0331208567","spotify:user:morukcan","2020-02-02T21:44:21Z"
"spotify:track:5XfmcJMAaifjRrIdLaXVLm","Preludes, Op. 28: No. 4, Largo","spotify:artist:7y97mc3bZRFXzT2szRM4L4, spotify:artist:5HG9Eg7Ik8ZuNtMyGYTxLG","Frédéric Chopin, Alexandre Tharaud","spotify:album:49NR4iAFLGGtOpmGKEMtpK","Chopin: Préludes","spotify:artist:7y97mc3bZRFXzT2szRM4L4, spotify:artist:5HG9Eg7Ik8ZuNtMyGYTxLG","Frédéric Chopin, Alexandre Tharaud","2008-02-08","https://i.scdn.co/image/ab67616d0000b2734d09e0f4df13545520d06f3f","1","4","131200","https://p.scdn.co/mp3-preview/3b3deda3cb07b234fdee237e5baeacddf0897e23?cid=9950ac751e34487dbbe027c4fd7f8e99","false","63","FRZ140717040","spotify:user:morukcan","2019-07-15T13:17:55Z"
"spotify:track:595G0No6FI82sWWsbsQEoX","Eternity And A Day: 2. By The Sea","spotify:artist:2ojmPypSGMyKaRvknyxKKP","Eleni Karaindrou","spotify:album:6Hq6QXtLpHWsxO5o5DUFRK","Eternity And A Day","spotify:artist:2ojmPypSGMyKaRvknyxKKP, spotify:artist:5uwgsShSjPopqQWlP11Ysu","Eleni Karaindrou, Eleni Karaindrou Ensemble","1998-12-01","https://i.scdn.co/image/ab67616d0000b273f2cb275b4e20ea85b85fe193","1","2","107000","https://p.scdn.co/mp3-preview/7520cfa0a7ccf11ac38ece8dcef4ba0f7dbbc3c3?cid=9950ac751e34487dbbe027c4fd7f8e99","false","59","DEB339869202","spotify:user:morukcan","2023-04-04T19:07:29Z"
