"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At"
"spotify:track:1e3OMt5m89mDDOAvL0XIxh","Oh My Sister - Tu Mano Seserėle","spotify:artist:3JNo8Bydx9unBewAzgkxFR","Egidijus Buožis","spotify:album:3FeERJM5UgyAdU3ObHOgjs","Pictures","spotify:artist:3JNo8Bydx9unBewAzgkxFR","Egidijus Buožis","2015-09-04","https://i.scdn.co/image/ab67616d0000b273b28b2453e7a2b46fad190ea2","1","6","413904","https://p.scdn.co/mp3-preview/5c84707fddef8ca964c91f073e62eac84beb766f?cid=9950ac751e34487dbbe027c4fd7f8e99","false","0","DEB421504900","spotify:user:morukcan","2023-06-14T10:09:49Z"
"spotify:track:1MiWGSGDC5mGoP3MNclZ7s","The Rite of Spring: Part One: Adoration of the Earth: Introduction","spotify:artist:7ie36YytMoKtPiL7tUvmoE, spotify:artist:2MMdTWWDamS8wyZJ6Hosch, spotify:artist:6GmGAy0QwcMmcANFv79xLF","Igor Stravinsky, Teodor Currentzis, musicAeterna","spotify:album:0RR9tJp55MeV72JLZJOfsZ","Stravinsky: Le Sacre du Printemps","spotify:artist:7ie36YytMoKtPiL7tUvmoE, spotify:artist:2MMdTWWDamS8wyZJ6Hosch, spotify:artist:6GmGAy0QwcMmcANFv79xLF","Igor Stravinsky, Teodor Currentzis, musicAeterna","2015-10-09","https://i.scdn.co/image/ab67616d0000b2738e572ec90e4593599c5f60d3","1","1","208586","https://p.scdn.co/mp3-preview/b4ad03c40412b2b2ec0bbc79c3793dc5e2208fe8?cid=9950ac751e34487dbbe027c4fd7f8e99","false","49","USSM11504519","spotify:user:morukcan","2023-05-23T12:09:10Z"
"spotify:track:0mTUTkFQ2MxmUHFL8EdfeR","The Firebird (L'oiseau De Feu) - Suite (1919): Finale","spotify:artist:7ie36YytMoKtPiL7tUvmoE, spotify:artist:1hro5WQTcOb7fRCEUQEZtK, spotify:artist:4hdiwtmc6OEFFxpSlwwmby","Igor Stravinsky, Orchestre de l'Opéra National de Paris, Myung-Whun Chung","spotify:album:2q1xMRl4AcA7rI8GfGnmvD","Stravinsky: The Firebird (Ballet Suite)","spotify:artist:7ie36YytMoKtPiL7tUvmoE, spotify:artist:1hro5WQTcOb7fRCEUQEZtK, spotify:artist:4hdiwtmc6OEFFxpSlwwmby","Igor Stravinsky, Orchestre de l'Opéra National de Paris, Myung-Whun Chung","2009-01-01","https://i.scdn.co/image/ab67616d0000b2733620c09ca7ca202e676b783b","1","7","192453","https://p.scdn.co/mp3-preview/636aa85e51691153ba553dd86382ab8547776283?cid=9950ac751e34487dbbe027c4fd7f8e99","false","48","DEF059204137","spotify:user:morukcan","2023-05-23T12:09:20Z"
"spotify:track:4ibDHg20WRxXiJy3kCQI8F","String Quartet No. 2, Op. 10: I. Mäßig","spotify:artist:5U827e4jbYz6EjtN0fIDt9, spotify:artist:676bpMRl7zl0iO5vnbukfD, spotify:artist:0KMATFu8OdAp4EwGWix4nV","Arnold Schoenberg, Malin Hartelius, Gringolts Quartet","spotify:album:4imTrhRzgGsAV0ujoqVVHq","Schoenberg: String Quartets Nos. 2 & 4","spotify:artist:5U827e4jbYz6EjtN0fIDt9, spotify:artist:676bpMRl7zl0iO5vnbukfD, spotify:artist:0KMATFu8OdAp4EwGWix4nV","Arnold Schoenberg, Malin Hartelius, Gringolts Quartet","2017-08-04","https://i.scdn.co/image/ab67616d0000b2732f1eb172aaa276920ae716a3","1","1","413133","https://p.scdn.co/mp3-preview/d8e7ca8e914367fe20a0ac7f7997672b2a023d8f?cid=9950ac751e34487dbbe027c4fd7f8e99","false","15","SEAEX1767010","spotify:user:morukcan","2023-05-17T22:27:17Z"
"spotify:track:0AHKmjxaH7bWlFZKYj8Yem","String Quartet No. 2, Op. 10: IV. Entrückung","spotify:artist:5U827e4jbYz6EjtN0fIDt9, spotify:artist:676bpMRl7zl0iO5vnbukfD, spotify:artist:0KMATFu8OdAp4EwGWix4nV","Arnold Schoenberg, Malin Hartelius, Gringolts Quartet","spotify:album:4imTrhRzgGsAV0ujoqVVHq","Schoenberg: String Quartets Nos. 2 & 4","spotify:artist:5U827e4jbYz6EjtN0fIDt9, spotify:artist:676bpMRl7zl0iO5vnbukfD, spotify:artist:0KMATFu8OdAp4EwGWix4nV","Arnold Schoenberg, Malin Hartelius, Gringolts Quartet","2017-08-04","https://i.scdn.co/image/ab67616d0000b2732f1eb172aaa276920ae716a3","1","4","681906","https://p.scdn.co/mp3-preview/1d18ed380aa2dad077415d7f697f51c8d218bede?cid=9950ac751e34487dbbe027c4fd7f8e99","false","10","SEAEX1767040","spotify:user:morukcan","2023-06-04T09:37:02Z"
"spotify:track:6gz6rxRge7BLRreM9uJXxI","Schoenberg: Verklärte Nacht, Op. 4: I. Grave","spotify:artist:5U827e4jbYz6EjtN0fIDt9, spotify:artist:78sEozQOEJxzXegUuqRSgH, spotify:artist:6TD08jYeuN128P2MZTbc8E, spotify:artist:5Tz1BKbFehIbTltlGrLJ1W, spotify:artist:4CqcS4jyf4hObUn1EuFNt9, spotify:artist:77DMHdd35DaZ1mmKX6ejT2, spotify:artist:5M7DMsP6U8jJSdM3gHLDTg, spotify:artist:00n4Vljc6N9pvJ26SKPphh, spotify:artist:0u9J7EstiM3ryBsTrJz0bY","Arnold Schoenberg, Daniel Barenboim, Chicago Symphony Orchestra, Charles Pikler, John Sharp, Joseph Golan, Li-Kuo Chang, Ruben Gonzalez, Stephen Balderston","spotify:album:7A9kmvlfvRQqkzcTDeAUhs","Schonberg : Verklärte Nacht, 5 Orchestral Pieces & Piano Works","spotify:artist:5U827e4jbYz6EjtN0fIDt9, spotify:artist:78sEozQOEJxzXegUuqRSgH, spotify:artist:6TD08jYeuN128P2MZTbc8E","Arnold Schoenberg, Daniel Barenboim, Chicago Symphony Orchestra","1995-04-27","https://i.scdn.co/image/ab67616d0000b27343a9cd16cbce2d72625a024b","1","1","397733","https://p.scdn.co/mp3-preview/11db2d6488ab728396a6daa245bf7e78604f419d?cid=9950ac751e34487dbbe027c4fd7f8e99","false","33","DEA809422401","spotify:user:morukcan","2023-05-17T22:25:12Z"
"spotify:track:4kThUzwQmzOsObJHBp3UGg","Pulcinella: 1. Ouverture: Allegro moderato","spotify:artist:7ie36YytMoKtPiL7tUvmoE, spotify:artist:0QjKu8W5tafMCDKKw3xHYT, spotify:artist:0vBafEFOLXtq5mZuhMgsyL","Igor Stravinsky, Saint Paul Chamber Orchestra, Christopher Hogwood","spotify:album:6G09G6btuJ4J6JFVCjm6ux","Stravinsky: Pulcinella; Dumbarton Oaks / Gallo: Sonatas / Pergolesi: Sinfonia","spotify:artist:0vBafEFOLXtq5mZuhMgsyL, spotify:artist:0QjKu8W5tafMCDKKw3xHYT","Christopher Hogwood, Saint Paul Chamber Orchestra","1990-05-01","https://i.scdn.co/image/ab67616d0000b2736d22a35a6fa5e3e80686e0c3","1","4","106640","https://p.scdn.co/mp3-preview/97cec1cffc1f2967114097af99a056c0d0ca3075?cid=9950ac751e34487dbbe027c4fd7f8e99","false","22","GBF078940701","spotify:user:morukcan","2023-06-05T17:28:15Z"
"spotify:track:07BFov9J9WqEdXsaxwLymq","Symphony of Psalms: III. Alleluia, laudate Dominum","spotify:artist:7ie36YytMoKtPiL7tUvmoE, spotify:artist:6uRJnvQ3f8whVnmeoecv5Z, spotify:artist:2prZJWfQMnIgwUKxKcBxH7, spotify:artist:4DqlvoyKHnvnT4lvFmTSkG","Igor Stravinsky, Berliner Philharmoniker, Pierre Boulez, Rundfunkchor Berlin","spotify:album:5lYAvVBQG3kXrPip7qxY80","Stravinsky: Symphony of Psalms","spotify:artist:7ie36YytMoKtPiL7tUvmoE, spotify:artist:6uRJnvQ3f8whVnmeoecv5Z, spotify:artist:2prZJWfQMnIgwUKxKcBxH7, spotify:artist:4DqlvoyKHnvnT4lvFmTSkG, spotify:artist:6a3ME4oQswZ8VJ9alxT0Np","Igor Stravinsky, Berliner Philharmoniker, Pierre Boulez, Rundfunkchor Berlin, Sigurd Brauns","1999-01-01","https://i.scdn.co/image/ab67616d0000b27382434076bdfa956495520c6d","1","4","638533","https://p.scdn.co/mp3-preview/30a247c7f0358ef5efe877d80c2424b33cd7e76c?cid=9950ac751e34487dbbe027c4fd7f8e99","false","24","DEF059606263","spotify:user:morukcan","2023-06-05T17:28:37Z"
"spotify:track:7Jfb8VLOUr39Vv5gM2Xi0K","Stravinsky: Symphony in C: I. Moderato alla breve","spotify:artist:7ie36YytMoKtPiL7tUvmoE, spotify:artist:4GQwgdcDQwqtcHICjUNndp, spotify:artist:6uRJnvQ3f8whVnmeoecv5Z","Igor Stravinsky, Sir Simon Rattle, Berliner Philharmoniker","spotify:album:1gZy9smGCo3ksOqpLGPmH8","Stravinsky: Symphonies","spotify:artist:7ie36YytMoKtPiL7tUvmoE, spotify:artist:4GQwgdcDQwqtcHICjUNndp, spotify:artist:6uRJnvQ3f8whVnmeoecv5Z","Igor Stravinsky, Sir Simon Rattle, Berliner Philharmoniker","2008-06-02","https://i.scdn.co/image/ab67616d0000b273a03f890892e87b6ad0d85c4b","1","7","616773","https://p.scdn.co/mp3-preview/dadf9cb4a7bd66238dbadffec73c372533d5ff8e?cid=9950ac751e34487dbbe027c4fd7f8e99","false","28","GBAYC0800475","spotify:user:morukcan","2023-06-05T17:29:28Z"
"spotify:track:1vsUDlEhgMCHfyCwaOCMld","Symphony No. 1 In D, Op. 25 ""Classical Symphony"": 1. Allegro","spotify:artist:4kHtgiRnpmFIV5Tm4BIs8l, spotify:artist:6uRJnvQ3f8whVnmeoecv5Z, spotify:artist:5zCaQxjl110XTrm4LQ1CxY","Sergei Prokofiev, Berliner Philharmoniker, Herbert von Karajan","spotify:album:7FS3HLgffaozItzXf8jbdZ","Prokofiev: Symphonies Nos.1 ""Classical"" & 5","spotify:artist:4kHtgiRnpmFIV5Tm4BIs8l, spotify:artist:6uRJnvQ3f8whVnmeoecv5Z, spotify:artist:5zCaQxjl110XTrm4LQ1CxY","Sergei Prokofiev, Berliner Philharmoniker, Herbert von Karajan","1992-01-01","https://i.scdn.co/image/ab67616d0000b273166ee213b10d5323561899fc","1","1","265173","https://p.scdn.co/mp3-preview/24c7c02e59f302b2705ea322ce608e8839cab4a8?cid=9950ac751e34487dbbe027c4fd7f8e99","false","18","DEF058100681","spotify:user:morukcan","2023-06-05T17:31:27Z"
