"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At"
"spotify:track:2iUrcZcAuVIahQD0dg9HLe","Autumn Leaves","spotify:artist:3rxeQlsv0Sc2nyYaZ5W71T","Chet Baker","spotify:album:1N1slntg5Bz5fe9S5S1R3t","My Funny Valentine: The Best Of Chet Baker","spotify:artist:3rxeQlsv0Sc2nyYaZ5W71T","Chet Baker","2010-04-23","https://i.scdn.co/image/ab67616d0000b2734a928d937098ac900d8f9c85","2","1","423573","https://p.scdn.co/mp3-preview/ec82c66610e033e81e0c615edb2ddf5f2575d54c?cid=9950ac751e34487dbbe027c4fd7f8e99","false","57","USSM10021825","spotify:user:morukcan","2019-10-30T19:15:57Z"
"spotify:track:6Jws7Ip1lI09JNDGppRHRv","Autumn Nocturne","spotify:artist:5THaOlI8Qr3Za3FD6FnWvK, spotify:artist:71alvRccPFqQpegAexLBJY, spotify:artist:1UeKTQy0g4X4v1Rs1CTLNg","John Surman, Nelson Ayres, Rob Waring","spotify:album:1ud5Nh8i1Jilsq83DyHTIk","Invisible Threads","spotify:artist:5THaOlI8Qr3Za3FD6FnWvK, spotify:artist:71alvRccPFqQpegAexLBJY, spotify:artist:1UeKTQy0g4X4v1Rs1CTLNg","John Surman, Nelson Ayres, Rob Waring","2018-01-19","https://i.scdn.co/image/ab67616d0000b2731b2e322392a3eff57f94cb8e","1","2","412266","https://p.scdn.co/mp3-preview/104c98195876a58379e1f7b9ff3879720991dddb?cid=9950ac751e34487dbbe027c4fd7f8e99","false","27","DEB331758802","spotify:user:morukcan","2019-10-30T19:16:03Z"
"spotify:track:2PkkapTQ008eN7ySn5dZ64","Blue Mosque","spotify:artist:0ykFqfgd9F5f9WZnNKupYr","The Don Rendell / Ian Carr Quintet","spotify:album:391lwf8lw8xU35PqHBlxXF","Shades Of Blue","spotify:artist:0ykFqfgd9F5f9WZnNKupYr","The Don Rendell / Ian Carr Quintet","1965-01-01","https://i.scdn.co/image/ab67616d0000b273fdcfbe4ee150d762c582a7f9","1","1","255400","https://p.scdn.co/mp3-preview/e3d8bbb9a00bba53b873ab3b0669d4a3a37f74a2?cid=9950ac751e34487dbbe027c4fd7f8e99","false","23","GBUM71800429","spotify:user:morukcan","2019-10-30T19:16:14Z"
"spotify:track:4YhDhdIh1YYVmNUvnYjoRy","Misty","spotify:artist:0FMucZsEnCxs5pqBjHjIc8","Stan Getz","spotify:album:006BXWFpgckHlmMvpeQKqI","Sony Jazz Collection","spotify:artist:0FMucZsEnCxs5pqBjHjIc8","Stan Getz","1997-10-01","https://i.scdn.co/image/ab67616d0000b27396f627003a95bfa34a16504b","1","4","323226","https://p.scdn.co/mp3-preview/f7c717496a5d05c6add277fc83983d1f731a7db0?cid=9950ac751e34487dbbe027c4fd7f8e99","false","43","USSM16400082","spotify:user:morukcan","2019-10-30T19:16:37Z"
"spotify:track:3wqEq2lsXWO98kHXUvrN9C","Stormy Weather","spotify:artist:6zkX5fhrSD4tdVOmimR9wB","Oscar Peterson","spotify:album:4rByvE7z6BpZmnMj6OFkOf","American Songbook Essentials (Remastered 2011)","spotify:artist:6zkX5fhrSD4tdVOmimR9wB","Oscar Peterson","2011-12-06","https://i.scdn.co/image/ab67616d0000b273b40d1b7b12bd4564587556dd","1","2","214493","https://p.scdn.co/mp3-preview/f7f758b60ac5f4e226a0e55927ab2f06878a74dd?cid=9950ac751e34487dbbe027c4fd7f8e99","false","20","GBSWE0809456","spotify:user:morukcan","2019-10-30T19:16:58Z"
"spotify:track:4feXcsElKIVsGwkbnTHAfV","Somethin' Stupid","spotify:artist:1Mxqyy3pSjf8kZZL4QVxS0, spotify:artist:3IZrrNonYELubLPJmqOci2","Frank Sinatra, Nancy Sinatra","spotify:album:67Evm6gPc9wFSUf1aXOrKO","The World We Knew","spotify:artist:1Mxqyy3pSjf8kZZL4QVxS0","Frank Sinatra","1967-08","https://i.scdn.co/image/ab67616d0000b2733e2331ff09f59ea3c87fe5d6","1","2","162493","https://p.scdn.co/mp3-preview/a82a1c7a9ef51533572f492831d154eac8f23b3a?cid=9950ac751e34487dbbe027c4fd7f8e99","false","78","USRH10800988","spotify:user:morukcan","2019-10-30T19:17:07Z"
"spotify:track:1UH4viviUjZnS9aWgPGrk0","La vie en rose - Single Version","spotify:artist:19eLuQmk9aCobbVDHc6eek","Louis Armstrong","spotify:album:1z3T9KhIbOb7k2sBVCsn6p","The Best Of The Decca Years Volume One: The Singer","spotify:artist:19eLuQmk9aCobbVDHc6eek","Louis Armstrong","1989-01-01","https://i.scdn.co/image/ab67616d0000b2736555e6252a13f769b1bfe082","1","6","204400","https://p.scdn.co/mp3-preview/563e24d19dc81fffbedc005f2823e2f3a1aa68c7?cid=9950ac751e34487dbbe027c4fd7f8e99","false","61","USMC15076528","spotify:user:morukcan","2019-10-30T19:17:15Z"
"spotify:track:4EI0xkVE8AoFSValFNxdYf","Autumn Leaves (Piano Version)","spotify:artist:0Y0DQdLIIlZ8kD3HvEtakI","Samuel Joseph","spotify:album:3tfpkRgP98KHcjYcDG6Dgd","100 Piano Classics: in the Lounge","spotify:artist:0Y0DQdLIIlZ8kD3HvEtakI","Samuel Joseph","2012","https://i.scdn.co/image/ab67616d0000b2733eb489ee55004d0943025ce5","1","6","190334","","false","0","GBAJC1200293","spotify:user:morukcan","2019-10-30T19:17:24Z"
"spotify:track:5b7OgznPJJr1vHNYGyvxau","Fly Me To The Moon (In Other Words)","spotify:artist:1Mxqyy3pSjf8kZZL4QVxS0, spotify:artist:2jFZlvIea42ZvcCw4OeEdA","Frank Sinatra, Count Basie","spotify:album:2NCtCObbmJoJnplsR5mLAl","Sinatra/Basie: The Complete Reprise Studio Recordings","spotify:artist:1Mxqyy3pSjf8kZZL4QVxS0, spotify:artist:2jFZlvIea42ZvcCw4OeEdA","Frank Sinatra, Count Basie","1962-12-10","https://i.scdn.co/image/ab67616d0000b273cb81eb3c1238c60f2bbfd3b5","1","11","147000","https://p.scdn.co/mp3-preview/56a7677853d02c1dee1feb11d0e4d6df3183578e?cid=9950ac751e34487dbbe027c4fd7f8e99","false","76","USRH10800836","spotify:user:morukcan","2019-10-30T19:17:32Z"
"spotify:track:2RPYgchbWvYjTKPle86H1P","","spotify:artist:0LyfQWJT6nXafLPZqxe9Of","","spotify:album:7wk3iuT7HEHM1rwfwCPLe3","","spotify:artist:0LyfQWJT6nXafLPZqxe9Of","Various Artists","0000","","1","1","0","","false","0","","spotify:user:morukcan","2019-10-30T19:17:49Z"
