"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At"
"spotify:track:44KWbTVZev3SWdv1t5UoYE","How Much Is Weed?","spotify:artist:6USv9qhCn6zfxlBQIYJ9qs","Dominic Fike","spotify:album:2T7LuxZRr6SQMgABLtoYTH","Sunburn","spotify:artist:6USv9qhCn6zfxlBQIYJ9qs","Dominic Fike","2023-07-07","https://i.scdn.co/image/ab67616d0000b2730fb08616c78d44ceb4c8d061","1","1","125055","https://p.scdn.co/mp3-preview/1c7ddaa8e27c0a24b1e9a2973358dc432d969270?cid=9950ac751e34487dbbe027c4fd7f8e99","true","71","USQX92301809","spotify:user:jeongshin","2023-07-21T14:19:09Z"
"spotify:track:0b6xZk9f96N77BfmYWnQNC","Mama's Boy","spotify:artist:6USv9qhCn6zfxlBQIYJ9qs","Dominic Fike","spotify:album:2T7LuxZRr6SQMgABLtoYTH","Sunburn","spotify:artist:6USv9qhCn6zfxlBQIYJ9qs","Dominic Fike","2023-07-07","https://i.scdn.co/image/ab67616d0000b2730fb08616c78d44ceb4c8d061","1","13","155721","https://p.scdn.co/mp3-preview/9032e498034808b9a49d881dd23ca431a20954a5?cid=9950ac751e34487dbbe027c4fd7f8e99","false","76","USQX92301820","spotify:user:jeongshin","2023-07-21T14:19:09Z"
"spotify:track:6OrCWnvAja4n5IYdzchJlH","Ant Pile","spotify:artist:6USv9qhCn6zfxlBQIYJ9qs","Dominic Fike","spotify:album:2T7LuxZRr6SQMgABLtoYTH","Sunburn","spotify:artist:6USv9qhCn6zfxlBQIYJ9qs","Dominic Fike","2023-07-07","https://i.scdn.co/image/ab67616d0000b2730fb08616c78d44ceb4c8d061","1","2","126232","https://p.scdn.co/mp3-preview/0c1c30985d768f6741629c82c65a45eba7529de2?cid=9950ac751e34487dbbe027c4fd7f8e99","false","64","USQX92303291","spotify:user:jeongshin","2023-07-21T14:19:09Z"
"spotify:track:7ACT6YaXbYvl7hRWEOOEHQ","Double Negative (Skeleton Milkshake)","spotify:artist:6USv9qhCn6zfxlBQIYJ9qs","Dominic Fike","spotify:album:1BubKJqf6Uc4fNae5kLJJ7","What Could Possibly Go Wrong","spotify:artist:6USv9qhCn6zfxlBQIYJ9qs","Dominic Fike","2020-07-31","https://i.scdn.co/image/ab67616d0000b273cfc824b65a3b1755d98a7e23","1","2","126465","https://p.scdn.co/mp3-preview/22be68b8edbd710ba2895972f39eefc743001921?cid=9950ac751e34487dbbe027c4fd7f8e99","false","62","USQX92003244","spotify:user:jeongshin","2023-07-21T14:19:09Z"
"spotify:track:28kOGtTZzbfQ8fMmTwjRFq","The Kiss Of Venus (Dominic Fike)","spotify:artist:4STHEaNw4mPZ2tzheohgXB, spotify:artist:6USv9qhCn6zfxlBQIYJ9qs","Paul McCartney, Dominic Fike","spotify:album:0tgO7MMVIhpUMV3YZQ1GYT","McCartney III Imagined","spotify:artist:4STHEaNw4mPZ2tzheohgXB","Paul McCartney","2021-04-16","https://i.scdn.co/image/ab67616d0000b27372275ae8324be1e829320a43","1","2","143530","https://p.scdn.co/mp3-preview/365e66d5e1647afa09d332a06d45986e56833448?cid=9950ac751e34487dbbe027c4fd7f8e99","false","63","GBCCS2100002","spotify:user:jeongshin","2023-07-21T14:19:09Z"
"spotify:track:6OklSp2KgnW8RWNdQ7n8o1","Sick","spotify:artist:6USv9qhCn6zfxlBQIYJ9qs","Dominic Fike","spotify:album:2T7LuxZRr6SQMgABLtoYTH","Sunburn","spotify:artist:6USv9qhCn6zfxlBQIYJ9qs","Dominic Fike","2023-07-07","https://i.scdn.co/image/ab67616d0000b2730fb08616c78d44ceb4c8d061","1","4","141011","https://p.scdn.co/mp3-preview/0c8833002b3c6722f629799bdd94d4db0eb02e0a?cid=9950ac751e34487dbbe027c4fd7f8e99","false","61","USQX92301812","spotify:user:jeongshin","2023-07-21T14:19:09Z"
"spotify:track:7rNun2AyLu4u4rQpRt0iS9","Westcoast Collective","spotify:artist:6USv9qhCn6zfxlBQIYJ9qs","Dominic Fike","spotify:album:05jbNkYoEQdjVDHEHtg1gY","Don't Forget About Me, Demos","spotify:artist:6USv9qhCn6zfxlBQIYJ9qs","Dominic Fike","2018-10-16","https://i.scdn.co/image/ab67616d0000b2737b1b6f41c1645af9757d5616","1","4","107280","https://p.scdn.co/mp3-preview/a8128a8322c78a13ecd0c018f134e2c8ae86b56e?cid=9950ac751e34487dbbe027c4fd7f8e99","false","67","USQX91802458","spotify:user:jeongshin","2023-07-21T14:19:09Z"
"spotify:track:0uI7yAKUf52Cn7y3sYyjiX","3 Nights","spotify:artist:6USv9qhCn6zfxlBQIYJ9qs","Dominic Fike","spotify:album:05jbNkYoEQdjVDHEHtg1gY","Don't Forget About Me, Demos","spotify:artist:6USv9qhCn6zfxlBQIYJ9qs","Dominic Fike","2018-10-16","https://i.scdn.co/image/ab67616d0000b2737b1b6f41c1645af9757d5616","1","1","177666","https://p.scdn.co/mp3-preview/8325ba1536d8717e84cc033a80928331c2a8551a?cid=9950ac751e34487dbbe027c4fd7f8e99","false","75","USQX91802455","spotify:user:jeongshin","2023-07-21T14:19:09Z"
"spotify:track:20j7l6tFtc5lynXpbOQg1O","Superstar Sh*t","spotify:artist:6USv9qhCn6zfxlBQIYJ9qs","Dominic Fike","spotify:album:1BubKJqf6Uc4fNae5kLJJ7","What Could Possibly Go Wrong","spotify:artist:6USv9qhCn6zfxlBQIYJ9qs","Dominic Fike","2020-07-31","https://i.scdn.co/image/ab67616d0000b273cfc824b65a3b1755d98a7e23","1","10","127054","https://p.scdn.co/mp3-preview/04f0bbe5b7d5fe484bc93820f015f5ee30923dae?cid=9950ac751e34487dbbe027c4fd7f8e99","false","72","USQX92003251","spotify:user:jeongshin","2023-07-21T14:19:09Z"
"spotify:track:2Z90fzU2ZlMaUEgA2rhJxr","Sunburn","spotify:artist:6USv9qhCn6zfxlBQIYJ9qs","Dominic Fike","spotify:album:2T7LuxZRr6SQMgABLtoYTH","Sunburn","spotify:artist:6USv9qhCn6zfxlBQIYJ9qs","Dominic Fike","2023-07-07","https://i.scdn.co/image/ab67616d0000b2730fb08616c78d44ceb4c8d061","1","9","179151","https://p.scdn.co/mp3-preview/492efe420004a146a83d46207cf823a12780e310?cid=9950ac751e34487dbbe027c4fd7f8e99","true","60","USQX92301816","spotify:user:jeongshin","2023-07-21T14:19:09Z"
"spotify:track:3Wgs96Z4TdCpnqFj2CxpsI","Come Here","spotify:artist:6USv9qhCn6zfxlBQIYJ9qs","Dominic Fike","spotify:album:1BubKJqf6Uc4fNae5kLJJ7","What Could Possibly Go Wrong","spotify:artist:6USv9qhCn6zfxlBQIYJ9qs","Dominic Fike","2020-07-31","https://i.scdn.co/image/ab67616d0000b273cfc824b65a3b1755d98a7e23","1","1","77620","https://p.scdn.co/mp3-preview/efd2b8bec22eb3cb9a8525a3b960321eeacdcaeb?cid=9950ac751e34487dbbe027c4fd7f8e99","false","61","USQX92003243","spotify:user:jeongshin","2023-07-21T14:19:09Z"
