"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At"
"spotify:track:7pegxVesMmE2qK0o58xoFG","Homage","spotify:artist:5J81VungUjSVHxlPpTI9KG","Mild High Club","spotify:album:1qMDN9zRQreK81cJ9G1hed","Skiptracing","spotify:artist:5J81VungUjSVHxlPpTI9KG","Mild High Club","2016-08-26","https://i.scdn.co/image/ab67616d0000b273f21a3ad00e4ba69911d61bcc","1","2","177493","","false","0","US2S71673002","spotify:user:jeongshin","2020-08-11T21:11:10Z"
"spotify:track:4j4pPKE3xAblPIbhxScC1j","Rawnald Gregory Erickson the Second","spotify:artist:2Tz1DTzVJ5Gyh8ZwVr6ekU","STRFKR","spotify:album:4mBSeOEiQ4WgDaCnydb0tZ","Starfucker","spotify:artist:2Tz1DTzVJ5Gyh8ZwVr6ekU","STRFKR","2008-09-23","https://i.scdn.co/image/ab67616d0000b273a42a9e3de0baca2e178d0c73","1","5","173693","https://p.scdn.co/mp3-preview/fdf03ec9ddb11f8a44742e4b416af778088c1eca?cid=9950ac751e34487dbbe027c4fd7f8e99","false","66","US36Y0810027","spotify:user:jeongshin","2020-08-11T21:10:30Z"
"spotify:track:1tWwKatvGCzAViJIgIbYHn","Sea Foam","spotify:artist:2Tz1DTzVJ5Gyh8ZwVr6ekU","STRFKR","spotify:album:72tIS6tPTKymncSkk2ezBJ","Future Past Life","spotify:artist:2Tz1DTzVJ5Gyh8ZwVr6ekU","STRFKR","2020-04-10","https://i.scdn.co/image/ab67616d0000b273684a9253478c7cef8a089634","1","8","218429","","false","0","US3R42040808","spotify:user:jeongshin","2020-08-11T21:10:41Z"
"spotify:track:79C1KP66U2Dyz5P4A8Jpq1","Budapest (feat. Shy Boys)","spotify:artist:2Tz1DTzVJ5Gyh8ZwVr6ekU, spotify:artist:7hDw3suvKY0KLud00BuzHL","STRFKR, Shy Boys","spotify:album:72tIS6tPTKymncSkk2ezBJ","Future Past Life","spotify:artist:2Tz1DTzVJ5Gyh8ZwVr6ekU","STRFKR","2020-04-10","https://i.scdn.co/image/ab67616d0000b273684a9253478c7cef8a089634","1","6","208543","","false","0","US3R42040806","spotify:user:jeongshin","2020-08-11T21:10:49Z"
"spotify:track:5848Y7AXgtw90DytKWFxbM","Random Everyone","spotify:artist:2RhgnQNC74QoBlaUvT4MEe","The Growlers","spotify:album:0JNNqeHwFn7aJt29hu6oR8","Dream World","spotify:artist:2RhgnQNC74QoBlaUvT4MEe","The Growlers","2020-05-08","https://i.scdn.co/image/ab67616d0000b273222d3b6a7706afe5a995683e","1","2","208714","https://p.scdn.co/mp3-preview/3d7bbe2d35828fbc4d893fa887ddb58df2cd3774?cid=9950ac751e34487dbbe027c4fd7f8e99","false","30","TCAEU2084286","spotify:user:jeongshin","2020-08-11T21:11:06Z"
"spotify:track:0phxK01nh2jkPnYe9wLfdO","Ipanema","spotify:artist:4iMO20EPodreIaEl8qW66y, spotify:artist:5FxD8fkQZ6KcsSYupDVoSO, spotify:artist:1CgbNAF3Stnz1Tpipu3xdO","Still Woozy, Omar Apollo, Elujay","spotify:album:4PeU1vYLxDKGzU3641YmFI","Lately EP","spotify:artist:4iMO20EPodreIaEl8qW66y","Still Woozy","2019-05-03","https://i.scdn.co/image/ab67616d0000b273dfe0edd0bc3902eb0b0e81b5","1","2","127044","https://p.scdn.co/mp3-preview/0930726e2677a089fbf65320b8ee40b5b19edc8e?cid=9950ac751e34487dbbe027c4fd7f8e99","false","53","SE5VF1903328","spotify:user:jeongshin","2020-08-13T07:47:08Z"
"spotify:track:10cPYHOPt1VpgFGy7NO2JI","Dear Stranger","spotify:artist:2Tz1DTzVJ5Gyh8ZwVr6ekU","STRFKR","spotify:album:72tIS6tPTKymncSkk2ezBJ","Future Past Life","spotify:artist:2Tz1DTzVJ5Gyh8ZwVr6ekU","STRFKR","2020-04-10","https://i.scdn.co/image/ab67616d0000b273684a9253478c7cef8a089634","1","1","271902","","false","0","US3R42040801","spotify:user:jeongshin","2020-08-11T21:11:17Z"
"spotify:track:3SwJGaaRQpTeNK51tGuqsZ","Do Nothing With Me","spotify:artist:1ZOITEwKW2JCm6HDS96hwF","The Crystal Casino Band","spotify:album:082OcM2TQcuGysDnKhpdgP","Do Nothing With Me","spotify:artist:1ZOITEwKW2JCm6HDS96hwF","The Crystal Casino Band","2019-07-12","https://i.scdn.co/image/ab67616d0000b27381179e9228bc030dd1c08473","1","1","189600","https://p.scdn.co/mp3-preview/77e030601d5d8afa5739a19873ba8f79df3fb9f7?cid=9950ac751e34487dbbe027c4fd7f8e99","false","22","QZFYZ1972792","spotify:user:jeongshin","2020-08-19T00:59:24Z"
"spotify:track:3kmHUJyjOSKh1R1xpxf4vX","Second Hand","spotify:artist:2Tz1DTzVJ5Gyh8ZwVr6ekU","STRFKR","spotify:album:72tIS6tPTKymncSkk2ezBJ","Future Past Life","spotify:artist:2Tz1DTzVJ5Gyh8ZwVr6ekU","STRFKR","2020-04-10","https://i.scdn.co/image/ab67616d0000b273684a9253478c7cef8a089634","1","4","209989","","false","0","US3R42040805","spotify:user:jeongshin","2020-08-11T21:11:20Z"
"spotify:track:40SxcLPbs0V3dniSa3SJ4x","Martin","spotify:artist:5PbpKlxQE0Ktl5lcNABoFf","Car Seat Headrest","spotify:album:1tuoWW0TpoI5oacIjwYBdL","Making a Door Less Open","spotify:artist:5PbpKlxQE0Ktl5lcNABoFf","Car Seat Headrest","2020-05-01","https://i.scdn.co/image/ab67616d0000b273962ca53ba96df449c656bf38","1","6","207750","","false","0","USMTD2000017","spotify:user:jeongshin","2020-08-11T21:10:23Z"
