"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At"
"spotify:track:4g37wGcNWcVCdY0UoRNPzu","Will Anybody Ever Love Me?","spotify:artist:4MXUO7sVCaFgFjoTI5ox5c","Sufjan Stevens","spotify:album:0k9E8vq5iYJUNO40E2G6U1","Will Anybody Ever Love Me?","spotify:artist:4MXUO7sVCaFgFjoTI5ox5c","Sufjan Stevens","2023-09-13","https://i.scdn.co/image/ab67616d0000b27376fc31430dd9becdb255f6f6","1","1","249259","https://p.scdn.co/mp3-preview/74a3aac5138ac6d73a5fc807f8d3a998c2e323e2?cid=9950ac751e34487dbbe027c4fd7f8e99","false","56","US64G2317103","spotify:user:jeongshin","2023-09-19T19:08:16Z"
"spotify:track:0i1cb1gW2i8AZn4FtlDioN","Slugs","spotify:artist:2JFTRDi5v7JtqoouVe1z5D","Slow Pulp","spotify:album:4drcz2J9WKeNavODVfGjDR","Slugs","spotify:artist:2JFTRDi5v7JtqoouVe1z5D","Slow Pulp","2023-06-28","https://i.scdn.co/image/ab67616d0000b2735c899b83ab3db7185d7a3309","1","1","186466","","false","37","USEP42308004","spotify:user:jeongshin","2023-09-19T19:08:16Z"
"spotify:track:6QT6j7rKt7Vk3IuV2AUO9W","lacy","spotify:artist:1McMsnEElThX1knmY4oliG","Olivia Rodrigo","spotify:album:1xJHno7SmdVtZAtXbdbDZp","GUTS","spotify:artist:1McMsnEElThX1knmY4oliG","Olivia Rodrigo","2023-09-08","https://i.scdn.co/image/ab67616d0000b273e85259a1cae29a8d91f2093d","1","4","177212","https://p.scdn.co/mp3-preview/ec46a46218209b81dca72a5d04b96b8639cc4b41?cid=9950ac751e34487dbbe027c4fd7f8e99","false","84","USUG12304095","spotify:user:jeongshin","2023-09-19T19:08:16Z"
"spotify:track:3GhsBdS9ulPK3KCdwHRPhG","Nothing's Gonna Hurt You Baby","spotify:artist:1QAJqy2dA3ihHBFIHRphZj","Cigarettes After Sex","spotify:album:6w9osZGOS8B7XWW51SBwFT","I.","spotify:artist:1QAJqy2dA3ihHBFIHRphZj","Cigarettes After Sex","2012-07-21","https://i.scdn.co/image/ab67616d0000b2730879d25910f5f03e0927935e","1","1","286293","","false","40","TCACJ1593857","spotify:user:jeongshin","2023-09-19T19:08:16Z"
"spotify:track:3cUxncrTWSA9lhlQbuIwUY","Stuck on the puzzle","spotify:artist:1ctkBmvz80MGyi72Ix055S","Alex Turner","spotify:album:3OqRGywivnQ0IeClUeUa4n","Submarine - Original Songs From The Film By Alex Turner","spotify:artist:1ctkBmvz80MGyi72Ix055S","Alex Turner","2011-03-14","https://i.scdn.co/image/ab67616d0000b273672951d44a35cb08092f2c1f","1","5","211053","https://p.scdn.co/mp3-preview/8cc83756a448f2bae25fe525cdb4ff546ee33452?cid=9950ac751e34487dbbe027c4fd7f8e99","false","67","GBCEL1100045","spotify:user:jeongshin","2023-09-19T19:08:16Z"
"spotify:track:5PJH1U5Iie893v48Fl9yaC","Cool About It","spotify:artist:1hLiboQ98IQWhpKeP9vRFw, spotify:artist:12zbUHbPHL5DGuJtiUfsip, spotify:artist:1r1uxoy19fzMxunt3ONAkG, spotify:artist:07D1Bjaof0NFlU32KXiqUP","boygenius, Julien Baker, Phoebe Bridgers, Lucy Dacus","spotify:album:0e9GjrztzBw8oMC6n2CDeI","the record","spotify:artist:1hLiboQ98IQWhpKeP9vRFw","boygenius","2023-03-31","https://i.scdn.co/image/ab67616d0000b27343fc02bcfa7cd4e6bb66aa22","1","5","180000","https://p.scdn.co/mp3-preview/924999a38a099d79ff32c332db97a2b911b0983e?cid=9950ac751e34487dbbe027c4fd7f8e99","false","77","USUG12209241","spotify:user:jeongshin","2023-09-19T19:08:16Z"
"spotify:track:60ZGteAEtPCnGE6zevgUcd","Mountain Sound","spotify:artist:4dwdTW1Lfiq0cM8nBAqIIz","Of Monsters and Men","spotify:album:6uD3oJCWT1gtlSCg5lDiNF","My Head Is An Animal","spotify:artist:4dwdTW1Lfiq0cM8nBAqIIz","Of Monsters and Men","2012-01-01","https://i.scdn.co/image/ab67616d0000b273f5bf6cc73913a539ca7a56bb","1","3","211453","https://p.scdn.co/mp3-preview/76cfb8faa1692b01cb78775e9e19cae4e05d5a2d?cid=9950ac751e34487dbbe027c4fd7f8e99","false","67","USUM71202068","spotify:user:jeongshin","2023-09-19T19:08:16Z"
"spotify:track:4JoDBcODOajOx3ZRQlSa7o","Valentine","spotify:artist:74CcYmmNeHKe5PrZaISk8e","Hope Tala","spotify:album:1yRRZvO7YIPHzSkvX94YOR","Starry Ache","spotify:artist:74CcYmmNeHKe5PrZaISk8e","Hope Tala","2018-10-03","https://i.scdn.co/image/ab67616d0000b273ed84039879cac810811f0223","1","4","181000","","false","0","GBKPL1821831","spotify:user:jeongshin","2023-09-19T21:47:30Z"
"spotify:track:2JmFRXaJrkAUD2cs6U20KG","Jet Fuel","spotify:artist:4LLpKhyESsyAXpc4laK94U","Mac Miller","spotify:album:5wtE5aLX5r7jOosmPhJhhk","Swimming","spotify:artist:4LLpKhyESsyAXpc4laK94U","Mac Miller","2018-08-03","https://i.scdn.co/image/ab67616d0000b273175c577a61aa13d4fb4b6534","1","11","345213","https://p.scdn.co/mp3-preview/83161ecabcd43f0e26a93d275c9558f3b5eeed37?cid=9950ac751e34487dbbe027c4fd7f8e99","true","70","USWB11801220","spotify:user:jeongshin","2023-09-21T06:21:10Z"
"spotify:track:2nilAlGEZmwyaLTMMyDdLo","For Emma","spotify:artist:4LEiUm1SRbFMgfqnQTwUbQ","Bon Iver","spotify:album:7EJ0OT5ZqybXxcYRa6mccM","For Emma, Forever Ago","spotify:artist:4LEiUm1SRbFMgfqnQTwUbQ","Bon Iver","2008-02-19","https://i.scdn.co/image/ab67616d0000b273bf7c317a63c4f128b8823406","1","8","220720","https://p.scdn.co/mp3-preview/4c82cc281270623395c01483e1c4d18b307014c6?cid=9950ac751e34487dbbe027c4fd7f8e99","false","70","US38Y0811508","spotify:user:jeongshin","2023-09-21T04:13:35Z"
"spotify:track:6dfhF1BDGmhM69fnCb6wSC","America","spotify:artist:70cRZdQywnSFp9pnc2WTCE","Simon & Garfunkel","spotify:album:3bzgbgiytguTDnwzflAZr2","Bookends","spotify:artist:70cRZdQywnSFp9pnc2WTCE","Simon & Garfunkel","1968-04-03","https://i.scdn.co/image/ab67616d0000b273d8fb5b4308dc27f210064ef4","1","3","215293","https://p.scdn.co/mp3-preview/ad94aeecd37e5d4124de36f9f6759884270ee6cc?cid=9950ac751e34487dbbe027c4fd7f8e99","false","65","USSM16801383","spotify:user:jeongshin","2023-09-21T23:00:51Z"
"spotify:track:1FlbjrZ0AqdWOaqz5skg6e","Bored In Bristol","spotify:artist:3kzwYV3OCB010YfXMF0Avt","Alvvays","spotify:album:1dShPPoxXfzbjFO1jIHJZz","Blue Rev","spotify:artist:3kzwYV3OCB010YfXMF0Avt","Alvvays","2022-10-07","https://i.scdn.co/image/ab67616d0000b2738f1ebf73130fc32aa3bf2b06","1","12","180240","https://p.scdn.co/mp3-preview/a615699ab8dda52be64e0b1ee5163afceda8b516?cid=9950ac751e34487dbbe027c4fd7f8e99","false","47","US3R42246512","spotify:user:jeongshin","2023-09-22T05:48:58Z"
"spotify:track:1wsqBGQ3MgU2AyuYOardEn","Velveteen","spotify:artist:3kzwYV3OCB010YfXMF0Avt","Alvvays","spotify:album:1dShPPoxXfzbjFO1jIHJZz","Blue Rev","spotify:artist:3kzwYV3OCB010YfXMF0Avt","Alvvays","2022-10-07","https://i.scdn.co/image/ab67616d0000b2738f1ebf73130fc32aa3bf2b06","1","8","189511","https://p.scdn.co/mp3-preview/1f5638a073e67017da3d88a988b0ae312fa31a59?cid=9950ac751e34487dbbe027c4fd7f8e99","false","47","US3R42246508","spotify:user:jeongshin","2023-09-22T05:35:47Z"
"spotify:track:1kSMqCHHCrNwsJJXJRLEoT","Belinda Says","spotify:artist:3kzwYV3OCB010YfXMF0Avt","Alvvays","spotify:album:1dShPPoxXfzbjFO1jIHJZz","Blue Rev","spotify:artist:3kzwYV3OCB010YfXMF0Avt","Alvvays","2022-10-07","https://i.scdn.co/image/ab67616d0000b2738f1ebf73130fc32aa3bf2b06","1","11","165445","https://p.scdn.co/mp3-preview/18007b09f31e7dcbb9f6e88ca88b8d5a9aa9f10b?cid=9950ac751e34487dbbe027c4fd7f8e99","false","53","US3R42246511","spotify:user:jeongshin","2023-09-22T05:44:50Z"
"spotify:track:0O5q2h0kfQD6PixL7rCHuL","After The Earthquake","spotify:artist:3kzwYV3OCB010YfXMF0Avt","Alvvays","spotify:album:1dShPPoxXfzbjFO1jIHJZz","Blue Rev","spotify:artist:3kzwYV3OCB010YfXMF0Avt","Alvvays","2022-10-07","https://i.scdn.co/image/ab67616d0000b2738f1ebf73130fc32aa3bf2b06","1","3","185276","https://p.scdn.co/mp3-preview/dacc89beac90d58d4a075547f798923cbc53482d?cid=9950ac751e34487dbbe027c4fd7f8e99","false","57","US3R42246503","spotify:user:jeongshin","2023-09-22T14:11:11Z"
"spotify:track:0dn6S6lJqAIQg90kMmWtVj","NO SZNS","spotify:artist:7vNNmjV14SKQzlQAEg0BXP, spotify:artist:7tYKF4w9nC0nq9CsPZTHyP","Jean Dawson, SZA","spotify:album:05kT1p6wyim40HJVzg7tt3","NO SZNS","spotify:artist:7vNNmjV14SKQzlQAEg0BXP, spotify:artist:7tYKF4w9nC0nq9CsPZTHyP","Jean Dawson, SZA","2023-09-22","https://i.scdn.co/image/ab67616d0000b2735986d0cd52e16f556c70d2c2","1","1","213026","https://p.scdn.co/mp3-preview/6c57f6baa69cfef571159bf966fe39bb5d1a3e88?cid=9950ac751e34487dbbe027c4fd7f8e99","false","66","QZ9H32300085","spotify:user:jeongshin","2023-09-23T19:40:26Z"
"spotify:track:26iu1k7U1NT2i8Sz7mDPGa","Yam Yam","spotify:artist:32zeX1IoVKAGWMyy1isKUq","No Vacation","spotify:album:127WZmGnH2ui60lIJVSEZi","Yam Yam","spotify:artist:32zeX1IoVKAGWMyy1isKUq","No Vacation","2017-05-12","https://i.scdn.co/image/ab67616d0000b273b0241723ad3a535fd9cd15ec","1","1","216038","https://p.scdn.co/mp3-preview/91ae3bf210ba541d210093a63828cbdcf97c216b?cid=9950ac751e34487dbbe027c4fd7f8e99","false","65","USEZ61716902","spotify:user:jeongshin","2023-09-30T08:13:07Z"
"spotify:track:2aydv0bsXbIZg3Sk2S6u86","Take Care","spotify:artist:56ZTgzPBDge0OvCGgMO3OY","Beach House","spotify:album:7ejB3MHdDNcY3GzRsQRAHs","Teen Dream","spotify:artist:56ZTgzPBDge0OvCGgMO3OY","Beach House","2010-01-25","https://i.scdn.co/image/ab67616d0000b273a9a2f4dbb6ce31157d2e4783","1","10","348440","https://p.scdn.co/mp3-preview/ce733645b693bcb02cc0d4f99c9560fe3019e0a3?cid=9950ac751e34487dbbe027c4fd7f8e99","false","52","GBBRP1022510","spotify:user:jeongshin","2023-10-01T10:49:51Z"
