"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At"
"spotify:track:3iVAyrTlbWGBq0laeQ18z2","Walking On A Dream","spotify:artist:67hb7towEyKvt5Z8Bx306c","Empire of the Sun","spotify:album:6cMiYjMZ7ltJC3OyljYJO6","Walking On A Dream","spotify:artist:67hb7towEyKvt5Z8Bx306c","Empire of the Sun","2008-01-01","https://i.scdn.co/image/ab67616d0000b27371165b9223362f009d9a6001","1","2","198440","","false","0","AUEI10800039","spotify:user:jeongshin","2020-02-03T01:29:01Z"
"spotify:track:6113aOfHIC0vbZVDZ6PpRV","Days","spotify:artist:0p5axeJsbtTCXBrRVoKjwu","The Drums","spotify:album:13F3zUhKQsEe4IG6DaMJCh","Portamento","spotify:artist:0p5axeJsbtTCXBrRVoKjwu","The Drums","2011-09-06","https://i.scdn.co/image/ab67616d0000b27328704b8e73877747d2c71659","1","2","269081","","false","0","GBUM71105434","spotify:user:jeongshin","2020-02-03T01:29:08Z"
"spotify:track:1yzbqrSF0vuaO7nuKYSd6f","Coming of Age","spotify:artist:7gP3bB2nilZXLfPHJhMdvc","Foster The People","spotify:album:22cFcAQkydpTzeSKQZEKv0","Supermodel","spotify:artist:7gP3bB2nilZXLfPHJhMdvc","Foster The People","2014-03-14","https://i.scdn.co/image/ab67616d0000b2733fa1cde08a07e944779fc433","1","3","280040","https://p.scdn.co/mp3-preview/0ab0fc4229e977b5d341f829705040a1fa4a2af5?cid=9950ac751e34487dbbe027c4fd7f8e99","false","57","USSM11305799","spotify:user:jeongshin","2020-02-03T01:29:20Z"
"spotify:track:1YLJVmuzeM2YSUkCCaTNUB","Dog Days Are Over","spotify:artist:1moxjboGR7GNWYIMWsRjgG","Florence + The Machine","spotify:album:2FgknX5e7fJlriQtxvpLhZ","Lungs (Deluxe Edition)","spotify:artist:1moxjboGR7GNWYIMWsRjgG","Florence + The Machine","2009","https://i.scdn.co/image/ab67616d0000b2730672b0f8756ae2af86e8a5ce","1","1","251840","https://p.scdn.co/mp3-preview/d1c97f83c052039d9e5105ed70261a5c59fd7f53?cid=9950ac751e34487dbbe027c4fd7f8e99","false","78","GBUM70900209","spotify:user:jeongshin","2020-02-03T03:30:21Z"
"spotify:track:2AYEOC02WLhUiOoaig2SEH","Out of My League","spotify:artist:4AcHt3JxKy59IX7JNNlZn4","Fitz and The Tantrums","spotify:album:3IWUFJCM3CvCCQIHQ4vtRK","More Than Just a Dream (Deluxe Edition)","spotify:artist:4AcHt3JxKy59IX7JNNlZn4","Fitz and The Tantrums","2013-05-07","https://i.scdn.co/image/ab67616d0000b2735e145eb24e282b9554501a27","1","1","209386","https://p.scdn.co/mp3-preview/d50d8b3ce46da19a8f6b63539be7a10faee9a569?cid=9950ac751e34487dbbe027c4fd7f8e99","false","76","USAT21300149","spotify:user:jeongshin","2020-02-03T01:29:27Z"
"spotify:track:5L95vS64rG1YMIFm1hLjyZ","Rollercoaster","spotify:artist:2eam0iDomRHGBypaDQLwWI","Bleachers","spotify:album:0cnNCK2xpudXjB8pzsrYy9","Strange Desire","spotify:artist:2eam0iDomRHGBypaDQLwWI","Bleachers","2014-07-14","https://i.scdn.co/image/ab67616d0000b2734849278ce9876ebea7353d66","1","2","188866","https://p.scdn.co/mp3-preview/6cd84c072ba490f5b68d2989fafe6fb43746745f?cid=9950ac751e34487dbbe027c4fd7f8e99","false","68","USRC11400984","spotify:user:jeongshin","2020-02-03T01:29:35Z"
"spotify:track:41d2Q6DHcM20OdzynkRtvf","Daft Pretty Boys","spotify:artist:0YhUSm86okLWldQVwJkLlP","Bad Suns","spotify:album:2YXl7mV4d30fEbwpVQ7YBQ","Disappear Here","spotify:artist:0YhUSm86okLWldQVwJkLlP","Bad Suns","2016-09-16","https://i.scdn.co/image/ab67616d0000b273fffed5c0eb4428e53713ade4","1","9","187013","","true","49","QMRSZ1600419","spotify:user:jeongshin","2022-09-06T03:26:11Z"
"spotify:track:6kcHg7XL6SKyPNd78daRBL","Sweet Talk","spotify:artist:1dWEYMPtNmvSVaDNLgB6NV","Saint Motel","spotify:album:43URJ507cdoIRy3GJdfxjs","saintmotelevision","spotify:artist:1dWEYMPtNmvSVaDNLgB6NV","Saint Motel","2016-10-21","https://i.scdn.co/image/ab67616d0000b27325dd1a3969c0912291b6fc7b","1","5","192040","https://p.scdn.co/mp3-preview/8b222ff67bf8aa3e7de6a4f410b5e9d53e1afe29?cid=9950ac751e34487dbbe027c4fd7f8e99","false","67","USAT21602338","spotify:user:jeongshin","2022-09-06T03:26:16Z"
"spotify:track:1OyNY4fiLDhopwm6oj6OmB","I Don't Know How To Love","spotify:artist:0p5axeJsbtTCXBrRVoKjwu","The Drums","spotify:album:13F3zUhKQsEe4IG6DaMJCh","Portamento","spotify:artist:0p5axeJsbtTCXBrRVoKjwu","The Drums","2011-09-06","https://i.scdn.co/image/ab67616d0000b27328704b8e73877747d2c71659","1","6","202053","","false","0","GBUM71105437","spotify:user:jeongshin","2020-02-03T01:29:40Z"
"spotify:track:0vAb3U3NJhiuib2B7sJdeJ","Money","spotify:artist:0p5axeJsbtTCXBrRVoKjwu","The Drums","spotify:album:13F3zUhKQsEe4IG6DaMJCh","Portamento","spotify:artist:0p5axeJsbtTCXBrRVoKjwu","The Drums","2011-09-06","https://i.scdn.co/image/ab67616d0000b27328704b8e73877747d2c71659","1","4","233655","","false","0","GBUM71105426","spotify:user:jeongshin","2020-02-03T01:29:42Z"
"spotify:track:1MSM3Fo2fvnwVqMcz8Jhjq","Cecilia And The Satellite","spotify:artist:716ZwtZBmwROBXcFmCzfdM","Andrew McMahon in the Wilderness","spotify:album:4IVdl0FxI7cpwyLh8JWOdG","Andrew McMahon In The Wilderness","spotify:artist:716ZwtZBmwROBXcFmCzfdM","Andrew McMahon in the Wilderness","2014-10-14","https://i.scdn.co/image/ab67616d0000b2736354cef4a72ed7eac6e5820c","1","2","223879","https://p.scdn.co/mp3-preview/3915337dae96c9035c9a24598fb0f766bb5570d1?cid=9950ac751e34487dbbe027c4fd7f8e99","false","59","USVG21403647","spotify:user:jeongshin","2020-02-03T01:29:45Z"
"spotify:track:1UqhkbzB1kuFwt2iy4h29Q","Cough Syrup","spotify:artist:4j56EQDQu5XnL7R3E9iFJT","Young the Giant","spotify:album:2ww7MYrkExsljnKhcINDse","Young The Giant (Special Edition)","spotify:artist:4j56EQDQu5XnL7R3E9iFJT","Young the Giant","2011","https://i.scdn.co/image/ab67616d0000b27351729fae66d02122c4951153","1","4","249520","https://p.scdn.co/mp3-preview/d7218e4269b429d546b8af4a333a4bbef4cc89ef?cid=9950ac751e34487dbbe027c4fd7f8e99","false","72","NLA321090389","spotify:user:jeongshin","2020-02-03T01:33:47Z"
"spotify:track:4RvWPyQ5RL0ao9LPZeSouE","Everybody Wants To Rule The World","spotify:artist:4bthk9UfsYUYdcFyqxmSUU","Tears For Fears","spotify:album:3myPwaMYjdwhtq0nFgeG6W","Songs From The Big Chair (Super Deluxe Edition)","spotify:artist:4bthk9UfsYUYdcFyqxmSUU","Tears For Fears","1985-02-25","https://i.scdn.co/image/ab67616d0000b27322463d6939fec9e17b2a6235","1","3","251488","https://p.scdn.co/mp3-preview/49a5e33d422484fde5484d3e665821e9a3a8b540?cid=9950ac751e34487dbbe027c4fd7f8e99","false","90","GBF088590110","spotify:user:jeongshin","2020-02-03T01:34:07Z"
"spotify:track:7w87IxuO7BDcJ3YUqCyMTT","Pumped Up Kicks","spotify:artist:7gP3bB2nilZXLfPHJhMdvc","Foster The People","spotify:album:7Kmmw7Z5D2UD5MVwdm10sT","Torches","spotify:artist:7gP3bB2nilZXLfPHJhMdvc","Foster The People","2011-05-23","https://i.scdn.co/image/ab67616d0000b273121d5f92cf90576907dfb1e5","1","2","239600","https://p.scdn.co/mp3-preview/2213bf4173a9b50a807a30121ed6b559a7778209?cid=9950ac751e34487dbbe027c4fd7f8e99","false","85","USSM11002931","spotify:user:jeongshin","2020-02-03T01:34:27Z"
"spotify:track:77VNrMsqlo9jHJwKvgs2Oe","Crash My Car","spotify:artist:0ZxZlO7oWCSYMXhehpyMvE","COIN","spotify:album:41F6VdMeOkitIGqbtNe0Wq","Crash My Car","spotify:artist:0ZxZlO7oWCSYMXhehpyMvE","COIN","2019-06-13","https://i.scdn.co/image/ab67616d0000b273e2fb25eddb8374d87ed407b3","1","1","188306","","false","0","USSM11902799","spotify:user:jeongshin","2020-02-03T01:34:54Z"
"spotify:track:75hLNJfiXV5k2YGrbGEW51","Feel Again","spotify:artist:5Pwc4xIPtQLFEnJriah9YJ","OneRepublic","spotify:album:2bbhW5ifCwOYM8DMkqoYBF","Native","spotify:artist:5Pwc4xIPtQLFEnJriah9YJ","OneRepublic","2014-01-01","https://i.scdn.co/image/ab67616d0000b273e80e7dbce3996a1ae5967751","1","4","185080","https://p.scdn.co/mp3-preview/a62c600c6cc01c5c68fac289851edcc071f4283b?cid=9950ac751e34487dbbe027c4fd7f8e99","false","53","USUM71209505","spotify:user:jeongshin","2020-02-03T01:35:27Z"
"spotify:track:0hkfChfdYxrcTqJZ79WDfw","Let It All Out (10:05)","spotify:artist:0ZxZlO7oWCSYMXhehpyMvE","COIN","spotify:album:2GOmmFaEZhIR1NXC9UyHsp","Let It All Out (10:05)","spotify:artist:0ZxZlO7oWCSYMXhehpyMvE","COIN","2019-11-15","https://i.scdn.co/image/ab67616d0000b273de0f1d4de733728b27ba9e7e","1","1","220880","","false","0","USSM11902794","spotify:user:jeongshin","2020-02-03T01:42:47Z"
"spotify:track:1eyzqe2QqGZUmfcPZtrIyt","Midnight City","spotify:artist:63MQldklfxkjYDoUE4Tppz","M83","spotify:album:6R0ynY7RF20ofs9GJR5TXR","Hurry Up, We're Dreaming","spotify:artist:63MQldklfxkjYDoUE4Tppz","M83","2011","https://i.scdn.co/image/ab67616d0000b273fff2cb485c36a6d8f639bdba","1","2","241440","https://p.scdn.co/mp3-preview/5aa3429867af2283925c942e7051342a464460b0?cid=9950ac751e34487dbbe027c4fd7f8e99","false","74","GB55H1100002","spotify:user:jeongshin","2020-02-03T01:47:08Z"
"spotify:track:1mea3bSkSGXuIRvnydlB5b","Viva La Vida","spotify:artist:4gzpq5DPGxSnKTe4SA8HAU","Coldplay","spotify:album:1CEODgTmTwLyabvwd7HBty","Viva La Vida or Death and All His Friends","spotify:artist:4gzpq5DPGxSnKTe4SA8HAU","Coldplay","2008-05-26","https://i.scdn.co/image/ab67616d0000b273e21cc1db05580b6f2d2a3b6e","1","7","242373","https://p.scdn.co/mp3-preview/fb9f4a9b0887326776b4fb7c6d331acd167a7778?cid=9950ac751e34487dbbe027c4fd7f8e99","false","89","GBAYE0800265","spotify:user:jeongshin","2020-02-03T01:52:18Z"
"spotify:track:7pK4jm4HiNaYVzL2zbQSoG","Wild Heart","spotify:artist:2eam0iDomRHGBypaDQLwWI","Bleachers","spotify:album:0cnNCK2xpudXjB8pzsrYy9","Strange Desire","spotify:artist:2eam0iDomRHGBypaDQLwWI","Bleachers","2014-07-14","https://i.scdn.co/image/ab67616d0000b2734849278ce9876ebea7353d66","1","1","200386","https://p.scdn.co/mp3-preview/0cb285b30234d85892df7502931f9aebee07d08f?cid=9950ac751e34487dbbe027c4fd7f8e99","false","53","USRC11401066","spotify:user:jeongshin","2020-02-03T02:02:11Z"
"spotify:track:25nzKGDiua1lE9Qo5V19GL","Young Blood","spotify:artist:0oeUpvxWsC8bWS6SnpU8b9","The Naked And Famous","spotify:album:5ImvJCAX33Pt2XGMaYaMia","Passive Me, Aggressive You","spotify:artist:0oeUpvxWsC8bWS6SnpU8b9","The Naked And Famous","2010","https://i.scdn.co/image/ab67616d0000b273494e33d225ef37180f88c8ce","1","7","246600","https://p.scdn.co/mp3-preview/673f68845ee9a0dd82ede15ef07a247f7aa73a39?cid=9950ac751e34487dbbe027c4fd7f8e99","false","70","NZNK11000001","spotify:user:jeongshin","2020-02-03T03:21:37Z"
"spotify:track:4Sfa7hdVkqlM8UW5LsSY3F","Take a Walk","spotify:artist:7gjAu1qr5C2grXeQFFOGeh","Passion Pit","spotify:album:14JU5SskmcyckE5I8PY6lv","Gossamer","spotify:artist:7gjAu1qr5C2grXeQFFOGeh","Passion Pit","2012-07-23","https://i.scdn.co/image/ab67616d0000b273f860547bc8ba0c59df4fe2c3","1","1","264493","https://p.scdn.co/mp3-preview/6831003a390515c2c983c484f50eadb218993e46?cid=9950ac751e34487dbbe027c4fd7f8e99","false","68","USSM11202617","spotify:user:jeongshin","2020-02-03T03:22:08Z"
"spotify:track:5mEyCUtI36Jmu2KNQQ4jaw","Girls Like You","spotify:artist:0oeUpvxWsC8bWS6SnpU8b9","The Naked And Famous","spotify:album:5ImvJCAX33Pt2XGMaYaMia","Passive Me, Aggressive You","spotify:artist:0oeUpvxWsC8bWS6SnpU8b9","The Naked And Famous","2010","https://i.scdn.co/image/ab67616d0000b273494e33d225ef37180f88c8ce","1","13","364493","https://p.scdn.co/mp3-preview/5b56fe20528d97c9f8961ffafe5596b380f2a98b?cid=9950ac751e34487dbbe027c4fd7f8e99","false","51","NZNK11000013","spotify:user:jeongshin","2022-09-06T03:26:29Z"
