"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At"
"spotify:track:6GmUVqe73u5YRfUUynZK6I","Let Her Go","spotify:artist:0gadJ2b9A4SKsB1RFkBb66","Passenger","spotify:album:2sRnJq6dfXdqhIflBk0ve1","All the Little Lights","spotify:artist:0gadJ2b9A4SKsB1RFkBb66","Passenger","2012-06-29","https://i.scdn.co/image/ab67616d0000b273d06310a3394748073b66fbda","1","2","252733","","false","0","GBMQN1200012","spotify:user:jeongshin","2018-09-26T02:27:18Z"
"spotify:track:5rZXBHUU2qz7huEckTwpqo","High Hopes","spotify:artist:4BxCuXFJrSWGi1KHcVqaU4","Kodaline","spotify:album:29Tc7Ue6KVfc5mzXxoMgEL","In A Perfect World","spotify:artist:4BxCuXFJrSWGi1KHcVqaU4","Kodaline","2013-10-08","https://i.scdn.co/image/ab67616d0000b2732f6a4c54e1f4a241dc3a2d21","1","4","230266","","false","0","GBDVX1200014","spotify:user:jeongshin","2018-09-26T02:27:39Z"
"spotify:track:38xWaVFKaxZlMFvzNff2aW","Breakeven","spotify:artist:3AQRLZ9PuTAozP28Skbq8V","The Script","spotify:album:51Hn2Wiq1jmUfI0BLaUhuF","The Script","spotify:artist:3AQRLZ9PuTAozP28Skbq8V","The Script","2008-09-08","https://i.scdn.co/image/ab67616d0000b273b526ba531c80ed208cd428ed","1","5","261426","https://p.scdn.co/mp3-preview/641ace19d22163b648783e54a51ebea7382d0fab?cid=9950ac751e34487dbbe027c4fd7f8e99","false","68","GBARL0800147","spotify:user:jeongshin","2018-09-26T02:28:00Z"
"spotify:track:53QF56cjZA9RTuuMZDrSA6","I Won't Give Up","spotify:artist:4phGZZrJZRo4ElhRtViYdl","Jason Mraz","spotify:album:64SChsjQBiEe3aVTFYnW1b","Love Is a Four Letter Word (Deluxe Edition)","spotify:artist:4phGZZrJZRo4ElhRtViYdl","Jason Mraz","2012-04-13","https://i.scdn.co/image/ab67616d0000b27346e379c721504777a62bd9b8","1","4","240165","https://p.scdn.co/mp3-preview/3df95d1edb89637d4aadce58fcb7c3cc6fc665d4?cid=9950ac751e34487dbbe027c4fd7f8e99","false","72","USEE11100768","spotify:user:jeongshin","2018-09-26T02:29:06Z"
"spotify:track:1EzrEOXmMH3G43AXT1y7pA","I'm Yours","spotify:artist:4phGZZrJZRo4ElhRtViYdl","Jason Mraz","spotify:album:04G0YylSjvDQZrjOfE5jA5","We Sing. We Dance. We Steal Things.","spotify:artist:4phGZZrJZRo4ElhRtViYdl","Jason Mraz","2008-05-12","https://i.scdn.co/image/ab67616d0000b273125b1a330b6f6100ab19dbed","1","2","242946","https://p.scdn.co/mp3-preview/0952568e496914bb61383588ac417ec70abefc1d?cid=9950ac751e34487dbbe027c4fd7f8e99","false","80","USEE10800667","spotify:user:jeongshin","2018-09-26T02:29:10Z"
"spotify:track:0IktbUcnAGrvD03AWnz3Q8","Lucky","spotify:artist:4phGZZrJZRo4ElhRtViYdl, spotify:artist:6aZyMrc4doVtZyKNilOmwu","Jason Mraz, Colbie Caillat","spotify:album:04G0YylSjvDQZrjOfE5jA5","We Sing. We Dance. We Steal Things.","spotify:artist:4phGZZrJZRo4ElhRtViYdl","Jason Mraz","2008-05-12","https://i.scdn.co/image/ab67616d0000b273125b1a330b6f6100ab19dbed","1","3","189613","https://p.scdn.co/mp3-preview/2af2119909efc963734ea1eaeeafbc8d212e2371?cid=9950ac751e34487dbbe027c4fd7f8e99","false","73","USEE10800806","spotify:user:jeongshin","2018-09-26T02:29:14Z"
"spotify:track:3VlbOrM6nYPprVvzBZllE5","Too Good At Goodbyes","spotify:artist:2wY79sveU1sp5g7SokKOiI","Sam Smith","spotify:album:3XftSbguntyRTBQaGItmfK","The Thrill Of It All (Special Edition)","spotify:artist:2wY79sveU1sp5g7SokKOiI","Sam Smith","2017-11-03","https://i.scdn.co/image/ab67616d0000b2735da90b8a4dd6060cbcc0a6d9","1","1","201000","","false","5","GBUM71704089","spotify:user:jeongshin","2018-09-26T02:29:22Z"
"spotify:track:5Db9VIdDsN5yu3Eu7CT0i4","Stay With Me","spotify:artist:2wY79sveU1sp5g7SokKOiI","Sam Smith","spotify:album:2Jg7JZ0ZXOGje1bkq7CVgK","In The Lonely Hour","spotify:artist:2wY79sveU1sp5g7SokKOiI","Sam Smith","2014-01-01","https://i.scdn.co/image/ab67616d0000b2734fb7193968e58e51c3db3ef4","1","3","172723","","false","0","GBUM71308833","spotify:user:jeongshin","2018-09-26T02:29:25Z"
"spotify:track:0fioLzGM8ngbD1w6fMmm45","I'm Not The Only One","spotify:artist:2wY79sveU1sp5g7SokKOiI","Sam Smith","spotify:album:2Jg7JZ0ZXOGje1bkq7CVgK","In The Lonely Hour","spotify:artist:2wY79sveU1sp5g7SokKOiI","Sam Smith","2014-01-01","https://i.scdn.co/image/ab67616d0000b2734fb7193968e58e51c3db3ef4","1","5","239316","","false","0","GBUM71308836","spotify:user:jeongshin","2018-09-26T02:29:31Z"
"spotify:track:39Q20GZHKK0IK8oKkhfxiJ","One Last Song","spotify:artist:2wY79sveU1sp5g7SokKOiI","Sam Smith","spotify:album:3XftSbguntyRTBQaGItmfK","The Thrill Of It All (Special Edition)","spotify:artist:2wY79sveU1sp5g7SokKOiI","Sam Smith","2017-11-03","https://i.scdn.co/image/ab67616d0000b2735da90b8a4dd6060cbcc0a6d9","1","3","192922","","false","0","GBUM71703749","spotify:user:jeongshin","2018-09-26T02:29:38Z"
