"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At"
"spotify:track:46yZvVAKWuvp6sV0OciMLt","Bright Red","spotify:artist:60NNvDqsif0u40CXMV6jDQ","Ryan Beatty","spotify:album:5OWpskyoZl9UMkHQwgA05O","Calico","spotify:artist:60NNvDqsif0u40CXMV6jDQ","Ryan Beatty","2023-04-28","https://i.scdn.co/image/ab67616d0000b27389bcf0e9d8e14d33dea77acf","1","5","169103","https://p.scdn.co/mp3-preview/2fd6da84f6ceeeb324fef64ffd97fabc9d9d9805?cid=9950ac751e34487dbbe027c4fd7f8e99","false","50","GBAHS2300259","spotify:user:jeongshin","2023-05-08T05:59:38Z"
"spotify:track:638nd0LpLCmBKl2uvegv2D","Little Faith","spotify:artist:60NNvDqsif0u40CXMV6jDQ","Ryan Beatty","spotify:album:5OWpskyoZl9UMkHQwgA05O","Calico","spotify:artist:60NNvDqsif0u40CXMV6jDQ","Ryan Beatty","2023-04-28","https://i.scdn.co/image/ab67616d0000b27389bcf0e9d8e14d33dea77acf","1","9","224480","https://p.scdn.co/mp3-preview/48fac2925b5ad50851bd9bbca82406eac43e221a?cid=9950ac751e34487dbbe027c4fd7f8e99","false","45","GBAHS2300263","spotify:user:jeongshin","2023-05-08T06:16:18Z"
"spotify:track:5sKb4ShexCtnNcZlWHGDrE","On the Sea","spotify:artist:56ZTgzPBDge0OvCGgMO3OY","Beach House","spotify:album:02PXepuNHYKvGnXYy03oCp","Bloom","spotify:artist:56ZTgzPBDge0OvCGgMO3OY","Beach House","2012-05-15","https://i.scdn.co/image/ab67616d0000b273bb9f22f4b196fa10308d77a7","1","9","332466","https://p.scdn.co/mp3-preview/07f15fdad183305de5e97c19c8f98660a5277b49?cid=9950ac751e34487dbbe027c4fd7f8e99","false","49","USSUB1296509","spotify:user:jeongshin","2023-05-11T17:14:51Z"
"spotify:track:373z7Xe1jiRIuUxolaH10q","Love Like a Sunset, Pt. 2","spotify:artist:1xU878Z1QtBldR7ru9owdU","Phoenix","spotify:album:0xG5b9nkWxKc5VTpo6Fq5I","Wolfgang Amadeus Phoenix","spotify:artist:1xU878Z1QtBldR7ru9owdU","Phoenix","2009-05-25","https://i.scdn.co/image/ab67616d0000b273869df273a6f34f759b426ace","1","5","116720","https://p.scdn.co/mp3-preview/3c7bcac8541710cfaf13d1ca60d98ddb426429f0?cid=9950ac751e34487dbbe027c4fd7f8e99","false","56","FR31Q0900005","spotify:user:jeongshin","2023-05-11T17:35:41Z"
"spotify:track:3kBWttZ4s6uSErpI0x3qLZ","coogie","spotify:artist:0knGpCTbmG4ctl1wzYRZs4","Dijon","spotify:album:6O9lTWRoILaLhlq7gSVTyf","coogie","spotify:artist:0knGpCTbmG4ctl1wzYRZs4","Dijon","2023-03-03","https://i.scdn.co/image/ab67616d0000b2731affaeb6cfbd4db47ee18a3f","1","1","189514","https://p.scdn.co/mp3-preview/7ecae0c57d1da9eb64310dbcbc5aba43910fe0a4?cid=9950ac751e34487dbbe027c4fd7f8e99","false","50","USWB12300737","spotify:user:jeongshin","2023-05-12T06:42:55Z"
"spotify:track:1JuIXW5AaK24y7fjisYbQ9","Become","spotify:artist:56ZTgzPBDge0OvCGgMO3OY","Beach House","spotify:album:6nx7O0T24xjbCpiATB4Rga","Become","spotify:artist:56ZTgzPBDge0OvCGgMO3OY","Beach House","2023-04-28","https://i.scdn.co/image/ab67616d0000b2736448d089b0f68fb9cee997f0","1","5","358960","https://p.scdn.co/mp3-preview/be4cd00536855448c9dc11f60ddc12bb8405d6bb?cid=9950ac751e34487dbbe027c4fd7f8e99","false","45","USSUB2254505","spotify:user:jeongshin","2023-05-12T06:49:19Z"
"spotify:track:1eKpgkLE5iyIY0J79Kd3D6","Tide","spotify:artist:0W79ONUwHoehEib1nRXlmi","Angelo De Augustine","spotify:album:4bUHu3F1zbCbKKcwvCmAXj","Tomb","spotify:artist:0W79ONUwHoehEib1nRXlmi","Angelo De Augustine","2019-01-11","https://i.scdn.co/image/ab67616d0000b273056fff045ee34bb311867c55","1","5","315520","https://p.scdn.co/mp3-preview/21a0d42d7ceadccb60111c9d351b3d576b84235c?cid=9950ac751e34487dbbe027c4fd7f8e99","false","34","US64G1813805","spotify:user:jeongshin","2023-05-12T06:54:17Z"
"spotify:track:5dtUhiU3OYmSmDj355bLew","Speed","spotify:artist:60NNvDqsif0u40CXMV6jDQ","Ryan Beatty","spotify:album:2JCzwyBkW4xUNs35vlG3mn","Boy in Jeans","spotify:artist:60NNvDqsif0u40CXMV6jDQ","Ryan Beatty","2018-07-20","https://i.scdn.co/image/ab67616d0000b273f5836791fd265b08343034cd","1","11","238670","https://p.scdn.co/mp3-preview/a1288ea8a9f0bf11692933dab128df43f0ca84f0?cid=9950ac751e34487dbbe027c4fd7f8e99","false","29","USUG11800926","spotify:user:jeongshin","2023-05-16T01:58:11Z"
"spotify:track:02CLnOe5IdSZKKS1oxWeRZ","Velvet Sheets","spotify:artist:7o96HO2zrujyATtVsqGhh3","Goth Babe","spotify:album:1L9bZ4yd93BVYT3HNR6bMd","Pacific","spotify:artist:7o96HO2zrujyATtVsqGhh3","Goth Babe","2017-09-24","https://i.scdn.co/image/ab67616d0000b273cadd3a6e3be0cb4eda8d52eb","1","2","250712","https://p.scdn.co/mp3-preview/7512b9e5612586c37266fc3081fe73af33b7d900?cid=9950ac751e34487dbbe027c4fd7f8e99","false","41","TCADH1713314","spotify:user:jeongshin","2023-05-16T02:41:57Z"
"spotify:track:06RdYCp0UxsBtWsonHfSZz","Just the Way You Are","spotify:artist:6zFYqv1mOsgBRQbae3JJ9e","Billy Joel","spotify:album:3IILMjMMnoN2sKzgesX8KV","The Stranger","spotify:artist:6zFYqv1mOsgBRQbae3JJ9e","Billy Joel","1977-09-29","https://i.scdn.co/image/ab67616d0000b2738a6dbac0b74bd2484189ea5f","1","3","290573","https://p.scdn.co/mp3-preview/3dba540dafbc6039399332c8b8389b4bd0b99070?cid=9950ac751e34487dbbe027c4fd7f8e99","false","51","USSM17700371","spotify:user:jeongshin","2023-05-16T17:20:24Z"
