"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At"
"spotify:track:3AbV3JF0bJAZXeHEJZfpke","4 Seasons","spotify:artist:7pbDxGE6nQSZVfiFdq9lOL","Rex Orange County","spotify:album:2NBVxjZcbH5H1N1Ab2ExDH","Apricot Princess","spotify:artist:7pbDxGE6nQSZVfiFdq9lOL","Rex Orange County","2017-04-26","https://i.scdn.co/image/ab67616d0000b27394c6cd33b8be451c2372c6fa","1","6","301773","","true","0","US23A1500500","spotify:user:jeongshin","2019-12-02T05:59:19Z"
"spotify:track:5OUTFH5acycdnf8OVo21Gv","Television / So Far So Good","spotify:artist:7pbDxGE6nQSZVfiFdq9lOL","Rex Orange County","spotify:album:2NBVxjZcbH5H1N1Ab2ExDH","Apricot Princess","spotify:artist:7pbDxGE6nQSZVfiFdq9lOL","Rex Orange County","2017-04-26","https://i.scdn.co/image/ab67616d0000b27394c6cd33b8be451c2372c6fa","1","2","262600","","true","1","US23A1500497","spotify:user:jeongshin","2019-12-02T06:00:08Z"
"spotify:track:28GbaBYFpYi1J61fXnGSfd","Apricot Princess","spotify:artist:7pbDxGE6nQSZVfiFdq9lOL","Rex Orange County","spotify:album:2NBVxjZcbH5H1N1Ab2ExDH","Apricot Princess","spotify:artist:7pbDxGE6nQSZVfiFdq9lOL","Rex Orange County","2017-04-26","https://i.scdn.co/image/ab67616d0000b27394c6cd33b8be451c2372c6fa","1","1","238480","","true","0","US23A1500496","spotify:user:jeongshin","2019-12-02T06:00:11Z"
"spotify:track:7vRia9rlEuTDQxkfXIKySi","It's Not The Same Anymore","spotify:artist:7pbDxGE6nQSZVfiFdq9lOL","Rex Orange County","spotify:album:5CNckxfLf4TCoMOoxgAU8l","Pony","spotify:artist:7pbDxGE6nQSZVfiFdq9lOL","Rex Orange County","2019-10-25","https://i.scdn.co/image/ab67616d0000b273733e6d7818eef87d20df86b5","1","10","386200","https://p.scdn.co/mp3-preview/e232d008cce7ac573b53402190168986ded49d8b?cid=9950ac751e34487dbbe027c4fd7f8e99","false","67","USRC11902536","spotify:user:jeongshin","2019-12-02T06:02:46Z"
"spotify:track:7GDDxCiTyiQuC1kig8AqFH","Next Year - RAC Remix","spotify:artist:536BYVgOnRky0xjsPT96zl","Two Door Cinema Club","spotify:album:5Z5DIr86vr1F4ZJbRFuQ6Q","Next Year (Remixes)","spotify:artist:536BYVgOnRky0xjsPT96zl","Two Door Cinema Club","2013-01-01","https://i.scdn.co/image/ab67616d0000b273015d7007c3c0390a62c6f20b","1","2","286093","","false","0","FRU701300007","spotify:user:jeongshin","2019-12-02T06:18:38Z"
"spotify:track:3pJJmtKV0ULcMJkx8xmYgP","Revvin' My Cj7","spotify:artist:3MATPJ9tYbcMhw5VOZrRU6","Summer Salt","spotify:album:6dzxWdAnluek7QJ3EEj21O","So Polite","spotify:artist:3MATPJ9tYbcMhw5VOZrRU6","Summer Salt","2017-07-18","https://i.scdn.co/image/ab67616d0000b2730d2929efadb8b2a228421e44","1","3","168205","","false","0","QZ8LD1739333","spotify:user:jeongshin","2019-12-02T06:18:47Z"
"spotify:track:4gHSezW5CHZCvjAUjF2pd5","Another Day in Paradise","spotify:artist:3ApUX1o6oSz321MMECyIYd","Quinn XCII","spotify:album:4Rp02sRtYz5Kp9qHP4VcxQ","Change of Scenery","spotify:artist:3ApUX1o6oSz321MMECyIYd","Quinn XCII","2015-04-28","https://i.scdn.co/image/ab67616d0000b2738fbcfc1032701d6703f10391","1","5","255000","","false","0","ushm21578602","spotify:user:jeongshin","2019-12-02T06:18:57Z"
"spotify:track:3qhobDAfBcVoOWZP8Ck8R2","Ophelia","spotify:artist:16oZKvXb6WkQlVAjwo2Wbg","The Lumineers","spotify:album:6lyCWslIfNEmAWe6ps2KNh","Ophelia","spotify:artist:16oZKvXb6WkQlVAjwo2Wbg","The Lumineers","2016-02-05","https://i.scdn.co/image/ab67616d0000b27302a483a1ff3fe111a9df1eb1","1","1","160097","https://p.scdn.co/mp3-preview/72ddb34d6735c03a8ae82f14d0236ce7b4d47ae4?cid=9950ac751e34487dbbe027c4fd7f8e99","false","52","USDMG1673802","spotify:user:jeongshin","2019-12-02T06:19:00Z"
"spotify:track:2d1VRB0OXkwtMu0OKsxXDW","Never Enough","spotify:artist:7pbDxGE6nQSZVfiFdq9lOL","Rex Orange County","spotify:album:2NBVxjZcbH5H1N1Ab2ExDH","Apricot Princess","spotify:artist:7pbDxGE6nQSZVfiFdq9lOL","Rex Orange County","2017-04-26","https://i.scdn.co/image/ab67616d0000b27394c6cd33b8be451c2372c6fa","1","9","298520","","true","0","US23A1500503","spotify:user:jeongshin","2019-12-02T06:22:45Z"
"spotify:track:02tvc9CFnTyHuSRlGeNv9w","Corduroy Dreams","spotify:artist:7pbDxGE6nQSZVfiFdq9lOL","Rex Orange County","spotify:album:32wYrmt3fg2c8maA80Ioc2","Bcos U Will Never B Free","spotify:artist:7pbDxGE6nQSZVfiFdq9lOL","Rex Orange County","2016-11-07","https://i.scdn.co/image/ab67616d0000b273dbf3c10406ac999c39bf4a97","1","4","206974","","true","1","US23A1500300","spotify:user:jeongshin","2019-12-02T07:35:47Z"
"spotify:track:2LMkwUfqC6S6s6qDVlEuzV","White Ferrari","spotify:artist:2h93pZq0e7k5yf4dywlkpM","Frank Ocean","spotify:album:3mH6qwIy9crq0I9YQbOuDf","Blonde","spotify:artist:2h93pZq0e7k5yf4dywlkpM","Frank Ocean","2016-08-20","https://i.scdn.co/image/ab67616d0000b273c5649add07ed3720be9d5526","1","14","248807","https://p.scdn.co/mp3-preview/bff77236970b7f90cdfc274b18b55ce7bf584bcc?cid=9950ac751e34487dbbe027c4fd7f8e99","false","82","QZ5C81600014","spotify:user:jeongshin","2019-12-02T07:51:50Z"
"spotify:track:7B3z0ySL9Rr0XvZEAjWZzM","Sofia","spotify:artist:3l0CmX0FuQjFxr8SK7Vqag","Clairo","spotify:album:4kkVGtCqE2NiAKosri9Rnd","Immunity","spotify:artist:3l0CmX0FuQjFxr8SK7Vqag","Clairo","2019-08-02","https://i.scdn.co/image/ab67616d0000b27333ccb60f9b2785ef691b2fbc","1","7","188386","https://p.scdn.co/mp3-preview/c38ddc7ce6aae7a3ee1a90596b212f783b6e4092?cid=9950ac751e34487dbbe027c4fd7f8e99","false","82","US4HB1900086","spotify:user:jeongshin","2019-12-24T19:23:51Z"
"spotify:track:5GUYJTQap5F3RDQiCOJhrS","Self Control","spotify:artist:2h93pZq0e7k5yf4dywlkpM","Frank Ocean","spotify:album:3mH6qwIy9crq0I9YQbOuDf","Blonde","spotify:artist:2h93pZq0e7k5yf4dywlkpM","Frank Ocean","2016-08-20","https://i.scdn.co/image/ab67616d0000b273c5649add07ed3720be9d5526","1","7","249667","https://p.scdn.co/mp3-preview/64db1616c8839309c68bafc68e32c45bcb4677c2?cid=9950ac751e34487dbbe027c4fd7f8e99","false","78","QZ5C81600007","spotify:user:jeongshin","2019-12-27T09:08:22Z"
"spotify:track:35xSkNIXi504fcEwz9USRB","Solo","spotify:artist:2h93pZq0e7k5yf4dywlkpM","Frank Ocean","spotify:album:3mH6qwIy9crq0I9YQbOuDf","Blonde","spotify:artist:2h93pZq0e7k5yf4dywlkpM","Frank Ocean","2016-08-20","https://i.scdn.co/image/ab67616d0000b273c5649add07ed3720be9d5526","1","5","257380","https://p.scdn.co/mp3-preview/a29c15d496f95ef1c5fd41a92cbe72b7660d486e?cid=9950ac751e34487dbbe027c4fd7f8e99","true","72","QZ5C81600005","spotify:user:jeongshin","2019-12-27T09:08:28Z"
"spotify:track:3xKsf9qdS1CyvXSMEid6g8","Pink + White","spotify:artist:2h93pZq0e7k5yf4dywlkpM","Frank Ocean","spotify:album:3mH6qwIy9crq0I9YQbOuDf","Blonde","spotify:artist:2h93pZq0e7k5yf4dywlkpM","Frank Ocean","2016-08-20","https://i.scdn.co/image/ab67616d0000b273c5649add07ed3720be9d5526","1","3","184516","https://p.scdn.co/mp3-preview/0e3ca894e19c37cbbbd511d9eb682d8bee030126?cid=9950ac751e34487dbbe027c4fd7f8e99","false","91","QZ5C81600003","spotify:user:jeongshin","2019-12-27T09:08:33Z"
"spotify:track:1hz7SRTGUNAtIQ46qiNv2p","GONE, GONE / THANK YOU","spotify:artist:4V8LLVI7PbaPR0K2TGSxFF","Tyler\, The Creator","spotify:album:5zi7WsKlIiUXv09tbGLKsE","IGOR","spotify:artist:4V8LLVI7PbaPR0K2TGSxFF","Tyler\, The Creator","2019-05-17","https://i.scdn.co/image/ab67616d0000b2737005885df706891a3c182a57","1","10","375386","https://p.scdn.co/mp3-preview/bef1a42d0299c0f5a6b9be0bc604326038b50995?cid=9950ac751e34487dbbe027c4fd7f8e99","true","78","USQX91901118","spotify:user:jeongshin","2019-12-27T09:08:51Z"
"spotify:track:4EaO2XR7gWaHq8DW7nu1iY","Paris","spotify:artist:6ejhZKxWJr9apHAzj74DHv","Magic Man","spotify:album:1UBdVrk0aaya4VX1r0r3Un","Before the Waves","spotify:artist:6ejhZKxWJr9apHAzj74DHv","Magic Man","2014-07-08","https://i.scdn.co/image/ab67616d0000b273c0d5f377e45b39d3ea7c7b67","1","3","232746","https://p.scdn.co/mp3-preview/a309246cdb79c45a6d9f03c575e25f64572b9ca8?cid=9950ac751e34487dbbe027c4fd7f8e99","true","49","USSM11305024","spotify:user:jeongshin","2019-12-29T22:44:45Z"
"spotify:track:3ijXR4yXgN43eF54uK7oos","Sycamore Girl","spotify:artist:7pbDxGE6nQSZVfiFdq9lOL","Rex Orange County","spotify:album:2NBVxjZcbH5H1N1Ab2ExDH","Apricot Princess","spotify:artist:7pbDxGE6nQSZVfiFdq9lOL","Rex Orange County","2017-04-26","https://i.scdn.co/image/ab67616d0000b27394c6cd33b8be451c2372c6fa","1","4","280333","","true","0","US23A1500499","spotify:user:jeongshin","2020-01-02T20:42:32Z"
"spotify:track:2jZgzSxNSg1hTCq0ewWHGJ","Junk Of The Heart (Happy)","spotify:artist:1GLtl8uqKmnyCWxHmw9tL4","The Kooks","spotify:album:2HfdqVaLccOvzfsHej9A8g","Junk Of The Heart","spotify:artist:1GLtl8uqKmnyCWxHmw9tL4","The Kooks","2011-01-01","https://i.scdn.co/image/ab67616d0000b2739b8326ac45405124151f7726","1","1","187253","https://p.scdn.co/mp3-preview/f85001507dd0f4ae99de98ab5165b61a9a415879?cid=9950ac751e34487dbbe027c4fd7f8e99","false","66","GBAAA1100181","spotify:user:jeongshin","2020-01-12T06:04:57Z"
"spotify:track:6KuXb26rHuRy3ZDse1VRmx","Where This Flower Blooms (feat. Frank Ocean)","spotify:artist:4V8LLVI7PbaPR0K2TGSxFF, spotify:artist:2h93pZq0e7k5yf4dywlkpM","Tyler\, The Creator, Frank Ocean","spotify:album:2nkto6YNI4rUYTLqEwWJ3o","Flower Boy","spotify:artist:4V8LLVI7PbaPR0K2TGSxFF","Tyler\, The Creator","2017-07-21","https://i.scdn.co/image/ab67616d0000b2738940ac99f49e44f59e6f7fb3","1","2","194933","https://p.scdn.co/mp3-preview/d43f5506ab9eda2b3ef1a8900cd91a700d04249c?cid=9950ac751e34487dbbe027c4fd7f8e99","true","72","USQX91701273","spotify:user:jeongshin","2020-02-25T03:35:09Z"
"spotify:track:3huV7eiNpaQlCB3LbZi9bB","Bad Habit","spotify:artist:1GLtl8uqKmnyCWxHmw9tL4","The Kooks","spotify:album:6kqOHnshP4RMTUWKrhm6Sy","Listen","spotify:artist:1GLtl8uqKmnyCWxHmw9tL4","The Kooks","2014-01-01","https://i.scdn.co/image/ab67616d0000b2732bc58e4de7c41e84aeacee40","1","6","221413","https://p.scdn.co/mp3-preview/68a9464d8e5db45a88ce5c74f2cae49f1618f8a2?cid=9950ac751e34487dbbe027c4fd7f8e99","false","63","GBUM71401804","spotify:user:jeongshin","2020-02-25T03:35:21Z"
"spotify:track:7iOyMOxdOULvXqUqC26spJ","Modern Jesus","spotify:artist:4kI8Ie27vjvonwaB2ePh8T","Portugal. The Man","spotify:album:6VoOCCv0bXPrTHDncJyIgF","Evil Friends","spotify:artist:4kI8Ie27vjvonwaB2ePh8T","Portugal. The Man","2013-05-31","https://i.scdn.co/image/ab67616d0000b273a1dfbbbaf24e01e0f1964d77","1","4","194053","https://p.scdn.co/mp3-preview/7a3ee8604d86dea989a4424111c90fc76124cda1?cid=9950ac751e34487dbbe027c4fd7f8e99","false","60","USAT21300532","spotify:user:jeongshin","2020-02-25T03:35:31Z"
"spotify:track:3n69hLUdIsSa1WlRmjMZlW","Breezeblocks","spotify:artist:3XHO7cRUPCLOr6jwp8vsx5","alt-J","spotify:album:6k3vC8nep1BfqAIJ81L6OL","An Awesome Wave","spotify:artist:3XHO7cRUPCLOr6jwp8vsx5","alt-J","2012-09-18","https://i.scdn.co/image/ab67616d0000b273028c3bb4b81ee71dd73d1596","1","4","227080","https://p.scdn.co/mp3-preview/41b5f0cbf5fbe77cfbfd7adc109b44a283e08238?cid=9950ac751e34487dbbe027c4fd7f8e99","false","74","GBZUZ1200067","spotify:user:jeongshin","2020-02-25T03:35:40Z"
"spotify:track:0wCWiSuGWwdS6DuKws9SOD","Life","spotify:artist:027TpXKGwdXP7iwbjUSpV8","The Walters","spotify:album:3MFTbUnA8C9T6KCBb0gpH5","Songs for Dads","spotify:artist:027TpXKGwdXP7iwbjUSpV8","The Walters","2014-11-28","https://i.scdn.co/image/ab67616d0000b273acf9c94f73fede70cca51d5e","1","6","200560","","false","0","TCACC1439002","spotify:user:jeongshin","2020-02-25T03:36:01Z"
