"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At"
"spotify:track:1Is8hGpkGMiePASAxBluxM","16","spotify:artist:5SXuuuRpukkTvsLuUknva1","Baby Keem","spotify:album:3r46DPIQeBQbjvjjV5mXGg","The Melodic Blue","spotify:artist:5SXuuuRpukkTvsLuUknva1","Baby Keem","2021-09-10","https://i.scdn.co/image/ab67616d0000b2731bfa23b13d0504fb90c37b39","1","16","156040","https://p.scdn.co/mp3-preview/ed6e777ae611109bb9c130e879fc0ef692824ed4?cid=9950ac751e34487dbbe027c4fd7f8e99","true","80","USSM12106871","spotify:user:eqhp51ukyqay109x6bmq5qt77","2022-08-18T18:06:41Z"
"spotify:track:5CM4UuQ9Gnd6K2YyKGPMoK","Bad Habit","spotify:artist:57vWImR43h4CaDao012Ofp","Steve Lacy","spotify:album:69JpAhN3XgLkOsJ7MCtW4V","Bad Habit","spotify:artist:57vWImR43h4CaDao012Ofp","Steve Lacy","2022-06-29","https://i.scdn.co/image/ab67616d0000b2739904ecb0b1148a128bdd5e36","1","1","232114","https://p.scdn.co/mp3-preview/041dc713b1b3c20b425c03b2efc6b10d566ce742?cid=9950ac751e34487dbbe027c4fd7f8e99","true","81","USRC12201440","spotify:user:eqhp51ukyqay109x6bmq5qt77","2022-08-18T18:06:45Z"
"spotify:track:58k32my5lKofeZRtIvBDg9","HONEST","spotify:artist:5SXuuuRpukkTvsLuUknva1","Baby Keem","spotify:album:7Cw4LObzgnVqSlkuIyywtI","DIE FOR MY BITCH","spotify:artist:5SXuuuRpukkTvsLuUknva1","Baby Keem","2019-07-19","https://i.scdn.co/image/ab67616d0000b273683757f1fd40a7f7ef64bec1","1","2","172672","https://p.scdn.co/mp3-preview/d97fc527cfad8f68b21f1c3f6e786897dd2b393d?cid=9950ac751e34487dbbe027c4fd7f8e99","true","83","QM6N21900313","spotify:user:eqhp51ukyqay109x6bmq5qt77","2022-08-18T18:07:20Z"
"spotify:track:6BU1RZexmvJcBjgagVVt3M","Count Me Out","spotify:artist:2YZyLoL8N0Wb9xBt1NhZWg","Kendrick Lamar","spotify:album:79ONNoS4M9tfIA1mYLBYVX","Mr. Morale & The Big Steppers","spotify:artist:2YZyLoL8N0Wb9xBt1NhZWg","Kendrick Lamar","2022-05-13","https://i.scdn.co/image/ab67616d0000b2732e02117d76426a08ac7c174f","2","1","283642","https://p.scdn.co/mp3-preview/b402ac68f8f32cac7c239dae38e6cf0ba219af80?cid=9950ac751e34487dbbe027c4fd7f8e99","true","77","USUM72208980","spotify:user:eqhp51ukyqay109x6bmq5qt77","2022-08-18T18:07:40Z"
"spotify:track:3gCYle76USfbHa7VDTDg5V","The Kiss Of Venus (Dominic Fike)","spotify:artist:4STHEaNw4mPZ2tzheohgXB, spotify:artist:6USv9qhCn6zfxlBQIYJ9qs","Paul McCartney, Dominic Fike","spotify:album:2GtO6b1fzw82cCdbp4CGQv","The Kiss Of Venus (Dominic Fike)","spotify:artist:4STHEaNw4mPZ2tzheohgXB, spotify:artist:6USv9qhCn6zfxlBQIYJ9qs","Paul McCartney, Dominic Fike","2021-03-11","https://i.scdn.co/image/ab67616d0000b2734eb40ecfe1775ac0bcae0e6b","1","1","143530","https://p.scdn.co/mp3-preview/365e66d5e1647afa09d332a06d45986e56833448?cid=9950ac751e34487dbbe027c4fd7f8e99","false","55","GBCCS2100002","spotify:user:eqhp51ukyqay109x6bmq5qt77","2022-08-18T18:07:32Z"
"spotify:track:6fGIymwqCY4b7LfwKakAEL","The Millennium Express","spotify:artist:7A47sEe0ih6WpKmNCRMu86","Jelani Aryeh","spotify:album:73ct5rK9qShCYdzBR8C8PX","I've Got Some Living To Do","spotify:artist:7A47sEe0ih6WpKmNCRMu86","Jelani Aryeh","2021-07-30","https://i.scdn.co/image/ab67616d0000b273580cf044e12fa1ee398f0158","1","2","202996","https://p.scdn.co/mp3-preview/218a93a2dc3ec543755f5902699fa562761b59af?cid=9950ac751e34487dbbe027c4fd7f8e99","false","28","USA2P2117716","spotify:user:eqhp51ukyqay109x6bmq5qt77","2022-08-18T18:07:46Z"
"spotify:track:2d1VRB0OXkwtMu0OKsxXDW","Never Enough","spotify:artist:7pbDxGE6nQSZVfiFdq9lOL","Rex Orange County","spotify:album:2NBVxjZcbH5H1N1Ab2ExDH","Apricot Princess","spotify:artist:7pbDxGE6nQSZVfiFdq9lOL","Rex Orange County","2017-04-26","https://i.scdn.co/image/ab67616d0000b27394c6cd33b8be451c2372c6fa","1","9","298520","","true","0","US23A1500503","spotify:user:eqhp51ukyqay109x6bmq5qt77","2022-08-18T18:08:13Z"
"spotify:track:4sNG6zQBmtq7M8aeeKJRMQ","Brazil","spotify:artist:2D4FOOOtWycb3Aw9nY5n3c","Declan McKenna","spotify:album:3HJiLDJgWA9Z0MvCxlzHYQ","What Do You Think About the Car?","spotify:artist:2D4FOOOtWycb3Aw9nY5n3c","Declan McKenna","2017-07-21","https://i.scdn.co/image/ab67616d0000b273ec8be21d32e663885fbb244e","1","2","252306","https://p.scdn.co/mp3-preview/d92887b6feaaa7e91021f4512f581181d2480dc4?cid=9950ac751e34487dbbe027c4fd7f8e99","false","80","GBARL1500856","spotify:user:eqhp51ukyqay109x6bmq5qt77","2022-08-18T18:09:02Z"
"spotify:track:2tznHmp70DxMyr2XhWLOW0","Cigarette Daydreams","spotify:artist:26T3LtbuGT1Fu9m0eRq5X3","Cage The Elephant","spotify:album:4EK8gtQfdVsmDTji7gBFlz","Melophobia","spotify:artist:26T3LtbuGT1Fu9m0eRq5X3","Cage The Elephant","2013-10-08","https://i.scdn.co/image/ab67616d0000b273fb1cb900d28642e668d77b12","1","10","208760","https://p.scdn.co/mp3-preview/a7a72315d777f4ed078d955238f9db158c915fc1?cid=9950ac751e34487dbbe027c4fd7f8e99","false","81","USRC11301169","spotify:user:eqhp51ukyqay109x6bmq5qt77","2022-08-18T18:09:05Z"
"spotify:track:4wqzOaLxiCRy2Et8tRyNSX","The Thrill","spotify:artist:137W8MRPWKqSmrBGDBFSop, spotify:artist:67hb7towEyKvt5Z8Bx306c","Wiz Khalifa, Empire of the Sun","spotify:album:2M0nxA3m2sZ5DyDzCdzScf","The Thrill","spotify:artist:137W8MRPWKqSmrBGDBFSop","Wiz Khalifa","2020-11-11","https://i.scdn.co/image/ab67616d0000b273b3be3d2cff779056b4e3a8e8","1","1","234333","","true","10","USA2P2033760","spotify:user:eqhp51ukyqay109x6bmq5qt77","2022-08-18T18:09:27Z"
