"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At"
"spotify:track:5DJNyvuMmZfsfvdTpMMmUq","Sour Patch Kids","spotify:artist:1ShZZUjkbXCjhwrb18BA8I","Bryce Vine","spotify:album:08IW6sUfN9fRYG8Xlgm4oC","Lazy Fair","spotify:artist:1ShZZUjkbXCjhwrb18BA8I","Bryce Vine","2014-04-22","https://i.scdn.co/image/ab67616d0000b2737e370701e40b19856dee65f6","1","2","252546","https://p.scdn.co/mp3-preview/f42bdd33fe73cea9859e512d4b88d134511bdb37?cid=9950ac751e34487dbbe027c4fd7f8e99","true","60","USQY51460659","spotify:user:eqhp51ukyqay109x6bmq5qt77","2021-01-12T17:33:59Z"
"spotify:track:2Yer0p7uB2lVBUAtANuuQp","Magic In The Hamptons (feat. Lil Yachty)","spotify:artist:5UjifI1TYefXWn9GdqDOHl, spotify:artist:6icQOAFXDZKsumw3YXyusw","Social House, Lil Yachty","spotify:album:3p81zUBFZ3zdzxceXKeVSK","Magic In The Hamptons (feat. Lil Yachty)","spotify:artist:5UjifI1TYefXWn9GdqDOHl","Social House","2018-06-08","https://i.scdn.co/image/ab67616d0000b273013314e9861a2c4a796b2176","1","1","164640","https://p.scdn.co/mp3-preview/237a7390aa4b30757eea16d1516dca28b084c5ab?cid=9950ac751e34487dbbe027c4fd7f8e99","false","74","USUM71806833","spotify:user:eqhp51ukyqay109x6bmq5qt77","2021-01-12T17:34:41Z"
"spotify:track:3OaunNUlXXs5e2PXtNAzzG","UCLA","spotify:artist:5eIbEEQnDM8yuDVB0bimSP, spotify:artist:4isewEHTP7Az2QheDdBQ6J","RL Grime, 24hrs","spotify:album:7GpuEZzRrPT4IGiEuWaBzy","NOVA","spotify:artist:5eIbEEQnDM8yuDVB0bimSP","RL Grime","2018-07-27","https://i.scdn.co/image/ab67616d0000b273eded2e9bae0cba9092424797","1","13","192000","","true","65","QMUY41800081","spotify:user:eqhp51ukyqay109x6bmq5qt77","2021-01-12T17:34:46Z"
"spotify:track:39eDF0uTls6xL3Ea8nWmku","Sour Patch Kids - Acoustic Redux","spotify:artist:1ShZZUjkbXCjhwrb18BA8I","Bryce Vine","spotify:album:2mOBAGPVooMdGLK3oOm8hw","Lazier Fair (Acoustic)","spotify:artist:1ShZZUjkbXCjhwrb18BA8I","Bryce Vine","2015-10-23","https://i.scdn.co/image/ab67616d0000b273063c3918c54e843f9a3a2ed9","1","1","252162","https://p.scdn.co/mp3-preview/d2430c026a9a88fb835cd2ebe7ee2d2e72040324?cid=9950ac751e34487dbbe027c4fd7f8e99","true","34","USA2P1523394","spotify:user:eqhp51ukyqay109x6bmq5qt77","2021-01-12T17:34:48Z"
"spotify:track:1LkoYGxmYpO6QSEvY5C0Zl","Scotty Doesn't Know","spotify:artist:3IJ770I1QPmwVp7yug0eJ4","Lustra","spotify:album:3MCqjuNms0vjGyUDQ92Ivs","Left for Dead","spotify:artist:3IJ770I1QPmwVp7yug0eJ4","Lustra","2006","https://i.scdn.co/image/ab67616d0000b273ee515815329b81291adae0dd","1","2","175200","https://p.scdn.co/mp3-preview/a72801300d4b1f089aa567e1ca216bab5b7a1a60?cid=9950ac751e34487dbbe027c4fd7f8e99","false","72","uscgj0612390","spotify:user:eqhp51ukyqay109x6bmq5qt77","2021-01-12T17:38:58Z"
"spotify:track:5Z3GHaZ6ec9bsiI5BenrbY","Young Dumb & Broke","spotify:artist:6LuN9FCkKOj5PcnpouEgny","Khalid","spotify:album:6kf46HbnYCZzP6rjvQHYzg","American Teen","spotify:artist:6LuN9FCkKOj5PcnpouEgny","Khalid","2017-04-27","https://i.scdn.co/image/ab67616d0000b273988ede5e1276e758b5f9e577","1","2","202546","https://p.scdn.co/mp3-preview/05e9e3f61b30cf532a171bf40db63c086f9b6d5b?cid=9950ac751e34487dbbe027c4fd7f8e99","false","82","USRC11700144","spotify:user:eqhp51ukyqay109x6bmq5qt77","2021-01-12T17:39:17Z"
"spotify:track:312WNtMs3F28cUukaPY9bo","American Teen","spotify:artist:6LuN9FCkKOj5PcnpouEgny","Khalid","spotify:album:6kf46HbnYCZzP6rjvQHYzg","American Teen","spotify:artist:6LuN9FCkKOj5PcnpouEgny","Khalid","2017-04-27","https://i.scdn.co/image/ab67616d0000b273988ede5e1276e758b5f9e577","1","1","250746","https://p.scdn.co/mp3-preview/656cef6d343fa228105f1211d86cb6ddeb4ab611?cid=9950ac751e34487dbbe027c4fd7f8e99","false","65","USRC11602480","spotify:user:eqhp51ukyqay109x6bmq5qt77","2021-01-12T17:39:26Z"
"spotify:track:7oK9VyNzrYvRFo7nQEYkWN","Mr. Brightside","spotify:artist:0C0XlULifJtAgn6ZNCW2eu","The Killers","spotify:album:4undIeGmofnAYKhnDclN1w","Hot Fuss","spotify:artist:0C0XlULifJtAgn6ZNCW2eu","The Killers","2004-06-15","https://i.scdn.co/image/ab67616d0000b27356a6d6e493a8f338be63fc49","1","2","222586","","false","5","USIR20400274","spotify:user:eqhp51ukyqay109x6bmq5qt77","2021-01-12T17:39:52Z"
"spotify:track:152lZdxL1OR0ZMW6KquMif","Location","spotify:artist:6LuN9FCkKOj5PcnpouEgny","Khalid","spotify:album:6kf46HbnYCZzP6rjvQHYzg","American Teen","spotify:artist:6LuN9FCkKOj5PcnpouEgny","Khalid","2017-04-27","https://i.scdn.co/image/ab67616d0000b273988ede5e1276e758b5f9e577","1","3","219080","https://p.scdn.co/mp3-preview/ed25b8c413329ab145c72c8bfce8b8558498299c?cid=9950ac751e34487dbbe027c4fd7f8e99","false","79","TCACO1662934","spotify:user:eqhp51ukyqay109x6bmq5qt77","2021-01-12T17:39:19Z"
"spotify:track:4djIFfof5TpbSGRZUpsTXq","Talk Too Much","spotify:artist:0ZxZlO7oWCSYMXhehpyMvE","COIN","spotify:album:4TJUrdwbeKC9qcouPlBuLe","How Will You Know If You Never Try","spotify:artist:0ZxZlO7oWCSYMXhehpyMvE","COIN","2017-04-21","https://i.scdn.co/image/ab67616d0000b273e086dd341bb0c30d235f9cac","1","3","187133","https://p.scdn.co/mp3-preview/81bbab65d54f6cf6184c0284edca6ae0ce63de4f?cid=9950ac751e34487dbbe027c4fd7f8e99","false","71","USSM11602662","spotify:user:eqhp51ukyqay109x6bmq5qt77","2021-01-12T17:40:01Z"
