"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At"
"spotify:track:4WiiRw2PHMNQE0ad6y6GdD","Chocolate","spotify:artist:3mIj9lX2MWuHmhNCA7LSCW","The 1975","spotify:album:6Z1zv6Hw9bdvSoxI5uYk2h","The 1975","spotify:artist:3mIj9lX2MWuHmhNCA7LSCW","The 1975","2013-01-01","https://i.scdn.co/image/ab67616d0000b27304f21e12e67ba0dfd5db4fbf","1","4","224673","https://p.scdn.co/mp3-preview/985376e67ed6ddaefc02d61b6035dd83eab2559f?cid=9950ac751e34487dbbe027c4fd7f8e99","false","68","GBK3W1000164","spotify:user:eqhp51ukyqay109x6bmq5qt77","2023-12-06T16:48:05Z"
"spotify:track:1Qrg8KqiBpW07V7PNxwwwL","Kill Bill","spotify:artist:7tYKF4w9nC0nq9CsPZTHyP","SZA","spotify:album:1nrVofqDRs7cpWXJ49qTnP","SOS","spotify:artist:7tYKF4w9nC0nq9CsPZTHyP","SZA","2022-12-08","https://i.scdn.co/image/ab67616d0000b2730c471c36970b9406233842a5","1","2","153946","https://p.scdn.co/mp3-preview/4bd2dc84016f3743add7eea8b988407b1b900672?cid=9950ac751e34487dbbe027c4fd7f8e99","false","92","USRC12204584","spotify:user:eqhp51ukyqay109x6bmq5qt77","2023-12-06T16:48:05Z"
"spotify:track:5DRnssBoVo8e7uAQZkNT8O","Runner","spotify:artist:6lcwlkAjBPSKnFBZjjZFJs","Alex G","spotify:album:6TzgWk5HZItbFmMT7hH4bU","God Save The Animals","spotify:artist:6lcwlkAjBPSKnFBZjjZFJs","Alex G","2022-09-23","https://i.scdn.co/image/ab67616d0000b2735cce078fbf09bbe8211caf12","1","2","156772","https://p.scdn.co/mp3-preview/3ce2f30f504874f771d1adab4eac348ef05e5fd9?cid=9950ac751e34487dbbe027c4fd7f8e99","false","58","GBCEL2200057","spotify:user:eqhp51ukyqay109x6bmq5qt77","2023-12-06T16:48:05Z"
"spotify:track:4osgfFTICMkcGbbigdsa53","Novacane","spotify:artist:2h93pZq0e7k5yf4dywlkpM","Frank Ocean","spotify:album:3RYdEXhGHojkTILUdtnRVJ","Novacane","spotify:artist:2h93pZq0e7k5yf4dywlkpM","Frank Ocean","2011-01-01","https://i.scdn.co/image/ab67616d0000b27359a428dc7ef8e0c12b0fe18a","1","1","302346","https://p.scdn.co/mp3-preview/c2c28d70cce9e5e7b212eb0d7bd951e231ff6034?cid=9950ac751e34487dbbe027c4fd7f8e99","true","84","USUM71107257","spotify:user:eqhp51ukyqay109x6bmq5qt77","2023-12-06T16:48:05Z"
"spotify:track:2z9iuAxKv4TTeCrPAxxKg9","Love Lost","spotify:artist:4LLpKhyESsyAXpc4laK94U, spotify:artist:4W48hZAnAHVOC2c8WH8pcq","Mac Miller, The Temper Trap","spotify:album:5LNX3esjvdBJ6hN4XDvCJn","I Love Life, Thank You","spotify:artist:4LLpKhyESsyAXpc4laK94U","Mac Miller","2022-07-22","https://i.scdn.co/image/ab67616d0000b273c8a77225ad852699c908ac4b","1","5","162875","https://p.scdn.co/mp3-preview/00be55b4568a2fe3985459db905d3e9ca2d845fd?cid=9950ac751e34487dbbe027c4fd7f8e99","true","79","USA2P2212493","spotify:user:eqhp51ukyqay109x6bmq5qt77","2023-12-06T16:48:05Z"
"spotify:track:0qRR9d89hIS0MHRkQ0ejxX","Rich Girl","spotify:artist:77tT1kLj6mCWtFNqiOmP9H","Daryl Hall & John Oates","spotify:album:5TNzBp7QYsXIHrI5xxVuic","Bigger Than Both Of Us","spotify:artist:77tT1kLj6mCWtFNqiOmP9H","Daryl Hall & John Oates","1976-08-01","https://i.scdn.co/image/ab67616d0000b2733ebc5b9d8942069d3b920550","1","2","142786","https://p.scdn.co/mp3-preview/246e1cdfbc760791fa34b2ac697259b6c3598009?cid=9950ac751e34487dbbe027c4fd7f8e99","false","80","USRC17607760","spotify:user:eqhp51ukyqay109x6bmq5qt77","2023-12-06T16:48:05Z"
"spotify:track:3QHMxEOAGD51PDlbFPHLyJ","Vivir Mi Vida","spotify:artist:4wLXwxDeWQ8mtUIRPxGiD6","Marc Anthony","spotify:album:6vBpLg3T8bojcqzoKI6m0R","3.0","spotify:artist:4wLXwxDeWQ8mtUIRPxGiD6","Marc Anthony","2013-07-23","https://i.scdn.co/image/ab67616d0000b27321be16e998effa9f1f4b63a9","1","1","252346","https://p.scdn.co/mp3-preview/618d945e549b699453db828c6f363fc64671225b?cid=9950ac751e34487dbbe027c4fd7f8e99","false","78","USSD11300112","spotify:user:eqhp51ukyqay109x6bmq5qt77","2023-12-06T16:48:05Z"
"spotify:track:0IW0qaeyxL5Et4UG2MrJKB","We Don't Care","spotify:artist:5K4W6rqBFWDnAN6FQUkS6x","Kanye West","spotify:album:4Uv86qWpGTxf7fU7lG5X6F","The College Dropout","spotify:artist:5K4W6rqBFWDnAN6FQUkS6x","Kanye West","2004-02-10","https://i.scdn.co/image/ab67616d0000b27325b055377757b3cdd6f26b78","1","2","239880","https://p.scdn.co/mp3-preview/795c69d03790debbd980a59a331ba97bbedb1db0?cid=9950ac751e34487dbbe027c4fd7f8e99","true","68","USDJ20400032","spotify:user:eqhp51ukyqay109x6bmq5qt77","2023-12-06T16:48:05Z"
"spotify:track:2aQwdBWk4vSPWk1Csgtzdo","This Life","spotify:artist:6fxyWrfmjcbj5d12gXeiNV","Denzel Curry","spotify:album:42fyKPanos0Q3woi848ktg","Imperial","spotify:artist:6fxyWrfmjcbj5d12gXeiNV","Denzel Curry","2016-10-14","https://i.scdn.co/image/ab67616d0000b273166442984ba98f0a2dcaea5e","1","7","207214","https://p.scdn.co/mp3-preview/ddc488b20ce60a6726a441d779aabc3586142d86?cid=9950ac751e34487dbbe027c4fd7f8e99","true","59","USC4R1602012","spotify:user:eqhp51ukyqay109x6bmq5qt77","2023-12-06T16:48:05Z"
"spotify:track:5Tj1HRpn1pAkdkrTK1eP1m","Actually","spotify:artist:3LN4KXsYX4hf5mkF8Ohzx8","Cable","spotify:album:0CRn7GQ5brZeWFhWhi2HMV","Chaos Theory","spotify:artist:3LN4KXsYX4hf5mkF8Ohzx8","Cable","2023-09-27","https://i.scdn.co/image/ab67616d0000b273d0b503a52e79f7a9af52a58c","1","1","139500","https://p.scdn.co/mp3-preview/d5cdc4ca72f06df4085b74004b8dbe9069037074?cid=9950ac751e34487dbbe027c4fd7f8e99","true","33","QM6N22258987","spotify:user:eqhp51ukyqay109x6bmq5qt77","2023-12-06T16:48:05Z"
