"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At"
"spotify:track:52uU5uNt9lOstGCc6C7QEJ","The Good, The Bad, The Ugly (feat. Kanye West) - Explicit Album Version","spotify:artist:5KkgZ31b9eDwkvo9oMIrSm, spotify:artist:5K4W6rqBFWDnAN6FQUkS6x","Consequence, Kanye West","spotify:album:37dKTmpuFAV0n0A5THoliS","Don't Quit Your Day Job","spotify:artist:5KkgZ31b9eDwkvo9oMIrSm","Consequence","2007-03-06","https://i.scdn.co/image/ab67616d0000b27302f1eb136bf03a2c06bdbc75","1","4","251906","https://p.scdn.co/mp3-preview/7b7f6ece2433091a220c8478543a26a2488e718c?cid=9950ac751e34487dbbe027c4fd7f8e99","true","50","USSM10604185","spotify:user:maliazenaida","2023-07-30T18:08:54Z"
"spotify:track:48oQGynnS8RLiYRFsJ6pDL","FYTB (FEAT. JOONY)","spotify:artist:3tlXnStJ1fFhdScmQeLpuG, spotify:artist:0gY0jm6QAzJCAslmZC3T35","Brent Faiyaz, Joony","spotify:album:0PHMNbcgHfzSUALlfk7wGg","WASTELAND","spotify:artist:3tlXnStJ1fFhdScmQeLpuG","Brent Faiyaz","2022-07-08","https://i.scdn.co/image/ab67616d0000b27369f63a842ea91ca7c522593a","1","11","198003","https://p.scdn.co/mp3-preview/c78a43072d31e4c1c88fae1cc5207a532f11aad8?cid=9950ac751e34487dbbe027c4fd7f8e99","true","61","QM24S2203181","spotify:user:maliazenaida","2023-06-28T00:36:13Z"
"spotify:track:6zfVYM5Nne0EzpjzYfJKwp","I'll Call U Back","spotify:artist:7IfculRW2WXyzNQ8djX8WX","Erykah Badu","spotify:album:2gc9WOWqVRrGUENUjozcpY","But You Caint Use My Phone (Mixtape)","spotify:artist:7IfculRW2WXyzNQ8djX8WX","Erykah Badu","2015-11-27","https://i.scdn.co/image/ab67616d0000b273565896bfadad3e79bafed225","1","10","117976","https://p.scdn.co/mp3-preview/1f89a42a73ec9f28cfac5032d5ca8ddb279c2370?cid=9950ac751e34487dbbe027c4fd7f8e99","true","64","USUM71518282","spotify:user:maliazenaida","2023-06-18T23:56:44Z"
"spotify:track:3EzqVnMxII2pTmPaNRJUnD","Young Girl / I Really Like You","spotify:artist:2RdwBSPQiwcmiDo9kixcl8","Pharrell Williams","spotify:album:2AYyw0FbE1GXlNHnx2Gj4a","In My Mind","spotify:artist:2RdwBSPQiwcmiDo9kixcl8","Pharrell Williams","2006-01-01","https://i.scdn.co/image/ab67616d0000b273bd18d067eb476f2318ae7dd8","1","9","493960","https://p.scdn.co/mp3-preview/96723ef2d27ffc9feec27ed3a5ca40b6926d978e?cid=9950ac751e34487dbbe027c4fd7f8e99","true","36","USUM70604821","spotify:user:maliazenaida","2023-07-30T23:24:15Z"
"spotify:track:1xP2jdihnPfoqPNVHHhKnm","quiero sentirme bien","spotify:artist:1U1el3k54VvEUzo3ybLPlM","Kali Uchis","spotify:album:00wSTrFxoSzA7eeS1UxHgd","Sin Miedo (del Amor y Otros Demonios) ∞","spotify:artist:1U1el3k54VvEUzo3ybLPlM","Kali Uchis","2020-12-04","https://i.scdn.co/image/ab67616d0000b273044a5466dac00f7b3c570b99","1","6","222383","https://p.scdn.co/mp3-preview/bb90cde3d300f636e8b53afc4bcddec8d4683486?cid=9950ac751e34487dbbe027c4fd7f8e99","false","64","GBUM72005747","spotify:user:maliazenaida","2023-06-10T02:03:29Z"
"spotify:track:1weOkEmnoTofa7j4afLbEL","Can't Stop Lovin' You","spotify:artist:2AUWPo7Y6eN9rKkiwu3p9z","Soul Dog","spotify:album:5edeU7sF9qIlSM51qo6TFX","Movin On","spotify:artist:2AUWPo7Y6eN9rKkiwu3p9z","Soul Dog","2014-03-31","https://i.scdn.co/image/ab67616d0000b273892cccf95373bc98ff1ba47f","1","5","312214","","false","0","USAR47647005","spotify:user:maliazenaida","2023-06-10T17:12:16Z"
"spotify:track:1PPYxZc1nXSYlASYo1aRfz","Miss You So","spotify:artist:2h93pZq0e7k5yf4dywlkpM","Frank Ocean","spotify:album:44uDA8EXKs1x3g2jG1B8Av","Lonny Breaux, Pt. 2","spotify:artist:2h93pZq0e7k5yf4dywlkpM","Frank Ocean","2008","https://i.scdn.co/image/ab67616d0000b2733baafd899ad31c8472aa7b7a","1","26","264040","","true","0","QM6N21563732","spotify:user:maliazenaida","2023-06-10T22:41:54Z"
"spotify:track:6IEXjer2qbXhRLFv99NQQv","Pound Town 2 (feat. Nicki Minaj & Tay Keith)","spotify:artist:3DbwFQlvLxRSi2uX8mf81A, spotify:artist:0hCNtLu0JehylgoiP8L4Gh, spotify:artist:5xkFVS6IwwgHEAaRzXc9U3","Sexyy Red, Nicki Minaj, Tay Keith","spotify:album:7GfHTwHGoDzOEDInYlnR25","Pound Town 2 (feat. Nicki Minaj & Tay Keith)","spotify:artist:3DbwFQlvLxRSi2uX8mf81A, spotify:artist:0hCNtLu0JehylgoiP8L4Gh, spotify:artist:5xkFVS6IwwgHEAaRzXc9U3","Sexyy Red, Nicki Minaj, Tay Keith","2023-05-26","https://i.scdn.co/image/ab67616d0000b273c9ed77bebc9b91ea9f3dd6ba","1","1","194047","https://p.scdn.co/mp3-preview/1a96a92a644318e61707146ed9c05ca9b44ce299?cid=9950ac751e34487dbbe027c4fd7f8e99","true","70","QZQAY2341201","spotify:user:maliazenaida","2023-06-28T00:35:47Z"
"spotify:track:4GL9GMX9t7Qkprvf1YighZ","CIRCUS MAXIMUS (feat. The Weeknd & Swae Lee)","spotify:artist:0Y5tJX1MQlPlqiwlOH1tJY, spotify:artist:1Xyo4u8uXC1ZmMpatF05PJ, spotify:artist:1zNqQNIdeOUZHb8zbZRFMX","Travis Scott, The Weeknd, Swae Lee","spotify:album:18NOKLkZETa4sWwLMIm0UZ","UTOPIA","spotify:artist:0Y5tJX1MQlPlqiwlOH1tJY","Travis Scott","2023-07-28","https://i.scdn.co/image/ab67616d0000b273881d8d8378cd01099babcd44","1","12","258842","https://p.scdn.co/mp3-preview/29d195c9a6fdc0ea788676cc9794230095e1343f?cid=9950ac751e34487dbbe027c4fd7f8e99","true","76","USSM12305014","spotify:user:maliazenaida","2023-07-30T18:05:18Z"
"spotify:track:7wAa0VoN6EMbY39zwOUfcV","Night Gospel - Typesun's Root Elevation Reconstruction","spotify:artist:7c59lOg1veety7jD83d31w, spotify:artist:5otYi67C7LuemeGm2yIA3R","Pete Josef, Typesun","spotify:album:3qpvAHDG3lpKAO5FExz9Ot","Colour Remixed","spotify:artist:7c59lOg1veety7jD83d31w","Pete Josef","2017-04-21","https://i.scdn.co/image/ab67616d0000b273d2c5a63977c0d2f868ddea05","1","4","268357","https://p.scdn.co/mp3-preview/df18e1325a10190f7b27b5a5b1cd6dbd4ba6243e?cid=9950ac751e34487dbbe027c4fd7f8e99","false","26","DEP961700041","spotify:user:maliazenaida","2023-06-22T23:48:35Z"
