"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At"
"spotify:track:7cg5YxLOssunPw1hI1DUm4","JOY (Unspeakable) (feat. Pharrell Williams)","spotify:artist:5hMr1UPWUlLzQmHpE45EpH, spotify:artist:2RdwBSPQiwcmiDo9kixcl8","Voices of Fire, Pharrell Williams","spotify:album:6lSjMJHMD4vgXZ7pm8gwoB","JOY (Unspeakable) (feat. Pharrell Williams)","spotify:artist:5hMr1UPWUlLzQmHpE45EpH, spotify:artist:2RdwBSPQiwcmiDo9kixcl8","Voices of Fire, Pharrell Williams","2023-06-16","https://i.scdn.co/image/ab67616d0000b27393f766b8d5fcf3fbce263a1a","1","1","312069","https://p.scdn.co/mp3-preview/7d8bc60570685a1ef476b544f69e1d388f1ca21d?cid=9950ac751e34487dbbe027c4fd7f8e99","false","58","USSM12303979","spotify:user:maliazenaida","2023-08-27T10:35:31Z"
"spotify:track:0OEe83mMZ5kaNw5uZQ7ilG","DELRESTO (ECHOES) (feat. Beyoncé)","spotify:artist:0Y5tJX1MQlPlqiwlOH1tJY, spotify:artist:6vWDO969PvNqNYHIOW5v0m","Travis Scott, Beyoncé","spotify:album:18NOKLkZETa4sWwLMIm0UZ","UTOPIA","spotify:artist:0Y5tJX1MQlPlqiwlOH1tJY","Travis Scott","2023-07-28","https://i.scdn.co/image/ab67616d0000b273881d8d8378cd01099babcd44","1","9","274137","https://p.scdn.co/mp3-preview/e57fd2c469041c158a449729ea76a5cab9c01e99?cid=9950ac751e34487dbbe027c4fd7f8e99","false","73","USSM12305011","spotify:user:maliazenaida","2023-08-24T16:08:41Z"
"spotify:track:5lcyIeEfwZTs8Ajw3kdF7P","Crack Rock","spotify:artist:2h93pZq0e7k5yf4dywlkpM","Frank Ocean","spotify:album:392p3shh2jkxUxY2VHvlH8","channel ORANGE","spotify:artist:2h93pZq0e7k5yf4dywlkpM","Frank Ocean","2012-07-10","https://i.scdn.co/image/ab67616d0000b2737aede4855f6d0d738012e2e5","1","9","224146","https://p.scdn.co/mp3-preview/c031ac87916bd4d703fb079468285af1db35e378?cid=9950ac751e34487dbbe027c4fd7f8e99","true","72","USUM71207184","spotify:user:maliazenaida","2023-08-27T10:25:23Z"
"spotify:track:4KjnaUNYPwGnJjoeTFlt91","Now Or Never - Bonus Track","spotify:artist:2YZyLoL8N0Wb9xBt1NhZWg, spotify:artist:1XkoF8ryArs86LZvFOkbyr","Kendrick Lamar, Mary J. Blige","spotify:album:3DGQ1iZ9XKUQxAUWjfC34w","good kid, m.A.A.d city (Deluxe)","spotify:artist:2YZyLoL8N0Wb9xBt1NhZWg","Kendrick Lamar","2012","https://i.scdn.co/image/ab67616d0000b273d58e537cea05c2156792c53d","2","3","256013","https://p.scdn.co/mp3-preview/e6ec3e0975e62f7280d75047facbc7d98b413fdc?cid=9950ac751e34487dbbe027c4fd7f8e99","false","59","USUM71210775","spotify:user:maliazenaida","2023-11-26T20:08:37Z"
"spotify:track:6mVD1SfTvlFAPVi7txFL5H","Machu Picchu","spotify:artist:0epOFNiUfyON9EYx7Tpr6V","The Strokes","spotify:album:6Jx4cGhWHewTcfKDJKguBQ","Angles","spotify:artist:0epOFNiUfyON9EYx7Tpr6V","The Strokes","2011-03-21","https://i.scdn.co/image/ab67616d0000b273397d02cfe1aab2923f9d1697","1","1","209626","https://p.scdn.co/mp3-preview/c7a9400a625e16063428d401f86010ee05ca2ca1?cid=9950ac751e34487dbbe027c4fd7f8e99","false","67","USRC11100046","spotify:user:maliazenaida","2023-09-12T09:08:15Z"
"spotify:track:3VeW0pO2pae144rAX2oXPP","Oceans","spotify:artist:3nFkdlSjzX9mRTtwJOzDYB, spotify:artist:2h93pZq0e7k5yf4dywlkpM","JAY-Z, Frank Ocean","spotify:album:0OTjYdGtP7AbwOwbYsGhyi","Magna Carta... Holy Grail","spotify:artist:3nFkdlSjzX9mRTtwJOzDYB","JAY-Z","2013-07-04","https://i.scdn.co/image/ab67616d0000b27316667761b90f600c1d7b08e6","1","5","237920","https://p.scdn.co/mp3-preview/c03c16b5e9187ed023c256d61cbfb8876393b96b?cid=9950ac751e34487dbbe027c4fd7f8e99","true","48","QMJMT1300029","spotify:user:maliazenaida","2023-08-24T16:08:53Z"
"spotify:track:69uxyAqqPIsUyTO8txoP2M","Adventure of a Lifetime","spotify:artist:4gzpq5DPGxSnKTe4SA8HAU","Coldplay","spotify:album:3cfAM8b8KqJRoIzt3zLKqw","A Head Full of Dreams","spotify:artist:4gzpq5DPGxSnKTe4SA8HAU","Coldplay","2015-12-04","https://i.scdn.co/image/ab67616d0000b2738ff7c3580d429c8212b9a3b6","1","5","263786","https://p.scdn.co/mp3-preview/0b666b9a07035a659c7e5b7cb754f1b81bf1535b?cid=9950ac751e34487dbbe027c4fd7f8e99","false","83","GBAYE1500981","spotify:user:maliazenaida","2023-11-18T14:36:31Z"
"spotify:track:4fNffnbgnJwXenSpnfWme4","Only You","spotify:artist:0EEHriKw0Gzrmb2ZII2apY","Steve Monite","spotify:album:3RhVMQvvra9eV6lz3IBgVm","Doing It in Lagos: Boogie, Pop & Disco in 1980's Nigeria","spotify:artist:0LyfQWJT6nXafLPZqxe9Of","Various Artists","2016-12-09","https://i.scdn.co/image/ab67616d0000b273591579513ce285f7e9800d6b","1","3","381040","https://p.scdn.co/mp3-preview/1969808d1fb8527818d8b4ed72d405fb17305e08?cid=9950ac751e34487dbbe027c4fd7f8e99","false","50","GBUQH1600076","spotify:user:maliazenaida","2023-09-04T16:01:44Z"
"spotify:track:19kHhX6f6EfLU7rcO3RqjO","Back On 74","spotify:artist:59oA5WbbQvomJz2BuRG071","Jungle","spotify:album:5xnXOCf5aZgZ43DgGN4EDv","Volcano","spotify:artist:59oA5WbbQvomJz2BuRG071","Jungle","2023-08-11","https://i.scdn.co/image/ab67616d0000b27377619f14cb03e11baf5761d1","1","6","209482","https://p.scdn.co/mp3-preview/917c42936efd732652eafa945def1d1fcab3b8e2?cid=9950ac751e34487dbbe027c4fd7f8e99","false","83","QM4TX2336316","spotify:user:maliazenaida","2023-09-29T14:49:02Z"
"spotify:track:14qNHvX8h6HoynFuV0RxWS","Far Away (feat. A$AP Rocky)","spotify:artist:1ooV8YZC1KbpEcrmI8WH0F, spotify:artist:13ubrt8QOOCPljQ2FL1Kca","Yebba, A$AP Rocky","spotify:album:3CogjJSvRqbIQuNJVR2JcP","Dawn","spotify:artist:1ooV8YZC1KbpEcrmI8WH0F","Yebba","2021-09-10","https://i.scdn.co/image/ab67616d0000b273631fbe4d9d08b009ac2cc862","1","5","199426","https://p.scdn.co/mp3-preview/927754fe4e2eee8a214bc085341dc26435eb246e?cid=9950ac751e34487dbbe027c4fd7f8e99","true","67","USRC12002012","spotify:user:maliazenaida","2023-08-24T16:08:46Z"
