"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At"
"spotify:track:7Feaw9WAEREY0DUOSXJLOM","Summer Days (feat. Macklemore & Patrick Stump of Fall Out Boy)","spotify:artist:60d24wfXkVzDSfLS6hyCjZ, spotify:artist:3JhNCzhSMTxs9WLGJJxWOY, spotify:artist:4UXqAaa6dQYAk18Lv7PEgX","Martin Garrix, Macklemore, Fall Out Boy","spotify:album:0xbuJLlb5afBcmCpdOaszR","Summer Days (feat. Macklemore & Patrick Stump of Fall Out Boy)","spotify:artist:60d24wfXkVzDSfLS6hyCjZ, spotify:artist:3JhNCzhSMTxs9WLGJJxWOY, spotify:artist:4UXqAaa6dQYAk18Lv7PEgX","Martin Garrix, Macklemore, Fall Out Boy","2019-04-25","https://i.scdn.co/image/ab67616d0000b273d7658a5bf66a2f3f11878bdf","1","1","163804","https://p.scdn.co/mp3-preview/6ffc7ef2d119ba899f6f1bad2b951af6013b8851?cid=9950ac751e34487dbbe027c4fd7f8e99","true","74","NLM5S1900528","spotify:user:maliazenaida","2022-07-05T15:27:25Z"
"spotify:track:0w6webWdhjRKdqJ3DeGgM1","STATS","spotify:artist:5SXuuuRpukkTvsLuUknva1","Baby Keem","spotify:album:7Cw4LObzgnVqSlkuIyywtI","DIE FOR MY BITCH","spotify:artist:5SXuuuRpukkTvsLuUknva1","Baby Keem","2019-07-19","https://i.scdn.co/image/ab67616d0000b273683757f1fd40a7f7ef64bec1","1","1","169828","https://p.scdn.co/mp3-preview/b5906698a0ba8d5c80dd2233264a196e4d35dddc?cid=9950ac751e34487dbbe027c4fd7f8e99","true","71","QM6N21900312","spotify:user:maliazenaida","2022-07-11T18:49:54Z"
"spotify:track:5WssbEU2WtMHm7NH37Nfz5","Afterlife","spotify:artist:0Cp8WN4V8Tu4QJQwCN5Md4","BENEE","spotify:album:6pTMhQX8gt1xegiIwo3Ekb","FIRE ON MARZZ","spotify:artist:0Cp8WN4V8Tu4QJQwCN5Md4","BENEE","2019-06-28","https://i.scdn.co/image/ab67616d0000b273447289301b37e205337ddd61","1","4","236760","https://p.scdn.co/mp3-preview/117839dbb210475771154dd38c48fe1886c68b47?cid=9950ac751e34487dbbe027c4fd7f8e99","false","48","USUM71911689","spotify:user:maliazenaida","2022-07-01T16:36:09Z"
"spotify:track:2q2pZHWEQe6w9PgACCzMtC","I Got It From My Mama","spotify:artist:085pc2PYOi8bGKj0PNjekA","will.i.am","spotify:album:73QqWolXduiDkvZ7MOuath","Songs About Girls","spotify:artist:085pc2PYOi8bGKj0PNjekA","will.i.am","2007-01-01","https://i.scdn.co/image/ab67616d0000b27359353720991afcbcd46c4fe1","1","3","241520","https://p.scdn.co/mp3-preview/a69230ada197cc2927533d44ccc7bccc1ce51468?cid=9950ac751e34487dbbe027c4fd7f8e99","false","41","USUM70745336","spotify:user:maliazenaida","2022-07-01T16:36:33Z"
"spotify:track:32bZRcF2imSuRHdpodPEbQ","Ghost On The Mend","spotify:artist:1ikg4sypcURm8Vy5GP68xb","Magic City Hippies","spotify:album:0r0l3PRmsPwylAZQM16e7a","Water Your Garden","spotify:artist:1ikg4sypcURm8Vy5GP68xb","Magic City Hippies","2022-01-21","https://i.scdn.co/image/ab67616d0000b2734f4ab21bec0a36c0d4f5a3d0","1","7","159226","https://p.scdn.co/mp3-preview/d3b8aa86582002f1fd32e81d0a4d7948a6015b49?cid=9950ac751e34487dbbe027c4fd7f8e99","false","54","CA5KR2192493","spotify:user:maliazenaida","2022-07-14T02:28:57Z"
"spotify:track:2ALh2jqA7KldpHMUHvRomw","Love's Train","spotify:artist:0du5cEVh5yTK9QJze8zA0C, spotify:artist:3jK9MiCrA42lLAdMGUZpwa, spotify:artist:6PvvGcCY2XtUcSRld1Wilr","Bruno Mars, Anderson .Paak, Silk Sonic","spotify:album:4VZ7jhV0wHpoNPCB7Vmiml","An Evening With Silk Sonic","spotify:artist:0du5cEVh5yTK9QJze8zA0C, spotify:artist:3jK9MiCrA42lLAdMGUZpwa, spotify:artist:6PvvGcCY2XtUcSRld1Wilr","Bruno Mars, Anderson .Paak, Silk Sonic","2021-11-12","https://i.scdn.co/image/ab67616d0000b273d0bbd3ea2ec554f17a6603cc","1","9","307014","https://p.scdn.co/mp3-preview/9078325a05c0fe6bb9e72089844273a7f376f330?cid=9950ac751e34487dbbe027c4fd7f8e99","false","62","USAT22200966","spotify:user:maliazenaida","2022-07-08T00:12:02Z"
"spotify:track:2gNfxysfBRfl9Lvi9T3v6R","Disciples","spotify:artist:5INjqkS1o8h1imAzPqGZBb","Tame Impala","spotify:album:79dL7FLiJFOO0EoehUHQBv","Currents","spotify:artist:5INjqkS1o8h1imAzPqGZBb","Tame Impala","2015-07-17","https://i.scdn.co/image/ab67616d0000b2739e1cfc756886ac782e363d79","1","9","108546","https://p.scdn.co/mp3-preview/a442575684217ff578c63a4d90e58cc56e05f903?cid=9950ac751e34487dbbe027c4fd7f8e99","false","72","AUUM71500297","spotify:user:maliazenaida","2022-07-08T00:16:55Z"
"spotify:track:3DCU0R5FFaB9GKxZERb5wr","Temper Temper","spotify:artist:6yrtCy4XJHXM6tczo4RlTs","Lime Cordiale","spotify:album:5YlzKbkGoIIFnBOnYwU3kl","Permanent Vacation","spotify:artist:6yrtCy4XJHXM6tczo4RlTs","Lime Cordiale","2017-10-13","https://i.scdn.co/image/ab67616d0000b27326775783c2fb6384ab7fe1e6","1","2","208980","https://p.scdn.co/mp3-preview/a295551e8d3b8411ad8542a114ef66a212b758aa?cid=9950ac751e34487dbbe027c4fd7f8e99","false","67","AUCZC1700019","spotify:user:maliazenaida","2022-07-13T23:11:13Z"
"spotify:track:0ipgd8PPFza3NNmN3Rn2uF","SUNDOWN","spotify:artist:2LIk90788K0zvyj2JJVwkJ","Jack Harlow","spotify:album:50UV94JhFbWhF37n74Jhk3","Loose","spotify:artist:2LIk90788K0zvyj2JJVwkJ","Jack Harlow","2018-08-17","https://i.scdn.co/image/ab67616d0000b2733ca9954e7b2b7ef7fa8bbd78","1","1","125217","https://p.scdn.co/mp3-preview/b0b6ba3b7f325e0f64f0a6b97c1f1269ea72fcdb?cid=9950ac751e34487dbbe027c4fd7f8e99","true","63","USAT21804275","spotify:user:maliazenaida","2022-07-05T15:24:50Z"
"spotify:track:27sBcXtgTBSJRdUxei1a7J","Sexy Villain","spotify:artist:0NB5HROxc8dDBXpkIi1v3d","Remi Wolf","spotify:album:7tJ8Wtej161vR0uCbGDiDR","Juno","spotify:artist:0NB5HROxc8dDBXpkIi1v3d","Remi Wolf","2021-10-15","https://i.scdn.co/image/ab67616d0000b27316a6cb93e32bf2ae66b1f5b2","1","11","188500","https://p.scdn.co/mp3-preview/6393eea6ee03878647fa4586712558a143b7fe97?cid=9950ac751e34487dbbe027c4fd7f8e99","true","64","USUG12103582","spotify:user:maliazenaida","2022-07-07T17:55:38Z"
