"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At"
"spotify:track:3Rs9jOQ2FlVgS6vYXPoAVm","P*$$Y Fairy (OTW)","spotify:artist:5ZS223C6JyBfXasXxrRqOk","Jhené Aiko","spotify:album:5jlE1zlhT3mEWw0mRpN920","Chilombo","spotify:artist:5ZS223C6JyBfXasXxrRqOk","Jhené Aiko","2020-03-06","https://i.scdn.co/image/ab67616d0000b273b87ac71d440973d20f4c8473","1","6","221040","https://p.scdn.co/mp3-preview/febab8a6ffa8e19165fe432e411cf663c4b74016?cid=9950ac751e34487dbbe027c4fd7f8e99","true","50","USUM72003291","spotify:user:maliazenaida","2022-10-01T16:02:00Z"
"spotify:track:1zqllQUMCgMaInr0CzFVll","Wake Up Call","spotify:artist:04gDigrS5kc9YWfZHwBETP","Maroon 5","spotify:album:29hJ8AFYZU98OzenrMr6iU","It Won't Be Soon Before Long.","spotify:artist:04gDigrS5kc9YWfZHwBETP","Maroon 5","2007-01-01","https://i.scdn.co/image/ab67616d0000b2739741173cf2b32dab39424538","1","4","201306","https://p.scdn.co/mp3-preview/268b44d30eff26761839b55d7581a70f23519f58?cid=9950ac751e34487dbbe027c4fd7f8e99","false","55","USUM70731561","spotify:user:maliazenaida","2022-10-01T16:02:07Z"
"spotify:track:2Vi8BQIM9vCQkkrvf3VPjI","Money","spotify:artist:6yrtCy4XJHXM6tczo4RlTs","Lime Cordiale","spotify:album:537M91OtVxaFAgF4HYcQKY","14 Steps To A Better You","spotify:artist:6yrtCy4XJHXM6tczo4RlTs","Lime Cordiale","2020-07-10","https://i.scdn.co/image/ab67616d0000b2732ad905ceb12f622bbc5bdafa","1","8","238180","https://p.scdn.co/mp3-preview/7114ffdb68856054e970f8a5b03a478167311458?cid=9950ac751e34487dbbe027c4fd7f8e99","true","60","AUCZC1900001","spotify:user:maliazenaida","2022-10-01T16:02:12Z"
"spotify:episode:0rTK39xRERBYsArrbk079V","american wedding","spotify:show:4n1Ufqp3pS1bwaL7jQzGR2","Cultural Appropriation","spotify:show:4n1Ufqp3pS1bwaL7jQzGR2","Cultural Appropriation","spotify:show:4n1Ufqp3pS1bwaL7jQzGR2","Cultural Appropriation","","https://i.scdn.co/image/ab6765630000ba8acbf5a0ac9d15198a55e412b4","0","0","420858","https://podz-content.spotifycdn.com/audio/clips/5vQYB6aqm4N4dhjabQ4OIk/clip_0_60000.mp3","false","0","","spotify:user:maliazenaida","2022-10-23T03:20:31Z"
"spotify:track:3rCNmRonlHN1TXQLcG3dSk","Hell Of A Life","spotify:artist:5K4W6rqBFWDnAN6FQUkS6x","Kanye West","spotify:album:20r762YmB5HeofjMCiPMLv","My Beautiful Dark Twisted Fantasy","spotify:artist:5K4W6rqBFWDnAN6FQUkS6x","Kanye West","2010-11-22","https://i.scdn.co/image/ab67616d0000b273d9194aa18fa4c9362b47464f","1","10","327786","https://p.scdn.co/mp3-preview/7f3bc1f2168e3fdb9c3feb32ef4e76f11ee93a94?cid=9950ac751e34487dbbe027c4fd7f8e99","true","67","USUM71027281","spotify:user:maliazenaida","2022-10-05T04:18:25Z"
"spotify:track:0shK5iZQppbHPQYiy60xs9","Rosa Parks","spotify:artist:1G9G7WwrXka3Z1r7aIDjI7","Outkast","spotify:album:5ceB3rxgXqIRpsOvVzTG28","Aquemini","spotify:artist:1G9G7WwrXka3Z1r7aIDjI7","Outkast","1998-09-29","https://i.scdn.co/image/ab67616d0000b273377a6d2051b23afea65ee41a","1","3","324373","https://p.scdn.co/mp3-preview/d08f81166a676fe74633b62a576f6861f96b7a78?cid=9950ac751e34487dbbe027c4fd7f8e99","true","70","USLF20000410","spotify:user:maliazenaida","2022-10-01T16:02:59Z"
"spotify:track:3E895HtTn6lB40SA0l9EkL","Take Me Away (feat. Syd)","spotify:artist:20wkVLutqVOYrc0kxFs7rA, spotify:artist:3GQboECxDT1xqPPWC30p7v","Daniel Caesar, Charlotte Day Wilson","spotify:album:3xybjP7r2VsWzwvDQipdM0","Freudian","spotify:artist:20wkVLutqVOYrc0kxFs7rA","Daniel Caesar","2017-08-25","https://i.scdn.co/image/ab67616d0000b2733138f891f3075c9c5d944037","1","8","226116","https://p.scdn.co/mp3-preview/2123a0de07bfc53fb0e59f2de91be6c69d6633c2?cid=9950ac751e34487dbbe027c4fd7f8e99","true","65","CADDS1700025","spotify:user:maliazenaida","2022-10-02T23:32:40Z"
"spotify:track:2VCUcIPY3i6pv9Nu9Vg6k3","ABC","spotify:artist:2iE18Oxc8YSumAU232n4rW","The Jackson 5","spotify:album:1taiwc7i9KsE0GklRJ42HS","The Definitive Collection","spotify:artist:3fMbdgg4jU18AjLCKBhRSm","Michael Jackson","2009-01-01","https://i.scdn.co/image/ab67616d0000b2738c4693bcc43c775189d447ec","1","2","177360","https://p.scdn.co/mp3-preview/74f1f858318b117a82acf7cf06cf66fe34b3464f?cid=9950ac751e34487dbbe027c4fd7f8e99","false","51","USMO17082628","spotify:user:maliazenaida","2022-10-01T16:02:16Z"
"spotify:track:5hgnY0mVcVetszbb85qeDg","Partition","spotify:artist:6vWDO969PvNqNYHIOW5v0m","Beyoncé","spotify:album:2UJwKSBUz6rtW4QLK74kQu","BEYONCÉ [Platinum Edition]","spotify:artist:6vWDO969PvNqNYHIOW5v0m","Beyoncé","2014-11-24","https://i.scdn.co/image/ab67616d0000b2730d1d6e9325275f104f8e33f3","1","6","319466","https://p.scdn.co/mp3-preview/c0ad9df628580f6f426a2a81b45227c1dbe800bb?cid=9950ac751e34487dbbe027c4fd7f8e99","true","74","USSM11307803","spotify:user:maliazenaida","2022-10-03T05:32:23Z"
"spotify:track:0Ed6Nry1j8FA1Ob4l7c2Wb","Shiggy","spotify:artist:4AGNJdJiVltImYk1UTLE0K","Sports","spotify:album:6GkbEFKMTv9kJ9XrnWBXiH","Everyone's Invited","spotify:artist:4AGNJdJiVltImYk1UTLE0K","Sports","2018-08-24","https://i.scdn.co/image/ab67616d0000b273d57fd9124dcec2b349c4ce99","1","3","219573","https://p.scdn.co/mp3-preview/d417ffe9d5b9784b6c7e9ed05def23156b978121?cid=9950ac751e34487dbbe027c4fd7f8e99","false","48","QM24S1815695","spotify:user:maliazenaida","2022-10-01T16:03:03Z"
