"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At"
"spotify:track:62nb5YUYUqtYJhVPwRhCke","How It Feels","spotify:artist:5f7VJjfbwm532GiveGC0ZK, spotify:artist:3hcs9uc56yIGFCSy9leWe7","Lil Baby, Lil Durk","spotify:album:6CvBb1XqN0igtQrWrbXD80","The Voice of the Heroes","spotify:artist:5f7VJjfbwm532GiveGC0ZK, spotify:artist:3hcs9uc56yIGFCSy9leWe7","Lil Baby, Lil Durk","2021-06-04","https://i.scdn.co/image/ab67616d0000b2739fa79040de02a72663f24323","1","9","166911","https://p.scdn.co/mp3-preview/a6af99910b91d5c6b9b9a6add721765c1e456bfa?cid=9950ac751e34487dbbe027c4fd7f8e99","true","64","USUG12101606","spotify:user:rmal1103401","2022-04-30T20:02:18Z"
"spotify:track:2YzmfPLqUx5CJOaw5ThsBV","Plain Jane REMIX (feat. Nicki Minaj)","spotify:artist:5dHt1vcEm9qb8fCyLcB3HL, spotify:artist:0hCNtLu0JehylgoiP8L4Gh","A$AP Ferg, Nicki Minaj","spotify:album:0bVY8ZE63UQOyJQsjjidVn","Plain Jane REMIX (feat. Nicki Minaj)","spotify:artist:5dHt1vcEm9qb8fCyLcB3HL","A$AP Ferg","2017-12-15","https://i.scdn.co/image/ab67616d0000b27378f6399d94fc2b026d376b66","1","1","202636","https://p.scdn.co/mp3-preview/351048c0a877ddff64906b27e8b8967a7cf2211a?cid=9950ac751e34487dbbe027c4fd7f8e99","true","72","USRC11703649","spotify:user:rmal1103401","2022-04-30T20:02:36Z"
"spotify:track:6supMAknraGpJrN5qqYfV8","Good Form (feat. Lil Wayne) - Remix","spotify:artist:0hCNtLu0JehylgoiP8L4Gh, spotify:artist:55Aa2cqylxrFIXC767Z865","Nicki Minaj, Lil Wayne","spotify:album:6zA5X3CQ5rgLKhTobyV5Id","Queen (Deluxe)","spotify:artist:0hCNtLu0JehylgoiP8L4Gh","Nicki Minaj","2018-11-29","https://i.scdn.co/image/ab67616d0000b273fc8c64bfc4323ff7ce68fea8","1","20","237493","https://p.scdn.co/mp3-preview/6b8d65169fc3ff9c15ce9e8a89849eab4422ce4b?cid=9950ac751e34487dbbe027c4fd7f8e99","true","61","USCM51800383","spotify:user:rmal1103401","2022-04-30T20:02:43Z"
"spotify:track:0k1WUmIRnG3xU6fvvDVfRG","Way 2 Sexy (with Future & Young Thug)","spotify:artist:3TVXtAsR1Inumwj472S9r4, spotify:artist:1RyvyyTE3xzB2ZywiAwp0i, spotify:artist:50co4Is1HCEo8bhOyUWKpn","Drake, Future, Young Thug","spotify:album:3SpBlxme9WbeQdI9kx7KAV","Certified Lover Boy","spotify:artist:3TVXtAsR1Inumwj472S9r4","Drake","2021-09-03","https://i.scdn.co/image/ab67616d0000b273cd945b4e3de57edd28481a3f","1","7","257604","https://p.scdn.co/mp3-preview/57185c92271e4695949b17b0c63a4d1acc4444b7?cid=9950ac751e34487dbbe027c4fd7f8e99","true","77","USUG12104403","spotify:user:rmal1103401","2022-04-30T20:06:56Z"
"spotify:track:3jRHehB5ulTMKfK5WaqDqc","What’s New","spotify:artist:181bsRPaVXVlUKXrxwZfHK","Megan Thee Stallion","spotify:album:0KjckH1EE6HRRurMIXSc0r","Good News","spotify:artist:181bsRPaVXVlUKXrxwZfHK","Megan Thee Stallion","2020-11-20","https://i.scdn.co/image/ab67616d0000b273da256972582b455d46985ba9","1","9","155090","https://p.scdn.co/mp3-preview/fb313e3275b35b8fffb1c5be2a42ed212e73e2d2?cid=9950ac751e34487dbbe027c4fd7f8e99","true","63","QMCE32000684","spotify:user:rmal1103401","2022-05-02T20:34:15Z"
"spotify:track:65OVbaJR5O1RmwOQx0875b","Wants and Needs (feat. Lil Baby)","spotify:artist:3TVXtAsR1Inumwj472S9r4, spotify:artist:5f7VJjfbwm532GiveGC0ZK","Drake, Lil Baby","spotify:album:5LuoozUhs2pl3glZeAJl89","Scary Hours 2","spotify:artist:3TVXtAsR1Inumwj472S9r4","Drake","2021-03-05","https://i.scdn.co/image/ab67616d0000b2738b20e4631fa15d3953528bbc","1","2","192956","https://p.scdn.co/mp3-preview/ea0ccb0e07adce9579d8afe74dbbf3b0ee781b39?cid=9950ac751e34487dbbe027c4fd7f8e99","true","82","USUG12101042","spotify:user:rmal1103401","2022-05-02T20:34:20Z"
"spotify:track:26UxwWl9xCb83OynXELJcL","Masterpiece","spotify:artist:4r63FhuTkUYltbVAg5TQnk","DaBaby","spotify:album:6kaYDcX9dNmJE5OU71IUby","Masterpiece","spotify:artist:4r63FhuTkUYltbVAg5TQnk","DaBaby","2021-01-15","https://i.scdn.co/image/ab67616d0000b2737b41da110df7023757e8f8fa","1","1","181714","https://p.scdn.co/mp3-preview/f5d29b72c410379f32f808c8e191b1e8a4a2847d?cid=9950ac751e34487dbbe027c4fd7f8e99","true","68","USUM72100156","spotify:user:rmal1103401","2022-06-04T02:42:03Z"
"spotify:track:1M4OcYkxAtu3ErzSgDEfoi","Up","spotify:artist:4kYSro6naA4h99UJvo89HB","Cardi B","spotify:album:0Fe4Uj7GkgA1uDGGk8s92C","Up (Instrumental)","spotify:artist:4kYSro6naA4h99UJvo89HB","Cardi B","2021-02-04","https://i.scdn.co/image/ab67616d0000b273199f2f07a9be49f2c930299a","1","2","156944","https://p.scdn.co/mp3-preview/41d08e5fd8023fe214995ee866aa1eff12e29578?cid=9950ac751e34487dbbe027c4fd7f8e99","true","71","USAT22100061","spotify:user:rmal1103401","2022-05-02T20:34:25Z"
"spotify:track:0W6I02J9xcqK8MtSeosEXb","Get Into It (Yuh)","spotify:artist:5cj0lLjcoR7YOSnhnX0Po5","Doja Cat","spotify:album:1nAQbHeOWTfQzbOoFrvndW","Planet Her","spotify:artist:5cj0lLjcoR7YOSnhnX0Po5","Doja Cat","2021-06-25","https://i.scdn.co/image/ab67616d0000b273be841ba4bc24340152e3a79a","1","4","138293","https://p.scdn.co/mp3-preview/7d4974829ad00a6a06eac7970dd99fe1e4fde57f?cid=9950ac751e34487dbbe027c4fd7f8e99","true","77","USRC12101535","spotify:user:rmal1103401","2022-05-02T20:34:35Z"
"spotify:track:20BOju91NaEFK5Py4VJ2pp","Best Friend (feat. Doja Cat)","spotify:artist:6cK3NBO6uP7hh0oyuVELFl, spotify:artist:5cj0lLjcoR7YOSnhnX0Po5","Saweetie, Doja Cat","spotify:album:0DqDdZGSQkWQiE0TzBqeLA","Best Friend (feat. Doja Cat) [Remix EP] [Extended Edition]","spotify:artist:6cK3NBO6uP7hh0oyuVELFl","Saweetie","2021-04-23","https://i.scdn.co/image/ab67616d0000b2736ed5bc6fa322c58ec7594e47","1","2","155883","https://p.scdn.co/mp3-preview/a4373d337eb0f19cbf2424c0f20fb87ac862d0c8?cid=9950ac751e34487dbbe027c4fd7f8e99","true","69","USWB12004547","spotify:user:rmal1103401","2022-05-05T04:43:50Z"
