"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At"
"spotify:track:2BSbCCbaSCzkOEZa6N5901","Flaws And Sins","spotify:artist:4MCBfE4596Uoi2O4DtmEMz","Juice WRLD","spotify:album:1GYVNOzwhx1nMcIJDogSNp","Death Race For Love","spotify:artist:4MCBfE4596Uoi2O4DtmEMz","Juice WRLD","2019-03-08","https://i.scdn.co/image/ab67616d0000b273af149eb4002f65f83afc63c4","1","9","218348","","true","1","USUG11900387","spotify:user:rmal1103401","2021-12-15T20:00:19Z"
"spotify:track:2rPHUAeUPbNgTmK18FPTiZ","GO (feat. Juice WRLD)","spotify:artist:2tIP7SsRs7vjIcLrU85W8J, spotify:artist:4MCBfE4596Uoi2O4DtmEMz","The Kid LAROI, Juice WRLD","spotify:album:6RuwGwQcAureaOraKJNFQG","F*CK LOVE","spotify:artist:2tIP7SsRs7vjIcLrU85W8J","The Kid LAROI","2020-07-24","https://i.scdn.co/image/ab67616d0000b273891f0552bed344dc2bfe322f","1","7","181688","","true","5","USSM12003703","spotify:user:rmal1103401","2021-12-15T20:00:25Z"
"spotify:track:2tB9OFgAHjAds3cqquLlvp","Loved By You (feat. Burna Boy)","spotify:artist:1uNFoZAHBGtllmzznpCI3s, spotify:artist:3wcj11K77LjEY1PkEazffa","Justin Bieber, Burna Boy","spotify:album:5dGWwsZ9iB2Xc3UKR0gif2","Justice","spotify:artist:1uNFoZAHBGtllmzznpCI3s","Justin Bieber","2021-03-19","https://i.scdn.co/image/ab67616d0000b273e6f407c7f3a0ec98845e4431","1","14","159250","https://p.scdn.co/mp3-preview/af588dbbde13166be8ddd63d4e4ac1e8f156814b?cid=9950ac751e34487dbbe027c4fd7f8e99","false","66","USUM72102638","spotify:user:rmal1103401","2021-12-15T20:00:28Z"
"spotify:track:5YSHygGN9D0mID1NsVd5my","Reminds Me Of You","spotify:artist:4MCBfE4596Uoi2O4DtmEMz, spotify:artist:2tIP7SsRs7vjIcLrU85W8J","Juice WRLD, The Kid LAROI","spotify:album:16ilcI6xOgSh3Jd3bxF6MI","Reminds Me Of You","spotify:artist:4MCBfE4596Uoi2O4DtmEMz, spotify:artist:2tIP7SsRs7vjIcLrU85W8J","Juice WRLD, The Kid LAROI","2020-12-08","https://i.scdn.co/image/ab67616d0000b273ff119b5030aa3e3426983a41","1","1","158032","https://p.scdn.co/mp3-preview/a22a0e6b6a4181750b9231663d07021786b668fa?cid=9950ac751e34487dbbe027c4fd7f8e99","true","71","USLD91730127","spotify:user:rmal1103401","2021-12-15T20:01:12Z"
"spotify:track:790MhTXPFrYkrqCKvpg4t1","Wanted You (feat. Lil Uzi Vert)","spotify:artist:7rkW85dBwwrJtlHRDkJDAC, spotify:artist:4O15NlyKLIASxsJ0PrXPfz","NAV, Lil Uzi Vert","spotify:album:3ZpAmjvMEsr7rsiTUbSS0W","Wanted You (feat. Lil Uzi Vert)","spotify:artist:7rkW85dBwwrJtlHRDkJDAC","NAV","2017-11-03","https://i.scdn.co/image/ab67616d0000b2733c35fead2037a32b78cbbddf","1","1","228080","https://p.scdn.co/mp3-preview/0fb892dab4d7889048116856e9594c367492b52a?cid=9950ac751e34487dbbe027c4fd7f8e99","true","54","USUG11702054","spotify:user:rmal1103401","2021-12-15T20:03:15Z"
"spotify:track:3L19besdNQzd342qL78xqm","Demons and Angels (feat. Juice WRLD)","spotify:artist:31W5EY0aAly4Qieq6OFu6I, spotify:artist:4MCBfE4596Uoi2O4DtmEMz","A Boogie Wit da Hoodie, Juice WRLD","spotify:album:3r5hf3Cj3EMh1C2saQ8jyt","Hoodie SZN","spotify:artist:31W5EY0aAly4Qieq6OFu6I","A Boogie Wit da Hoodie","2018-12-21","https://i.scdn.co/image/ab67616d0000b273dcfadea246002a5c0fd7b1b8","1","6","214592","https://p.scdn.co/mp3-preview/0ec85bf8f1067e5e6f578d89ed143a25eec14fe9?cid=9950ac751e34487dbbe027c4fd7f8e99","true","70","USAT21812920","spotify:user:rmal1103401","2021-12-15T20:00:44Z"
"spotify:track:0W64NfLrIsRTAFObko6uJx","Leaked","spotify:artist:6jGMq4yGs7aQzuGsMgVgZR","Lil Tjay","spotify:album:1bCBZ8LedqwVYOLDLrRbbY","True 2 Myself","spotify:artist:6jGMq4yGs7aQzuGsMgVgZR","Lil Tjay","2019-10-11","https://i.scdn.co/image/ab67616d0000b273b9fe16b21ea333150c0f50f6","1","10","220240","https://p.scdn.co/mp3-preview/09dd1289ada149cce8f21ba46afbad4d3f39574d?cid=9950ac751e34487dbbe027c4fd7f8e99","true","71","USSM11809245","spotify:user:rmal1103401","2021-12-15T20:00:37Z"
"spotify:track:1Is8hGpkGMiePASAxBluxM","16","spotify:artist:5SXuuuRpukkTvsLuUknva1","Baby Keem","spotify:album:3r46DPIQeBQbjvjjV5mXGg","The Melodic Blue","spotify:artist:5SXuuuRpukkTvsLuUknva1","Baby Keem","2021-09-10","https://i.scdn.co/image/ab67616d0000b2731bfa23b13d0504fb90c37b39","1","16","156040","https://p.scdn.co/mp3-preview/ed6e777ae611109bb9c130e879fc0ef692824ed4?cid=9950ac751e34487dbbe027c4fd7f8e99","true","79","USSM12106871","spotify:user:rmal1103401","2021-12-15T20:00:33Z"
"spotify:track:6cZH4rX1KTt1aJ3Ql6Ynja","Me and My Guitar","spotify:artist:31W5EY0aAly4Qieq6OFu6I","A Boogie Wit da Hoodie","spotify:album:0cZAE6guibfcYmTZD7hiae","Artist 2.0","spotify:artist:31W5EY0aAly4Qieq6OFu6I","A Boogie Wit da Hoodie","2020-02-14","https://i.scdn.co/image/ab67616d0000b2731072a34d8c8d75e9b2545d8a","1","3","161764","https://p.scdn.co/mp3-preview/2fe7340927fb7d802910f6f246af37d26ed74699?cid=9950ac751e34487dbbe027c4fd7f8e99","true","73","USAT22000602","spotify:user:rmal1103401","2021-12-15T20:01:05Z"
"spotify:track:57tln4G33fhp8mrFbeM3IJ","SELFISH","spotify:artist:2tIP7SsRs7vjIcLrU85W8J","The Kid LAROI","spotify:album:6RuwGwQcAureaOraKJNFQG","F*CK LOVE","spotify:artist:2tIP7SsRs7vjIcLrU85W8J","The Kid LAROI","2020-07-24","https://i.scdn.co/image/ab67616d0000b273891f0552bed344dc2bfe322f","1","15","196202","","true","0","USSM12004217","spotify:user:rmal1103401","2021-12-15T20:01:14Z"
"spotify:track:5OJmt1xiOHZJGx8wTUAjEC","let you","spotify:artist:6ASri4ePR7RlsvIQgWPJpS","iann dior","spotify:album:34GdjbBv0ZQYwmoYrfVM2O","let you","spotify:artist:6ASri4ePR7RlsvIQgWPJpS","iann dior","2021-11-12","https://i.scdn.co/image/ab67616d0000b2730f533e1e3a834bf3c8f126e2","1","1","151724","","true","48","QZJ842001327","spotify:user:rmal1103401","2021-12-15T20:02:44Z"
"spotify:track:4wuMS7NGVbU7hdu94K5icd","Prada (feat. Lil Tecca)","spotify:artist:6fWVd57NKTalqvmjRd2t8Z, spotify:artist:4Ga1P7PMIsmqEZqhYZQgDo","24kGoldn, Lil Tecca","spotify:album:2ut84dwAs20nDuTqnvKsDQ","Prada (feat. Lil Tecca)","spotify:artist:6fWVd57NKTalqvmjRd2t8Z, spotify:artist:4Ga1P7PMIsmqEZqhYZQgDo","24kGoldn, Lil Tecca","2021-10-08","https://i.scdn.co/image/ab67616d0000b273ea008e6eb7f285b45a8a8cd5","1","1","151585","https://p.scdn.co/mp3-preview/683d97919880129173279c7d9309ff6db52cf7a0?cid=9950ac751e34487dbbe027c4fd7f8e99","true","60","USQX92103580","spotify:user:rmal1103401","2021-12-15T20:02:47Z"
"spotify:track:6wQlQrTY5mVS8EGaFZVwVF","Smile (with The Weeknd)","spotify:artist:4MCBfE4596Uoi2O4DtmEMz, spotify:artist:1Xyo4u8uXC1ZmMpatF05PJ","Juice WRLD, The Weeknd","spotify:album:6n9DKpOxwifT5hOXtgLZSL","Legends Never Die","spotify:artist:4MCBfE4596Uoi2O4DtmEMz","Juice WRLD","2020-07-10","https://i.scdn.co/image/ab67616d0000b2733e0698e4ae5ffb82a005aeeb","1","7","196180","https://p.scdn.co/mp3-preview/93fe6e66d0e5f0a70f5bf4ff2e9977a273c49191?cid=9950ac751e34487dbbe027c4fd7f8e99","true","71","USUG12002597","spotify:user:rmal1103401","2021-12-15T20:03:39Z"
"spotify:track:1VLtjHwRWOVJiE5Py7JxoQ","Martin & Gina","spotify:artist:6AgTAQt8XS6jRWi4sX7w49","Polo G","spotify:album:39xhYyNNDatQtgKw2KdXMz","THE GOAT","spotify:artist:6AgTAQt8XS6jRWi4sX7w49","Polo G","2020-05-15","https://i.scdn.co/image/ab67616d0000b273339f780dfdbc38558ea0761d","1","3","132832","https://p.scdn.co/mp3-preview/26ae09172d72ee19e5752397269942b476fa0b0f?cid=9950ac751e34487dbbe027c4fd7f8e99","true","83","USQX92002595","spotify:user:rmal1103401","2021-12-15T20:03:44Z"
"spotify:track:7gVwgc8b3XnO87TpmXXFA5","Diva (feat. Lil Tecca)","spotify:artist:2tIP7SsRs7vjIcLrU85W8J, spotify:artist:4Ga1P7PMIsmqEZqhYZQgDo","The Kid LAROI, Lil Tecca","spotify:album:6baGSG5U130x5ttGIIRIwR","Diva (feat. Lil Tecca)","spotify:artist:2tIP7SsRs7vjIcLrU85W8J","The Kid LAROI","2020-01-31","https://i.scdn.co/image/ab67616d0000b2731ae71e77aef7c34227027daa","1","1","172004","https://p.scdn.co/mp3-preview/b15bfa79696d0a61096a65180ea2b610d4811d29?cid=9950ac751e34487dbbe027c4fd7f8e99","true","70","USSM12000239","spotify:user:rmal1103401","2022-02-21T21:57:32Z"
"spotify:track:0ada5XsQGLPUVbmTCkAP49","Hate The Other Side (with Marshmello & The Kid Laroi)","spotify:artist:4MCBfE4596Uoi2O4DtmEMz, spotify:artist:64KEffDW9EtZ1y2vBYgq8T, spotify:artist:2tIP7SsRs7vjIcLrU85W8J, spotify:artist:6AgTAQt8XS6jRWi4sX7w49","Juice WRLD, Marshmello, The Kid LAROI, Polo G","spotify:album:6n9DKpOxwifT5hOXtgLZSL","Legends Never Die","spotify:artist:4MCBfE4596Uoi2O4DtmEMz","Juice WRLD","2020-07-10","https://i.scdn.co/image/ab67616d0000b2733e0698e4ae5ffb82a005aeeb","1","9","160212","https://p.scdn.co/mp3-preview/bfbf172eb9b96b358fd93611e266a3513dbc869d?cid=9950ac751e34487dbbe027c4fd7f8e99","true","73","USUG12002092","spotify:user:rmal1103401","2022-02-21T21:57:41Z"
"spotify:track:2eAZfqOm4EnOF9VvN50Tyc","The Way Life Goes (feat. Oh Wonder)","spotify:artist:4O15NlyKLIASxsJ0PrXPfz, spotify:artist:5cIc3SBFuBLVxJz58W2tU9","Lil Uzi Vert, Oh Wonder","spotify:album:733e1ZfktLSwj96X5rsMeE","Luv Is Rage 2","spotify:artist:4O15NlyKLIASxsJ0PrXPfz","Lil Uzi Vert","2017-08-25","https://i.scdn.co/image/ab67616d0000b27341b41e6f7924e530a9b00f9c","1","5","221746","https://p.scdn.co/mp3-preview/80d5a005febd46fdf05e905fc18437bd7388075d?cid=9950ac751e34487dbbe027c4fd7f8e99","true","82","USAT21703429","spotify:user:rmal1103401","2022-02-21T21:57:42Z"
"spotify:track:42Xba467wgGvYrR2EE6s0i","Cigarettes","spotify:artist:4MCBfE4596Uoi2O4DtmEMz","Juice WRLD","spotify:album:5OI7dLXwSZFtOnB3aQtCGi","Cigarettes","spotify:artist:4MCBfE4596Uoi2O4DtmEMz","Juice WRLD","2022-02-02","https://i.scdn.co/image/ab67616d0000b273d4b6947ccac23f833993aff5","1","1","227527","","true","12","USUG12200313","spotify:user:rmal1103401","2022-02-21T21:57:50Z"
