"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At"
"spotify:track:248OFOZef6ShXv6DGgbnxU","Saved","spotify:artist:6LuN9FCkKOj5PcnpouEgny","Khalid","spotify:album:6kf46HbnYCZzP6rjvQHYzg","American Teen","spotify:artist:6LuN9FCkKOj5PcnpouEgny","Khalid","2017-04-27","https://i.scdn.co/image/ab67616d0000b273988ede5e1276e758b5f9e577","1","5","206533","https://p.scdn.co/mp3-preview/2d8a01f1bafb079b7a3795b160acb8ca66b64632?cid=9950ac751e34487dbbe027c4fd7f8e99","false","67","USRC11602481","spotify:user:rmal1103401","2019-11-10T15:45:22Z"
"spotify:track:7vGGAJBkHKxKtOnGjQduDV","Saturday Nights","spotify:artist:6LuN9FCkKOj5PcnpouEgny","Khalid","spotify:album:4UNwL1B7JoymNUiTFJa52B","Suncity","spotify:artist:6LuN9FCkKOj5PcnpouEgny","Khalid","2018-10-19","https://i.scdn.co/image/ab67616d0000b273c43edd2cf01edf73bf0b97a3","1","3","209546","https://p.scdn.co/mp3-preview/92abd1ee77bb48fafcb36fe4c9d5fc25f12eef6a?cid=9950ac751e34487dbbe027c4fd7f8e99","false","61","USRC11803517","spotify:user:rmal1103401","2019-11-10T18:43:40Z"
"spotify:track:4gHSezW5CHZCvjAUjF2pd5","Another Day in Paradise","spotify:artist:3ApUX1o6oSz321MMECyIYd","Quinn XCII","spotify:album:4Rp02sRtYz5Kp9qHP4VcxQ","Change of Scenery","spotify:artist:3ApUX1o6oSz321MMECyIYd","Quinn XCII","2015-04-28","https://i.scdn.co/image/ab67616d0000b2738fbcfc1032701d6703f10391","1","5","255000","","false","0","ushm21578602","spotify:user:rmal1103401","2019-11-10T18:44:44Z"
"spotify:track:3o1lguDaLSQmoMdLpDBUIJ","Come Alive","spotify:artist:2dfY7zXIP61MKHtD175hFp","Noah Carter","spotify:album:5QR9QDdXBCGSEGBbcMRLQk","Couch Dreams","spotify:artist:2dfY7zXIP61MKHtD175hFp","Noah Carter","2017-05-30","https://i.scdn.co/image/ab67616d0000b273038474cb73d5b59ca69a4d2d","1","11","204000","https://p.scdn.co/mp3-preview/54a63833d88d5eb2d0e560c453d2289da28936cd?cid=9950ac751e34487dbbe027c4fd7f8e99","true","42","DKADG1700189","spotify:user:rmal1103401","2019-11-10T18:46:00Z"
"spotify:track:0TK2YIli7K1leLovkQiNik","Señorita","spotify:artist:7n2wHs1TKAczGzO7Dd2rGr, spotify:artist:4nDoRrQiYLoBzwC5BhVJzF","Shawn Mendes, Camila Cabello","spotify:album:2ZaX1FdZCwchXl1QZiD4O4","Señorita","spotify:artist:7n2wHs1TKAczGzO7Dd2rGr, spotify:artist:4nDoRrQiYLoBzwC5BhVJzF","Shawn Mendes, Camila Cabello","2019-06-21","https://i.scdn.co/image/ab67616d0000b273e6095c382c2853667c1623eb","1","1","190960","https://p.scdn.co/mp3-preview/04d8cbecae212d9c0ade5ae9c9b7227b101c99b5?cid=9950ac751e34487dbbe027c4fd7f8e99","false","80","USUM71911283","spotify:user:rmal1103401","2019-11-10T18:48:14Z"
"spotify:track:2vsuel3g4zaLYSOY0mOMbi","Bad Luck","spotify:artist:6LuN9FCkKOj5PcnpouEgny","Khalid","spotify:album:6KT8x5oqZJl9CcnM66hddo","Free Spirit","spotify:artist:6LuN9FCkKOj5PcnpouEgny","Khalid","2019-04-05","https://i.scdn.co/image/ab67616d0000b273b361ce46dbadbf8a11081b60","1","2","231653","https://p.scdn.co/mp3-preview/6efdd411c0560a2ab611ad4bb376ab1ec1e342f8?cid=9950ac751e34487dbbe027c4fd7f8e99","false","56","USRC11900434","spotify:user:rmal1103401","2019-11-18T05:44:33Z"
"spotify:track:0HEckRWFSknIupbGzavk5d","Hundred","spotify:artist:6LuN9FCkKOj5PcnpouEgny","Khalid","spotify:album:6KT8x5oqZJl9CcnM66hddo","Free Spirit","spotify:artist:6LuN9FCkKOj5PcnpouEgny","Khalid","2019-04-05","https://i.scdn.co/image/ab67616d0000b273b361ce46dbadbf8a11081b60","1","9","277080","https://p.scdn.co/mp3-preview/bfdb117e419cc05f5918d5fdc5b1ddebf77438cd?cid=9950ac751e34487dbbe027c4fd7f8e99","true","55","USRC11900438","spotify:user:rmal1103401","2019-11-18T05:49:01Z"
"spotify:track:1ZPWWSwCkxKfqdp4H0RFCo","ROXANNE","spotify:artist:0vRvGUQVUjytro0xpb26bs","Arizona Zervas","spotify:album:1BAHbTOKeZ1w0DeFSVi5Tn","ROXANNE","spotify:artist:0vRvGUQVUjytro0xpb26bs","Arizona Zervas","2019-10-10","https://i.scdn.co/image/ab67616d0000b273ddc13f28d77135b7151d735c","1","1","163636","","true","0","QZHN61957747","spotify:user:rmal1103401","2019-11-20T00:10:50Z"
"spotify:track:03eJ2DclFWXYU8GWgANdmZ","bad vibes forever (feat. PnB Rock & Trippie Redd)","spotify:artist:15UsOTVnJzReFVN1VCnxy4, spotify:artist:21WS9wngs9AqFckK7yYJPM, spotify:artist:6Xgp2XMz1fhVYe7i6yNAax","XXXTENTACION, PnB Rock, Trippie Redd","spotify:album:3hn46RDrEmoi4XhLjgdNjZ","Bad Vibes Forever","spotify:artist:15UsOTVnJzReFVN1VCnxy4","XXXTENTACION","2019-12-06","https://i.scdn.co/image/ab67616d0000b273fa96fd3251629605bb59345d","1","4","150475","https://p.scdn.co/mp3-preview/4e3dbca607cb61c2df213ae5b8dca748e7898c38?cid=9950ac751e34487dbbe027c4fd7f8e99","true","73","USUYG1283992","spotify:user:rmal1103401","2019-12-14T19:23:27Z"
"spotify:track:7AQim7LbvFVZJE3O8TYgf2","Fuck Love","spotify:artist:15UsOTVnJzReFVN1VCnxy4, spotify:artist:6Xgp2XMz1fhVYe7i6yNAax","XXXTENTACION, Trippie Redd","spotify:album:5VdyJkLe3yvOs0l4xXbWp0","17","spotify:artist:15UsOTVnJzReFVN1VCnxy4","XXXTENTACION","2017-08-25","https://i.scdn.co/image/ab67616d0000b273203c89bd4391468eea4cc3f5","1","8","146520","https://p.scdn.co/mp3-preview/ad4d23afd3b92325c442f036322a05f5f35385dc?cid=9950ac751e34487dbbe027c4fd7f8e99","true","85","USUYG1156898","spotify:user:rmal1103401","2019-12-14T19:24:21Z"
"spotify:track:3GVkPk8mqxz0itaAriG1L7","Everybody Dies In Their Nightmares","spotify:artist:15UsOTVnJzReFVN1VCnxy4","XXXTENTACION","spotify:album:5VdyJkLe3yvOs0l4xXbWp0","17","spotify:artist:15UsOTVnJzReFVN1VCnxy4","XXXTENTACION","2017-08-25","https://i.scdn.co/image/ab67616d0000b273203c89bd4391468eea4cc3f5","1","4","95466","https://p.scdn.co/mp3-preview/57ea372058336bcc4774b5dcee03d6712b16ae5c?cid=9950ac751e34487dbbe027c4fd7f8e99","true","84","USUYG1156894","spotify:user:rmal1103401","2019-12-26T07:29:27Z"
"spotify:track:7m9OqQk4RVRkw9JJdeAw96","Jocelyn Flores","spotify:artist:15UsOTVnJzReFVN1VCnxy4","XXXTENTACION","spotify:album:5VdyJkLe3yvOs0l4xXbWp0","17","spotify:artist:15UsOTVnJzReFVN1VCnxy4","XXXTENTACION","2017-08-25","https://i.scdn.co/image/ab67616d0000b273203c89bd4391468eea4cc3f5","1","2","119133","https://p.scdn.co/mp3-preview/df466c4bb30333c2ee904e7c876920e418d41732?cid=9950ac751e34487dbbe027c4fd7f8e99","true","84","USUYG1156892","spotify:user:rmal1103401","2019-12-26T07:29:37Z"
"spotify:track:3oDkdAySo1VQQG0ptV7uwa","Lean Wit Me","spotify:artist:4MCBfE4596Uoi2O4DtmEMz","Juice WRLD","spotify:album:6tkjU4Umpo79wwkgPMV3nZ","Goodbye & Good Riddance","spotify:artist:4MCBfE4596Uoi2O4DtmEMz","Juice WRLD","2018-12-10","https://i.scdn.co/image/ab67616d0000b273f7db43292a6a99b21b51d5b4","1","7","175755","https://p.scdn.co/mp3-preview/06755f4c18c933703bff62749fb6cd9b454b8ffe?cid=9950ac751e34487dbbe027c4fd7f8e99","true","81","USUG11800945","spotify:user:rmal1103401","2019-12-26T07:30:17Z"
"spotify:track:7FEwp8BavoEVE3AnxJDchc","No Guidance (feat. Drake)","spotify:artist:7bXgB6jMjp9ATFy66eO08Z, spotify:artist:3TVXtAsR1Inumwj472S9r4","Chris Brown, Drake","spotify:album:1ypdCwJwVaUHuFTnvvQbMX","No Guidance (feat. Drake)","spotify:artist:7bXgB6jMjp9ATFy66eO08Z","Chris Brown","2019-06-08","https://i.scdn.co/image/ab67616d0000b27387dd063e2382f8e5cac13282","1","1","260640","","true","5","USRC11901583","spotify:user:rmal1103401","2019-12-26T07:31:12Z"
"spotify:track:3eekarcy7kvN4yt5ZFzltW","HIGHEST IN THE ROOM","spotify:artist:0Y5tJX1MQlPlqiwlOH1tJY","Travis Scott","spotify:album:2uDTi1PlpSpvAv7IRAoAEU","HIGHEST IN THE ROOM","spotify:artist:0Y5tJX1MQlPlqiwlOH1tJY","Travis Scott","2019-10-04","https://i.scdn.co/image/ab67616d0000b273e42b5fea4ac4c3d6328b622b","1","1","175720","https://p.scdn.co/mp3-preview/387b31c31b72f0c16e33d0c78bab869b0a0f4eb3?cid=9950ac751e34487dbbe027c4fd7f8e99","true","84","USSM11904276","spotify:user:rmal1103401","2019-12-26T07:31:17Z"
