"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At"
"spotify:track:1hWspc0wayj4RBozV0OOwZ","Tocarte","spotify:artist:6nVcHLIgY5pE2YCl8ubca1","Jhayco","spotify:album:1V9QpD8kjA2iHCElhFGvlo","Famouz","spotify:artist:6nVcHLIgY5pE2YCl8ubca1","Jhayco","2019-05-24","https://i.scdn.co/image/ab67616d0000b27374985c6f5aced37467545408","1","11","242413","","false","0","USUM71908290","spotify:user:rmal1103401","2022-07-03T01:36:18Z"
"spotify:track:4tYFy8ALRjIZvnvSLw5lxN","Party","spotify:artist:4q3ewBCX7sLwd24euuV69X, spotify:artist:1mcTU81TzQhprhouKaTkpq","Bad Bunny, Rauw Alejandro","spotify:album:3RQQmkQEvNCY4prGKE6oc5","Un Verano Sin Ti","spotify:artist:4q3ewBCX7sLwd24euuV69X","Bad Bunny","2022-05-06","https://i.scdn.co/image/ab67616d0000b27349d694203245f241a1bcaa72","1","11","227628","https://p.scdn.co/mp3-preview/c8d2983c0dbd872db6467308122c8c3652ae31c2?cid=9950ac751e34487dbbe027c4fd7f8e99","true","80","QM6MZ2214885","spotify:user:rmal1103401","2022-07-03T01:37:18Z"
"spotify:track:757OLEMANyRx6gsYg3M2gu","El Combo","spotify:artist:50sIhX3HytFEwQXZJLUZQE","Alejo","spotify:album:2BocamJ6jCNKUzUJQ88PRj","Full Discoteka","spotify:artist:50sIhX3HytFEwQXZJLUZQE","Alejo","2022-06-22","https://i.scdn.co/image/ab67616d0000b273e42b72f075eec62c66280d10","1","2","123870","https://p.scdn.co/mp3-preview/c7ac445a2a300365cdc404bb412ae15baea07d99?cid=9950ac751e34487dbbe027c4fd7f8e99","false","29","QZMZ92233846","spotify:user:rmal1103401","2022-07-03T01:37:37Z"
"spotify:track:4srcMdbm2qzVG98tJajHxp","Pantysito","spotify:artist:50sIhX3HytFEwQXZJLUZQE, spotify:artist:2LRoIwlKmHjgvigdNGBHNo, spotify:artist:6ISKc7ev3V4EGnEagkXexc","Alejo, Feid, ROBI","spotify:album:1cGXuAtoUe4xzxRHhvxkyW","Pantysito","spotify:artist:50sIhX3HytFEwQXZJLUZQE, spotify:artist:2LRoIwlKmHjgvigdNGBHNo, spotify:artist:6ISKc7ev3V4EGnEagkXexc","Alejo, Feid, ROBI","2022-03-18","https://i.scdn.co/image/ab67616d0000b27303a184c19d99418042ddf68a","1","1","240413","https://p.scdn.co/mp3-preview/0f75bca686990d9266627f70abcc63fcc9c78a88?cid=9950ac751e34487dbbe027c4fd7f8e99","true","76","USUG12201485","spotify:user:rmal1103401","2022-07-03T01:38:00Z"
"spotify:track:1mSviQV9iQnGSRyvTIuxAj","Problemón","spotify:artist:5J7rXWjtn5HzUkJ4Jet8Fr, spotify:artist:1mcTU81TzQhprhouKaTkpq","Alvaro Diaz, Rauw Alejandro","spotify:album:7jg09IJJXi1eigVLZja2hN","Felicilandia","spotify:artist:5J7rXWjtn5HzUkJ4Jet8Fr","Alvaro Diaz","2021-10-29","https://i.scdn.co/image/ab67616d0000b2734385062efd655ededc0d2caa","1","4","192613","https://p.scdn.co/mp3-preview/9afc1b85d738fc8326e0cbc23a4295c9655b414e?cid=9950ac751e34487dbbe027c4fd7f8e99","false","72","USUM72118879","spotify:user:rmal1103401","2022-07-03T01:38:10Z"
"spotify:track:6BpWc67RGuBJgFfAlKzh5v","Costear","spotify:artist:6nVcHLIgY5pE2YCl8ubca1, spotify:artist:6P6GTRTigHBp8ZesNtpCKH","Jhayco, Almighty","spotify:album:1V9QpD8kjA2iHCElhFGvlo","Famouz","spotify:artist:6nVcHLIgY5pE2YCl8ubca1","Jhayco","2019-05-24","https://i.scdn.co/image/ab67616d0000b27374985c6f5aced37467545408","1","7","239080","","true","0","USUM71817073","spotify:user:rmal1103401","2022-07-03T01:38:25Z"
"spotify:track:5J7teKIJGtqVypgYI6sqXj","Una Vez","spotify:artist:4q3ewBCX7sLwd24euuV69X, spotify:artist:0Q8NcsJwoCbZOHHW63su5S","Bad Bunny, Mora","spotify:album:5lJqux7orBlA1QzyiBGti1","YHLQMDLG","spotify:artist:4q3ewBCX7sLwd24euuV69X","Bad Bunny","2020-02-29","https://i.scdn.co/image/ab67616d0000b273548f7ec52da7313de0c5e4a0","1","13","232496","https://p.scdn.co/mp3-preview/9d629fd859597481c275671317abb1182176f220?cid=9950ac751e34487dbbe027c4fd7f8e99","true","80","QM4TX2030960","spotify:user:rmal1103401","2022-07-03T01:43:29Z"
"spotify:track:4saHEjXw7O1NXJOzBkUKKG","Está Cabrón Ser Yo","spotify:artist:4q3ewBCX7sLwd24euuV69X, spotify:artist:2R21vXR83lH98kGeO99Y66","Bad Bunny, Anuel AA","spotify:album:5lJqux7orBlA1QzyiBGti1","YHLQMDLG","spotify:artist:4q3ewBCX7sLwd24euuV69X","Bad Bunny","2020-02-29","https://i.scdn.co/image/ab67616d0000b273548f7ec52da7313de0c5e4a0","1","16","227939","https://p.scdn.co/mp3-preview/60d2fccecb660c8b1d5b19562248ffc666fee6bf?cid=9950ac751e34487dbbe027c4fd7f8e99","true","70","QM4TX2030967","spotify:user:rmal1103401","2022-07-03T01:43:46Z"
"spotify:track:41wtwzCZkXwpnakmwJ239F","Si Veo a Tu Mamá","spotify:artist:4q3ewBCX7sLwd24euuV69X","Bad Bunny","spotify:album:5lJqux7orBlA1QzyiBGti1","YHLQMDLG","spotify:artist:4q3ewBCX7sLwd24euuV69X","Bad Bunny","2020-02-29","https://i.scdn.co/image/ab67616d0000b273548f7ec52da7313de0c5e4a0","1","1","170971","https://p.scdn.co/mp3-preview/b48baafc0b7c1c56bfaa445e6feaab155f0638f1?cid=9950ac751e34487dbbe027c4fd7f8e99","false","79","QM4TX2030842","spotify:user:rmal1103401","2022-07-05T14:41:15Z"
"spotify:track:6NfrH0ANGmgBXyxgV2PeXt","La Difícil","spotify:artist:4q3ewBCX7sLwd24euuV69X","Bad Bunny","spotify:album:5lJqux7orBlA1QzyiBGti1","YHLQMDLG","spotify:artist:4q3ewBCX7sLwd24euuV69X","Bad Bunny","2020-02-29","https://i.scdn.co/image/ab67616d0000b273548f7ec52da7313de0c5e4a0","1","2","163084","https://p.scdn.co/mp3-preview/9809bdcf8cdeda1a0569e596214a40026fad16c8?cid=9950ac751e34487dbbe027c4fd7f8e99","true","78","QM4TX2030889","spotify:user:rmal1103401","2022-07-05T14:41:15Z"
