"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At"
"spotify:track:4nVBt6MZDDP6tRVdQTgxJg","Story of My Life","spotify:artist:4AK6F7OLvEQ5QYCBNiQWHq","One Direction","spotify:album:7p1fX8aUySrBdx4WSYspOu","Midnight Memories (Deluxe)","spotify:artist:4AK6F7OLvEQ5QYCBNiQWHq","One Direction","2013-11-25","https://i.scdn.co/image/ab67616d0000b2732f76b797c382bedcafdf45e1","1","2","245493","https://p.scdn.co/mp3-preview/9c3f89f926a702034ae182e723b2d601c2bd754d?cid=9950ac751e34487dbbe027c4fd7f8e99","false","85","GBHMU1300210","spotify:user:35mfaqrmzgcpyn212qu0y47sj","2023-10-15T17:33:41Z"
"spotify:track:3JjnGLK8IxkNLvo8Lb3KOM","18","spotify:artist:4AK6F7OLvEQ5QYCBNiQWHq","One Direction","spotify:album:4gCNyS7pidfK3rKWhB3JOY","FOUR (Deluxe)","spotify:artist:4AK6F7OLvEQ5QYCBNiQWHq","One Direction","2014-11-17","https://i.scdn.co/image/ab67616d0000b273d304ba2d71de306812eebaf4","1","4","248360","https://p.scdn.co/mp3-preview/b64e83597557028b2802cba7799ba6fa365e9b14?cid=9950ac751e34487dbbe027c4fd7f8e99","false","82","GBHMU1400162","spotify:user:35mfaqrmzgcpyn212qu0y47sj","2023-10-15T17:33:48Z"
"spotify:track:2VEsmoek0sol9MnJFyoG9e","Burnin' Up","spotify:artist:7gOdHgIoIKoe4i9Tta6qdD","Jonas Brothers","spotify:album:4jcRw4qVurxoZcfIYPKDpz","A Little Bit Longer","spotify:artist:7gOdHgIoIKoe4i9Tta6qdD","Jonas Brothers","2008-08-12","https://i.scdn.co/image/ab67616d0000b2736052733814bd844a5955f1b1","1","2","175093","https://p.scdn.co/mp3-preview/664411c4ffd82b92aa186dd95dcd16cb753b661d?cid=9950ac751e34487dbbe027c4fd7f8e99","false","73","USHR10823884","spotify:user:35mfaqrmzgcpyn212qu0y47sj","2023-10-15T17:33:58Z"
"spotify:track:7fiFJADUcHwTdYLmnZeLAy","Hesitate","spotify:artist:7gOdHgIoIKoe4i9Tta6qdD","Jonas Brothers","spotify:album:1Uf67JAtkVWfdydzFFqNF2","Happiness Begins","spotify:artist:7gOdHgIoIKoe4i9Tta6qdD","Jonas Brothers","2019-06-07","https://i.scdn.co/image/ab67616d0000b273de1a3a5eaa0c75bb18e7b597","1","12","208840","https://p.scdn.co/mp3-preview/7fd44d12923fed0b1f9898416c14f19ad28966d3?cid=9950ac751e34487dbbe027c4fd7f8e99","false","60","USUG11900656","spotify:user:35mfaqrmzgcpyn212qu0y47sj","2023-10-15T17:34:09Z"
"spotify:track:7GtGeeChOx4NS77bqK8SUx","Ready to Run","spotify:artist:4AK6F7OLvEQ5QYCBNiQWHq","One Direction","spotify:album:4gCNyS7pidfK3rKWhB3JOY","FOUR (Deluxe)","spotify:artist:4AK6F7OLvEQ5QYCBNiQWHq","One Direction","2014-11-17","https://i.scdn.co/image/ab67616d0000b273d304ba2d71de306812eebaf4","1","2","196053","https://p.scdn.co/mp3-preview/5025b87d6e55a762cbd41b65bbab69976bd5988e?cid=9950ac751e34487dbbe027c4fd7f8e99","false","65","GBHMU1400160","spotify:user:35mfaqrmzgcpyn212qu0y47sj","2023-10-15T17:34:16Z"
"spotify:track:22vgEDb5hykfaTwLuskFGD","Sucker","spotify:artist:7gOdHgIoIKoe4i9Tta6qdD","Jonas Brothers","spotify:album:1Uf67JAtkVWfdydzFFqNF2","Happiness Begins","spotify:artist:7gOdHgIoIKoe4i9Tta6qdD","Jonas Brothers","2019-06-07","https://i.scdn.co/image/ab67616d0000b273de1a3a5eaa0c75bb18e7b597","1","1","181026","https://p.scdn.co/mp3-preview/7a486bf71e7c934be7b84f145bf8abf8303143db?cid=9950ac751e34487dbbe027c4fd7f8e99","false","81","USUG11900515","spotify:user:35mfaqrmzgcpyn212qu0y47sj","2023-10-15T17:34:29Z"
"spotify:track:5CM4UuQ9Gnd6K2YyKGPMoK","Bad Habit","spotify:artist:57vWImR43h4CaDao012Ofp","Steve Lacy","spotify:album:69JpAhN3XgLkOsJ7MCtW4V","Bad Habit","spotify:artist:57vWImR43h4CaDao012Ofp","Steve Lacy","2022-06-29","https://i.scdn.co/image/ab67616d0000b2739904ecb0b1148a128bdd5e36","1","1","232114","https://p.scdn.co/mp3-preview/041dc713b1b3c20b425c03b2efc6b10d566ce742?cid=9950ac751e34487dbbe027c4fd7f8e99","true","81","USRC12201440","spotify:user:35mfaqrmzgcpyn212qu0y47sj","2023-10-15T17:34:47Z"
"spotify:track:3uwnnTQcHM1rDqSfA4gQNz","Cool for the Summer","spotify:artist:6S2OmqARrzebs0tKUEyXyp","Demi Lovato","spotify:album:56yYgfX6M5FlpETfyZSHkn","Confident","spotify:artist:6S2OmqARrzebs0tKUEyXyp","Demi Lovato","2015-01-01","https://i.scdn.co/image/ab67616d0000b273ed164cf1c10f028e8f528784","1","2","214739","https://p.scdn.co/mp3-preview/29c3e2fad1bece04c7d8ab6e5ad4bee5a13485b5?cid=9950ac751e34487dbbe027c4fd7f8e99","true","81","USHR11536621","spotify:user:35mfaqrmzgcpyn212qu0y47sj","2023-10-15T17:35:00Z"
"spotify:track:0yVAi0bRRQjgKSrBsnB8R9","Underwater","spotify:artist:79Xp2rRN7wdsaTJgttdX3K","Cody Simpson","spotify:album:1Cop9XDu07OussxezcVeax","Wave Two","spotify:artist:79Xp2rRN7wdsaTJgttdX3K","Cody Simpson","2019-02-22","https://i.scdn.co/image/ab67616d0000b2739801052cc11d95176a551e1b","1","1","208960","https://p.scdn.co/mp3-preview/83f9dc80c3a74563e063022b43b74e7b0b2daadc?cid=9950ac751e34487dbbe027c4fd7f8e99","false","43","QM24S1823532","spotify:user:35mfaqrmzgcpyn212qu0y47sj","2023-10-15T17:35:25Z"
"spotify:track:5cF0dROlMOK5uNZtivgu50","Attention","spotify:artist:6VuMaDnrHyPL1p4EHjYLi7","Charlie Puth","spotify:album:0mZIUXje90JtHxPNzWsJNR","Voicenotes","spotify:artist:6VuMaDnrHyPL1p4EHjYLi7","Charlie Puth","2018-05-11","https://i.scdn.co/image/ab67616d0000b273897f73256b9128a9d70eaf66","1","2","208786","https://p.scdn.co/mp3-preview/db76d34af2f966975e0c1b8b9e43dca882e27229?cid=9950ac751e34487dbbe027c4fd7f8e99","false","87","USAT21700928","spotify:user:35mfaqrmzgcpyn212qu0y47sj","2023-10-15T17:35:38Z"
