"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At"
"spotify:track:0fdaw54L9HswP2QVYJjnx6","concrete","spotify:artist:2efrqekWSHlvhATD50AG3m","Orion Sun","spotify:album:4otlYN4uGurlL16mvgeIHT","concrete","spotify:artist:2efrqekWSHlvhATD50AG3m","Orion Sun","2021-10-13","https://i.scdn.co/image/ab67616d0000b273344cf21bb2044c5ce08b4beb","1","1","212000","https://p.scdn.co/mp3-preview/30e68d6685a956b429149bf0e6ac83664940613d?cid=9950ac751e34487dbbe027c4fd7f8e99","true","58","USQE92100245","spotify:user:gocardinal1228","2022-11-19T04:40:04Z"
"spotify:track:7AY5raqt9cEligkpFETuAa","Hotline","spotify:artist:4C9Tvlt8v7d8R6h98FgdUy","bLAck pARty","spotify:album:2apckYBgnWwcXC4e0OV1Vy","Hummingbird","spotify:artist:4C9Tvlt8v7d8R6h98FgdUy","bLAck pARty","2022-08-05","https://i.scdn.co/image/ab67616d0000b2736737c47e1a48b314d17807df","1","3","148453","https://p.scdn.co/mp3-preview/62f0ef9e8023bd65ffe27c62b16162c8fdd996de?cid=9950ac751e34487dbbe027c4fd7f8e99","false","46","USRC12103600","spotify:user:gocardinal1228","2022-11-19T04:40:09Z"
"spotify:track:2fIeEYpiqiINZCTIpU1Pe1","DOMINICANA","spotify:artist:4MbRfFtyXLbOnccfjBE69n, spotify:artist:3Janc17lPV117QjRSAPwBa, spotify:artist:43ZT4YXTrFXsq5Ae1np03L","Hush Forte, Aaron, Myquale","spotify:album:3fFV8A6i3pRloLW5iKVibP","DOMINICANA","spotify:artist:4MbRfFtyXLbOnccfjBE69n, spotify:artist:3Janc17lPV117QjRSAPwBa, spotify:artist:43ZT4YXTrFXsq5Ae1np03L","Hush Forte, Aaron, Myquale","2020-07-07","https://i.scdn.co/image/ab67616d0000b2732cc1700d643c11dff295c1df","1","1","196795","https://p.scdn.co/mp3-preview/2241d1bf949e345f431b69f023e08fc9eda474b3?cid=9950ac751e34487dbbe027c4fd7f8e99","true","42","GBKPL2009612","spotify:user:gocardinal1228","2022-11-19T04:40:13Z"
"spotify:track:5tThXZ3ujCRFkTVo7AueDG","Drake","spotify:artist:4iMO20EPodreIaEl8qW66y","Still Woozy","spotify:album:0QnWm07An8WyO3eupjBDoP","If This Isn’t Nice, I Don’t Know What Is","spotify:artist:4iMO20EPodreIaEl8qW66y","Still Woozy","2021-08-13","https://i.scdn.co/image/ab67616d0000b273178df9e236187d6f1e710f5f","1","7","167560","https://p.scdn.co/mp3-preview/512f6de0b87a83bbb2cfe9884c697c9a1815475f?cid=9950ac751e34487dbbe027c4fd7f8e99","false","53","USUG12102724","spotify:user:gocardinal1228","2022-11-19T04:40:16Z"
"spotify:track:5mlirWXPq6KoroAUgy6Wdq","Luvaroq","spotify:artist:1CgbNAF3Stnz1Tpipu3xdO, spotify:artist:1O9iHQjrVuiAYOJFCBeFSl","Elujay, serpentwithfeet","spotify:album:2eR6L5nfTqjp97Kty4fCgs","Circmvnt","spotify:artist:1CgbNAF3Stnz1Tpipu3xdO","Elujay","2022-01-21","https://i.scdn.co/image/ab67616d0000b2730d8e945a3ec9d9cabec1c5cb","1","4","220781","https://p.scdn.co/mp3-preview/877fab6bf41698ed30532dc23bf90e3b2faf20bb?cid=9950ac751e34487dbbe027c4fd7f8e99","true","49","GBKPL2164125","spotify:user:gocardinal1228","2022-11-19T04:40:19Z"
"spotify:track:1LqUHH9yacnl8xMBO3dx4d","I'll Be Loving You","spotify:artist:3dv4Q4q3LWOnbLJnC6GgTY","Yellow Days","spotify:album:5z5rwDtEocaatg3fEtXiWV","I'll Be Loving You","spotify:artist:3dv4Q4q3LWOnbLJnC6GgTY","Yellow Days","2021-06-28","https://i.scdn.co/image/ab67616d0000b273d76930e23e979dd7375c5f1f","1","1","246144","https://p.scdn.co/mp3-preview/7eb1a95e856c4140138cc4af2d4798b06f35deec?cid=9950ac751e34487dbbe027c4fd7f8e99","false","41","QZHNC2188883","spotify:user:gocardinal1228","2022-11-19T04:40:23Z"
"spotify:track:0PldjOTKRt45S9MrLnlwVM","Kahlil Gibran","spotify:artist:2Tz1DTzVJ5Gyh8ZwVr6ekU","STRFKR","spotify:album:5S4tasGYxpQuSEWLYvgyQp","Miracle Mile","spotify:artist:2Tz1DTzVJ5Gyh8ZwVr6ekU","STRFKR","2013-02-12","https://i.scdn.co/image/ab67616d0000b273cb916d1e03610b396f0120f3","1","8","241413","","false","0","US3R41324808","spotify:user:gocardinal1228","2022-11-19T04:40:30Z"
"spotify:track:2KQtAZ5F8LK0vi0JyrpF6w","I'm a Rock","spotify:artist:3yg8VEfEzpr8T9NkiEsycS","Jitwam","spotify:album:4q6t2qUYy2bp5sqwXSXldc","Honeycomb","spotify:artist:3yg8VEfEzpr8T9NkiEsycS","Jitwam","2019-05-03","https://i.scdn.co/image/ab67616d0000b27351d457fc6d56caaa0dd29849","1","5","204324","https://p.scdn.co/mp3-preview/12759682b41fb07e363484f32658827844fc04e6?cid=9950ac751e34487dbbe027c4fd7f8e99","false","59","DKQD91900105","spotify:user:gocardinal1228","2022-11-19T04:40:33Z"
"spotify:track:6oDXwSPWcp7KT2B3funF8y","Dance Around the Fire","spotify:artist:0TtJkRL3Qzlf0aX5ozf7Vl","Why These Coyotes","spotify:album:09RgHxkDHHYSb9q6uBbXc4","Dance Around the Fire","spotify:artist:0TtJkRL3Qzlf0aX5ozf7Vl","Why These Coyotes","2017-10-20","https://i.scdn.co/image/ab67616d0000b2735284c6ee9fc450e529864d59","1","1","200869","https://p.scdn.co/mp3-preview/dddd91fc6fcfd43c8b6d7bebcbfed87e69e1b5cf?cid=9950ac751e34487dbbe027c4fd7f8e99","false","49","QZ9Y21757850","spotify:user:gocardinal1228","2022-11-19T04:40:36Z"
"spotify:track:6BbAFjOCHA1AknMtIu3VjZ","Thru My Hair","spotify:artist:0jsnWH4QCKcAMpR7vEhh9u","¿Téo?","spotify:album:5NhRAV4V8xcH0Wzj047C1g","¿Téo?","spotify:artist:0jsnWH4QCKcAMpR7vEhh9u","¿Téo?","2018-09-13","https://i.scdn.co/image/ab67616d0000b273c4502e79a78fdc8b5aaa718b","1","3","100500","https://p.scdn.co/mp3-preview/986fc4b15263d18ba53c911e3cde040b4e69dca8?cid=9950ac751e34487dbbe027c4fd7f8e99","false","64","TCADW1816801","spotify:user:gocardinal1228","2022-11-19T04:40:39Z"
