"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At"
"spotify:track:3cxqVYtrpDyAC4faMJgB9A","Hypnosis","spotify:artist:1AcZuMRjIAdmksbzApOXnw","Holy Hive","spotify:album:3QAqLB0l9c1OD2GG2fsW5F","Float Back To You","spotify:artist:1AcZuMRjIAdmksbzApOXnw","Holy Hive","2020-05-29","https://i.scdn.co/image/ab67616d0000b2733cc65d4bc5b0c0a72daa24a5","1","2","231868","https://p.scdn.co/mp3-preview/2ea2423cacb1751541bc10dbfa1616ff3514016b?cid=9950ac751e34487dbbe027c4fd7f8e99","false","49","QZ2L61900001","spotify:user:gocardinal1228","2023-01-19T04:10:09Z"
"spotify:track:6x3sun3UqxP4g0Juw7ZXx4","Everything is Different (To Me)","spotify:artist:5XTn5Az9AcSKu0oaauC5ES","quickly\, quickly","spotify:album:6pUiy5Z2QoIV0JOiKlu3aQ","The Long and Short of It","spotify:artist:5XTn5Az9AcSKu0oaauC5ES","quickly\, quickly","2021-08-20","https://i.scdn.co/image/ab67616d0000b27390ff8f77ad76c6b851345743","1","9","264980","https://p.scdn.co/mp3-preview/36c8823520176b6fb293d51ea59e99f6b587daf7?cid=9950ac751e34487dbbe027c4fd7f8e99","false","32","US2J72108309","spotify:user:gocardinal1228","2023-01-19T04:10:12Z"
"spotify:track:2kqzcjGNnYNPzunUxRXqRt","All I Need","spotify:artist:0txJ9PYLXPk2Ojegw5Ty9X, spotify:artist:4n3BiuRU79B4qPqiqsnhQ4","DYVN, Kabwasa","spotify:album:3GnYvAxyY3XJSynqKb7VbD","All I Need","spotify:artist:0txJ9PYLXPk2Ojegw5Ty9X, spotify:artist:4n3BiuRU79B4qPqiqsnhQ4","DYVN, Kabwasa","2022-02-25","https://i.scdn.co/image/ab67616d0000b273f8e793f40703f776fc1069cb","1","1","62926","https://p.scdn.co/mp3-preview/e80f208450158927f1139afe2f06edd6853fc353?cid=9950ac751e34487dbbe027c4fd7f8e99","false","59","DEQ022290173","spotify:user:gocardinal1228","2023-01-19T04:10:15Z"
"spotify:track:2RjsAYVbdZPISqnsWd3Hup","You and I","spotify:artist:4ub2v80S4RIceZRGnlhjTr","Jakob","spotify:album:01vJILu1nYj93pSPcP5IUQ","April","spotify:artist:4ub2v80S4RIceZRGnlhjTr","Jakob","2019-09-27","https://i.scdn.co/image/ab67616d0000b27365523e5a7c8663a6eac32894","1","1","162153","https://p.scdn.co/mp3-preview/9fbf6a8b9b3fe9060d87e669c5557f43ac0787ae?cid=9950ac751e34487dbbe027c4fd7f8e99","false","60","NOPGM1908010","spotify:user:gocardinal1228","2023-01-19T04:10:18Z"
"spotify:track:7Axv6Oe4ztIl9NQL9z1qgH","Third Eye Tears (feat. Lava La Rue)","spotify:artist:0SVz62vUjHKkbVOgoTK4Ze, spotify:artist:271bbpX3pdCi56ZJA1jQ43","Jordan Stephens, Lava La Rue","spotify:album:6tBjeKusAd1fYNxZsjojmb","Let Me Die Inside You","spotify:artist:0SVz62vUjHKkbVOgoTK4Ze","Jordan Stephens","2022-02-11","https://i.scdn.co/image/ab67616d0000b27358fc6fe9551072066b5d0ccd","1","8","182500","https://p.scdn.co/mp3-preview/b23ebe93c7456521d5654291c0f2607d40c3a626?cid=9950ac751e34487dbbe027c4fd7f8e99","false","20","UKQNV2100189","spotify:user:gocardinal1228","2023-01-19T04:10:22Z"
"spotify:track:5eyjEDUae7IZghCOtPH6Ab","Hfoas","spotify:artist:3Cp20KSVlMlFuOdqiqHFGR","Mei Semones","spotify:album:2dvZll7aA9jE2B2peisTqj","Hfoas","spotify:artist:3Cp20KSVlMlFuOdqiqHFGR","Mei Semones","2020-03-15","https://i.scdn.co/image/ab67616d0000b273a0fb1b39dce178001b244bd2","1","1","229041","https://p.scdn.co/mp3-preview/7aac87298d876373dc40c3d359b26b0e494a3a80?cid=9950ac751e34487dbbe027c4fd7f8e99","false","35","QZFZ62074868","spotify:user:gocardinal1228","2023-01-19T04:11:26Z"
"spotify:track:7rPl5mTGCDE1efIso9uBet","Morning","spotify:artist:2clS9uX2uOrHHqkyDMkzA1","Amaria","spotify:album:0jItYHzd3ocgMh3Dxl7u9c","Morning","spotify:artist:2clS9uX2uOrHHqkyDMkzA1","Amaria","2020-01-01","https://i.scdn.co/image/ab67616d0000b2733d20dd94ce310713d4d23e2c","1","1","148160","","false","38","QZK6N1961685","spotify:user:gocardinal1228","2023-01-19T04:11:30Z"
"spotify:track:00RtTRdFqzPMoigEvyTJhT","Wonderland","spotify:artist:66eJQM6S5JsDe0CdUXnwST","Brandon Banks","spotify:album:603KSdD0sYKtFtuasYfYLL","Natural Progressions","spotify:artist:66eJQM6S5JsDe0CdUXnwST","Brandon Banks","2022-06-10","https://i.scdn.co/image/ab67616d0000b2738b03cbda3332c1fa9aea2e1e","1","1","207040","https://p.scdn.co/mp3-preview/eb6b745f618ab2ae2bbc5b0ac793a127163c36cd?cid=9950ac751e34487dbbe027c4fd7f8e99","false","24","QZN882221336","spotify:user:gocardinal1228","2023-01-19T04:11:34Z"
"spotify:track:0NlGNzBqiQsjjnhlCzUacz","Down N' Out","spotify:artist:2wUlCFFpvqdGiV1LIGr1Gk","The Futurelics","spotify:album:7CHu05EPBF4EWhWWzCxGkZ","Classic","spotify:artist:2wUlCFFpvqdGiV1LIGr1Gk","The Futurelics","2018-07-07","https://i.scdn.co/image/ab67616d0000b273c8593ddc04f0f257ef914d34","1","6","384026","https://p.scdn.co/mp3-preview/0875105c7c4832b7a340f01c1bd63ff4fa7cb379?cid=9950ac751e34487dbbe027c4fd7f8e99","false","32","QZDA41879023","spotify:user:gocardinal1228","2023-01-19T04:11:37Z"
"spotify:track:011plYoLTqmoFML8birgSA","Lumaby","spotify:artist:5nwqAZGgbbZOuK11nRCGyj, spotify:artist:1QCUIMMPGwxKs9E3UmY2bL","Mejiwahn, hrlum","spotify:album:1Xc1F47HzRtftRdK4hyPcR","Beanna","spotify:artist:5nwqAZGgbbZOuK11nRCGyj","Mejiwahn","2022-07-01","https://i.scdn.co/image/ab67616d0000b273fbbeb8fdabb26985493f9401","1","4","169737","https://p.scdn.co/mp3-preview/e810448fe2c98513e0a6278b92eb11fef82ad3ea?cid=9950ac751e34487dbbe027c4fd7f8e99","false","32","SE6HN2245265","spotify:user:gocardinal1228","2023-01-19T04:11:40Z"
