"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At"
"spotify:track:0MgOsVty0YR1kas7x16yoS","Freaking Out The Neighborhood","spotify:artist:3Sz7ZnJQBIHsXLUSo0OQtM","Mac DeMarco","spotify:album:0Skv3s5A99n7dstiJOs0aA","2","spotify:artist:3Sz7ZnJQBIHsXLUSo0OQtM","Mac DeMarco","2013-08-09","https://i.scdn.co/image/ab67616d0000b273681384864fcbda288ed7d365","1","3","173866","https://p.scdn.co/mp3-preview/59df848005be11b7b77342871f1b9108e37e9f73?cid=9950ac751e34487dbbe027c4fd7f8e99","false","58","QMMZN1200048","spotify:user:gocardinal1228","2023-11-28T12:36:06Z"
"spotify:track:5PSplhA4PEZHqw0bOfelEp","Parking Lots","spotify:artist:0sPK0NZQ44Z8KhGxCOvEG9","Plums","spotify:album:07Xmfb4wnWsXnUJLAkyk7t","Jen","spotify:artist:0sPK0NZQ44Z8KhGxCOvEG9","Plums","2015-07-14","https://i.scdn.co/image/ab67616d0000b273a8bb52f499ab358315eb72f7","1","1","206354","https://p.scdn.co/mp3-preview/5f0ffef6185c72ff505b1f4c1d44c3a28fdfe6c7?cid=9950ac751e34487dbbe027c4fd7f8e99","false","62","QM6MZ1553510","spotify:user:gocardinal1228","2023-11-28T12:36:13Z"
"spotify:track:4GL8hK0rhcjCrJQx0x6WEx","Blue","spotify:artist:74CcYmmNeHKe5PrZaISk8e","Hope Tala","spotify:album:6pCv2ZVC723QBxXYWPVBCF","Blue","spotify:artist:74CcYmmNeHKe5PrZaISk8e","Hope Tala","2018-06-26","https://i.scdn.co/image/ab67616d0000b27350a6cd30db8b7818e5dc35c4","1","1","161500","https://p.scdn.co/mp3-preview/534f6ea2c4ba9dc03d8047060d7aa370115d799e?cid=9950ac751e34487dbbe027c4fd7f8e99","false","48","GBKPL1811574","spotify:user:gocardinal1228","2023-11-28T12:36:20Z"
"spotify:track:0HGmcaAtZSIDYeccKZetOr","Babylon","spotify:artist:2lAiZHPkTbx5ThJMfWihxS, spotify:artist:6k31Zu3oGAtvfYKOGDm0Cf","Marlin Kites, estée","spotify:album:3RtE0DeH9J4xoLwxpY12MI","Babylon","spotify:artist:2lAiZHPkTbx5ThJMfWihxS, spotify:artist:6k31Zu3oGAtvfYKOGDm0Cf","Marlin Kites, estée","2020-05-22","https://i.scdn.co/image/ab67616d0000b27386ea16c31ee5e68309e122ee","1","1","283125","https://p.scdn.co/mp3-preview/f12e18fbf2a97e5b1d15f8edb61e91ea179907a9?cid=9950ac751e34487dbbe027c4fd7f8e99","false","33","QZES82024030","spotify:user:gocardinal1228","2023-11-28T12:36:25Z"
"spotify:track:0QCpDMWI8zQTB58WqVgu7C","Turn Into","spotify:artist:1wmiQ6ytATiGnJs6uFluKO","Jay Som","spotify:album:1tW2xzjwARfKVOQp6e43Fj","Turn Into","spotify:artist:1wmiQ6ytATiGnJs6uFluKO","Jay Som","2016-11-18","https://i.scdn.co/image/ab67616d0000b273213c640182cad8d558d71d0d","1","9","203536","https://p.scdn.co/mp3-preview/21feaf3d75b70ad361230c10ffbe1c2a5a8e8e91?cid=9950ac751e34487dbbe027c4fd7f8e99","false","46","US3R41632609","spotify:user:gocardinal1228","2023-11-28T12:36:32Z"
"spotify:track:4JYJU761kWJEK91hyug33F","Tree Among Shrubs","spotify:artist:3zmfs9cQwzJl575W1ZYXeT","Men I Trust","spotify:album:7FkJxlcljM6Ix0pC2JSNOE","Untourable Album","spotify:artist:3zmfs9cQwzJl575W1ZYXeT","Men I Trust","2021-08-25","https://i.scdn.co/image/ab67616d0000b273caa2063da9054f7b4e83f353","1","5","188301","https://p.scdn.co/mp3-preview/e7799eeb2b88ca03873c1cb04880447d006d2303?cid=9950ac751e34487dbbe027c4fd7f8e99","false","73","TCAFR2123374","spotify:user:gocardinal1228","2023-11-28T12:36:41Z"
"spotify:track:5ebhZk50qN3ulXS41xSH6r","Harry Brompton's Ice Tea","spotify:artist:7vjRpVXoecwKTEsrb9iscj","Jadu Heart","spotify:album:4aakJBO52AmbAK0sMy8blA","Melt Away","spotify:artist:7vjRpVXoecwKTEsrb9iscj","Jadu Heart","2019-08-16","https://i.scdn.co/image/ab67616d0000b27388c64995e93e08005e55d2a0","1","10","181000","https://p.scdn.co/mp3-preview/c692d6eafcf1e7ed18b40f6f764c2cfa1663ac56?cid=9950ac751e34487dbbe027c4fd7f8e99","false","50","UK8XM1600050","spotify:user:gocardinal1228","2023-11-28T12:36:46Z"
"spotify:track:024nqC9O76nvAuIWtQGdQy","Memory Box","spotify:artist:41Nu7NgAj9rJxjj7JDuXrV","Peter Cat Recording Co.","spotify:album:6gnNCtxxhwKTYGIDVqeMUd","Bismillah","spotify:artist:41Nu7NgAj9rJxjj7JDuXrV","Peter Cat Recording Co.","2019-06-07","https://i.scdn.co/image/ab67616d0000b27319497200ef054bccfab27d0c","1","5","483840","https://p.scdn.co/mp3-preview/40992f3a0328aceddb0edf35e69d45df44528121?cid=9950ac751e34487dbbe027c4fd7f8e99","false","59","FR9W11829866","spotify:user:gocardinal1228","2023-11-28T12:36:54Z"
"spotify:track:4r9iUvR76uqO95cgZV0MKl","El Camino","spotify:artist:2efrqekWSHlvhATD50AG3m","Orion Sun","spotify:album:4Y9r8QQYroasHOYHUwCeSB","Hold Space For Me","spotify:artist:2efrqekWSHlvhATD50AG3m","Orion Sun","2020-03-27","https://i.scdn.co/image/ab67616d0000b273600c6207f4192b69a3df5bd3","1","6","197746","https://p.scdn.co/mp3-preview/7dd518fa5990497bea1e6558f338f291e1ab7045?cid=9950ac751e34487dbbe027c4fd7f8e99","true","42","USQE91600020","spotify:user:gocardinal1228","2023-11-28T12:36:59Z"
"spotify:track:7E4qUlNYocWix5FKBdw5CN","OH! TENGO SUERTE","spotify:artist:2Ex4vjQ6mSh5woTlDWto6d","Masayoshi Takanaka","spotify:album:7BQPfd39YTObQGamGhDF7g","SEYCHELLES","spotify:artist:2Ex4vjQ6mSh5woTlDWto6d","Masayoshi Takanaka","1976","https://i.scdn.co/image/ab67616d0000b2733174a9f789d91a20d3ef14aa","1","1","252666","https://p.scdn.co/mp3-preview/d81eed9f22908c47901a11c8866a11c743779359?cid=9950ac751e34487dbbe027c4fd7f8e99","false","61","JPKT07600701","spotify:user:gocardinal1228","2023-11-28T12:37:09Z"
